"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","BS 000001 .W55  2007","X030257442","The Kabbalistic scholars of the Antwerp Polyglot Bible /","Wilkinson, Robert,",2007,FALSE
"2","ALDERMAN","BS 000004.5 .M35  2007","X004832682","Bible manuscripts : 1400 years of scribes and scripture /","McKendrick, Scot.",2007,FALSE
"3","ALDERMAN","BS 000012 .L3  1957","X000279950","The Holy Bible from ancient Eastern manuscripts.","",1957,FALSE
"4","ALDERMAN","BS 000038 .B53  2003","X004719195","The Bible as book : the transmission of the Greek text /","",2003,FALSE
"5","ALDERMAN","BS 000038 .F4713  2000","X004471913","The Septuagint in context : introduction to the Greek version of the Bible /","Fernández Marcos, Natalio,",2000,FALSE
"6","ALDERMAN","BS 000038 .K32  1975","X000130301","The text of the Greek Bible /","Kenyon, Frederic G. (Frederic George),",1975,FALSE
"7","ALDERMAN","BS 000038 .S78  2008","X030475786","Studies in the Greek Bible : essays in honor of Francis T. Gignac, S.J. /","",2008,FALSE
"8","ALDERMAN","BS 000039 .M47","X000224696","Manuscripts of the Greek Bible : an introduction to Greek palaeography /","Metzger, Bruce M. (Bruce Manning),",1981,FALSE
"9","ALDERMAN","BS 000041 .R4  1950  V.000001","X000193469","Septuaginta : id est, Vetus Testamentum graece iuxta LXX interpretes /","",1950,TRUE
"10","ALDERMAN","BS 000064 .B5  1933  FASC.000003","X031649448","The Chester Beatty Biblical papyri : descriptions and texts of twelve manuscripts on papyrus of the Greek Bible /","",1933,TRUE
"11","ALDERMAN","BS 000064 .S5  M35  2006","X030115447","In a monastery library : preserving Codex Sinaiticus and the Greek written heritage /","McKendrick, Scot.",2006,FALSE
"12","ALDERMAN","BS 000064 .S5  P37  2010","X030946736","Codex Sinaiticus : the story of the world's oldest bible /","Parker, D. C. (David C.)",2010,FALSE
"13","ALDERMAN","BS 000068 .B78  2015","X031782537","Prefaces to the Latin Bible /","Bruyne, Donatien de,",2015,FALSE
"14","ALDERMAN","BS 000068 .C56  2008  V.000001","X030263976","Guida allo studio della Bibbia latina : dalla Vetus latina, alla Vulgata, alla Nova Vulgata /","Cimosa, Mario.",2008,TRUE
"15","ALDERMAN","BS 000068 .E375  1994","X002527968","The Early medieval Bible : its production, decoration, and use /","",1994,FALSE
"16","ALDERMAN","BS 000068 .F67  2013","X031614487","Form and function in the late medieval Bible /","",2013,FALSE
"17","ALDERMAN","BS 000068 .G534  1993","X002310794","The Bible in the Latin West /","Gibson, Margaret T.,",1993,FALSE
"18","ALDERMAN","BS 000068 .L54  2014","X031627195","An introduction to the medieval Bible /","Liere, Franciscus A. van (Franciscus Anastasius),",2014,FALSE
"19","ALDERMAN","BS 000068 .L56  2012","X030853181","How to correct the Sacra scriptura? : textual criticism of the Latin Bible between the twelfth and fifteenth century.","Linde, Cornelia.",2012,FALSE
"20","ALDERMAN","BS 000073 1949  BD.000001 002007 T.000001","X030268088","Répertoire général des auteurs ecclésiastiques latins de l'antiquité et du haut Moyen Âge /","Gryson, Roger.",2007,TRUE
"21","ALDERMAN","BS 000073 1949  BD.000002 T.000002 FASC.000002","X031668320","Genesis /","Fischer, Bonifatius,",1951,TRUE
"22","ALDERMAN","BS 000073 1949  BD.000006/000002 LFG.000003","X031800749","Esra.","",2008,TRUE
"23","ALDERMAN","BS 000073 1949  BD.000011/000002 LFG.000005","X032590808","Sirach (Ecclesiasticus) /","",1987,TRUE
"24","ALDERMAN","BS 000073 1949  BD.000012 PT.000002 FASC.000001","X032590803","Esaias /","",1987,TRUE
"25","ALDERMAN","BS 000073 1949  BD.000017 FASC.000003","X031624181","Evangelium secundum Marcum /","",2013,TRUE
"26","ALDERMAN","BS 000073 1949  BD.000025 T.000002 LFG.000001","X032590793","Epistulae ad Thessalonicenses, Timotheum, Titum, Philemonem, Hebraeos /","",1975,TRUE
"27","ALDERMAN","BS 000073 1949  BD.000026 T.000002","X006134151","Apocalypsis Johannis /","",2000,TRUE
"28","ALDERMAN","BS 000075 001826","X000494770","Biblia sacra vulgatáe editionis Sixti quinti ...","",1826,FALSE
"29","ALDERMAN","BS 000075 1886","X002126676","Biblia Sacra Vvlgatae editionis Sixti V. et Clementis VIII. pontt. maxx. ivssv recognita atqve edita.","",1886,FALSE
"30","ALDERMAN","BS 000075 1901","X000024072","Biblia Sacra Vulgatae editionis Sixtio V Pont. Max. jussu recognita et Clementis VIII auctoritate edita.","",1901,FALSE
"31","ALDERMAN","BS 000075 1970","X000423516","Biblia sacra latina ex Biblia sacra vulgatae editionis Sixti V. et Clementis VIII.","",1970,FALSE
"32","ALDERMAN","BS 000075 1983","X001815309","Biblia sacra : iuxta Vulgatam versionem /","",1983,FALSE
"33","ALDERMAN","BS 000106 .F35  2015","X031786730","The gothic version of the Gospels and Pauline Epistles : cultural background, transmission and character /","Falluomini, Carla,",2015,FALSE
"34","ALDERMAN","BS 000115 .M69  V48  2014","X031798297","Les Veus del sagrat /","",2014,TRUE
"35","ALDERMAN","BS 000119 .W2  N53  1993","X002189539","War in the Hebrew Bible : a study in the ethics of violence /","Niditch, Susan.",1993,FALSE
"36","ALDERMAN","BS 000125 .B5  1993","X002330168","The complete parallel Bible : containing the Old and New Testaments with the Apocryphal/Deuterocanonical books : New Revised Standard Version, Revised English Bible, New American Bible, New Jerusalem Bible.","",1993,FALSE
"37","ALDERMAN","BS 000130 1893","X032036969","The Gospel of Saint Luke in Anglo-Saxon.","",1893,FALSE
"38","ALDERMAN","BS 000135 2002","X004624142","The Wycliffe New Testament 1388 : an edition in modern spelling, with an introduction, the original prologues and the Epistle to the Laodiceans /","",2002,FALSE
"39","ALDERMAN","BS 000136 .D68  2007","X030250131","The first English Bible : the text and context of the Wycliffite versions /","Dove, Mary.",2007,FALSE
"40","ALDERMAN","BS 000136 .E27  2010","X031198912","The Earliest advocates of the English Bible : the texts of the medieval debate /","",2010,FALSE
"41","ALDERMAN","BS 000136 .K45  2016","X031799774","The Middle English Bible : a reassessment /","Kelly, Henry Ansgar,",2016,FALSE
