"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","BT 000010 .C3  2D SER. NO.000060 001951","X031896616","La doctrina monástica de San Gregorio Magno y la ""Regula monachorum.""","Porcel, Olegario Maria,",1951,TRUE
"2","ALDERMAN","BT 000010 .O83  2009","X030959062","The Oxford handbook of systematic theology /","",2009,FALSE
"3","ALDERMAN","BT 000010 .S43  2002","X004811045","Shaping a theological mind : theological context and methodology /","",2002,FALSE
"4","ALDERMAN","BT 000015 .B69  2014","X031653435","Ice axes for frozen seas : a biblical theology of provocation /","Brueggemann, Walter,",2014,FALSE
"5","ALDERMAN","BT 000015 .B78  1963","X000235874","Existence and faith : shorter writings of Rudolf Bultmann /","Bultmann, Rudolf,",1963,FALSE
"6","ALDERMAN","BT 000015 .B8213  1969  V.000001","X000276885","Faith and understanding,","Bultmann, Rudolf,",1969,TRUE
"7","ALDERMAN","BT 000015 .B9423  1971","X000024082","Essays, philosophical and theological.","Bultmann, Rudolf,",1971,FALSE
"8","ALDERMAN","BT 000015 .C37  2007","X031579802","Carlo Antonio Casnedi e a Clavis prophetarum de Antonio Vieira /","Casnedi, Carlo Antonio,",2007,FALSE
"9","ALDERMAN","BT 000015 .D545  2013","X031573791","Ausgewählte kleine Schriften zu Antike und Christentum /","Dihle, Albrecht,",2013,FALSE
"10","ALDERMAN","BT 000015 .E2413  1968","X000526874","The word of God and tradition; historical studies interpreting the divisions of Christianity.","Ebeling, Gerhard,",1968,FALSE
"11","ALDERMAN","BT 000015 .L48  1968","X000195556","A mind awake: an anthology of C. S. Lewis;","Lewis, C. S. (Clive Staples),",1968,FALSE
"12","CLEMONS","BT 000015 .T55  1987","X001282823","The essential Tillich : an anthology of the writings of Paul Tillich /","Tillich, Paul,",1987,FALSE
"13","ALDERMAN","BT 000015 .W437  2001","X030203202","Word and church : essays in Christian dogmatics /","Webster, John,",2001,FALSE
"14","ALDERMAN","BT 000019 .L55  1984","X000863665","The nature of doctrine : religion and theology in a postliberal age /","Lindbeck, George A.",1984,FALSE
"15","ALDERMAN","BT 000019 .M37  1990","X001783161","The genesis of doctrine : a study in the foundations of doctrinal criticism /","McGrath, Alister E.,",1990,FALSE
"16","ALDERMAN","BT 000020 .D66  2008","X030474221","Vera philosophia : studies in late antique, early Medieval, and Renaissance Christian thought /","D'Onofrio, Giulio,",2008,FALSE
"17","ALDERMAN","BT 000020 .G55  2007","X030112069","Faith, reason, and compassion : a philosophy of the Christian faith /","Gilman, James Earl.",2007,FALSE
"18","ALDERMAN","BT 000020 .K49  2003","X004690068","Key thinkers in Christianity /","",2003,FALSE
"19","ALDERMAN","BT 000021 .H27  1957","X030125675","Outlines of the history of dogma.","Harnack, Adolf von,",1957,FALSE
"20","ALDERMAN","BT 000021 .N5  1989","X001616640","An essay on the development of Christian doctrine /","Newman, John Henry,",1989,FALSE
"21","ALDERMAN","BT 000021 .N5  2010","X030793981","An essay on the development of Christian doctrine /","Newman, John Henry,",2010,FALSE
"22","ALDERMAN","BT 000021.2 .M17  1998","X006069042","Historical theology : an introduction to the history of Christian thought /","McGrath, Alister E.,",1998,FALSE
"23","ALDERMAN","BT 000021.2 .N48  1996","X002720076","New perspectives on historical theology : essays in memory of John Meyendorff /","",1996,FALSE
"24","ALDERMAN","BT 000021.2 .N5  1990B","X001843346","From Newman to Congar : the idea of doctrinal development from the Victorians to the Second Vatican Council /","Nichols, Aidan.",1990,FALSE
"25","CLEMONS","BT 000021.2 .P42  V.000004","X000787752","The Christian tradition; a history of the development of doctrine","Pelikan, Jaroslav,",1900,TRUE
"26","ALDERMAN","BT 000021.2 .P43","X000300333","Historical theology: continuity and change in Christian doctrine","Pelikan, Jaroslav,",1971,FALSE
"27","CLEMONS","BT 000021.2 .P57  1983","X000881476","A history of Christian theology : an introduction /","Placher, William C. (William Carl),",1983,FALSE
