"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","BV 000002 .C66  2016","X031761067","Conundrums in practical theology /","",2016,FALSE
"2","ALDERMAN","BV 000002.5 .K44  2012","X030824190","Barefoot theology : a dictionary for pilgrims, priests, and poets /","Keefe, Rachael A.",2013,FALSE
"3","ALDERMAN","BV 000003 .B75  2007","X030115454","Equality and the family : a fundamental, practical theology of children, mothers, and fathers in modern societies /","Browning, Don S.",2007,FALSE
"4","ALDERMAN","BV 000003 .C38  2016","X031595427","Catholic approaches in practical theology : international and interdisciplinary perspectives /","",2016,FALSE
"5","ALDERMAN","BV 000003 .G6913  2016","X031792428","An introduction to practical theology : history, theory, and the communication of the gospel in the present /","Grethlein, Christian,",2016,FALSE
"6","ALDERMAN","BV 000003 .H8614  2003","X004721587","Le don de crainte ou l'abondance des exemples /","Humbert,",2003,FALSE
"7","ALDERMAN","BV 000003 .O86  2008","X031607487","Practical theology : an introduction /","Osmer, Richard Robert,",2008,FALSE
"8","ALDERMAN","BV 000003 .P6945  2002","X004552643","Practicing theology : beliefs and practices in Christian life /","",2002,FALSE
"9","ALDERMAN","BV 000003 .R33  2004","X004808745","Redemptive transformation in practical theology : essays in honor of James E. Loder, Jr. /","",2004,FALSE
"10","ALDERMAN","BV 000003 .S87  2016","X031760928","Practical theology and qualitative research /","Swinton, John,",2016,FALSE
"11","ALDERMAN","BV 000005 .B37  2007","X030278838","Temple themes in Christian worship /","Barker, Margaret,",2007,FALSE
"12","ALDERMAN","BV 000005 .N49  2007","X030255115","Give God the glory : ancient prayer and worship in cultural perspective /","Neyrey, Jerome H.,",2007,FALSE
"13","ALDERMAN","BV 000005 .V37  2003","X004698488","Varieties of devotion in the Middle Ages and Renaissance /","",2003,FALSE
"14","CLEMONS","BV 000005 .Y38  2008","X030523600","Liturgical space : Christian worship and church buildings in western Europe 1500-2000 /","Yates, Nigel.",2008,FALSE
"15","ALDERMAN","BV 000006 .B69  2008","X030465953","Private worship, public values, and religious change in late antiquity /","Bowes, Kimberly Diane,",2008,FALSE
"16","ALDERMAN","BV 000006 .B72  1996","X030595648","Early Christian worship : a basic introduction to ideas and practice /","Bradshaw, Paul F.",1996,FALSE
