"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","BX 000001 .C6  NEW SER. NO.5  1953","X001689402","Les anges et leur mission, d'aprés les Pères de l'Église.","Daniélou, Jean.",1953,TRUE
"2","ALDERMAN","BX 000002 .G76  2007","X030257553","Growth in agreement III : international dialogue texts and agreed statements, 1998-2005 /","",2007,FALSE
"3","ALDERMAN","BX 000003 .R35  2000","X004406701","No North Sea : the Anglo-German evangelical network in the middle of the nineteenth century /","Railton, Nicholas,",2000,FALSE
"4","ALDERMAN","BX 000004 .J67  1982","X000507104","The Evangelical Alliance for the United States of America, 1847-1900 : ecumenism, identity, and the religion of the Republic /","Jordan, Philip D.,",1982,FALSE
"5","ALDERMAN","BX 000006 .F4  E725  2005","X031853389","Building the kingdom of God on earth : the churches' contribution to marshal public support for World Order and Peace, 1919-1945 /","Erdmann, Martin.",2005,FALSE
"6","ALDERMAN","BX 000006 .N2  G55  2011","X030947639","Embattled ecumenism : the National Council of Churches, the Vietnam War, and the trials of the Protestant left /","Gill, Jill K.",2011,TRUE
"7","ALDERMAN","BX 000006.5 .F58  2004","X004769125","The ecumenical movement : an introductory history /","FitzGerald, Thomas E.,",2004,FALSE
"8","ALDERMAN","BX 000006.8 .G37  W66  2005","X004903129","Robert H. Gardiner and the reunification of worldwide Christianity in the Progressive Era /","Woolverton, John Frederick,",2005,FALSE
"9","ALDERMAN","BX 000008.3 .C46  2009","X030468164","A century of prayer for Christian unity /","",2009,FALSE
"10","ALDERMAN","BX 000008.3 .E36  2004","X004746610","The ecumenical future : background papers for In one body through the cross : the Princeton proposal for Christian unity /","",2004,FALSE
"11","ALDERMAN","BX 000008.3 .F83  2008","X030259602","Koinonia and the quest for an ecumenical ecclesiology : from foundations through dialogue to symbolic competence for communionality /","Fuchs, Lorelei F.",2008,FALSE
"12","ALDERMAN","BX 000008.3 .H47  2014","X031721132","Pope Francis 1 : hope for Christian unity /","Herat, Gwen,",2014,FALSE
"13","ALDERMAN","BX 000008.3 .I5  2003","X004663804","In one body through the cross : the Princeton proposal for Christian unity : a call to the churches from an ecumenical study group /","",2003,FALSE
