"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","B  000001 .E98  V.6","X030103709","The structure of nonconceptual content /","",2006,TRUE
"2","ALDERMAN","B  000001 .P485  V.000002","X002761500","Epistemology, 1988 /","",1988,TRUE
"3","ALDERMAN","B  000001 .P485  V.000010","X006035510","Metaphysics, 1996 /","",1996,TRUE
"4","ALDERMAN","B  000001 .P485  V.000011","X006072146","Mind, causation, and world /","",1997,TRUE
"5","ALDERMAN","B  000001 .P485  V.000012","X006080429","Language, mind, and ontology, 1998 /","",1997,TRUE
"6","ALDERMAN","B  000001 .P485  V.000013","X006094661","Epistemology, 1999 /","",1999,TRUE
"7","ALDERMAN","B  000001 .P485  V.000015","X006128343","Metaphysics, 2001 /","",2001,TRUE
"8","ALDERMAN","B  000001 .P485  V.000016","X004667300","Language and mind, 2002 /","",2002,TRUE
"9","ALDERMAN","B  000001 .P485  V.000018","X004851475","Ethics /","",2004,TRUE
"10","ALDERMAN","B  000001 .P485  V.000019","X004911224","Epistemology /","",2005,TRUE
"11","ALDERMAN","B  000001 .P485  V.000020","X030164689","Metaphysics /","",2006,TRUE
"12","ALDERMAN","B  000011 .C36  2006","X030115749","A thoughtful profession : the early years of the American Philosophical Association /","Campbell, James,",2006,FALSE
"13","ALDERMAN","B  000020 .A33  1981","X000978640","Philosophy and cultures : proceedings of 2nd Afro-Asian Philosophy Conference, Nairobi, October/November 1981 /","Afro-Asian Philosophy Conference",1983,FALSE
"14","ALDERMAN","B  000020 .I57  2002","X004991999","Philosophy and doxography in the imperial age /","International Colloquium on Philosophy in the Imperial Age",2005,FALSE
"15","ALDERMAN","B  000020 .P3  1958  NO.3","X000381315","al-Ghazali's Tahafut al-falasifah; incoherence of the philosophers.","Ghazz?l?,",1963,TRUE
"16","ALDERMAN","B  000020.6 .A7  2017","X031800174","Academic scepticism in the development of early modern philosophy /","",2017,FALSE
"17","ALDERMAN","B  000021 .B48  1991  V.1","X002049739","Philosophy and the idea of freedom /","Bhaskar, Roy,",1991,TRUE
"18","ALDERMAN","B  000021 .B56  2003","X004087573","The Blackwell companion to philosophy /","",2003,FALSE
"19","ALDERMAN","B  000021 .C25  V.000002 NO.000001-000006","X030489558","The dialectic of Plotinus.","Overstreet, H. A. (Harry Allen),",1969,TRUE
"20","ALDERMAN","B  000021 .C25  V.000003 NO.000001-000002","X030489557","Footnotes to formal logic /","Rieber, Charles Henry,",1969,TRUE
"21","ALDERMAN","B  000021 .C25  V.000004","X030489556","Issues and tendencies in contemporary philosophy; lectures delivered before the Philosophical union, University of California, 1922-1923.","Philosophical Union of the University of California.",1969,TRUE
"22","ALDERMAN","B  000021 .C25  V.000007","X030489555","Studies in the problem of norms; lectures delivered before the Philosophical Union, University of California, 1924-1925.","University of California. Philosophical Union.",1969,TRUE
"23","ALDERMAN","B  000021 .C25  V.000013","X030489554","Studies in the problem of relations : lectures delivered before the Philosophical Union, University of California, 1930.","University of California. Philosophical Union.",1969,TRUE
"24","ALDERMAN","B  000021 .C25  V.000017","X030489552","Possibility : lectures delivered before the Philosophical Union of the University of California, 1933.","University of California. Philosophical Union.",1969,TRUE
"25","ALDERMAN","B  000021 .C25  V.000021","X030489551","Reason. Lectures delivered before the Philosophical Union of the University of California, 1938.","University of California. Philosophical Union.",1939,TRUE
"26","ALDERMAN","B  000021 .C25  V.000023","X030489550","Civilization; lectures delivered before the Philosophical union of the University of California, 1941.","University of California. Philosophical Union.",1942,TRUE
"27","ALDERMAN","B  000021 .C25  V.000030","X030489549","Plato; der Kampf ums Sein.","Wolff, Hans M. (Hans Matthias),",1957,TRUE
"28","ALDERMAN","B  000021 .C25  V.000034","X030489548","The pragmatic conception of justice /","Jaffe, Raymond,",1960,TRUE
