"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","CB 000005 .L6  1946","X030142787","When peoples meet, a study in race and culture contacts.","Locke, Alain,",1946,FALSE
"2","ALDERMAN","CB 000005 .R4  1949","X030125928","Reflections on our age : lectures delivered at the opening session of UNESCO at the Sorbonne University, Paris /","",1949,FALSE
"3","ALDERMAN","CB 000005 .T4  1949","X030267454","The idea of progress, a collection of readings.  Rev. ed.,","Teggart, Frederick John,",1949,FALSE
"4","ALDERMAN","CB 000005 .W5  1968","X001609351","What is civilization?","",1968,FALSE
"5","ALDERMAN","CB 000007 .E45  2008","X030567092","Essays.","Elias, Norbert,",2008,FALSE
"6","ALDERMAN","CB 000007 .L4  1959","X000128356","Freedom and culture; [essays.","Lee, Dorothy (Dorothy D.)",1959,FALSE
"7","ALDERMAN","CB 000007 .M8  1955","X006080056","The human prospect.","Mumford, Lewis,",1955,FALSE
"8","ALDERMAN","CB 000015 .B87  1997","X004139898","Varieties of cultural history /","Burke, Peter,",1997,FALSE
"9","ALDERMAN","CB 000015 .B87  1997B","X006046849","Varieties of cultural history /","Burke, Peter,",1997,FALSE
"10","ALDERMAN","CB 000018 .B39  M87  2011","X031196123","Jacques Barzun : portrait of a mind /","Murray, Michael,",2011,FALSE
"11","ALDERMAN","CB 000018 .D38  B57  2007","X030281183","Sanctifying the world : the Augustinian life and mind of Christopher Dawson /","Birzer, Bradley J.,",2007,FALSE
"12","ALDERMAN","CB 000018 .D38  S36  1992","X002214020","A historian and his world : a life of Christopher Dawson /","Scott, Christina.",1992,FALSE
"13","ALDERMAN","CB 000018 .E44  M46  1989","X001604984","Norbert Elias : civilization, and the human self-image /","Mennell, Stephen.",1989,FALSE
"14","ALDERMAN","CB 000018 .S25  A3  2001B","X004526929","Power, politics, and culture : interviews with Edward W. Said /","Said, Edward W.",2001,FALSE
"15","ALDERMAN","CB 000018 .S25  A5  2003","X004706617","Culture and resistance : conversations with Edward W. Said /","Said, Edward W.",2003,FALSE
"16","ALDERMAN","CB 000018 .S25  A5  2004","X004774087","Interviews with Edward W. Said /","Said, Edward W.",2004,FALSE
"17","ALDERMAN","CB 000018 .S25  E385  2004","X004860347","Edward Said : continuing the conversation /","",2004,FALSE
"18","ALDERMAN","CB 000018 .S25  E39  2010","X030762747","Edward Said : a legacy of emancipation and representation /","",2010,FALSE
"19","ALDERMAN","CB 000018 .S25  K46  2000","X030459792","Edward Said : a critical introduction /","Kennedy, Valerie.",2000,FALSE
"20","ALDERMAN","CB 000018 .S25  R48  2001","X004473455","Revising culture, reinventing peace : the influence of Edward W. Said /","",2001,TRUE
"21","ALDERMAN","CB 000018 .S25  S63  2009","X030468942","The legacy of Edward W. Said /","Spanos, William V.",2009,FALSE
"22","ALDERMAN","CB 000018 .S25  V44  2010","X030620203","Edward Said : the charisma of criticism /","Veeser, H. Aram (Harold Aram),",2010,TRUE
"23","ALDERMAN","CB 000018 .S25  W33  2008","X030466324","Waiting for the Barbarians : a tribute to Edward W. Said /","",2008,FALSE
"24","CLEMONS","CB 000019 .A775  2011","X030934133","In search of civilization : remaking a tarnished idea /","Armstrong, John,",2011,FALSE
"25","ALDERMAN","CB 000019 .A78  2003","X004744818","Civilizations in dispute : historical questions and theoretical traditions /","Árnason, Jóhann Páll,",2003,FALSE
"26","ALDERMAN","CB 000019 .B28  1965","X000512637","Saving the appearances; a study in idolatry.","Barfield, Owen,",1965,FALSE
"27","ALDERMAN","CB 000019 .B4  1973","X000512639","Civilization and Old friends.","Bell, Clive,",1973,FALSE
"28","ALDERMAN","CB 000019 .B42  1975","X000287808","Histoire de mots : culture et civilisation /","Bénéton, Philippe.",1975,FALSE
"29","ALDERMAN","CB 000019 .B425  1997","X004028155","The proper study of mankind : an anthology of essays /","Berlin, Isaiah,",1997,FALSE
"30","ALDERMAN","CB 000019 .B575  2013","X031618467","Barbarism and its discontents /","Boletsi, Maria,",2013,FALSE
"31","ALDERMAN","CB 000019 .B598  2009","X030467176","The empire of civilization : the evolution of an imperial idea /","Bowden, Brett,",2009,FALSE
"32","CLEMONS","CB 000019 .C476  2014","X031789105","Big history : between nothing and everything /","Christian, David,",2014,FALSE
"33","ALDERMAN","CB 000019 .C477  2004","X004741937","Maps of time : an introduction to big history /","Christian, David,",2004,FALSE
"34","ALDERMAN","CB 000019 .C478  2018","X032220666","Origin story : a big history of everything /","Christian, David,",2018,FALSE
"35","ALDERMAN","CB 000019 .C5633  1989","X001737274","Condorcet : Esquisse d'un tableau historique des progrès de l'esprit humain : l'histoire /","",1989,FALSE
"36","ALDERMAN","CB 000019 .C83  2009","X031740582","Cultural theory and popular culture : a reader /","",2009,FALSE
"37","ALDERMAN","CB 000019 .D76  1988  BD.1","X001520128","Nacktheit und Scham /","Duerr, Hans Peter.",1988,TRUE
"38","ALDERMAN","CB 000019 .D76  1988  BD.3","X002160652","Obszönität und Gewalt /","Duerr, Hans Peter.",1993,TRUE
"39","ALDERMAN","CB 000019 .D7713  1985","X000903374","Dreamtime : concerning the boundary between wilderness and civilization /","Duerr, Hans Peter.",1985,FALSE
"40","CLEMONS","CB 000019 .E48  1949","X000203137","Notes towards the definition of culture.","Eliot, T. S. (Thomas Stearns),",1949,FALSE
"41","ALDERMAN","CB 000019 .E48  1962","X001759134","Notes towards the definition of culture /","Eliot, T. S. (Thomas Stearns),",1962,FALSE
"42","ALDERMAN","CB 000019 .F59  1989","X001640196","History and prophecy : Oswald Spengler and The decline of the West /","Fischer, Klaus P.,",1989,FALSE
"43","ALDERMAN","CB 000019 .H69  1967","X030777745","Wen hua xue xiao lun.","Hou, Lichao.",1967,FALSE
"44","ALDERMAN","CB 000019 .I34  1997","X004157381","The idea of progress /","",1997,FALSE
"45","ALDERMAN","CB 000019 .I84  2006","X030145058","Perepiska iz dvukh uglov /","Ivanov, V. I. (Vi?acheslav Ivanovich),",2006,FALSE
"46","CLEMONS","CB 000019 .J33  2004","X004765612","Dark age ahead /","Jacobs, Jane,",2004,FALSE
"47","ALDERMAN","CB 000019 .J34  2017","X032208719","The decline of civilization : why we need to return to Gandhi and Tagore /","Jahanbegloo, Ramin",2017,FALSE
"48","ALDERMAN","CB 000019 .J65","X030238333","Decadence; a philosophical inquiry.","Joad, C. E. M. (Cyril Edwin Mitchinson),",1948,FALSE
"49","ALDERMAN","CB 000019 .K655  2004","X004771990","The paths of civilization : understanding the currents of history /","Krej?í, Jaroslav,",2004,FALSE
"50","ALDERMAN","CB 000019 .K687  1973","X000187822","Style and civilizations.","Kroeber, A. L. (Alfred Louis),",1973,FALSE
"51","ALDERMAN","CB 000019 .L35  1983","X000506413","Systems science and world order : selected studies /","Laszlo, Ervin,",1983,FALSE
"52","CLEMONS","CB 000019 .Q56  1999","X004073264","Beyond civilization : humanity's next great adventure /","Quinn, Daniel.",1999,FALSE
"53","ALDERMAN","CB 000019 .R464  2004","X004810959","Rethinking civilizational analysis /","",2004,FALSE
"54","ALDERMAN","CB 000019 .S744  1997","X006044149","An introduction to cultural theory and popular culture /","Storey, John,",1997,FALSE
"55","ALDERMAN","CB 000019 .S745  1993","X002228236","An introductory guide to cultural theory and popular culture /","Storey, John,",1993,FALSE
"56","ALDERMAN","CB 000019 .S7455  2003","X004703526","Inventing popular culture : from folklore to globalization /","Storey, John,",2003,FALSE
"57","ALDERMAN","CB 000019 .T53","X000175446","The time falling bodies take to light : mythology, sexuality, and the origins of culture /","Thompson, William Irwin.",1981,FALSE
"58","ALDERMAN","CB 000019 .T6  1948","X000317746","Civilization on trial. [Essays]","Toynbee, Arnold,",1948,FALSE
"59","CLEMONS","CB 000019 .T6  1976","X000004065","Civilization on trial and The world and the West /","Toynbee, Arnold,",1976,FALSE
"60","ALDERMAN","CB 000019 .T6  P3  1949","X030267455","The Pattern of the past: can we determine it?","",1949,FALSE
"61","ALDERMAN","CB 000019 .W4  1976","X000747962","Ideas have consequences /","Weaver, Richard M.,",1976,FALSE
"62","CLEMONS","CB 000019 .W48  1969","X000111589","The science of culture; a study of man and civilization,","White, Leslie A.,",1969,FALSE
"63","ALDERMAN","CB 000019 .W53  1956","X000101158","The outsider.","Wilson, Colin,",1956,FALSE
"64","ALDERMAN","CB 000019 .W53  1961","X000301687","The outsider.","Wilson, Colin,",1961,FALSE
"65","ALDERMAN","CB 000020 .C49  1995","X030880060","Civilizations and world systems : studying world-historical change /","",1995,FALSE
"66","ALDERMAN","CB 000020 .S35  2000","X004501064","Historisches Denken in der Krise der Kultur : Fachhistorie, Kulturgeschichte und Anfänge der Kulturwissenschaften in Deutschland","Schleier, Hans.",2000,FALSE
"67","ALDERMAN","CB 000025 .F4  1978","X000361082","An essay on the history of civil society, 1767 /","Ferguson, Adam,",1978,FALSE
"68","ALDERMAN","CB 000025 .F4  1995","X002720062","An essay on the history of civil society /","Ferguson, Adam,",1995,FALSE
"69","ALDERMAN","CB 000053 .B75  1967  V.000001","X000817896","A history of civilization","Brinton, Crane,",1967,TRUE
"70","ALDERMAN","CB 000053 .L58  1965","X000232549","Primitivism and related ideas in antiquity,","Lovejoy, Arthur O. (Arthur Oncken),",1965,FALSE
"71","ALDERMAN","CB 000053 .V6  1956  V.000003","X000421761","Order and history.","Voegelin, Eric,",1956,TRUE
"72","ALDERMAN","CB 000057 .R32  1926B","X000473378","The making of the modern mind; a survey of the intellectual background of the present age","Randal, John Herman,",1926,FALSE
"73","ALDERMAN","CB 000057 .R32  1940","X004317748","The making of the modern mind.","Randall, John Herman,",1940,FALSE
"74","ALDERMAN","CB 000059 .C6  1967","X000513270","Democritus and the sources of Greek anthropology,","Cole, Thomas,",1967,FALSE
