"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","DAW001032 .P37  2008","X030254388","Past in the making : historical revisionism in Central Europe after 1989 /","",2008,FALSE
"2","ALDERMAN","DAW001038 .C48  2012","X030609116","Intermarium : the land between the Black and Baltic Seas /","Chodakiewicz, Marek Jan,",2013,FALSE
"3","ALDERMAN","DAW001038 .C58  2000","X004503176","Central Europe : core or periphery? /","",2000,FALSE
"4","ALDERMAN","DAW001038 .J64  2002","X004554192","Central Europe : enemies, neighbors, friends /","Johnson, Lonnie,",2002,FALSE
"5","ALDERMAN","DAW001046 .B47  2013","X031626964","Central Europe in the high Middle Ages : Bohemia, Hungary and Poland c.900-c.1300 /","Berend, Nora,",2013,FALSE
"6","ALDERMAN","DAW001046 .C46  2009","X030278175","Central and Eastern Europe in the Middle Ages : a cultural history /","",2009,FALSE
"7","ALDERMAN","DAW001046 .L35  2013","X030611154","Landscapes and societies in medieval Europe east of the Elbe : interactions between environmental settings and cultural transformations /","",2013,FALSE
"8","ALDERMAN","DAW001046 .M44  2016","X031795599","Medieval East Central Europe in a comparative perspective : from frontier zones to lands in focus /","",2016,FALSE
"9","ALDERMAN","DAW001047 .A47  H68  2000","X004412903","Johann Heinrich Alsted, 1588-1638 : between Renaissance, Reformation, and universal reform /","Hotson, Howard.",2000,FALSE
"10","ALDERMAN","DAW001048 .D55  2007","X030200406","Different paths to the nation : regional and national identities in Central Europe and Italy, 1830-70 /","",2007,FALSE
"11","ALDERMAN","DAW001048 .S73  2001","X004555488","Staging the past : the politics of commemoration in Habsburg Central Europe, 1848 to the present /","",2001,FALSE
"12","ALDERMAN","DAW001050 .C74  2003","X004702277","Creating the other : ethnic conflict and nationalism in Habsburg Central Europe /","",2003,FALSE
"13","ALDERMAN","DAW001051 .G38  1999","X004405124","History of the present : essays, sketches and despatches from Europe in the 1990s /","Garton Ash, Timothy.",1999,FALSE
"14","ALDERMAN","DAW001051 .M57  1997","X004120758","Mitteleuropa : between Europe and Germany /","",1997,FALSE
