"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","DA 000001 .B43  2007","X004832573","Writing local history /","Beckett, J. V.",2007,FALSE
"2","ALDERMAN","DA 000001 .B48  1987","X001489477","Church and parish : an introduction for local historians /","Bettey, J. H.",1987,FALSE
"3","ALDERMAN","DA 000001 .B79  2006","X004834238","'No historie so meete' : gentry culture and the development of local history in Elizabethan and early Stuart England /","Broadway, Jan.",2006,FALSE
"4","ALDERMAN","DA 000001 .B87","X000354373","A liberal descent : Victorian historians and the English past /","Burrow, J. W. (John Wyon),",1981,FALSE
"5","ALDERMAN","DA 000001 .C55  2007","X030255792","Clio's daughters : British women making history, 1790-1899 /","",2007,FALSE
"6","ALDERMAN","DA 000001 .C85  1999","X006018290","English pasts : essays in history and culture /","Collini, Stefan,",1999,FALSE
"7","ALDERMAN","DA 000001 .G66  2009","X030276841","Sentimental masculinity and the rise of history, 1790-1890 /","Goode, Mike.",2009,FALSE
"8","ALDERMAN","DA 000001 .G75  1974  V.000001","X000025400","Historical writing in England /","Gransden, Antonia.",1974,TRUE
"9","ALDERMAN","DA 000001 .G95  1992","X002141554","English local studies handbook : a guide to resources for each county including libraries, record offices, societies, journals, and museums /","Guy, Susanna.",1992,FALSE
"10","ALDERMAN","DA 000001 .H33  1966","X000091347","The vision of history in early Britain: from Gildas to Geoffrey of Monmouth","Hanning, Robert W.",1966,FALSE
"11","ALDERMAN","DA 000001 .H564  2014","X031653490","Historical writing in Britain, 1688-1830 : visions of history /","",2014,FALSE
"12","ALDERMAN","DA 000001 .H565  2004","X004744394","History, nationhood, and the question of Britain /","",2004,FALSE
"13","ALDERMAN","DA 000001 .I43  1998","X006048480","Imagining nations /","",1998,FALSE
"14","ALDERMAN","DA 000001 .J76  2003","X004690921","The English nation : the great myth /","Jones, Edwin.",2003,FALSE
"15","ALDERMAN","DA 000001 .K43  1983","X000628122","The history men : the historical profession in England since the renaissance /","Kenyon, J. P. (John Philipps),",1983,FALSE
"16","ALDERMAN","DA 000001 .L47  1987","X001157976","Humanism and history : origins of modern English historiography /","Levine, Joseph M.,",1987,FALSE
"17","ALDERMAN","DA 000001 .L48  1986","X001079583","The amateur and the professional : antiquarians, historians, and archaeologists in Victorian England, 1838-1886 /","Levine, Philippa.",1986,FALSE
"18","ALDERMAN","DA 000001 .M3","X000337498","Medieval history in the Tudor age.","McKisack, May.",1971,FALSE
"19","ALDERMAN","DA 000001 .M36  2002","X004660908","History and national life /","Mandler, Peter.",2002,FALSE
"20","ALDERMAN","DA 000001 .M45  2006","X004836718","The culture of history : English uses of the past, 1800-1953 /","Melman, Billie.",2006,FALSE
"21","ALDERMAN","DA 000001 .M46  1989","X001639291","'Speculum Britanniae' : regional study, antiquarianism, and science in Britain to 1700 /","Mendyk, Stanley G.",1989,FALSE
"22","ALDERMAN","DA 000001 .M58  2000","X004435679","Picturing the past : English history in text and image, 1830-1870 /","Mitchell, Rosemary.",2000,FALSE
"23","CLEMONS","DA 000001 .M87  1998","X004266506","British history 1660-1832 : national identity and local culture /","Murdoch, Alexander.",1998,FALSE
"24","ALDERMAN","DA 000001 .P37  2000","X004412867","The English idea of history from Coleridge to Collingwood /","Parker, Christopher,",2000,FALSE
"25","ALDERMAN","DA 000001 .P38  2002","X004661761","Nobody's perfect : a new Whig interpretation of history /","Patterson, Annabel M.",2002,FALSE
"26","ALDERMAN","DA 000001 .P53  2000","X004410041","Society and sentiment : genres of historical writing in Britain, 1740-1820 /","Phillips, Mark,",2000,FALSE
"27","ALDERMAN","DA 000001 .R4  1984","X000789052","Recent views on British history : essays on historical writing since 1966 /","",1984,FALSE
"28","ALDERMAN","DA 000001 .S35  1994  V.000001","X004774692","Theatres of memory /","Samuel, Raphael.",1994,TRUE
"29","ALDERMAN","DA 000001 .U57  1995","X002778325","Uniting the Kingdom? : the making of British history /","",1995,FALSE
"30","ALDERMAN","DA 000001 .U84  2006","X030111102","The uses of history in early modern England /","",2006,FALSE
"31","ALDERMAN","DA 000001 .W43  2006","X004836508","The debate on the rise of the British empire /","Webster, Anthony.",2006,FALSE
"32","ALDERMAN","DA 000001 .W665  2000","X004473928","Reading history in early modern England /","Woolf, D. R. (Daniel R.)",2000,FALSE
"33","ALDERMAN","DA 000003 .A1  C85  1985","X001013261","The Victorian mirror of history /","Culler, A. Dwight (Arthur Dwight),",1985,TRUE
"34","ALDERMAN","DA 000003 .A1  D6  1951","X000210497","English scholars, 1660-1730.","Douglas, David Charles,",1951,TRUE
"35","ALDERMAN","DA 000003 .A1  J36  1985","X001011706","The art and science of Victorian history /","Jann, Rosemary,",1985,FALSE
"36","ALDERMAN","DA 000003 .C35  H47  2007","X031657260","William Camden : a life in context /","Herendeen, Wyman H.,",2007,FALSE
"37","ALDERMAN","DA 000003 .C66  A3  2017","X031762205","21st century Corbett : maritime strategy and naval policy for the modern era /","Corbett, Julian Stafford,",2017,FALSE
"38","ALDERMAN","DA 000003 .D8  R63  2002","X004636410","Dugdale and Hollar : history illustrated /","Roberts, Marion,",2002,TRUE
"39","ALDERMAN","DA 000003 .D8  W55  2009","X030276810","William Dugdale, historian, 1605-1686 : his life, his writings and his county /","",2009,FALSE
"40","ALDERMAN","DA 000003 .F65  A3  2015","X031738926","My history : a memoir of growing up /","Fraser, Antonia,",2015,FALSE
"41","ALDERMAN","DA 000003 .F7  S8  V.000001","X002076222","The life and letters of Edward A. Freeman, D. C. L., LL. D.,","Stephens, W. R. W. (William Richard Wood),",1895,TRUE
"42","ALDERMAN","DA 000003 .F9  B72  2013","X031599890","James Anthony Froude : an intellectual biography of a Victorian prophet /","Brady, Ciaran.",2013,FALSE
"43","ALDERMAN","DA 000003 .F9  M37  2005","X004905013","J. Anthony Froude : the last undiscovered great Victorian : a biography /","Markus, Julia,",2005,FALSE
"44","ALDERMAN","DA 000003 .F9  T46  1987","X001295046","James Anthony Froude on nation and empire : a study in Victorian racialism /","Thompson, Thomas W. (Thomas Walter),",1987,TRUE
"45","ALDERMAN","DA 000003 .G5  G54  1984","X000864547","Gildas : new approaches /","",1984,TRUE
"46","ALDERMAN","DA 000003 .G7  A4  1901A","X004813361","Letters of John Richard Green;","Green, John Richard,",1901,FALSE
"47","ALDERMAN","DA 000003 .H28  A3  2014","X031648254","Correspondance et écrits de guerre : 1914-1918 /","Halévy, Elie,",2014,FALSE
