"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","DC 000003 .C38  1964  T.000003","X030591530","Négociations de la France dans le Levant ;","Charrière, Ernest,",1964,TRUE
"2","ALDERMAN","DC 000003 .C6  F749  T.000003","X031915659","Les olim ou registres des arrêts rendus par la Cour du roi, sous les régnes de Saint Louis, de Philippe le Hardi, de Philippe le Bel, de Louis le Hutin et de Philippe le Long,","France. Parlement (Paris)",1839,TRUE
"3","ALDERMAN","DC 000003 .F78  V.39","X030150929","L'intendance de Lorraine et Barrois à la fin du XVIIe siècle : édition critique du mémoire ""pour l'instruction du duc de Bourgogne"" /","Laperche-Fournel, Marie-José.",2006,TRUE
"4","ALDERMAN","DC 000003 .F78  V.40  T.000001","X030574933","L'intendance de Paris à la fin du XVIIe siècle : édition critique du mémoire ""Pour l'instruction du duc de Bourgogne"" /","Boislisle, Arthur André Gabriel Michel de,",2008,TRUE
"5","ALDERMAN","DC 000003 .F78  V.43  T.000001","X031637683","La grande généralité de Montauban sous Louis XIV : Quercy, Rouergue, Gascogne, Pays de Foix : d'après le Mémoire pour l'instruction du duc de Bourgogne (1699) et son complément par A. Cathala-Coture (1713) /","",2014,TRUE
"6","ALDERMAN","DC 000003 .G7  T.000007","X030232105","Les grandes chroniques de France, publiées pour la Société de l'histoire de France","",1920,TRUE
"7","ALDERMAN","DC 000003 .P49  SER.000002 T.000068","X032049769","Collection des mémoires relatifs à l'histoire de France ... [sér. 1] t. 1-52, 1819-26; [sér. 2] t. 1-78, 1820-29.","Petitot, (Claude-Bernard),",1819,TRUE
"8","ALDERMAN","DC 000007 .T63  1991  V.000003","X004879841","Oeuvres /","Tocqueville, Alexis de,",1991,TRUE
"9","ALDERMAN","DC 000014 .B78  2016","X031798327","Trésor du terroir : les noms de lieux de la France /","Brunet, Roger,",2016,FALSE
"10","ALDERMAN","DC 000016 .C37  1994","X002532442","The road from the past : traveling through history in France /","Caro, Ina.",1994,FALSE
"11","ALDERMAN","DC 000016 .P38  1985","X001058417","The Penguin guide to France /","",1985,FALSE
"12","ALDERMAN","DC 000016 .T46  1995","X002701471","France without reservations : an impromptu travel guide /","Thompson, Maurice K.",1995,FALSE
"13","ALDERMAN","DC 000017 .M57  1987B","X001256582","The Mitterand experiment : continuity and change in modern France /","",1987,FALSE
"14","ALDERMAN","DC 000017 .P63  2014","X031641773","Place and locality in modern France /","",2014,FALSE
"15","ALDERMAN","DC 000020 .B83  2013","X031740697","Impressions de France /","Bublex, Alain,",2013,FALSE
"16","ALDERMAN","DC 000020 .C6  1995","X031719799","Mon paysage : le paysage préféré des Français /","Clergue, Lucien.",1995,FALSE
"17","ALDERMAN","DC 000020 .D473  2016","X031741243","Les habitants /","Depardon, Raymond,",2016,FALSE
"18","ALDERMAN","DC 000020 .F735  2017","X031841973","La France en albums : XIXe-XXIe siècles /","",2017,FALSE
"19","ALDERMAN","DC 000020 .H413  1966","X006143565","The great pilgrimage of the Middle Ages: the road to St. James of Compostela.","Hell, Vera.",1966,FALSE
"20","ALDERMAN","DC 000020.3 .A83  2008","X030522487","Quand les monuments construisaient la nation : ie service des monuments historiques de 1830 à 1940 /","Auduc, Arlette.",2008,FALSE
"21","ALDERMAN","DC 000020.3 .L38  2003","X004758885","Grandeur et misère du patrimoine, d'André Malraux à Jacques Duhamel (1959-1973) /","Laurent, Xavier,",2003,FALSE
"22","ALDERMAN","DC 000020.3 .P49  2009","X030841862","Photographier le territoire : journée d'étude du 2 décembre 2008, Région Ile-de-France.","",2009,FALSE
"23","ALDERMAN","DC 000020.5 .B73  1986  V.000002","X001226186","L'identité de la France /","Braudel, Fernand.",1986,TRUE
"24","ALDERMAN","DC 000020.5 .B7313  1988  V.000001","X001586827","The identity of France /","Braudel, Fernand.",1988,TRUE
"25","ALDERMAN","DC 000020.5 .R63  2007","X030262750","The discovery of France : a historical geography from the Revolution to the First World War /","Robb, Graham,",2007,FALSE
"26","ALDERMAN","DC 000020.7 .F74  2001","X031822412","Portrait de la France : villes et régions /","Frémont, Armand.",2001,FALSE
"27","ALDERMAN","DC 000025 .S46  1979","X000069618","Travels through France and Italy /","Smollett, T. (Tobias),",1979,FALSE
"28","ALDERMAN","DC 000026 .M87  2012","X031603536","Travels in revolutionary France & A journey across America /","Morgan, George Cadogan,",2012,FALSE
"29","ALDERMAN","DC 000028 .J27  1983","X000789166","A little tour in France /","James, Henry,",1983,FALSE
"30","ALDERMAN","DC 000029.3 .A35  2018","X032209190","Le tour de la France par deux enfants d'aujourd'hui /","Adrian, Pierre,",2018,FALSE
"31","ALDERMAN","DC 000029.3 .C35  1981","X031614772","Journal d'un voyage en France /","Camus, Renaud,",1981,FALSE
"32","CLEMONS","DC 000029.3 .C373  2011","X030950671","Paris to the past : traveling through French history by train /","Caro, Ina.",2011,FALSE
"33","CLEMONS","DC 000029.3 .C67  2007","X030356064","Autonauts of the cosmoroute : a timeless voyage from Paris to Marseilles /","Cortázar, Julio.",2007,FALSE
"34","ALDERMAN","DC 000029.3 .D38  2014","X031657164","Le tour de la France, exactement /","Daudet, Lionel,",2014,FALSE
"35","ALDERMAN","DC 000029.3 .L32  1977","X031199482","Chemin faisant : mille kilomètres à pied à travers la France [suivi de La mémoire des routes] /","Lacarrière, Jacques,",1977,FALSE
"36","ALDERMAN","DC 000029.3 .M48  2018","X032210415","Voyage en France buissonnière : récit /","Meunier, Louis",2018,FALSE
"37","ALDERMAN","DC 000029.3 .M49  2014","X031716821","Les gens de mon pays /","Meyer, Philippe,",2014,FALSE
"38","CLEMONS","DC 000029.3 .R367  2007","X030200344","French by heart : an American family's adventures in La Belle France /","Ramsey, Rebecca S.",2007,FALSE
"39","ALDERMAN","DC 000029.3 .R64  2004","X030811170","Chemins d'eau /","Rolin, Jean.",2004,FALSE
"40","ALDERMAN","DC 000029.3 .R68  2001","X030831764","On a marché sur la méridienne : de la mer du Nord aux Pyrénées /","Roux, Emmanuel de.",2001,FALSE
"41","ALDERMAN","DC 000029.3 B47  2013","X031600693","La Mission photographique de la DATAR : un laboratoire du paysage contemporain /","Bertho, Rafaële,",2013,FALSE
"42","ALDERMAN","DC 000033 .A34  2003","X004779485","Francais! : notre histoire, nos passions /","Aderhold, Carl.",2003,FALSE
"43","ALDERMAN","DC 000033 .A3813  1993","X002329493","The French Republic : 1879-1992 /","Agulhon, Maurice.",1993,FALSE
"44","ALDERMAN","DC 000033 .A5935  2010","X030774343","Intellectuals, culture and public policy in France : approaches from the left /","Ahearne, Jeremy.",2010,FALSE
"45","ALDERMAN","DC 000033 .A864  2007","X030278717","At the border : margins and peripheries in modern France /","",2007,FALSE
"46","ALDERMAN","DC 000033 .A87  1996","X004048220","Taste and power : furnishing Modern France /","Auslander, Leora.",1996,FALSE
"47","ALDERMAN","DC 000033 .B35  2008","X030473685","France /","Baycroft, Timothy.",2008,FALSE
"48","ALDERMAN","DC 000033 .C563  2002","X004553113","The classical heritage in France /","",2002,FALSE
"49","ALDERMAN","DC 000033 .C814  2002","X004608627","La culture de masse en France : de la Belle Epoque à aujourd'hui /","",2002,FALSE
"50","ALDERMAN","DC 000033 .D33","X001666277","Society and culture in early modern France : eight essays /","Davis, Natalie Zemon,",1975,FALSE
"51","ALDERMAN","DC 000033 .D793  1964","X000314358","A history of French civilization","Duby, Georges.",1964,FALSE
"52","ALDERMAN","DC 000033 .E38  2014","X031724656","They eat horses, don't they? : the truth about the French /","Eatwell, Piu Marie.",2014,FALSE
"53","ALDERMAN","DC 000033 .F74  2001","X004608138","French culture and society : the essentials /","",2001,FALSE
"54","ALDERMAN","DC 000033 .F76  1992","X002164017","Excusez-moi d'être français /","Frossard, André.",1992,FALSE
"55","ALDERMAN","DC 000033 .F777  2003","X004702258","French civilization and its discontents : nationalism, colonialism, race /","",2003,FALSE
"56","ALDERMAN","DC 000033 .F7774  2017","X031761319","French cultural studies for the twenty-first century /","",2017,FALSE
"57","ALDERMAN","DC 000033 .G48  1994","X002453635","The past in French history /","Gildea, Robert.",1994,FALSE
"58","ALDERMAN","DC 000033 .G84  2000","X031759376","Bruits et sons dans notre histoire : essai sur la reconstitution du paysage sonore /","Gutton, Jean-Pierre",2000,FALSE
"59","ALDERMAN","DC 000033 .H555  1997  V.000003","X004268420","Histoire culturelle de la France /","",1997,TRUE
"60","ALDERMAN","DC 000033 .H56  1987","X001282341","Histoire de France /","",1987,FALSE
"61","ALDERMAN","DC 000033 .J66  1994","X006095276","The Cambridge illustrated history of France /","Jones, Colin,",1994,FALSE
"62","ALDERMAN","DC 000033 .L6513  1996  V.000001","X004189092","Realms of memory /","",1996,TRUE
"63","ALDERMAN","DC 000033 .L6513  2001  V.000004","X031196818","Rethinking France = Les lieux de mémoire /","",2001,TRUE
"64","ALDERMAN","DC 000033 .M35  2006","X030036628","Cette France qu'on oublie d'aimer /","Makine, Andreï,",2006,FALSE
"65","ALDERMAN","DC 000033 .M8813  1985","X000969682","Popular culture and elite culture in France, 1400-1750 /","Muchembled, Robert,",1985,FALSE
"66","ALDERMAN","DC 000033 .M9","X000068302","Culture populaire et culture des élites dans la France moderne (XVe-XVIIIe siècles) : essai /","Muchembled, Robert,",1978,FALSE
"67","ALDERMAN","DC 000033 .N67  2011","X031199886","Présent, nation, mémoire /","Nora, Pierre,",2011,FALSE
"68","ALDERMAN","DC 000033 .R43  2008","X030574949","République des lettres, République des arts : mélanges offerts à  Marc Fumaroli, de l'Académie Française /","",2008,FALSE
"69","ALDERMAN","DC 000033 .S2513  2018","X031839338","The end of the French intellectual? : from Zola to Houellebecq /","Sand, Shlomo,",2018,FALSE
"70","ALDERMAN","DC 000033 .T5  1997","X006008009","Ils apprenaient la France : l'exaltation des régions dans le discours patriotique /","Thiesse, Anne-Marie.",1997,FALSE
"71","ALDERMAN","DC 000033 .V535  2008","X030471028","Views from the margins : creating identities in modern France /","",2008,FALSE
"72","ALDERMAN","DC 000033 .W37  1991","X001904317","My France : politics, culture, myth /","Weber, Eugen,",1991,FALSE
"73","CLEMONS","DC 000033 2  T5  1964","X000188221","Medieval France, a companion to French studies.","Tilley, Arthur Augustus,",1964,TRUE
"74","ALDERMAN","DC 000033.15 .B79  1986","X001217294","The King and the city in the Parisian royal entry ceremony : politics, ritual, and art in the Renaissance /","Bryant, Lawrence M. (Lawrence McBride)",1986,FALSE
"75","ALDERMAN","DC 000033.15 .C85  2011","X031609145","Cultures de cour, cultures du corps : XIVe- XVIIIe siècle /","",2011,FALSE
"76","ALDERMAN","DC 000033.15 .G8","X001097818","Les Entrées royales françaises de 1328 à 1515,","Guenée, Bernard.",1968,FALSE
"77","ALDERMAN","DC 000033.15 .J3  1995  V.000002","X004400049","Ordines coronationis Franciae : texts and ordines for the coronation of Frankish and French kings and queens in the Middle Ages /","",1995,TRUE
"78","ALDERMAN","DC 000033.2 .B3413  2009","X030469453","The serf, the knight, and the historian /","Barthélemy, Dominique,",2009,FALSE
"79","ALDERMAN","DC 000033.2 .B413  1991","X001982110","The birth of an ideology : myths and symbols of nation in late- medieval France /","Beaune, Colette.",1991,FALSE
"80","CLEMONS","DC 000033.2 .B59  1998","X004210726","Strong of body, brave and noble : chivalry and society in medieval France /","Bouchard, Constance Brittain.",1998,FALSE
"81","ALDERMAN","DC 000033.2 .B76  1991","X002079628","The monarchy of Capetian France and royal ceremonial /","Brown, Elizabeth A. R.",1991,FALSE
