"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","DD 000002 .T4  BD.39  2011","X030968814","Holocaust und Trauma : kritische Perspektiven zur Entstehung und Wirkung eines Paradigmas /","",2011,TRUE
"2","ALDERMAN","DD 000002 .T4  BD.42  2014","X031637730","Politische Gewalt in Deutschland : Ursprünge - Ausprägungen - Konsequenzen /","",2014,TRUE
"3","ALDERMAN","DD 000002 .T4  BD.44","X031757428","Deutsche Offiziere : Militarismus und die Akteure der Gewalt /","",2016,TRUE
"4","ALDERMAN","DD 000003 .M8  A6  1978  T.000001","X002718026","Monumenta Germaniae historica inde ab anno Christi quingentesimo usque ad annum millesimum et quingentesimum.","",1978,TRUE
"5","ALDERMAN","DD 000003 .M8  A8  T.000004 PT.000001 001981","X002718127","Venanti Honori Clementiani Fortvnati presbyteri italici Opera poetica /","Fortunatus, Venantius Honorius Clementianus,",1981,TRUE
"6","ALDERMAN","DD 000003 .M8  D53  BD.18  T.000002","X030621961","Die Urkunden Heinrich Raspes und Wilhelms von Holland /","",1989,TRUE
"7","ALDERMAN","DD 000003 .M8  D6  2016  T.000001","X031821921","Die Urkunden Ludwigs des Frommen /","",2016,TRUE
"8","ALDERMAN","DD 000003 .M8  E6  T.000002","X000383216","Gregorii I papae Registrum epistolarum /","Catholic Church. Pope, 590-604 (Gregorius I)",1957,TRUE
"9","ALDERMAN","DD 000003 .M8  F58  BD.000016","X030884228","Die Admonitio generalis Karls des Grossen /","Charlemagne,",2012,TRUE
"10","ALDERMAN","DD 000003 .M8  F6  T.000010 T.000001","X031726677","Glossar zur Buch'schen Glosse /","",2015,TRUE
"11","ALDERMAN","DD 000003 .M8  S4  T.37","X030122724","Die Reichschronik des Annalista Saxo /","Nass, Klaus.",2006,TRUE
"12","ALDERMAN","DD 000003 .M8  S415  N.S. T.22","X030462745","Catalogus praesulum Laureacensium et Pataviensium /","Ebendorfer, Thomas,",2008,TRUE
"13","ALDERMAN","DD 000003 .M8  S415  N.S. T.24  PT.000001","X030570128","Historia Austrialis /","Pius",2009,TRUE
"14","ALDERMAN","DD 000003 .M8  S42  T.000002","X000425670","Hamburgische Kirchengeschichte,","Adam,",1917,TRUE
"15","ALDERMAN","DD 000003 .M8  S42  T.000039","X030575300","Historia ecclesiastica nova : nebst Fortsetzungen bis 1329 /","Bartholomew,",2009,TRUE
"16","ALDERMAN","DD 000003 .M8  S5  T.1  PARS1","X001495784","Gregorii Episcopi Turonensis Libri historiarum X","Gregory,",1937,TRUE
"17","ALDERMAN","DD 000003 .M8  S5  T.1  PARS2","X000336359","Miracula et opera minora. /","Gregory,",1969,TRUE
"18","ALDERMAN","DD 000003 .M83  BD.000001-000003","X030513884","Studien zur Briefliteratur Deutschlands im elften Jahrhundert. Unveränderter Nachdruck.","Erdmann, Carl,",1952,TRUE
"19","ALDERMAN","DD 000003 .M83  BD.000016 PT.000002 001959","X030513411","Die Hofkapelle der deutschen Könige.","Fleckenstein, Josef.",1959,TRUE
"20","ALDERMAN","DD 000003 .M83  BD.000036","X002166470","Fines terrae : die Enden der Erde und die vierte Kontinent auf mittelalterlichen Weltkarten /","Brincken, Anna-Dorothee von den.",1992,TRUE
"21","ALDERMAN","DD 000003 .M83  BD.53  T.000001","X004878570","Schreibschulen des 10. und des 11. Jahrhunderts im Südwesten des Deutschen Reichs /","Hoffmann, Hartmut.",2004,TRUE
"22","ALDERMAN","DD 000003 .M83  BD.58","X030508501","Kirche und Kirchenrecht um 900 : die Bedeutung der spätkarolingischen Zeit für Tradition und Innovation im kirchlichen Recht /","Hartmann, Wilfried,",2008,TRUE
"23","ALDERMAN","DD 000003 .M83  BD.64","X030876779","Marken und Markgrafen : Studien zur Grenzsicherung durch die fränkisch-deutschen Herrscher /","Stieldorf, Andrea.",2012,TRUE
"24","ALDERMAN","DD 000003 .M83  BD.73","X032084576","Schwabenspiegel und Augsburger Stadtrecht /","Wüsthof, Lucas,",2017,TRUE
"25","ALDERMAN","DD 000003 .M83  BD.74","X032211953","The continuations of Frutolf of Michelsberg's Chronicle /","McCarthy, Thomas John Henry,",2018,TRUE
"26","ALDERMAN","DD 000003 .M83  M6  BD.10  T.000001","X032084579","Codex Udalrici /","",2017,TRUE
"27","ALDERMAN","DD 000003 .R343  V.000001 BD.000003 T.000004 LFG.000001","X031582480","Die Regesten des Kaiserreichs unter den Karolingern, 751-918 (926) /","",1991,TRUE
"28","ALDERMAN","DD 000003 .R343  V.000004 ABT.000004 T.000004 LFG.000005","X032085341","Papstregesten 1124-1198.","",2003,TRUE
"29","CLEMONS","DD 000005 .H56","X006025409","The historical essays of Otto Hintze /","Hintze, Otto,",1975,FALSE
"30","ALDERMAN","DD 000005 .M4253  1962  V.000003","X030513889","Werke.","Meinecke, Friedrich,",1962,TRUE
"31","ALDERMAN","DD 000010 .C76  G7  2009","X030277483","The Great War and German memory : society, politics, and psychological trauma, 1914-1945 /","Crouthamel, Jason.",2009,TRUE
"32","ALDERMAN","DD 000017 .M33  2014","X031705206","Germany : memories of a nation /","MacGregor, Neil,",2014,FALSE
"33","ALDERMAN","DD 000017 .M55  2017","X031825420","The Germans and Europe : a personal frontline history /","Millar, Peter,",2017,FALSE
"34","ALDERMAN","DD 000020 .M46  2010","X030625501","Memorialization in Germany since 1945 /","",2010,FALSE
"35","ALDERMAN","DD 000021 .H36  2015","X031705677","Mapping the Germans : statistical science, cartography, and the visualization of the German nation, 1848-1914 /","Hansen, Jason D.",2015,FALSE
"36","ALDERMAN","DD 000021 .H47  1997","X004082345","Under the map of Germany : nationalism and propaganda 1918-1945 /","Herb, G. Henrik,",1997,FALSE
"37","ALDERMAN","DD 000021.3 .S46  2000","X004478716","Atlas of a tropical Germany : essays on politics and culture, 1990-1998 /","?enocak, Zafer,",2000,FALSE
"38","ALDERMAN","DD 000043 .B8714  2006","X031602648","Allemagne, un voyage /","Büscher, Wolfgang,",2006,FALSE
"39","ALDERMAN","DD 000053 .O4  1989","X001774981","The early Roman frontier in the upper Rhine area : assimilation and acculturation on a Roman frontier /","Okun, Marcia L.",1989,FALSE
"40","ALDERMAN","DD 000053 .R336  2000","X004434372","Der Limes : die deutsche Limes-Strasse vom Rhein bis zur Donau /","Rabold, Britta.",2000,FALSE
"41","ALDERMAN","DD 000055 .B78  2003","X004714321","Germanic equal arm brooches of the migration period : a study of style, chronology and distribution, including a full catalogue of finds and contexts /","Bruns, Dorothee.",2003,FALSE
"42","ALDERMAN","DD 000061 .C85  2002","X004662762","Culture and crisis : the case of Germany and Sweden /","",2002,FALSE
"43","ALDERMAN","DD 000061 .K8  1980  BD.000003","X031871457","Geschichte des Alltags des deutschen Volkes, 1600-1945 : Studien /","Kuczynski, Jürgen.",1980,TRUE
"44","ALDERMAN","DD 000061 .W39  2010","X030769999","The German genius : Europe's third renaissance, the second scientific revolution, and the twentieth century /","Watson, Peter,",2010,FALSE
"45","CLEMONS","DD 000061 .W545  2010","X030694874","Germania : in wayward pursuit of the Germans and their history /","Winder, Simon.",2010,FALSE
"46","ALDERMAN","DD 000061 .W67  2002","X004558537","The work of memory : new directions in the study of German society and culture /","",2002,FALSE
"47","ALDERMAN","DD 000061.8 .B55  2002","X004587834","Heimat : a critical theory of the German idea of homeland /","Blickle, Peter.",2002,FALSE
"48","ALDERMAN","DD 000061.8 .C69  2010","X030941597","The Indo-German identification : reconciling South Asian origins and European destinies, 1765-1885 /","Cowan, Robert,",2010,FALSE
"49","ALDERMAN","DD 000061.8 .G465  2012","X031187806","Germany in the loud twentieth century : an introduction /","",2012,FALSE
"50","ALDERMAN","DD 000061.8 .U53  2007","X030261341","Un-civilizing processes? : excess and transgression in German society and culture: perspectives debating with Norbert Elias /","",2007,FALSE
"51","ALDERMAN","DD 000064 .B8613  1991","X001963407","Courtly culture : literature and society in the high middle ages /","Bumke, Joachim.",1991,FALSE
"52","CLEMONS","DD 000065 .D8513  1992","X004020330","The society of the Enlightenment : the rise of the middle class and Enlightenment culture in Germany /","Dülmen, Richard van.",1992,FALSE
"53","ALDERMAN","DD 000065 .I34  2009","X030562355","Ideas and cultural margins in early modern Germany : essays in honor of H.C. Erik Midelfort /","",2009,FALSE
"54","ALDERMAN","DD 000065 .I54  1998","X004249508","Infinite boundaries : order, disorder, and reorder in early modern German culture /","",1998,FALSE
"55","ALDERMAN","DD 000065 .J64  2008","X030361072","The German discovery of the world : renaissance encounters with the strange and marvelous /","Johnson, Christine R.,",2008,FALSE
