"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","DE 000001 .C3  V.000003 NO.000001 001946","X002589159","The figure of Dionysos on the Siphnian frieze,","Lenzen, Victor Fritz,",1946,TRUE
"2","ALDERMAN","DE 000001 .L58  1993","X002712204","Tria Lustra: Essays and notes presented to John Pinsent founder and editor of Liverpool Classical Monthly by some of its contributors on the occasion of the 150th issue/","",1993,FALSE
"3","ALDERMAN","DE 000001 .S9  V.000002 002000","X004562878","Syggraph? : materiali e appunti per lo studio della storia e della letteratura antica /","",1998,TRUE
"4","ALDERMAN","DE 000002.5 .A86  1996","X004067866","Aspects of Hellenistic kingship /","",1996,FALSE
"5","ALDERMAN","DE 000002.5 .H47  2017","X031841980","L'héritage grec des colonies romaines d'Orient : interactions culturelles dans les provinces hellénophones de l'empire romain : actes du colloque de Strasbourg, 8-9 novembre 2013 /","",2017,FALSE
"6","ALDERMAN","DE 000002.5 .R48  2005","X004839711","Rethinking the Mediterranean /","",2005,FALSE
"7","ALDERMAN","DE 000003 .C7  1985","X001013383","The Craft of the ancient historian : essays in honor of Chester G. Starr /","",1985,FALSE
"8","ALDERMAN","DE 000003 .D3  V.000001 PT.000001 001932","X031900162","Ancient oil mills and presses /","Drachmann, A. G. (Aage Gerhardt),",1932,TRUE
"9","ALDERMAN","DE 000003 .E2  2008","X030468042","East & west : papers in ancient history presented to Glen W. Bowersock /","",2008,FALSE
"10","ALDERMAN","DE 000003 .G73  2001","X004606308","The Greek East in the Roman context : proceedings of a colloquium organised by The Finnish Institute at Athens ; May 21 and 22, 1999 /","",2001,FALSE
"11","ALDERMAN","DE 000003 .I6  2001","X004555003","Interpreting late antiquity : essays on the postclassical world /","",2001,FALSE
"12","ALDERMAN","DE 000003 .M28  1974  V.000001","X006136503","Mansel'e arma?an.  Mélanges Mansel.","",1974,TRUE
"13","ALDERMAN","DE 000003 .M347  2008","X030464288","Mediterranean passages : readings from Dido to Derrida /","",2008,FALSE
"14","ALDERMAN","DE 000003 .M387","X000700005","Mélanges d'histoire ancienne et d'archéologie offerts à Paul Collart /","",1976,FALSE
"15","ALDERMAN","DE 000003 .M46  1988  V.000008","X002593653","Mélanges Pierre Lévêque /","",1988,TRUE
"16","ALDERMAN","DE 000003 .M48  V.000006","X002264550","Conoscenze etniche e rapporti di convivenza nell'antichità /","",1979,TRUE
"17","ALDERMAN","DE 000003 .M48  V.000010","X001106070","I Santuari e la guerra nel mondo classico /","",1984,TRUE
"18","ALDERMAN","DE 000003 .M48  V.000015","X001861269","Fenomeni naturali e avvenimenti storici nell'antichità /","",1989,TRUE
"19","ALDERMAN","DE 000003 .M48  V.000016","X002049156","""Dulce et decorum est pro patria mori"" : la morte in combattimento nell'antichità /","",1990,TRUE
"20","ALDERMAN","DE 000003 .M48  V.20","X002653523","Emigrazione e immigrazione nel mondo antico /","",1994,TRUE
"21","ALDERMAN","DE 000003 .M48  V.23","X004236837","Amnistia, perdonno e vendetta nel mondo antico /","",1997,TRUE
"22","ALDERMAN","DE 000003 .M48  V.24","X004287885","Responsabilità, perdono e vendetta nel mondo antico /","",1998,TRUE
"23","ALDERMAN","DE 000003 .M48  V.25","X004532591","Fazioni e congiure nel mondo antico /","",1999,TRUE
"24","ALDERMAN","DE 000003 .M52  2002  V.000002","X004773761","Rome, the Greek world, and the East /","Millar, Fergus.",2002,TRUE
"25","ALDERMAN","DE 000003 .N6","X000692177","La Notion du divin depuis Homère jusqu'à Platon.","",1955,FALSE
"26","ALDERMAN","DE 000003 .P43  1981","X000616576","Pegasus : classical essays from the University of Exeter /","",1981,FALSE
"27","ALDERMAN","DE 000003 .S69  2012","X031582426","Sozidai?ushchai?a vernost? : k 90-letii?u A.A. Takho-Godi.","",2012,FALSE
"28","ALDERMAN","DE 000003 .S7  1994","X002549748","Storia poesia e pensiero nel mondo antico : studi in onore di Marcello Gigante.","",1994,FALSE
"29","ALDERMAN","DE 000003 .T73  2000","X004607784","Tra Orfeo e Pitagora : origini e incontri di culture nell'antichità : atti dei seminari napoletani 1996-1998 /","",2000,FALSE
"30","ALDERMAN","DE 000004 .H455  2006","X030122523","Vom hellenistischen Osten zum römischen Westen : ausgewählte Schriften zur Alten Geschichte /","Heinen, Heinz,",2006,FALSE
"31","ALDERMAN","DE 000005 .B34  001885 V.000001","X031915859","Denkmäler des klassischen Altertums zur erläuterung des lebens der Griechen und Römer in Religion, kunst und sitte.","Baumeister, A. (August),",1885,TRUE
"32","ALDERMAN","DE 000005 .D532  2016","X031797954","Dictionnaire de la Méditerranée /","",2016,FALSE
"33","ALDERMAN","DE 000005 .L564  1898","X031826723","Classical dictionary : containing a copious account of all the proper names mentioned in ancient authors : with the value of coins, weights, and measures used among the Greeks and Romans : and a chronological table /","Lemprière, John,",1898,FALSE
"34","ALDERMAN","DE 000005 .L5817  1992","X030118357","Slovar? antichnosti /","",1992,FALSE
"35","ALDERMAN","DE 000005 .O9  1949","X030238041","The Oxford classical dictionary,","",1949,FALSE
"36","ALDERMAN","DE 000005 .O9  1970","X000448720","The Oxford classical dictionary,","",1970,FALSE
"37","ALDERMAN","DE 000005 .O9  1996","X004066254","The Oxford classical dictionary /","",1996,FALSE
"38","ALDERMAN","DE 000005 .O9  2012","X030856525","The Oxford classical dictionary.","",2012,FALSE
"39","ALDERMAN","DE 000005 .O92  1998","X004268109","The Oxford companion to classical civilization /","",1998,FALSE
"40","ALDERMAN","DE 000005 .O94  2014","X031706475","The Oxford companion to classical civilization /","",2014,FALSE
"41","ALDERMAN","DE 000005 .O95  2010  V.4","X030720566","The Oxford encyclopedia of ancient Greece and Rome /","",2010,TRUE
"42","ALDERMAN","DE 000005 .S672  1927","X001946566","A smaller classical dictionary.","Smith, William,",1934,FALSE
"43","ALDERMAN","DE 000005 .S7  1849  V.000003","X004965713","Dictionary of Greek and Roman biography and mythology.","Smith, William,",1849,TRUE
