"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","DF 000013 .C57","X000544845","Classical contributions : studies in honour of Malcolm Francis McGregor /","",1981,FALSE
"2","ALDERMAN","DF 000013 .G46  1991","X002113680","Georgica : Greek studies in honour of George Cawkwell /","",1991,FALSE
"3","ALDERMAN","DF 000014 .P75  1994","X002564523","Essays in Greek history /","Pritchett, W. Kendrick (William Kendrick),",1994,FALSE
"4","ALDERMAN","DF 000014 .R6  V.000011/000012","X004046146","Hellenica, recueil d'épigraphie de numismatique et d'antiquités grecques.","Robert, Louis,",1940,TRUE
"5","ALDERMAN","DF 000014 .W3  1958","X000196651","Essays in Greek history.","Wade-Gery, H. T. (Henry Theodore),",1958,FALSE
"6","ALDERMAN","DF 000016 .P44  1994  V.000008","X030121744","Persons of ancient Athens /","",1994,TRUE
"7","ALDERMAN","DF 000027 .F65  2007","X030256739","Following Pausanias : the quest for Greek antiquity /","",2007,FALSE
"8","ALDERMAN","DF 000027 .P383  A595  2005","X030006791","Researcher, traveller, narrator : studies in Pausanias' Periegesis /","Akujärvi, Johanna.",2005,FALSE
"9","ALDERMAN","DF 000027 .P383  A73  1996","X002759773","Pausanias' Greece : ancient artists and Roman rulers /","Arafat, K. W. (Karim W.)",1996,FALSE
"10","ALDERMAN","DF 000027 .P383  H33  1985","X001158153","Pausanias' Guide to ancient Greece /","Habicht, Christian.",1985,FALSE
"11","ALDERMAN","DF 000027 .P383  H33  1998","X004265265","Pausanias' Guide to ancient Greece /","Habicht, Christian.",1998,FALSE
"12","ALDERMAN","DF 000027 .P383  P38  2001","X004551267","Pausanias : travel and memory in Roman Greece /","",2001,FALSE
"13","ALDERMAN","DF 000027 .P383  P74  2007","X030278557","Pausanias : travel writing in ancient Greece /","Pretzler, Maria.",2007,FALSE
"14","ALDERMAN","DF 000027 .P383  P75  1998  V.000002","X004412005","Pausanias Periegetes /","Pritchett, W. Kendrick (William Kendrick),",1998,TRUE
"15","ALDERMAN","DF 000027 .P383  Z59  2006","X030087280","Le iscrizioni nella Periegesi di Pausania : commento ai testi epigrafici /","Zizza, Cesare.",2006,FALSE
"16","ALDERMAN","DF 000027 .P4  1965  V.000001","X001159380","Pausanias's Description of Greece.","Pausânias",1965,TRUE
"17","ALDERMAN","DF 000027 .P4  1979  V.000001","X000923249","Guide to Greece /","Pausânias (Pseudonym)",1979,TRUE
"18","ALDERMAN","DF 000027 .P6  1982  V.000010","X032084878","Guida della Grecia /","Pausânias (Pseudonym)",1982,TRUE
"19","ALDERMAN","DF 000027 .P614  1992  T.000007 LIVRE 000007","X031656981","Description de la Grèce /","Pausânias (Pseudonym)",1992,TRUE
"20","ALDERMAN","DF 000030 .T73  2007","X030278853","Travel, geography and culture in Ancient Greece, Egypt and the Near East /","",2007,FALSE
"21","ALDERMAN","DF 000077 .A35  2005","X004910505","Handbook to life in ancient Greece /","Adkins, Lesley.",2005,FALSE
"22","ALDERMAN","DF 000077 .A56  1999","X004585836","Gab es das Griechische Wunder? : Griechenland zwischen dem Ende des 6. und der Mitte des 5. Jahrhunderts v. Chr. : Tagungsbeiträge  des 16. Fachsymposiums der Alexander-von-Humboldt-Stiftung, veranstaltet vom 5. bis 9. April 1999 in Freiburg im Breisgau /","Alexander von Humboldt-Stiftung. Symposium",2001,FALSE
"23","ALDERMAN","DF 000077 .A5875  2018","X031840876","Ancient Greece and China compared /","",2018,FALSE
"24","ALDERMAN","DF 000077 .A593  1999","X004295803","Ancient Greeks west and east / edited by Gocha R. Tsetskhladze.","",1999,FALSE
"25","CLEMONS","DF 000077 .A595  1999","X004192169","Ancient Greece : a political, social, and cultural history /","",1999,FALSE
"26","CLEMONS","DF 000077 .A595  2008","X031846377","Ancient Greece : a political, social, and cultural history /","",2008,FALSE
"27","ALDERMAN","DF 000077 .B57  1983","X000956607","""Hellenismus"" : Geschichte und Problematik eines Epochenbegriffs /","Bichler, Reinhold,",1983,FALSE
"28","CLEMONS","DF 000077 .B58  1996","X004047080","The archaeology of Greece : an introduction /","Biers, William R.,",1996,FALSE
"29","ALDERMAN","DF 000077 .B626  2012","X031595149","The complete archaeology of Greece : from hunter-gatherers to the 20th century AD /","Bintliff, J. L. (John L.)",2012,FALSE
"30","ALDERMAN","DF 000077 .B639  2018","X031838513","City and empire in the age of the successors : urbanization and social response in the making of the Hellenistic kingdoms /","Boehm, Ryan,",2018,FALSE
"31","ALDERMAN","DF 000077 .B936  1998","X004224704","The Greeks and Greek civilization /","Burckhardt, Jacob,",1998,FALSE
"32","ALDERMAN","DF 000077 .B9423","X000188387","History of Greek culture.","Burckhardt, Jacob,",1963,FALSE
