"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","DG 000012 .A52  V.21","X002313262","Janus and the bridge.","Holland, Louise Adams.",1961,TRUE
"2","ALDERMAN","DG 000012 .A52  V.25","X000288665","Dancing in chains : the stylistic unity of the comoedia palliata /","Wright, John,",1974,TRUE
"3","ALDERMAN","DG 000012 .A52  V.28","X000221412","Pompeii : the electoral programmata, campaigns and politics, A.D. 71-79 /","Franklin, James L.",1980,TRUE
"4","ALDERMAN","DG 000012.5 .P37  1985  V.000003","X001020130","Papers in Italian archaeology IV : the Cambridge Conference /","",1985,TRUE
"5","ALDERMAN","DG 000012.5 .P65  2005","X030006031","Politica e cultura in Roma antica : atti dell'incontro di studio in ricordo di Italo Lana, Torino, 16-17 ottobre 2003 /","",2005,FALSE
"6","ALDERMAN","DG 000013 .F73  2013  V.000001","X031656515","The fragments of the Roman historians /","",2013,TRUE
"7","ALDERMAN","DG 000013 .L4  1966  V.000002","X030152736","Roman civilization; [sourcebooks]","Lewis, Naphtali",1966,TRUE
"8","ALDERMAN","DG 000013 .L4  1990  V.000002","X001859889","Roman civilization : selected readings /","",1990,TRUE
"9","ALDERMAN","DG 000014 .E87","X000051834","Essays on Roman culture : the Todd memorial lectures /","",1976,FALSE
"10","ALDERMAN","DG 000014 .H66  2002  V.000001","X004680690","Hommages à Carl Deroux /","",2002,TRUE
"11","ALDERMAN","DG 000014 .I83  1988","X001520274","Italia : omnium terrarum alumna : la civiltà dei Veneti, Reti, Liguri, Celti, Piceni, Umbri, Latini, Campani e Iapigi /","",1988,FALSE
"12","ALDERMAN","DG 000014 .M37  2017","X031809895","Materialising Roman histories /","",2017,FALSE
"13","ALDERMAN","DG 000015 .L54  1995","X004020293","Roman questions : selected papers /","Linderski, Jerzy.",1995,FALSE
"14","ALDERMAN","DG 000016 .P685  1929","X000692960","A topographical dictionary of ancient Rome,","Platner, Samuel Ball,",1929,FALSE
"15","ALDERMAN","DG 000016 .P685  2002","X004617633","A topographical dictionary of ancient Rome /","Platner, Samuel Ball,",2002,FALSE
"16","ALDERMAN","DG 000028 .C4613  1989B","X031713021","Roman roads /","Chevallier, Raymond,",1989,FALSE
"17","ALDERMAN","DG 000028 .L45  2016","X031783521","Imperial transportation and communication from the third to the late fourth century : the Golden Age of the cursus publicus /","Lemcke, Lukas",2016,FALSE
"18","ALDERMAN","DG 000028.5 .C676  2000","X006101632","Le strutture di servizio del cursus publicus in Italia : ricerche topografiche ed evidenze archeologiche /","Corsi, Cristina.",2000,FALSE
"19","ALDERMAN","DG 000028.5 .L38  1999","X004356281","The roads of Roman Italy : mobility and cultural change /","Laurence, Ray,",1999,FALSE
"20","ALDERMAN","DG 000029 .A6  V5313  2004","X004790912","The Appian way : [from its foundation to the Middle Ages] /","",2004,TRUE
"21","ALDERMAN","DG 000029 .S2  Z56  2004","X004915606","Sacra Via : twenty years after /","Zió?kowski, Adam",2004,FALSE
"22","ALDERMAN","DG 000030 .T73  2001","X030950515","Travel and geography in the Roman Empire /","",2001,FALSE
