"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","DH 000016 .W36  1930","X031870322","Handbook to Holland, with general and railway maps of Holland ; plans of Middelburg, Dordrecht, Delft, Rotterdam, the Hague, Leiden, Haarlem, Amsterdam, Utrecht, Nijmegen, Kampen, Leeuwarden, Arnhem, the Isle of Walcheren, the Isle of Marken, etc. /","Ward, Lock & Co.",1930,FALSE
"2","ALDERMAN","DH 000036 .S77  1998","X004290287","Touring the low contries : accounts of British travellers, 1660-1720 /","Strien, C. D. van.",1998,FALSE
"3","ALDERMAN","DH 000071 .C47  2017","X031810184","The fullness of time : temporalities of the fifteenth-century Low Countries /","Champion, Matthew S.,",2017,FALSE
"4","ALDERMAN","DH 000071 .F765  1993","X002480914","From revolt to riches : culture and history of the Low Countries, 1500-1700 : international and interdisciplinary perspectives /","",1993,FALSE
"5","ALDERMAN","DH 000071 .I57  1984","X001275306","Papers from the Second Interdisciplinary Conference on Netherlandic Studies held at Georgetown University, 7-9 June 1984 /","Interdisciplinary Conference on Netherlandic Studies",1987,FALSE
"6","ALDERMAN","DH 000071 .N488  1996","X006041632","Tournois, joutes, pas d'armes dans les villes de Flandre à la fin du Moyen Age (1300-1486) /","Neste, Evelyne van den.",1996,FALSE
"7","ALDERMAN","DH 000101 .H88  2007","X030260751","Historical dictionary of the Netherlands /","Koopmans, Joop W.",2007,FALSE
"8","ALDERMAN","DH 000131 .A73  2006","X004903858","A history of the Low Countries /","Arblaster, Paul.",2006,FALSE
"9","ALDERMAN","DH 000131 .G4713  1999","X004255176","History of the Low Countries /","",1999,FALSE
"10","ALDERMAN","DH 000146 .R69  2004","X004864707","Ethnic identity and imperial power : the Batavians in the early Roman Empire /","Roymans, Nico.",2004,FALSE
"11","ALDERMAN","DH 000175 .A76  2015","X031705392","Honor, vengeance, and social trouble : pardon letters in the Burgundian Low Countries /","Arnade, Peter J.,",2015,FALSE
"12","ALDERMAN","DH 000175 .B57  1999","X004323079","The promised lands : the Low Countries under Burgundian rule, 1369-1530 /","Blockmans, Wim,",1999,FALSE
