"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","DJ 000003 .H68  SER.000004 N.000001","X001897258","The correspondence, 1701-1711, of John Churchill, first duke of Marlborough and Anthonie Heinsius, grand pensionary of Holland. Ed. by B. van 't Hoff.","Marlborough, John Churchill,",1951,TRUE
"2","ALDERMAN","DJ 000003 .H68  SER.000005 N.000006","X030528083","Het dagboek van Schermerhorn ; geheim verslag van prof. dr. ir. W. Schermerhorn als voorzitter der Commissie-Generaal voor Nederlands-Indië, 20 september 1946-7 oktober 1947.","Schermerhorn, W. (Willem),",1970,TRUE
"3","ALDERMAN","DJ 000024 .T47  1858A D.000003","X030806184","Het Koningrijk der Nederlanden : voorgesteld in eene reeks van naar de natuur geteekende schilderachtige gezigten /","Terwen, J. L.",1976,TRUE
"4","ALDERMAN","DJ 000030 .B68  2009","X030798998","Boundaries and their meanings in the history of the Netherlands /","",2009,FALSE
"5","ALDERMAN","DJ 000030 .L36  1985","X000909261","The making of the Dutch landscape : an historical geography of the Netherlands /","Lambert, Audrey M.",1985,FALSE
"6","ALDERMAN","DJ 000071 .K49  2007","X030257100","A key to Dutch history : report by the Committee for the Development of the Dutch Canon /","",2007,FALSE
"7","ALDERMAN","DJ 000071 .N41313  2004  V.000003","X004839604","Dutch culture in a European perspective.","",2004,TRUE
"8","ALDERMAN","DJ 000071 .P68","X000378376","Culture and society in the Dutch republic during the 17th century","Price, J. L.",1974,FALSE
"9","ALDERMAN","DJ 000071 .P682  2011","X030816351","Dutch culture in the Golden Age /","Price, J. L.",2011,FALSE
"10","ALDERMAN","DJ 000071 .P684  1996","X006044507","Private domain, public inquiry : families and life-styles in the Netherlands and Europe, 1550 to the present /","",1996,FALSE
"11","ALDERMAN","DJ 000071 .Z913  1963","X000197483","Daily life in Rembrandt's Holland.","Zumthor, Paul,",1963,FALSE
