"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","DK 000001 .K6","X032023244","Kolokol = La Cloche = Die Glocke : Vivos Voco: Organ russkogo osvobozhdenii?a, osnovanny? A.I. Gert?semon (Iskanderom) : Pod redakt?sie? Agentov russkogo dela /","",1933,FALSE
"2","ALDERMAN","DK 000001 .M58  VYP.000014","X030574166","Sbornik state? po istorii SSSR XVI-XVIII vv. /","Gosudarstvenny? istoricheski? muze? (Moscow, Russia)",1941,TRUE
"3","ALDERMAN","DK 000003 .A7  A24  1969  V.000002","X030806228","Akty, otnosi?ashch?esi?a do i?uridicheskago byta drevne? Ross?i /","Russia. Arkheograficheskai?a kommiss?i?a.",1974,TRUE
"4","ALDERMAN","DK 000003 .D56  1991","X002039066","Medieval Russia : a source book, 850-1700 /","",1991,FALSE
"5","CLEMONS","DK 000004 .R52  V.000002","X001309050","Readings in Russian civilization,","Riha, Thomas,",1969,TRUE
"6","ALDERMAN","DK 000004 .T68","X000197489","The development of the USSR: an exchange of views.","Treadgold, Donald W.,",1964,FALSE
"7","ALDERMAN","DK 000018 .R874  2010","X030811086","The Russia reader : history, culture, politics /","",2010,FALSE
"8","ALDERMAN","DK 000018 .S667  2010","X030774098","Space, place, and power in modern Russia : essays in the new spatial history /","",2010,FALSE
"9","ALDERMAN","DK 000018.5 .P67  1989","X001650961","A Portrait of tsarist Russia : unknown photographs from the Soviet Archives /","",1989,FALSE
"10","ALDERMAN","DK 000025 .C9713  1989","X001606075","Empire of the czar : a journey through eternal Russia /","Custine, Astolphe,",1989,FALSE
"11","ALDERMAN","DK 000025 .C97213  2002","X004470192","Letters from Russia /","Custine, Astolphe,",2002,FALSE
"12","ALDERMAN","DK 000025 .C98  1976","X000054547","Custine's eternal Russia : a new edition of Journey for our time /","Custine, Astolphe,",1976,FALSE
"13","ALDERMAN","DK 000025 .C986  K45","X000266553","The Marquis de Custine and his Russia in 1839,","Kennan, George F. (George Frost),",1971,FALSE
"14","ALDERMAN","DK 000027 .S485  2017","X032114728","Madrid-Moscú : notas de viaje, 1933-1934 /","Sender, Ramón José,",2017,FALSE
"15","ALDERMAN","DK 000029 .B8913  1996","X002719837","Journey to the Land of the Flies & other travels /","Buzzi, Aldo.",1996,FALSE
"16","ALDERMAN","DK 000029 .C64  2008","X030457587","Through dark days and white nights : four decades observing a changing Russia : impressions and reflections /","Collins, Naomi F.",2008,FALSE
"17","ALDERMAN","DK 000029 .K313  1994B","X002523503","Imperium /","Kapu?ci?ski, Ryszard.",1994,FALSE
"18","ALDERMAN","DK 000029.2 .K35  2008","X030276637","Strange telescopes /","Kalder, Daniel,",2008,FALSE
"19","ALDERMAN","DK 000032 .B49  1999","X006126196","Beyond the limits : the concept of space in Russian history and culture /","",1999,FALSE
"20","ALDERMAN","DK 000032 .C27  2011","X030743792","Dacha idylls : living organically in Russia's countryside /","Caldwell, Melissa L.,",2011,FALSE
"21","ALDERMAN","DK 000032 .C33  1998","X004296753","The Cambridge Companion to modern Russian culture /","",1998,FALSE
"22","ALDERMAN","DK 000032 .C5268  2000","X004465136","And quiet flows the vodka, or, When Pushkin comes to shove : the curmudgeon's guide to Russian literature and culture, with the devil's dictionary of received ideas, alphabetical reflection on the loathsomeness of Russia, American Academia, and humanity in general /","Chudo, Alicia.",2000,FALSE
"23","ALDERMAN","DK 000032 .D65  2005","X030000199","Domostro? /","",2005,FALSE
"24","ALDERMAN","DK 000032 .E776  2015","X031705961","Everyday life in Russia past and present /","",2015,FALSE
"25","ALDERMAN","DK 000032 .F54  2002","X004633433","Natasha's dance : a cultural history of Russia /","Figes, Orlando.",2002,FALSE
"26","ALDERMAN","DK 000032 .G39  2001","X004562180","Gender in Russian history and culture /","",2001,FALSE
"27","ALDERMAN","DK 000032 .G64  2006","X030109572","Catherine the Great and French philosophers of the Enlightenment : Montesquieu, Voltaire, Rousseau, Diderot and Grim /","Gorbatov, Inna,",2006,FALSE
"28","ALDERMAN","DK 000032 .G763  2000","X004504195","O vozzrenii?akh russkogo naroda /","Gromyko, M. M.",2000,FALSE
"29","ALDERMAN","DK 000032 .I59  2011","X030975639","Interpreting emotions in Russia and Eastern Europe /","",2011,FALSE
"30","ALDERMAN","DK 000032 .K335  2008","X030568768","Sankt-Peterburg : Rossi?skai?a imperii?a protiv rossi?skogo khaosa : k probleme imperskogo soznanii?a v Rossii /","Kantor, V. K. (Vladimir Karlovich)",2008,FALSE
"31","ALDERMAN","DK 000032 .K48  2003","X004817099","Russkoe sobranie : 1900-1917 /","Kir?i?anov, I?U. I. (I?Uri? Il?ich)",2003,FALSE
"32","ALDERMAN","DK 000032 .K967  2018","X032583134","Russian and American cultures : two worlds a world apart /","Kustanovich, Konstantin,",2018,FALSE
"33","ALDERMAN","DK 000032 .L79  2003","X004658163","Summerfolk : a history of the Dacha, 1710-2000 /","Lovell, Stephen,",2003,FALSE
"34","ALDERMAN","DK 000032 .M18  1999","X004270459","Russia under western eyes : from the Bronze Horseman to the Lenin Mausoleum /","Malia, Martin E. (Martin Edward)",1999,FALSE
"35","CLEMONS","DK 000032 .M274  2003","X004660323","How Russia shaped the modern world : from art to anti-semitism, ballet to Bolshevism /","Marks, Steven G. (Steven Gary),",2003,FALSE
"36","ALDERMAN","DK 000032 .M33  2007","X030261323","Madness and the mad in Russian culture /","",2007,FALSE
"37","ALDERMAN","DK 000032 .M62  1989","X001665212","Cultural atlas of Russia and the Soviet Union /","Milner-Gulland, R. R.",1989,FALSE
"38","ALDERMAN","DK 000032 .M62  1989B","X001665246","Atlas of Russia and the Soviet Union /","Milner-Gulland, R. R.",1989,FALSE
"39","ALDERMAN","DK 000032 .M62  1998","X030162854","Russia and the Soviet Union /","Milner-Gulland, R. R.",1991,FALSE
"40","ALDERMAN","DK 000032 .M626  1997","X004053636","The Russians /","Milner-Gulland, R. R.",1997,FALSE
"41","ALDERMAN","DK 000032 .P67  2011","X030880088","Portraits of old Russia : imagined lives of ordinary people, 1300-1725 /","",2011,FALSE
"42","ALDERMAN","DK 000032 .S25  1962","X031794239","Ocherki russko? kul?tury IX-XVII vv. : posobie dli?a uchiteli?a /","Sakharov, A. M. (Anatoli? Mikha?lovich)",1962,FALSE
"43","ALDERMAN","DK 000032 .S475  2010","X030811052","Kakie my, russkie? : 100 voprosov, 100 otvetov : kniga dli?a chtenii?a o russkom nat?sional?nom kharaktere /","Sergeeva, Alla.",2010,FALSE
"44","ALDERMAN","DK 000032 .S688  2012","X030946467","Soviet and post-Soviet identities /","",2012,FALSE
"45","ALDERMAN","DK 000032 .S79  2004","X030337631","Konstanty : slovar? russko? kul?tury /","Stepanov, I?U. S. (I?Uri? Sergeevich),",2004,FALSE
"46","ALDERMAN","DK 000032 .T42  2001","X004545720","Byt russkogo naroda /","Tereshchenko, A. (Aleksandr),",2001,FALSE
