"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","DL 000005 .F47  2016","X031819156","Scandinavians : in search of the soul of the north /","Ferguson, Robert,",2016,FALSE
"2","ALDERMAN","DL 000021 .G72","X000088055","Viking artefacts : a select catalogue /","Graham-Campbell, James.",1980,FALSE
"3","ALDERMAN","DL 000030 .B893  1998","X006088141","Byzantium and Islam in Scandinavia : acts of a symposium at Uppsala University June 15-16 1996 /","",1998,FALSE
"4","ALDERMAN","DL 000030 .N58  1997","X004103421","Nordic experiences : exploration of Scandinavian cultures /","",1997,FALSE
"5","ALDERMAN","DL 000030 .S33  2013","X031646912","Scandinavian colonialism and the rise of modernity : small time agents in a global arena /","",2013,FALSE
"6","ALDERMAN","DL 000031 .F6  1970B","X000741935","The Viking achievement; a survey of the society and culture of early medieval Scandinavia","Foote, Peter,",1970,FALSE
"7","CLEMONS","DL 000031 .F6  1980","X000083665","The Viking achievement : the society and culture of early medieval Scandinavia /","Foote, Peter,",1980,FALSE
"8","ALDERMAN","DL 000031 .J6  1968","X000122125","A history of the Vikings.","Jones, Gwyn,",1968,FALSE
"9","CLEMONS","DL 000031 .J6  1984","X006083126","A history of the Vikings /","Jones, Gwyn,",1984,FALSE
"10","ALDERMAN","DL 000031 .P34  1995","X004161711","Chronicles of the Vikings : records, memorials and myths /","Page, R. I. (Raymond Ian)",1995,FALSE
"11","ALDERMAN","DL 000031 .S54  2018","X031813553","Laughing shall I die : lives and deaths of the great Vikings /","Shippey, T. A.,",2018,FALSE
"12","ALDERMAN","DL 000031 .W54  1970","X000424233","The Vikings and their origins; Scandinavia in the first millennium","Wilson, David M. (David Mackenzie),",1970,FALSE
"13","ALDERMAN","DL 000041 .B66  2016","X031783025","The almost nearly perfect people : behind the myth of the Scandinavian utopia /","Booth, Michael",2016,FALSE
"14","ALDERMAN","DL 000046 .C36  2003  V.000002","X032221122","The Cambridge history of Scandinavia.","",2003,TRUE
"15","CLEMONS","DL 000046 .D43","X000153605","A history of Scandinavia : Norway, Sweden, Denmark, Finland, and Iceland /","Derry, T. K. (Thomas Kingston),",1979,FALSE
"16","ALDERMAN","DL 000046 .D43  1979B","X000005226","A history of Scandinavia : Norway, Sweden, Denmark, Finland, and Iceland /","Derry, T. K. (Thomas Kingston),",1979,FALSE
"17","ALDERMAN","DL 000046 .K46  2000","X004435326","The Soul of the north : a social, architectural, and cultural history of the Nordic countries (1700-1940)","Kent, Neil.",1999,FALSE
"18","ALDERMAN","DL 000046 .M25  2017","X031796790","Les ports des mers nordiques à l?époque viking (VIIe-Xe siècle) /","Malbos, Lucie.",2017,FALSE
"19","ALDERMAN","DL 000046 .N7  1985","X001158767","The North Sea : a highway of economic and cultural exchange : character, history /","",1985,FALSE
"20","ALDERMAN","DL 000046 .N7  2000","X004478655","Scandinavia since 1500 /","Nordstrom, Byron J.",2000,FALSE
"21","ALDERMAN","DL 000049 .B34  2014","X031627180","Cross & scepter : the rise of the Scandinavian kingdoms from the Vikings to the Reformation /","Bagge, Sverre,",2014,FALSE
"22","ALDERMAN","DL 000059 .D4  E8413  1982","X000814993","The Baltic : balance and security /","Espersen, Mogens,",1982,FALSE
"23","ALDERMAN","DL 000059 .O87  1986","X001244583","Der Ost- und Nordseeraum : Politik -- Ideologie -- Kultur vom 12. bis zum 17. Jahrhundert /","",1986,FALSE
"24","ALDERMAN","DL 000059 .U6  L86","X031863735","America, Scandinavia, and the Cold War, 1945-1949 /","Lundestad, Geir,",1980,TRUE
"25","ALDERMAN","DL 000061 .H36  2007","X030279006","Rulers, warriors, traders, clerics : the central Sahel and the North Sea, 800-1500 /","Haour, Anne.",2007,FALSE
"26","ALDERMAN","DL 000061 .P46  1991","X001856619","People and places in northern Europe, 500-1600 : essays in honour of Peter Hayes Sawyer /","",1991,FALSE
"27","ALDERMAN","DL 000061 .S29  1993","X002421329","Medieval Scandinavia : from conversion to Reformation, circa 800-1500 /","Sawyer, Birgit.",1993,FALSE
"28","ALDERMAN","DL 000061 .S325  2004","X004789726","Scandinavia and Europe 800-1350 : contact, conflict, and coexistence /","",2004,FALSE
"29","ALDERMAN","DL 000065 .A68  2013","X031636114","Vikings in the East : essays on contacts along the road to Byzantium (800-1100) /","Androshchuk, F. O. (Fedir Oleksandrovych)",2013,FALSE
"30","ALDERMAN","DL 000065 .A723  1961A","X004326462","The Vikings.","Arbman, Holger,",1961,FALSE
"31","ALDERMAN","DL 000065 .B713  1965","X000363108","The Vikings.","Brøndsted, Johannes,",1965,FALSE
"32","ALDERMAN","DL 000065 .B77  2007","X030261887","The Far traveler : voyages of a Viking woman /","Brown, Nancy Marie.",2007,FALSE
"33","ALDERMAN","DL 000065 .C49  2002","X004587059","The Norsemen in the Viking Age /","Christiansen, Eric.",2002,FALSE
"34","ALDERMAN","DL 000065 .C57  1991B","X002014372","Towns in the Viking age /","Clarke, Helen.",1991,FALSE
"35","ALDERMAN","DL 000065 .C667  2003","X004698053","Contact, continuity, and collapse : the Norse colonization of the North Atlantic /","",2003,FALSE
"36","ALDERMAN","DL 000065 .D35","X006114213","The Viking road to Byzantium /","Davidson, H. R. Ellis (Hilda Roderick Ellis),",1976,FALSE
"37","ALDERMAN","DL 000065 .F467  2009","X030563429","The hammer and the cross : a new history of the Vikings /","Ferguson, Robert,",2009,FALSE
"38","ALDERMAN","DL 000065 .F67  2005","X004833121","Viking empires /","Forte, Angelo.",2005,FALSE
"39","CLEMONS","DL 000065 .F73  1992","X002162966","From Viking to crusader : the Scandinavians and Europe, 800-1200 /","",1992,FALSE
"40","ALDERMAN","DL 000065 .H35  2007","X030115273","The world of the Vikings /","Hall, R. A. (Richard Andrew),",2007,FALSE
"41","ALDERMAN","DL 000065 .J468  2015","X031734528","The Viking diaspora /","Jesch, Judith,",2015,FALSE
"42","ALDERMAN","DL 000065 .J47  1991","X002048335","Women in the Viking age /","Jesch, Judith,",1991,FALSE
"43","ALDERMAN","DL 000065 .K513","X000364517","The world of the Vikings.","Klindt-Jensen, Ole.",1970,FALSE
"44","ALDERMAN","DL 000065 .L33  1983","X000840336","The Vikings in history /","Logan, F. Donald.",1983,FALSE
"45","ALDERMAN","DL 000065 .L56  2014","X031652420","The Vikings and their enemies : warfare in Northern Europe, 750-1100 /","Line, Philip.",2014,FALSE
"46","ALDERMAN","DL 000065 .M39  2014","X031634104","The beginning of Scandinavian settlement in England : the Viking 'Great Army' and early settlers, c. 865-900 /","McLeod, Shane,",2014,FALSE
"47","ALDERMAN","DL 000065 .N67  2008","X030472214","Viking women : the narrative voice in woven tapestries /","Norrman, Lena Elisabeth.",2008,FALSE
"48","ALDERMAN","DL 000065 .O45  2013","X031606769","The Vikings /","Oliver, Neil,",2013,FALSE
"49","ALDERMAN","DL 000065 .O94  1997","X004072428","The Oxford illustrated history of the Vikings /","",1997,FALSE
"50","ALDERMAN","DL 000065 .P26  1995","X002719900","Chronicles of the Vikings : records, memorials, and myths /","Page, R. I. (Raymond Ian)",1995,FALSE
"51","ALDERMAN","DL 000065 .P54  2007","X030344161","Holy vikings : saints' lives in the old icelandic kings' sagas /","Phelpstead, Carl.",2007,FALSE
"52","ALDERMAN","DL 000065 .R6413  1991","X002039749","The Vikings /","Roesdahl, Else.",1991,FALSE
"53","ALDERMAN","DL 000065 .S25  1962","X000309935","The age of the Vikings.","Sawyer, P. H.",1962,FALSE
"54","CLEMONS","DL 000065 .S25  1972","X000119673","The age of the Vikings","Sawyer, P. H.",1972,FALSE
"55","ALDERMAN","DL 000065 .S254  1982","X000530729","Kings and Vikings : Scandinavia and Europe, A.D. 700-1100 /","Sawyer, P. H.",1982,FALSE
"56","ALDERMAN","DL 000065 .S39  2010","X030773985","The last Vikings : the epic story of the great Norse voyages /","Seaver, Kirsten A.,",2010,FALSE
"57","ALDERMAN","DL 000065 .S63  1991","X001932686","Social approaches to Viking studies /","",1991,FALSE
"58","ALDERMAN","DL 000065 .S76  2007","X030258340","Norse warfare : the unconventional battle strategies of the ancient Vikings /","Sprague, Martina.",2007,FALSE
"59","ALDERMAN","DL 000065 .T75  2002","X004790803","The Viking way : religion and war in late Iron Age Scandinavia /","Price, Neil S.",2002,FALSE
"60","ALDERMAN","DL 000065 .V52  2014","X031740938","The Viking age : a reader /","",2014,FALSE
"61","ALDERMAN","DL 000065 .V54  1982","X000970792","The Vikings /","",1982,FALSE
"62","ALDERMAN","DL 000065 .V548  2015","X031705897","Viking worlds : things, spaces and movement /","",2015,FALSE
"63","ALDERMAN","DL 000065 .V565  2001","X004561729","Vikings and the Danelaw /","Viking Congress",2001,FALSE
"64","ALDERMAN","DL 000065 .V569  2014","X031601327","Vikings : life and legend /","",2014,FALSE
"65","ALDERMAN","DL 000065 .V586  2000","X004434093","Vikings : the North Atlantic saga /","",2000,FALSE
"66","ALDERMAN","DL 000065 .W65  2004","X004809879","Daily life of the Vikings /","Wolf, Kirsten,",2004,FALSE
"67","ALDERMAN","DL 000075 .N53  2009","X030276794","The Northern lands : Germanic Europe, c.1270--c.1500 /","Nicholas, David,",2009,FALSE
"68","ALDERMAN","DL 000078 .K57  1990","X001858477","Northern Europe in the early modern period : the Baltic world, 1492-1772 /","Kirby, D. G.",1990,FALSE
"69","ALDERMAN","DL 000078 .R486  2000","X004477378","A revolution from above? : the power state of 16th and 17th century Scandinavia /","",2000,FALSE
"70","ALDERMAN","DL 000103.5 .M52  V.000024 DEL 000002","X030806281","Nogle erindringer.","Münter, Balthasar,",1969,TRUE
"71","ALDERMAN","DL 000147 .S2413  2015  V.000001","X031829901","Gesta Danorum = The History of the Danes /","Saxo,",2015,TRUE
"72","ALDERMAN","DL 000147 .S2713  V.000001","X000069864","The history of the Danes /","Saxo,",1979,TRUE
"73","ALDERMAN","DL 000148 .L353  1981","X000826369","A history of Denmark /","Lauring, Palle.",1981,FALSE
"74","ALDERMAN","DL 000159 .H65  1991","X002118059","Danish neutrality : a study in the foreign policy of a small state /","Holbraad, Carsten.",1991,FALSE
"75","ALDERMAN","DL 000206 .M86  2007","X004832988","Defying Napoleon : how Britain bombarded Copenhagen and seized the Danish fleet in 1807 /","Munch-Petersen, Thomas.",2007,FALSE
"76","ALDERMAN","DL 000236 .B84513  2015","X031737656","1864 : the forgotten war that shaped modern Europe /","Buk-Swienty, Tom,",2015,FALSE
"77","ALDERMAN","DL 000271 .F2  W95  1987","X001220173","The Faroe Islands : interpretations of history /","Wylie, Jonathan.",1987,FALSE
"78","ALDERMAN","DL 000291 .A323  A52  REGISTER 001640-000048","X031870342","Tingbog.","Aasum herred, Denmark.",1956,TRUE
"79","ALDERMAN","DL 000291 .K8  W4  1950","X031870343","Kronborg Castle ... The section dealing with the Commercial and Naval Museum","Weilbach, Frederik,",1954,FALSE
"80","ALDERMAN","DL 000304 .P54  1985B","X001033127","The visitor's guide to Iceland /","Philpott, Don.",1985,FALSE
"81","ALDERMAN","DL 000312 .G74  2011","X031805583","Questions of travel : William Morris in Iceland /","Greenlaw, Lavinia,",2011,FALSE
"82","ALDERMAN","DL 000315 .M68  2013","X031604525","Names for the sea : strangers in Iceland /","Moss, Sarah.",2013,FALSE
"83","ALDERMAN","DL 000326 .A65  1989","X001609475","The Anthropology of Iceland /","",1989,FALSE
"84","ALDERMAN","DL 000326 .F76  1992","X002214960","From sagas to society : comparative approaches to early Iceland /","",1992,FALSE
"85","ALDERMAN","DL 000326 .H3  1998","X004187290","A Place apart : an anthropological study of the Icelandic world /","Hastrup, Kirsten.",1998,FALSE
"86","ALDERMAN","DL 000326 .L33  1998","X004222834","Ring of seasons : Iceland - its culture and history /","Lacy, Terry G.",1998,FALSE
"87","ALDERMAN","DL 000326 .S513  1990","X001924924","Icelandic culture /","Sigurður Nordal,",1990,FALSE
"88","ALDERMAN","DL 000328 .H34  1985","X000953708","Culture and history in medieval Iceland : an anthropological analysis of structure and change /","Hastrup, Kirsten.",1985,FALSE
"89","ALDERMAN","DL 000331 .I43  1996","X002684949","Images of contemporary Iceland : everyday lives and global contexts /","",1996,FALSE
"90","ALDERMAN","DL 000334 .N65  S56  2010","X030609935","Icelanders in the Viking age : the people of the sagas /","Short, William R.",2010,FALSE
"91","ALDERMAN","DL 000338 .G86  2000","X006077786","Iceland's 1100 years : the history of a marginal society /","Gunnar Karlsson,",2000,FALSE
"92","ALDERMAN","DL 000338 .G864  2013","X031613468","The history of Iceland /","Guðni Th. Jóhannesson,",2013,FALSE
"93","ALDERMAN","DL 000338 .H849  2000","X031649184","The history of Iceland /","Gunnar Karlsson,",2000,FALSE
"94","ALDERMAN","DL 000352 .B96  1988","X001462692","Medieval Iceland : society, sagas, and power /","Byock, Jesse L.",1988,FALSE
"95","ALDERMAN","DL 000352 .B963  2001","X031191455","Viking age Iceland /","Byock, Jesse L.",2001,FALSE
