"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","DP 000003 .A68  T.000032 V.000005 INDEX","X030531334","Catálogo de la Colección Mata Linares /","Contreras, Remedios.",1970,TRUE
"2","ALDERMAN","DP 000003 .D6  T.000004","X030531438","Documentos inéditos para la historia de España,","",1936,TRUE
"3","ALDERMAN","DP 000014 .S64","X000275680","Spain, the mainland /","",1975,FALSE
"4","ALDERMAN","DP 000017 .C5627  2012","X030945587","The Spanish : shadows of embarrassment /","Cohen, Yehuda,",2012,FALSE
"5","ALDERMAN","DP 000017 .G26  2010","X031650334","Historia de España para dummies /","García de Cortázar, Fernando.",2010,FALSE
"6","ALDERMAN","DP 000017 .M33  1964","X031759979","El paisaje de España : visto por los Españoles /","Azorín,",1964,FALSE
"7","ALDERMAN","DP 000017 .P35  1991","X002141763","Nosotros, los españoles : una breve historia de España /","Palacio Atard, Vicente.",1991,FALSE
"8","ALDERMAN","DP 000017 .P55  2010","X030774375","A concise history of Spain /","Phillips, William D.",2010,FALSE
"9","ALDERMAN","DP 000017 .P55  2016","X031731243","A concise history of Spain /","Phillips, William D.,",2016,FALSE
"10","CLEMONS","DP 000017 .S67  1990","X002170613","Spain, a country study /","",1990,FALSE
"11","ALDERMAN","DP 000017 .T5  1966","X000844131","Spain,","Thomas, Hugh,",1966,FALSE
"12","ALDERMAN","DP 000022 .E76  1897","X031767979","España ilustrada : vistas, monumentos, escultura, pintura.","",1897,FALSE
"13","ALDERMAN","DP 000023 .V54  2011","X030947137","Reconstructing Spain : cultural heritage and memory after civil war /","Viejo-Rose, Dacia.",2011,FALSE
"14","ALDERMAN","DP 000026 .F7  1926","X000749328","Virgin Spain; scenes from the spiritual drama of a great people","Frank, Waldo David,",1926,FALSE
"15","ALDERMAN","DP 000027 .M66  2010","X030778187","Atlas histórico de la España medieval /","Monsalvo Antón, José María.",2010,FALSE
"16","ALDERMAN","DP 000038 .F5718  2007","X031647345","Viaje de Ámsterdam a Génova pasando por Madrid y Cádiz en los años 1797 y 1798 /","Fischer, Christian August,",2007,FALSE
"17","ALDERMAN","DP 000038 .F75  2014","X031647344","La imagen de España en los libros de los viajeros alemanes del siglo XVIII /","Friederich-Stegmann, Hiltrud,",2014,FALSE
"18","ALDERMAN","DP 000038 .V53  2011","X031227906","El viaje y la percepción del otro : viajeros por la Península Ibérica y sus descripciones (siglos XVIII y XIX) /","",2011,FALSE
"19","ALDERMAN","DP 000041 .H41  1907","X004914401","Castilian days /","Hay, John,",1907,FALSE
"20","ALDERMAN","DP 000043 .R3  1961","X031648749","Itinerario español.","Rama, Carlos M.,",1961,FALSE
"21","ALDERMAN","DP 000043 .W7  1957","X000384413","Pagan Spain /","Wright, Richard,",1957,FALSE
"22","CLEMONS","DP 000043 .W7  2002","X004553850","Pagan Spain /","Wright, Richard,",2002,FALSE
"23","CLEMONS","DP 000043.2 .R43  2007","X030254710","A late dinner : discovering the food of Spain /","Richardson, Paul,",2007,FALSE
"24","CLEMONS","DP 000043.2 .S63  1995","X002741441","Spain /","",1995,FALSE
"25","ALDERMAN","DP 000044 .C685  2009","X031821861","Colonial encounters in ancient Iberia : Phoenician, Greek, and indigenous relations /","",2009,FALSE
"26","ALDERMAN","DP 000044 .I66  2008","X030456729","In the light of medieval Spain : Islam, the West, and the relevance of the past /","",2008,FALSE
"27","ALDERMAN","DP 000044 .V595  2009","X030707152","La presencia bizantina en Hispania, siglos VI-VII : la documentación arqueológica /","Vizcaíno Sánchez, Jaime.",2009,FALSE
"28","ALDERMAN","DP 000048 .B4913","X000036404","The Spanish character : attitudes and mentalities from the sixteenth to the nineteenth century /","Bennassar, Bartolomé.",1979,FALSE
"29","CLEMONS","DP 000048 .C233  1999","X004276516","The Cambridge companion to modern Spanish culture /","",1999,FALSE
"30","CLEMONS","DP 000048 .C235  1981","X001245963","Civilización y cultura de España /","Cantarino, Vicente,",1981,FALSE
"31","ALDERMAN","DP 000048 .C3  1948","X000234032","España en su historia; cristianos, moros y judíos.","Castro, Américo,",1948,FALSE
"32","ALDERMAN","DP 000048 .C33  1954","X000144449","The structure of Spanish history;","Castro, Américo,",1954,FALSE
"33","ALDERMAN","DP 000048 .C365  1971","X000310674","The Spaniards; an introduction to their history.","Castro, Américo,",1971,FALSE
"34","ALDERMAN","DP 000048 .C594  2000","X004561233","Contemporary Spanish cultural studies /","",2000,FALSE
"35","ALDERMAN","DP 000048 .C8  1985","X000909228","Spain : the root and the flower, an interpretation of Spain and the Spanish people /","Crow, John A.,",1985,FALSE
"36","ALDERMAN","DP 000048 .D3813  1971","X000302661","Daily life in Spain in the golden age.","Defourneaux, Marcelin.",1971,FALSE
"37","ALDERMAN","DP 000048 .D42  1966","X000208995","La mujer, la casa y la moda (en la Espan?a del rey poeta).","Deleito y Piñuela, José.",1966,FALSE
"38","ALDERMAN","DP 000048 .E635  2016","X031855600","Engaging the emotions in Spanish culture and history /","",2016,FALSE
"39","ALDERMAN","DP 000048 .E873  2015","X031740751","España ante sus críticos : las claves de la Leyenda Negra /","",2015,FALSE
"40","ALDERMAN","DP 000048 .F336  2013","X031712595","Brevísima relación de la construcción de España y otros ensayos transatlánticos (1991-2011) /","Fernández, James D.",2013,FALSE
"41","CLEMONS","DP 000048 .F8418  1992","X006075545","El espejo enterrado /","Fuentes, Carlos.",1992,FALSE
"42","ALDERMAN","DP 000048 .F87  2000","X004894042","España : la evolución de la identidad nacional /","Fusi Aizpurúa, Juan Pablo,",2000,FALSE
"43","ALDERMAN","DP 000048 .G3265  2010","X031650331","Breve historia de la cultura en España un viaje por la cultura a través de las ciudades /","García de Cortázar, Fernando",2010,FALSE
"44","ALDERMAN","DP 000048 .H48  1988","X001559563","Los orígenes del pensamiento reaccionario español /","Herrero, Javier.",1988,FALSE
"45","ALDERMAN","DP 000048 .H625  2007","X031580048","España no existe /","Hidalgo, Alberto,",2007,FALSE
"46","ALDERMAN","DP 000048 .K36  2008","X030260033","Imagining Spain : historical myth & national identity /","Kamen, Henry.",2008,FALSE
"47","ALDERMAN","DP 000048 .M2946  2008","X030458230","Disorientations : Spanish colonialism in Africa and the performance of identity /","Martin-Márquez, Susan.",2008,FALSE
"48","ALDERMAN","DP 000048 .M683  2015","X031659146","Mosaico transatlántico : escritoras, artistas, imaginarios (España-USA, 1830-1940) /","",2015,FALSE
"49","ALDERMAN","DP 000048 .N974  2014","X032209847","¡Viva la muerte! : política y cultura de lo macabro /","Núñez Florencio, Rafael.",2014,FALSE
