"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","DQ 000017 .C66  1992","X006113907","Switzerland : an inside view, : politics, economy, culture, society, nature /","Coordinating Committee for the Presence of Switzerland Abroad.",1992,FALSE
"2","ALDERMAN","DQ 000017 .F6  V.000002","X000078080","Focus on Switzerland.","",1975,TRUE
"3","ALDERMAN","DQ 000017 .M65","X000221660","Modern Switzerland /","",1978,FALSE
"4","ALDERMAN","DQ 000017 .S7  1996","X004071544","Why Switzerland? /","Steinberg, Jonathan.",1996,FALSE
"5","ALDERMAN","DQ 000017 .S7  2015","X032582279","Why Switzerland? /","Steinberg, Jonathan,",2015,FALSE
"6","ALDERMAN","DQ 000036 .B63  1994","X002474040","Geneva, Zurich, Basel : history, culture, & national identity /","Bouvier, Nicolas.",1994,FALSE
"7","ALDERMAN","DQ 000036 .F763  2010","X030817612","From multiculturalism to hybridity : new approaches to teaching modern Switzerland /","",2010,FALSE
"8","ALDERMAN","DQ 000052.9 .A2  P678  2009","X030628841","Portraits de médiévistes suisses (1850-2000) : une profession au fil du temps /","",2009,FALSE
"9","ALDERMAN","DQ 000054 .B65  1952","X000591339","A short history of Switzerland,","Bonjour, Edgar,",1952,FALSE
"10","ALDERMAN","DQ 000054 .C47  2013","X031618509","A concise history of Switzerland /","Church, Clive H.,",2013,FALSE
"11","ALDERMAN","DQ 000054 .L83  1985","X001509721","A history of Switzerland : the first 100,000 years : before the beginnings to the days of the present /","Luck, James Murray,",1985,FALSE
"12","ALDERMAN","DQ 000069 .M35  2000","X004435789","The Making of modern Switzerland, 1848-1998 /","",2000,FALSE
"13","ALDERMAN","DQ 000069 .R4413  2009","X030614798","Faces of neutrality : a comparative analysis of the neutrality of Switzerland and other neutral nations during WW II /","Reginbogin, Herbert R.",2009,FALSE
"14","ALDERMAN","DQ 000074 .S42  2017","X031818953","The Swiss and their neighbours, 1460-1560 : between accommodation and aggression /","Scott, Tom,",2017,FALSE
"15","ALDERMAN","DQ 000089 .S39  1985","X001055755","Reichsprivilegien und reichsdienste der eidgenössischen orte unter könig Sigmund, 1410-1437 /","Schuler-Alder, Heidi,",1985,FALSE
"16","ALDERMAN","DQ 000131 .L47  2012","X030860672","A laboratory of liberty : the transformation of political culture in republican Switzerland, 1750-1848 /","Lerner, Marc H.",2012,FALSE
"17","ALDERMAN","DQ 000140 .G3  W53  2012","X030844891","Against war and empire : Geneva, Britain, and France in the eighteenth century /","Whatmore, Richard.",2012,FALSE
"18","ALDERMAN","DQ 000212 .K74  2008","X030473392","The politics of Switzerland : continuity and change in a consensus democracy /","Kriesi, Hanspeter.",2008,FALSE
"19","ALDERMAN","DQ 000303 .A3  REIHE 000002 BD.000002","X031863761","Rudolf Rauchenstein und Andreas Heusler : ein politischer Briefwechsel aus den Jahren 1839-1841. /","Rauchenstein, Rudolf,",1951,TRUE
"20","ALDERMAN","DQ 000389.6 .G67  2000","X004400025","Basel in the age of Burckhardt / a study in unseasonable ideas /","Gossman, Lionel.",2000,FALSE
"21","ALDERMAN","DQ 000401 .H5  BD.000056","X000886772","Berner Oberland und Staat Bern. Untersuchungen zu den wechselseitigen Beziehungen in den Jahren 1798 bis 1846.","Robé, Udo.",1972,TRUE
"22","ALDERMAN","DQ 000441 .S82  T.40","X031869830","Mélanges offerts à M. Paul-E. Martin /","",1961,TRUE
"23","ALDERMAN","DQ 000441 .S82  T.49  PT.1","X000887113","Église et société : Genève au XVIIe siècle /","Stauffenegger, Roger.",1983,TRUE
"24","ALDERMAN","DQ 000449.5 .M6  1967","X000115534","Calvin's Geneva","Monter, E. William.",1967,FALSE
"25","ALDERMAN","DQ 000498 .V3  B65  1991","X002160640","Vadian und Graubünden : Aspekte der Personen- und Kommunikationsgeschichte im Zeitalter des Humanismus und der Reformation : mit Anhang, Reiseberichte, Briefe, Diarien /","Bonorand, Conradin,",1991,FALSE
"26","ALDERMAN","DQ 000549.4 .M44  2018","X031838865","The Irish scholarly presence at St. Gall : networks of knowledge in the early middle ages /","Meeder, Sven,",2018,FALSE
"27","ALDERMAN","DQ 000823.5 .B448  2006","X030106604","The Alps : a cultural history /","Beattie, Andrew.",2006,FALSE
"28","ALDERMAN","DQ 000823.5 .O84  2017","X031818549","The Alps : a human history from Hannibal to Heidi and beyond /","O'Shea, Stephen,",2017,FALSE
"29","ALDERMAN","DQ 000823.5 .R56  2000","X004435906","How the English made the Alps /","Ring, Jim,",2000,FALSE
