"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","DR 000010 .W5  NR.000080","X031888317","Die preussische Verwaltung des Regierungsbezirks Danzig, 1815-1870.","Letkemann, Peter.",1967,TRUE
"2","ALDERMAN","DR 000015 .T35  2014","X031628654","Albania's mountain queen : Edith Durham and the Balkans /","Tanner, Marcus,",2014,FALSE
"3","ALDERMAN","DR 000016 .F4  2013","X031628451","The broken road : from the Iron Gates to Mount Athos /","Fermor, Patrick Leigh,",2013,FALSE
"4","ALDERMAN","DR 000016 .K36  1993","X002229688","Balkan ghosts : a journey through history /","Kaplan, Robert D.,",1993,FALSE
"5","ALDERMAN","DR 000016 .K362  2000","X004478673","Eastward to Tartary : travels in the Balkans, the Middle East, and the Caucasus /","Kaplan, Robert D.,",2000,FALSE
"6","ALDERMAN","DR 000024 .I89  1996","X006020196","The Balkans divided : nationalism, minorities, and security /","Ivanov, Andrey,",1996,FALSE
"7","ALDERMAN","DR 000024 .M56  2011","X031622732","Minorities in the Balkans : state policy and interethnic relations (1804-2004) /","",2011,FALSE
"8","ALDERMAN","DR 000027 .M87  M33  1995","X004095494","Death and exile : the ethnic cleansing of Ottoman Muslims, 1821-1922 /","McCarthy, Justin,",1995,FALSE
"9","ALDERMAN","DR 000033 .B35  2007B","X030275559","Balkan strongmen : dictators and authoritarian rulers of South Eastern Europe /","",2007,FALSE
"10","ALDERMAN","DR 000034 .T63  1997","X004143873","Imagining the Balkans /","Todorova, Marii?a Nikolaeva.",1997,FALSE
"11","ALDERMAN","DR 000036 .B56  2011","X030619118","The Balkans : revolution, war, and political violence since 1878 /","Biondich, Mark.",2011,FALSE
"12","ALDERMAN","DR 000036 .C3713  1992","X002125768","History of the Balkans : from Mohammed the Conqueror to Stalin/","Castellan, Georges.",1992,FALSE
"13","ALDERMAN","DR 000036 .H87  2002","X004592478","The Balkans : from Constantinopole to communism /","Hupchick, Dennis P.",2002,FALSE
"14","ALDERMAN","DR 000036 .M39  2000B","X004435940","The Balkans /","Mazower, Mark.",2000,FALSE
"15","ALDERMAN","DR 000036 .O88  2006","X004911843","The Ottoman Balkans, 1750-1830 /","",2006,FALSE
"16","CLEMONS","DR 000036 .W33  2008","X030472712","The Balkans in world history /","Wachtel, Andrew.",2008,FALSE
"17","ALDERMAN","DR 000037 .S94","X000085681","Nationalism in Eastern Europe.","Sugar, Peter F.",1969,FALSE
"18","ALDERMAN","DR 000038.2 .B36  2004","X004768467","Balkan identities : nation and memory /","",2004,FALSE
"19","ALDERMAN","DR 000038.2 .C37  2002","X004637532","Ethnic cleansing in the Balkans : nationalism and the destruction of tradition /","Carmichael, Cathie,",2002,FALSE
"20","ALDERMAN","DR 000038.2 .F76  1999","X004283726","Kosovo crossing : American ideals meet reality on the Balkan battlefields /","Fromkin, David.",1999,FALSE
"21","ALDERMAN","DR 000038.2 .W48  2000","X004397466","Nationalism and territory : constructing group identity in southeastern Europe /","White, George W.,",2000,FALSE
"22","ALDERMAN","DR 000038.3 .B97  B35  2016","X031795774","The Balkans and the Byzantine world before and after the captures of Constantinople, 1204 and 1453 /","",2016,FALSE
"23","ALDERMAN","DR 000038.3 .E85  E93  2008","X030279463","Europe and the historical legacies in the Balkans /","",2008,FALSE
"24","ALDERMAN","DR 000038.3 .R8  B43  2017","X031838609","Rival power : Russia's influence in Southeast Europe /","Bechev, Dimitar,",2017,FALSE
"25","ALDERMAN","DR 000038.3 .S65  J45  1991","X001977698","Russia's Balkan entanglements, 1806-1914 /","Jelavich, Barbara,",1991,FALSE
"26","ALDERMAN","DR 000039 .A57  2017","X031841372","The Ottoman ""wild west"" : the Balkan frontier in the fifteenth and sixteenth centuries /","Antov, Nikolay,",2017,FALSE
"27","ALDERMAN","DR 000039.6 .S49  2016","X031674463","La romanisation de l'Illyrie méridionale et de la Chaônie /","Shpuza, Saimir,",2016,FALSE
"28","ALDERMAN","DR 000041 .T73  2016","X032209129","Balkan wars : Habsburg Croatia, Ottoman Bosnia, and Venetian Dalmatia, 1499-1617 /","Tracy, James D.,",2016,FALSE
"29","ALDERMAN","DR 000045 .B34  1995","X006037940","Balkans : a mirror of the new international order /","",1995,FALSE
"30","ALDERMAN","DR 000045 .L36  2006","X004906505","Balkans into Southeastern Europe : a century of war and transition /","Lampe, John R.",2006,FALSE
"31","ALDERMAN","DR 000046 .A2  B35  2014","X031651955","The Balkan Wars : British consular reports from Macedonia in the final years of the Ottoman Empire /","",2014,FALSE
"32","ALDERMAN","DR 000046 .H35  2000","X006090698","The Balkan Wars, 1912-1913 : prelude to the First World War /","Hall, Richard C.",2000,FALSE
"33","ALDERMAN","DR 000046 .W27  2013","X031620698","War and nationalism : the Balkan wars, 1912-1913, and their sociopolitical implications /","",2013,FALSE
"34","ALDERMAN","DR 000046.93 .W65  B35  2012","X031634402","Balkan Sava??nda kad?nlar?m?z /","",2012,FALSE
"35","ALDERMAN","DR 000048 .M65  2011","X031195703","Balkan genocides : holocaust and ethnic cleansing in the twentieth century /","Mojzes, Paul.",2011,FALSE
"36","ALDERMAN","DR 000048.6 .B53  2007","X030106605","The Balkans : a post-communist history /","Bideleux, Robert.",2007,FALSE
"37","ALDERMAN","DR 000048.6 .C35  2013","X031612907","The Balkan prospect : identity, culture, and politics in Greece after 1989 /","Calotychos, Vangelis.",2013,FALSE
"38","ALDERMAN","DR 000048.6 .C84  2010","X030745667","In search of the Balkan recovery : the political and economic reemergence of south-eastern Europe /","Cvii?, Christopher,",2010,FALSE
"39","ALDERMAN","DR 000048.6 .E96  2000","X004412056","Experimenting with democracy : regime change in the Balkans /","",2000,FALSE
"40","ALDERMAN","DR 000048.6 .F37  2007","X030249631","Democratization in the Balkans : prescription for a badly scarred body politic /","Farkas, Richard P.",2007,FALSE
"41","ALDERMAN","DR 000048.6 .G35  2005","X004858248","The Balkans in the new millennium : in the shadow of war and peace /","Gallagher, Tom,",2005,FALSE
"42","ALDERMAN","DR 000048.6 .M37  2000","X006118870","Masters of the universe? : NATO's Balkan crusade /","",2000,FALSE
"43","ALDERMAN","DR 000048.6 .S77  1998","X004276316","Struggling with the Communist legacy : studies of Yugoslavia, Romania, Poland and Czechoslovakia /","",1998,FALSE
"44","ALDERMAN","DR 000048.6 .U54  2012","X031215064","Unfinished business : the Western Balkans and the international community /","",2012,FALSE
"45","ALDERMAN","DR 000049.26 .M3313  2013","X031603511","Byzantine military organization on the Danube, 10th-12th centuries /","Madgearu, Alexandru.",2013,FALSE
"46","ALDERMAN","DR 000049.7 .G65  2004","X030036995","Rumeli under the Ottomans, 15th-18th centuries : institutions and communities /","Gradeva, Rosit?sa.",2004,FALSE
"47","ALDERMAN","DR 000049.7 .G735  2008","X030498653","War and peace in Rumeli : 15th to beginning of 19th century /","Gradeva, Rosit?sa.",2008,FALSE
"48","ALDERMAN","DR 000050.6 .C66  2015","X031758005","A companion to ancient Thrace /","",2015,FALSE
"49","ALDERMAN","DR 000064.2 .G73  D7  2011","X030805241","Between two motherlands : nationality and emigration among the Greeks of Bulgaria, 1900-1949 /","Dragostinova, Theodora,",2011,TRUE
"50","ALDERMAN","DR 000083 .C73  2007","X004832111","Bulgaria /","Crampton, R. J.",2007,FALSE
"51","ALDERMAN","DR 000085 .D37613  2011","X031187543","Debating the past : modern Bulgarian history : from Stambolov to Zhivkov /","Daskalov, Rumen.",2011,FALSE
"52","ALDERMAN","DR 000088 .D5  A3  2003","X004703551","The diary of Georgi Dimitrov, 1933-1949 /","Dimitrov, Georgi,",2003,FALSE
"53","ALDERMAN","DR 000088 .D5  S73  2010","X030621445","Georgi Dimitrov : a biography /","Stankova, Marietta.",2010,FALSE
"54","ALDERMAN","DR 000090 .Z5  A25  1964  V.000003","X031916555","Izbrani rechi, dokladi i statii.","Zhivkov, Todor.",1964,TRUE
"55","ALDERMAN","DR 000093.43 .S92313  2018","X032069333","Dancing bears : true stories of people nostalgic for life under tyranny /","Szab?owski, Witold,",2018,FALSE
"56","ALDERMAN","DR 000093.44 .E54  2009","X030467833","Democratisation and the prevention of violent conflict : lessons learned from Bulgaria and Macedonia /","Engström, Jenny,",2009,FALSE
"57","ALDERMAN","DR 000201 .R55  V.000010 NO.000001-000002 JAN.-JUNE 001981","X031870011","Romanian bulletin","The Romanian Library",1981,TRUE
"58","CLEMONS","DR 000210 .B58  2009","X030524497","Along the enchanted way : a Romanian story /","Blacker, W. (William)",2009,FALSE
"59","ALDERMAN","DR 000210 .K37  2016","X031739067","In Europe's shadow : two Cold Wars and a thirty-year journey through Romania and beyond /","Kaplan, Robert D.,",2016,FALSE
"60","ALDERMAN","DR 000212 .D73  2006","X004835580","The making of modern Romanian culture : literacy and the development of national identity /","Drace-Francis, Alex.",2006,FALSE
"61","ALDERMAN","DR 000213 .C37","X031916395","Solu?ionarea problemei na?ionale în România /","Ceau?escu, Nicolae.",1979,FALSE
"62","ALDERMAN","DR 000217 .B64  2001","X004477709","History and myth in Romanian consciousness /","Boia, Lucian.",2001,FALSE
"63","ALDERMAN","DR 000217 .H57  1996","X004070687","A history of Romania /","",1996,FALSE
"64","ALDERMAN","DR 000217 .H579  2014","X031628858","A concise history of Romania /","Hitchins, Keith,",2014,FALSE
"65","ALDERMAN","DR 000229 .T7  L56  2006","X030198268","Romania and Transylvania in the 20th century /","Lipcsey, Ildikó.",2006,TRUE
"66","ALDERMAN","DR 000239 .V45  2000","X004481541","Dacians, Romans, Romanians /","Vékony, Gábor.",2000,FALSE
"67","ALDERMAN","DR 000240 .C68","X030497862","Documente privitoare la istoria României, culese din arhivele polone : secolul al XVI-lea /","Corfus, Ilie.",1979,FALSE
"68","ALDERMAN","DR 000240 .F55","X000380719","Dracula; a biography of Vlad the Impaler, 1431-1476","Florescu, Radu R. N.",1973,FALSE
"69","ALDERMAN","DR 000240.5 .V55  F58  1989","X001639151","Dracula: prince of many faces his life and his times /","Florescu, Radu.",1989,TRUE
"70","ALDERMAN","DR 000240.5 .V55  M3  1972","X000010984","In search of Dracula; a true history of Dracula and vampire legends","McNally, Raymond T.,",1972,FALSE
"71","ALDERMAN","DR 000240.5 .V55  S7613","X000216006","Vlad ?epe? : Prince of Walachia /","Stoicescu, Nicolae.",1978,FALSE
"72","ALDERMAN","DR 000240.5 .V553  D73  1991","X001987255","Dracula : essays on the life and times of Vlad ?epe? /","",1991,TRUE
"73","ALDERMAN","DR 000240.5 .V553  F57  1992","X002212647","The complete Dracula /","Florescu, Radu.",1992,TRUE
"74","ALDERMAN","DR 000240.5 .V553  M36  1994","X002757352","In search of Dracula : the history of Dracula and vampires /","McNally, Raymond T.,",1994,FALSE
"75","ALDERMAN","DR 000240.5 .V553  N67  2006","X031600972","Vom Fürsten der Walachei zum König der Vampire : Vlad Tepes und Bram Stokers Dracula (Drakula) : [Studienarbeit] /","Norda, Gunnar.",2006,FALSE
"76","ALDERMAN","DR 000241.5 .D5  P66  2010","X030812765","Beyond the glory of the sultans : Cantemir's view of the Turks /","Popescu-Judetz, Eugenia.",2010,FALSE
"77","ALDERMAN","DR 000250 .G35  2005","X004863827","Modern Romania : the end of communism, the failure of democratic reform, and the theft of a nation /","Gallagher, Tom,",2005,FALSE
"78","ALDERMAN","DR 000250 .H58  1994","X002520740","Rumania : 1866-1947 /","Hitchins, Keith,",1994,FALSE
"79","ALDERMAN","DR 000262 .A5  D45  2006","X004836319","Hitler's forgotten ally : Ion Antonescu and his regime, Romania 1940-44 /","Deletant, Dennis,",2006,TRUE
