"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","DS 000001 .A7143  A853  2008","X030711564","Time past and time present : two hundred and twenty-five years of the Asiatic Society /","",2008,FALSE
"2","ALDERMAN","DS 000001 .C58  V.18","X000887144","South Asian systems of healing /","",1984,TRUE
"3","CLEMONS","DS 000003 .A2  A82  NO. 000033","X001278516","Law and the state in traditional East Asia : six studies on the sources of East Asian law /","",1987,TRUE
"4","ALDERMAN","DS 000003 .A85  1979  V.000002","X000080775","Asiatic researches : comprising history and antiquities, the arts, sciences, and literature of Asia.","Asiatic Society (Kolkata, India)",1979,TRUE
"5","ALDERMAN","DS 000005 .H93  V478  2007","X030254602","Missing pieces : my life as a child survivor of the Holocaust /","Verrall, Olga,",2007,TRUE
"6","ALDERMAN","DS 000005 .R54  2014","X031651649","The struggle for the Eurasian borderlands : from the rise of early modern empires to the end of the First World War /","Rieber, Alfred J.,",2014,FALSE
"7","ALDERMAN","DS 000005.5 .V57  2000","X004545120","Visages d'Asie /","",2000,FALSE
"8","ALDERMAN","DS 000005.9 .A74  2015","X031809991","Asia inside out : connected places /","",2015,FALSE
"9","ALDERMAN","DS 000005.95 .A85  2004","X031190818","Asian travel in the Renaissance /","",2004,FALSE
"10","ALDERMAN","DS 000006 .B66  2009","X030566860","The 'book' of travels : genre, ethnology, and pilgrimage, 1250-1700 /","",2009,FALSE
"11","ALDERMAN","DS 000006 .D3  1955","X006113672","The Mongol mission: narratives and letters of the Franciscan missionaries in Mongolia and China in the thirteenth and fourteenth centuries.","Dawson, Christopher,",1955,FALSE
"12","ALDERMAN","DS 000006 .F32  T7  1934","X030753568","Fo you Tian zhu ji kao shi /","Cen, Zhongmian.",1966,TRUE
"13","ALDERMAN","DS 000006 .F33  1965","X000845256","A record of Buddhistic kingdoms; being an account by the Chinese monk Fâ-hien of his travels in India and Ceylon (A.D. 399-414) in search of the Buddhist books of discipline.","Faxian,",1965,FALSE
"14","ALDERMAN","DS 000006 .F37  L4  1972","X030157859","A record of Buddhistic kingdoms : being an account by the Chinese monk Fâ-hien of his travels in India and Ceylon (A.D. 399-414) in search of the Buddhist books of discipline /","Faxian,",1972,TRUE
"15","ALDERMAN","DS 000006 .H78  INDEX","X031729569","Dai T? Seiiki ki /","Kuwayama, Sh?shin.",1999,FALSE
"16","ALDERMAN","DS 000006 .H7913  1968  V.000001/000002","X000845257","Si-yu-ki. Buddhist records of the Western World.","Xuanzang,",1968,TRUE
"17","ALDERMAN","DS 000006 .H7913  1969","X030126335","Si-yu-ki. Buddhist records of the Western World.","Xuanzang,",1969,FALSE
"18","ALDERMAN","DS 000006 .O34137  2002","X004592093","The travels of Friar Odoric /","Odorico,",2002,FALSE
