"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","DU 000001 .I44  1945  V.000002 NO.000001","X031955551","The Australian balance of payments /","Giblin, L. F. (Lyndhurst Falkiner),",1945,TRUE
"2","ALDERMAN","DU 000001 .I44  1945  V.000005 NO.000003","X031955550","A program of social and cultural activity in Indo-China /","De La R. (De La Roche)",1945,TRUE
"3","ALDERMAN","DU 000001 .I525  1947  NO.000001","X030533117","United States economic policy towards the Philippine Republic. Based on a larger IPR research report on United States relations with the Philippine Republic to be pub. later. Submitted by the American IPR as a document for the Tenth Conference of the Institute of Pacific Relations to be held at Stratford-upon-Avon, England, Sept","Jenkins, Shirley.",1947,TRUE
"4","ALDERMAN","DU 000001 .I525  1947  NO.000002","X030574082","Two problems related to economic development in the Orient : Based on a larger research study for the IPR on economic development in the Orient /","Staley, Eugene,",1947,TRUE
"5","ALDERMAN","DU 000001 .I54  1950  NO.000001","X030574083","Japan's economy--present and future /","Tsuru, Shigeto,",1950,TRUE
"6","ALDERMAN","DU 000001 .I54  1958  NO.000003","X001137198","Some problems of Japan's foreign relations; excerpts from the Foreign policy Blue book,","Japan. Gaimush?.",1958,TRUE
"7","ALDERMAN","DU 000001 .S6  NO.000022","X031955521","Grammaire & dictionnaire de la langue tahitienne.","Jaussen, Tepano,",1969,TRUE
"8","ALDERMAN","DU 000001 .Z434  2012","X031615289","Zhongguo Taiping Yang guo ji xue hui yan jiu (1925-1945) = China Institute of Pacific Relations (1925-1945) /","Zhang, Jing,",2012,FALSE
"9","ALDERMAN","DU 000015 .G74  1943  V.000002","X030533105","Pacific Island","Great Britain. Naval Intelligence Division.",1943,TRUE
"10","ALDERMAN","DU 000018 .B83  2016","X031758209","Health and disease in the prehistoric Pacific Islands /","Buckley, Hallie,",2016,FALSE
"11","CLEMONS","DU 000018 .P33  2009","X030618628","Pacific Rim modernisms /","",2009,FALSE
"12","ALDERMAN","DU 000018 .W55  2000","X004439789","Reimagining the American Pacific : from South Pacific to Bamboo Ridge and beyond /","Wilson, Rob,",2000,FALSE
"13","ALDERMAN","DU 000018 .W56  1991","X001926209","Pacific rising : the emergence of a new world culture /","Winchester, Simon.",1991,FALSE
"14","ALDERMAN","DU 000019 .D63","X000023540","Islands and empires : Western impact on the Pacific and east Asia /","Dodge, Ernest S. (Ernest Stanley),",1976,FALSE
"15","ALDERMAN","DU 000019 .E94  2014","X031711755","Exhibition Pacífico : Spain and the adventure of the South Sea /","",2014,FALSE
"16","ALDERMAN","DU 000019 .E95  2000","X004479058","Exploration & exchange : a South Seas anthology, 1680-1900 /","",2000,FALSE
"17","ALDERMAN","DU 000020 .A53  2003","X004708456","The Bounty : the true story of the mutiny on the Bounty /","Alexander, Caroline,",2003,FALSE
"18","ALDERMAN","DU 000020 .C36  2008","X030522168","Exploring the explorers : Spaniards in Oceania, 1519-1794 /","Camino, Mercedes Maroto.",2008,FALSE
"19","ALDERMAN","DU 000020 .I45  2013","X031626293","The great ocean : Pacific worlds from Captain Cook to the gold rush /","Igler, David,",2013,FALSE
"20","ALDERMAN","DU 000020 .L54  2006","X030360801","The travelers' world : Europe to the Pacific /","Liebersohn, Harry.",2006,FALSE
"21","ALDERMAN","DU 000020 .M66  1987","X001284289","The fatal impact : the invasion of the South Pacific, 1767-1840 /","Moorehead, Alan,",1987,FALSE
"22","ALDERMAN","DU 000020 .Z37  2000","X004825784","Historia del descubrimiento de las regiones austriales : hecho por el general Pedro Fernández de Quirós : el Pacífico hispano y la búsqueda de la ""Terra Australis"" /","Zaragoza, Justo,",2000,FALSE
"23","ALDERMAN","DU 000021 .M54  P8713  1982A","X001594603","Nikolai Miklouho-Maclay, traveller, scientist and humanist /","Putilov, B. N. (Boris Nikolaevich)",1989,FALSE
"24","ALDERMAN","DU 000021 .O18  1972","X031945078","A residence of eleven years in new holland and the caroline islands","O'Connell, James F.",1972,FALSE
"25","ALDERMAN","DU 000021 .S74  2004","X004789824","The cruise of the Janet Nichol among the South Sea Islands : a diary /","Stevenson, Fanny Van de Grift,",2004,FALSE
"26","ALDERMAN","DU 000021 .W24  1966  V.000002","X031963465","American activities in the central Pacific, 1790-1870; a history, geography, and ethnography pertaining to American involvement and Americans in the Pacific taken from contemporary newspapers etc.","Ward, R. Gerard.",1966,TRUE
"27","ALDERMAN","DU 000022 .L8","X031945080","From a South Seas diary, 1938-1942 /","Luke, Harry,",1945,FALSE
"28","ALDERMAN","DU 000023.5 .M67  2003","X004704785","Beyond the coral sea : travels in the old empires of the South-West Pacific /","Moran, Michael,",2003,FALSE
"29","ALDERMAN","DU 000023.5 .T47  1992","X002117287","The happy isles of Oceania : paddling the Pacific /","Theroux, Paul.",1992,FALSE
"30","ALDERMAN","DU 000028 .A78  1999","X004395811","Art and performance in Oceania /","",1999,FALSE
"31","ALDERMAN","DU 000028 .G46  2007","X030331035","Genes, language, and culture history in the Southwest Pacific /","",2007,FALSE
"32","ALDERMAN","DU 000028 .K4  1945","X031945079","Native peoples of the Pacific world /","Keesing, Felix Maxwell,",1945,FALSE
"33","ALDERMAN","DU 000028 .S83  2006","X004895747","Strangers in the South Seas : the idea of the Pacific in Western thought : an anthology /","",2006,FALSE
"34","ALDERMAN","DU 000028 .V69  2000","X004401022","Voyaging through the contemporary Pacific /","",2000,FALSE
"35","ALDERMAN","DU 000028.3 .B6913  2016","X031741497","The Boxer Codex : transcription and translation of an illustrated late sixteenth-century Spanish manuscript concerning the geography, ethnography and history of the Pacific, South-East Asia and East Asia /","",2016,FALSE
"36","ALDERMAN","DU 000028.3 .C33  1997","X004126484","The Cambridge history of the Pacific Islanders /","",1997,FALSE
"37","ALDERMAN","DU 000028.3 .C35  1989","X001742253","A history of the Pacific islands /","Campbell, I. C. (Ian Christopher),",1989,FALSE
"38","ALDERMAN","DU 000028.3 .C66  1993","X002158640","Contemporary Pacific societies : studies in development and change /","",1993,FALSE
"39","ALDERMAN","DU 000028.3 .F57  2002","X004624650","A history of the Pacific Islands /","Fischer, Steven R.",2002,FALSE
"40","ALDERMAN","DU 000028.3 .J34  2016","X031842496","500 años de la cuenca del Pacífico : hacia una historia global /","Jaén Suárez, Omar,",2016,FALSE
"41","ALDERMAN","DU 000028.3 .M34  2012","X031579535","Pacific worlds : a history of seas, peoples, and cultures /","Matsuda, Matt K.",2012,FALSE
"42","ALDERMAN","DU 000028.3 .N37  1997","X004095236","Narratives of nation in the South Pacific /","",1997,FALSE
"43","ALDERMAN","DU 000028.3 .P33  2014","X031788536","Pacific histories : ocean, land, people /","",2014,FALSE
"44","ALDERMAN","DU 000028.3 .R45  2000","X004634835","Remembrance of Pacific pasts : an invitation to remake history /","",2000,FALSE
"45","ALDERMAN","DU 000028.3 .S24  1985","X004796018","Islands of history /","Sahlins, Marshall,",1985,FALSE
"46","ALDERMAN","DU 000029 .B24  2007","X030263420","Possessing the Pacific : land, settlers, and indigenous people from Australia to Alaska /","Banner, Stuart,",2007,FALSE
"47","ALDERMAN","DU 000029 .C4  1945  NO.000005","X031955557","China and Southeastern Asia,","Ch?êng, Hsü-ching,",1945,TRUE
"48","ALDERMAN","DU 000029 .C78  2007","X004832930","Asia-Pacific /","Crump, Thomas.",2007,FALSE
"49","ALDERMAN","DU 000029 .F74  2015","X031595453","The Pacific /","Freeman, Donald B.,",2015,FALSE
"50","ALDERMAN","DU 000029 .M32  2013","X030824325","Nihon no Nan'y? senryaku : Minami Taiheiy? de hajimatta aratanaru ""sens?"" no yukue /","Marutani, Hajime,",2013,FALSE
