"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","DX 000115 .F66  1995","X002693620","Bury me standing : the Gypsies and their journey /","Fonseca, Isabel.",1995,FALSE
"2","ALDERMAN","DX 000115 .F72  1992","X002591833","The gypsies /","Fraser, Angus M.",1992,FALSE
"3","ALDERMAN","DX 000115 .L6313  1986B","X001107411","Gypsies : an illustrated history /","Liégeois, Jean-Pierre.",1986,FALSE
"4","ALDERMAN","DX 000115 .R64  2004","X004771721","The role of the Romanies : images and counter-images of ""Gypsies""/Romanies in European cultures /","",2004,FALSE
"5","ALDERMAN","DX 000115 .R67  1997","X006036292","Romani culture and gypsy identity /","",1997,FALSE
"6","ALDERMAN","DX 000115 .T39  2014","X031628110","Another darkness, another dawn : a history of Gypsies, Roma and travellers /","Taylor, Becky",2014,FALSE
"7","CLEMONS","DX 000118 .T66  1988","X006025625","Gypsies of the world /","Toma?evi?, Neboj?a.",1988,FALSE
"8","ALDERMAN","DX 000145 .B37  2002","X004555248","The East European gypsies : regime change, marginality, and ethnopolitics /","Barany, Zoltan D.",2002,FALSE
"9","ALDERMAN","DX 000145 .G95  1991","X002254717","The Gypsies of Eastern Europe /","",1991,FALSE
"10","ALDERMAN","DX 000145 .M39  2017","X031839012","Romaphobia : the last acceptable form of racism /","McGarry, Aidan,",2017,FALSE
"11","ALDERMAN","DX 000145 .S658  2018","X032425610","Roma in the Republic of Macedonia : challenges and inequalities in housing, education and health /","Spitálszky, Andrea,",2018,FALSE
"12","ALDERMAN","DX 000157 .T66  1989","X001518946","Gypsy folktales /","Tong, Diane,",1989,FALSE
"13","ALDERMAN","DX 000211 .G96  1997","X006036309","Gypsy politics and Traveller identity /","",1997,FALSE
"14","ALDERMAN","DX 000211 .M43  2004","X004742457","Gypsy identities, 1500-2000 : from Egipcyans and moon-men to the ethnic Romany /","Mayall, David.",2004,FALSE
"15","ALDERMAN","DX 000241 .C76  2007","X030103063","A history of the gypsies of Eastern Europe and Russia /","Crowe, David.",2007,FALSE
"16","ALDERMAN","DX 000241 .O54  2013","X031618751","New Soviet gypsies : nationality, performance, and selfhood in the early Soviet Union /","O'Keeffe, Brigid,",2013,FALSE
"17","ALDERMAN","DX 000247 .A26  A24  2014","X031777907","al-J?l?y?t f? ?Adan 1839-1967 M : dir?sah tar?kh?yah /","?Abd All?h, Han?? ?Abd al-Kar?m Fa?l,",2014,FALSE
"18","ALDERMAN","DX 000251 .B57  1999","X006006549","Gypsies in Madrid : sex, gender and the performance of identity /","Gay y Blasco, Paloma.",1999,FALSE
"19","ALDERMAN","DX 000251 .C25  1990","X001879161","España racista? : voces payas sobre los gitanos /","Calvo Buezas, Tomás,",1990,FALSE
"20","ALDERMAN","DX 000251 .C43  1992","X002266535","Marginalidad de la población gitana española /","Cebrián Abellán, Aurelio.",1992,FALSE
"21","ALDERMAN","DX 000251 .C48  2004","X004772155","The Spanish Gypsy : the history of a European obsession /","Charnon-Deutsch, Lou.",2004,FALSE
"22","ALDERMAN","DX 000251 .M37  2014","X031715712","Los gitanos y las gitanas de España a mediados del siglo XVIII","Martínez Martínez, Manuel,",2014,FALSE
"23","ALDERMAN","DX 000251 .P96  2007","X004834926","The gypsies of early modern Spain, 1425-1783 /","Pym, Richard.",2007,FALSE
"24","ALDERMAN","DX 000251 .S27","X000058677","Los gitanos españoles /","Sánchez, María Helena.",1977,FALSE
