"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","D  000001 .L65  SPEC. SUPPL. NO.000009","X004916426","Guy Fawkes in Spain; the ""Spanish treason"" in Spanish documents,","Loomie, Albert J. (Albert Joseph),",1971,TRUE
"2","ALDERMAN","D  000002.5 .W55  2007","X030370551","Memorial museums : the global rush to commemorate atrocities /","Williams, Paul Harvey.",2007,FALSE
"3","ALDERMAN","D  000003 .A3  I57  1987","X001703468","The Myths we live by /","",1990,FALSE
"4","ALDERMAN","D  000003 .I7  I7  V.27","X031192268","Power in history : from medieval Ireland to the post-modern world /","",2011,TRUE
"5","ALDERMAN","D  000003 .I7  I7  V.28","X031574335","Death and dying in Ireland, Britain and Europe : historical perspectives /","",2013,TRUE
"6","ALDERMAN","D  000005 .A44  2002","X004586261","Ages of woman, ages of man : sources in European social history, 1400-1750 /","",2002,FALSE
"7","ALDERMAN","D  000005 .B582  2017","X031811813","La représentation honorifique dans les cités grecques aux époques classique et hellénistique /","Biard, Guillaume,",2017,FALSE
"8","CLEMONS","D  000005 .H25  1993","X002329119","History and its images : art and the interpretation of the past /","Haskell, Francis,",1993,FALSE
"9","ALDERMAN","D  000005 .H556  2009","X030277954","History beyond the text : a student's guide to approaching alternative sources /","",2009,FALSE
"10","ALDERMAN","D  000006 .B26  1990","X001858495","The inventions of history : essays on the representation of the past /","Bann, Stephen.",1990,FALSE
"11","ALDERMAN","D  000006 .D55","X000194769","The Diversity of history; essays in honour of Sir Herbert Butterfield.","",1970,FALSE
"12","ALDERMAN","D  000006 .E75","X000317931","Essays in history and political theory in honor of Charles Howard McIlwain.","",1936,FALSE
"13","ALDERMAN","D  000006 .H6  HEFT 386","X031897308","Wala, Graf, Mönch und Rebell. Die Biographie eines Karolingers.","Weinrich, Lorenz.",1963,FALSE
"14","ALDERMAN","D  000006 .H85  2016","X031782708","Hugh Trevor-Roper : the historian /","",2016,FALSE
"15","ALDERMAN","D  000006 .M8  000001ST SER. NO.000005 001934","X030341284","Der Napoleonkult in der Pfalz.","Klein, Walther,",1934,TRUE
"16","ALDERMAN","D  000006 .M8  000002.REIHE HEFT.000009","X031784765","Die Kaiserlich Deutsche Südarmee in den Kämpfen während der Brussilow-Offensive vom 4. Juni bis 14. August 1916 : ein Beitrag zur Geschichte der Kaiserlich Deutschen Südarmee /","Schlotheim, Ludwig Eberhard,",1936,FALSE
"17","ALDERMAN","D  000006 .P28  1956","X006114480","Essays presented to Sir Lewis Namier,","Pares, Richard,",1956,FALSE
"18","ALDERMAN","D  000006 .S793  V.274","X002037883","Marriage and social mobility in the late Middle Ages = Mariage et mobilité sociale au bas moyen-âge : handelingen van het colloquium gehouden te Gent op 18 april 1988 /","",1989,TRUE
"19","ALDERMAN","D  000006 .S795  2010","X030823860","Studia hellenistica et historiographica : Festschrift für Andreas Mehl /","",2010,FALSE
"20","ALDERMAN","D  000006 .S87  1970","X000329675","Studies in diplomatic history: essays in memory of David Bayne Horn;","",1970,FALSE
"21","ALDERMAN","D  000007 .B2713  1967","X000184659","Myth, religion, and mother right; selected writings of J. J. Bachofen.","Bachofen, Johann Jakob,",1967,FALSE
"22","ALDERMAN","D  000007 .B72  1990","X001811032","A usable past : essays in European cultural history /","Bouwsma, William J. (William James),",1990,FALSE
"23","ALDERMAN","D  000007 .B7513","X004189776","On history /","Braudel, Fernand.",1980,FALSE
"24","ALDERMAN","D  000007 .B753  1990","X002028840","Ecrits sur l'histoire : II /","Braudel, Fernand.",1990,FALSE
"25","ALDERMAN","D  000007 .H823  1970","X002421336","Men and ideas: history, the Middle Ages, the Renaissance; essays.","Huizinga, Johan,",1970,FALSE
"26","ALDERMAN","D  000007 .J46  2009","X030276964","At the limits of history : essays on theory and practice /","Jenkins, Keith,",2009,FALSE
"27","ALDERMAN","D  000007 .L27","X001201758","Explorations in crisis; papers on international history","Langer, William L. (William Leonard),",1969,FALSE
