"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","E  000013 .W5  NO.3-4","X030853060","Archaeological reconnaissance of the Island of St. John, United States Virgin Islands /","Sleight, Frederick W.",1962,TRUE
"2","ALDERMAN","E  000016 .M34  1998","X004200552","Herbert E. Bolton and the historiography of the Americas /","Magnaghi, Russell M.",1998,FALSE
"3","ALDERMAN","E  000016.5 .A46  2007","X030273556","The American history highway : a guide to Internet resources on U.S., Canadian, and Latin American history /","",2007,FALSE
"4","ALDERMAN","E  000016.5 .S25  2012","X030948237","Trans-Americanity : subaltern modernities, global coloniality, and the cultures of greater Mexico /","Saldívar, José David.",2012,FALSE
"5","ALDERMAN","E  000016.5 .T43  2010","X030804530","Teaching and studying the Americas : cultural influences from colonialism to the present /","",2010,FALSE
"6","ALDERMAN","E  000018 .B2  1963  V.000002","X031944225","History of the Americas.","Bannon, John Francis,",1963,TRUE
"7","CLEMONS","E  000018 .F39  2003","X004690628","The Americas : a hemispheric history /","Fernández-Armesto, Felipe.",2003,FALSE
"8","ALDERMAN","E  000018 .H55999  2000","X031648677","Història contemporània d'Amèrica /","",2000,FALSE
"9","ALDERMAN","E  000018 .H57  T.000022 001959","X004078529","México independiente /","Bravo Ugarte, José,",1959,TRUE
"10","ALDERMAN","E  000018 .K93  1986","X001336781","América profunda /","Kusch, Rodolfo.",1986,FALSE
"11","ALDERMAN","E  000018 .P36  1999  V.000002","X031767918","Para una historia de América /","",1999,TRUE
"12","ALDERMAN","E  000018 .S33","X000129015","Empires to nations : expansion in America, 1713-1824 /","Savelle, Max,",1974,FALSE
"13","ALDERMAN","E  000018 .W767  1884  V.000004","X030475048","Narrative and critical history of America, / by a corps of eminent historical scholars and specialists under the editorship of Justin Winsor ...","Winsor, Justin,",1884,TRUE
"14","ALDERMAN","E  000018 .Z42","X002683149","América en la historia.","Zea, Leopoldo,",1970,FALSE
"15","ALDERMAN","E  000018.5 .N48  1994","X002623900","A new moment in the Americas /","",1994,FALSE
"16","ALDERMAN","E  000018.7 .A44  1995","X002600664","America in European consciousness, 1493-1750 /","",1995,FALSE
"17","ALDERMAN","E  000018.75 .C47  1992","X002280821","Changing boundaries in the Americas : new perspectives on the U.S.-Mexican, Central American, and South American borders /","",1992,FALSE
"18","ALDERMAN","E  000018.75 .C68  2014","X031627178","Contested spaces of early America /","",2014,FALSE
"19","ALDERMAN","E  000018.75 .E45  1998","X030254515","Do the Americas have a common history? : an address /","Elliott, J. H. (John Huxtable)",1998,FALSE
"20","ALDERMAN","E  000018.75 .F76  V.000001","X000076134","The Frontier : comparative studies /","",1977,TRUE
"21","ALDERMAN","E  000018.75 .G34  1982  V.000001","X000840992","Memoria del fuego /","Galeano, Eduardo,",1982,TRUE
"22","ALDERMAN","E  000018.75 .L36  1998","X004200504","Pillaging the empire : piracy in the Americas, 1500-1750 /","Lane, Kris E.,",1998,FALSE
"23","CLEMONS","E  000018.75 .L47  2009","X030517454","The fourth part of the world : the race to the ends of the Earth, and the epic story of the map that gave America its name /","Lester, Toby.",2009,FALSE
"24","ALDERMAN","E  000018.75 .P65  2015","X031705604","Revolutions without borders : the call to liberty in the Atlantic world /","Polasky, Janet L.,",2015,FALSE
"25","ALDERMAN","E  000018.75 .S66  2009","X030558711","Misplaced objects : migrating collections and recollections in Europe and the Americas /","Spitta, Silvia,",2009,FALSE
"26","ALDERMAN","E  000018.82 .A24  1993","X002252654","Les français en Amérique : histoire d'une colonisation /","Abénon, Lucien-René.",1993,FALSE
"27","ALDERMAN","E  000018.82 .A55  2016","X031795673","Portrait of a woman in silk : hidden histories of the British Atlantic world /","Anishanslin, Zara,",2016,FALSE
"28","ALDERMAN","E  000018.82 .A848  2005","X004768833","The Atlantic world : essays on slavery, migration, and imagination /","",2005,FALSE
"29","ALDERMAN","E  000018.82 .A85  2001","X004605122","The Atlantic world in the Age of Empire /","",2001,FALSE
"30","ALDERMAN","E  000018.82 .B435  2012","X031611724","Nordamerika aus süddeutscher Perspektive : die Neue Welt in der gelehrten Kommunikation des 18. Jahrhunderts /","Becker, Rainald.",2012,FALSE
"31","ALDERMAN","E  000018.82 .B75  2002","X004633902","The British Atlantic world, 1500-1800 /","",2002,FALSE
"32","ALDERMAN","E  000018.82 .C36  2006","X030140033","Puritan conquistadors : iberianizing the Atlantic, 1550-1700 /","Cañizares-Esguerra, Jorge.",2006,FALSE
"33","ALDERMAN","E  000018.82 .C64  1987","X001261365","Colonial identity in the Atlantic world, 1500-1800 /","",1987,FALSE
