"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","F  000001 .D8A V.000004 001979","X000594359","New England meeting house and church: 1630-1850 /","",1979,TRUE
"2","ALDERMAN","F  000001 .D8A V.000005 001980","X000595728","New England prospect : maps, place names, and the historical landscape /","",1982,TRUE
"3","ALDERMAN","F  000001 .D8A V.000007 001982","X000818567","Foodways in the Northeast /","Dublin Seminar for New England Folklife.",1984,TRUE
"4","ALDERMAN","F  000001 .D8A V.000012 001987","X004008571","Early American probate inventories /","",1989,TRUE
"5","ALDERMAN","F  000001 .D8A V.000017 001992","X002648856","Wonders of the invisible world, 1600-1900 /","Dublin Seminar for New England Folklife",1995,TRUE
"6","ALDERMAN","F  000001 .D8A V.000019 001994","X004063282","Painting and portrait making in the American Northeast /","Dublin Seminar for New England Folklife",1995,TRUE
"7","ALDERMAN","F  000001 .D8A V.000020 001995","X006050405","Plants and people /","",1996,TRUE
"8","ALDERMAN","F  000001 .D8A V.000021 001996","X006071144","New England music : the public sphere, 1600-1900 /","Dublin Seminar for New England Folklife",1998,TRUE
"9","ALDERMAN","F  000001 .D8A V.000022 001997","X006028893","Textiles in early New England : design, production, and consumption /","The Dublin Seminar for New England Folklife",1999,TRUE
"10","ALDERMAN","F  000001 .D8A V.000023","X006091602","Rural New England furniture : people, place, and production /","Dublin Seminar for New England Folklife",1998,TRUE
"11","ALDERMAN","F  000001 .D8A V.000024","X006136914","Textiles in New England II : four centuries of material life / /","",2001,TRUE
"12","ALDERMAN","F  000001 .D8A V.000025 002000","X004620715","New England celebrates: spectacle, commemoration, and festivity /","Dublin Seminar for New England Folklife.",2002,TRUE
"13","ALDERMAN","F  000001 .D8A V.000026 002001","X004640965","Women's work in New England, 1620-1920 /","Dublin Seminar for New England Folklife",2003,TRUE
"14","ALDERMAN","F  000001 .D8A V.000027 002002","X004826436","The worlds of children, 1620-1920 /","Dublin Seminar for New England Folklife",2004,TRUE
"15","ALDERMAN","F  000001 .D8A V.000028 002003","X030000678","Slavery/antislavery in New England /","",2005,TRUE
"16","ALDERMAN","F  000001 .D8A V.000029 002004","X030166795","New England collectors and collections /","Dublin Seminar for New England Folklife.",2006,TRUE
"17","ALDERMAN","F  000001 .D8A V.000030 002005","X030456448","Life on the streets and commons, 1600 to the present /","",2007,TRUE
"18","ALDERMAN","F  000001 .D8A V.000031 002006/000007","X030614015","In our own words : New England diaries, 1600 to the present /","",2009,TRUE
"19","ALDERMAN","F  000001 .D8A V.33  2008","X031576745","New England and the Caribbean /","Dublin Seminar for New England Folklife",2012,TRUE
"20","ALDERMAN","F  000001 .D8A V.34  2009","X031800023","Waterways and byways, 1600-1890 /","Dublin Seminar for New England Folklife",2014,TRUE
"21","ALDERMAN","F  000001 .D8A V.35  2010","X031726592","Dressing New England : clothing, fashion, and identity /","Dublin Seminar for New England Folklife",2014,TRUE
"22","ALDERMAN","F  000001 .D8A V.37  2012","X031800029","The Irish in New England /","Dublin Seminar for New England Folklife",2016,TRUE
"23","ALDERMAN","F  000001 .D8A V.40  2015","X031831311","Schooldays in New England, 1650-1900 /","Dublin Seminar for New England Folklife",2018,TRUE
"24","ALDERMAN","F  000003 .A54  2001  V.000001","X004394238","The Great migration : immigrants to New England, 1634-1635 /","Anderson, Robert Charles,",1999,TRUE
"25","ALDERMAN","F  000003 .D48  2008","X030251523","Inheriting the trade : a Northern family confronts its legacy as the largest slave-trading dynasty in U.S. history /","DeWolf, Thomas Norman,",2008,FALSE
"26","ALDERMAN","F  000004 .C76  2001","X004554178","Imagining New England : explorations of regional identity from the pilgrims to the mid-twentieth century /","Conforti, Joseph A.",2001,FALSE
"27","ALDERMAN","F  000004 .D26  1897  V.000004","X000208935","The New England States, their constitutional, judicial,         educational, commercial, professional and industrial history;","",1897,TRUE
"28","ALDERMAN","F  000004 .L46  2003","X004663545","Sightseeking : clues to the landscape history of New England /","Lenney, Christopher J.",2003,FALSE
"29","ALDERMAN","F  000004 .S62  1961","X004698453","Mysterious tales of the New England coast.","Snow, Edward Rowe.",1961,FALSE
"30","ALDERMAN","F  000004 .S67  1965","X000360882","Ancestors and immigrants : a changing New England tradition /","Solomon, Barbara Miller.",1965,FALSE
"31","ALDERMAN","F  000004 .V53  2005","X004860316","Young men and the sea : Yankee seafarers in the age of sail /","Vickers, Daniel.",2005,FALSE
"32","ALDERMAN","F  000004 .W66  1997","X004094782","The New England village /","Wood, Joseph Sutherland,",1997,FALSE
"33","CLEMONS","F  000006 .D43","X002227957","In small things forgotten : the archaeology of early American life /","Deetz, James.",1977,FALSE
