"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","G  000001 .G4  BD.000065","X030599453","Historische Geographie der Deutschen Demokratischen Republik : Literaturbericht 1945 bis 1968.","",1976,TRUE
"2","ALDERMAN","G  000001 .N275  H39  2010","X030690739","American iconographic : National Geographic, global culture, and the visual imagination /","Hawkins, Stephanie L.,",2010,FALSE
"3","ALDERMAN","G  000001 .N275  L88  1993","X002314705","Reading National geographic /","Lutz, Catherine.",1993,TRUE
"4","ALDERMAN","G  000001 .N275  R68  2007","X030261598","Presenting America's world : strategies of innocence in National geographic magazine, 1888-1945 /","Rothenberg, Tamar Y.",2007,TRUE
"5","ALDERMAN","G  000001 .P44  NO.000135 001901","X031933413","Die Bevölkerung der Erde. Periodische Übersicht über neue Arealberechnungen, Gebietsveränderungen, Zählungen und Schätzungen der Bevölkerung auf der gesamten Erdoberfläche. 11. Asien und Australien samt den Südsee-Inseln.","Supan, Alexander,",1901,TRUE
"6","ALDERMAN","G  000001 .P44  NO.000269 001960","X031933331","Vermessungskunde für Kartographen, sowie alle ingenieurtechnischen Mitarbeiter des Karten- und Vermessungswesens.","Koitzsch, Richard,",1957,TRUE
"7","ALDERMAN","G  000002 .I5  1966  V.000002","X031976928","Conferencia Regional Latinoamericana, México, 1966.","International Geographical Union.",1966,TRUE
"8","ALDERMAN","G  000003 .A5  M67  2011","X030816428","Civic discipline : geography in America, 1860-1890 /","Morin, Karen M.",2011,FALSE
"9","ALDERMAN","G  000003 .A73  000044TH 001947 SUPPL.","X031998876","Annual meetings of american geographers","Annual Meeting of American Geographers, Saturday through Wednesday December 27, 28, 29, 30, and 31, 1947",1947,TRUE
"10","ALDERMAN","G  000003 .N37  A27  1986","X001187042","National geographic : behind America's lens on the world /","Abramson, Howard S.",1987,FALSE
"11","ALDERMAN","G  000003 .P66  2004","X004805543","Explorers house : National Geographic and the world it made /","Poole, Robert M.",2004,FALSE
"12","ALDERMAN","G  000005 .S68  001952-000055","X031926996","Informe : sobre los trabajos cartograficos, geofiscos, hidrometricos y meteorologicos, estudios de suelos, trabajos demograficos, la ensenanza y labor editorial en geografia y las actividades de la sociedad mexicana de geografia y estadistica","Sociedad Mexicana de Geografia y Estadistica",1955,FALSE
