"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","HA 000001 .S3  V.49  1990","X031602616","Basic content analysis /","Weber, Robert Philip.",1990,TRUE
"2","ALDERMAN","HA 000017 .K6","X000169789","Russian-English dictionary of statistical terms and expressions, and Russian reader in statistics.","Kotz, Samuel.",1964,FALSE
"3","ALDERMAN","HA 000019 .D4713  1998","X004260910","The politics of large numbers : a history of statistical reasoning /","Desrosières, Alain.",1998,FALSE
"4","ALDERMAN","HA 000019 .P37  1996","X004068123","Numbers and nationhood : writing statistics in nineteenth-century Italy /","Patriarca, Silvana.",1996,FALSE
"5","ALDERMAN","HA 000029 .A32  1986","X001220073","The statistical analysis of quasi-experiments /","Achen, Christopher H.",1986,FALSE
"6","ALDERMAN","HA 000029 .A4  2001","X004609400","The age of economic measurement /","",2001,FALSE
"7","ALDERMAN","HA 000029 .A49  1984","X000915066","Cluster analysis /","Aldenderfer, Mark S.",1984,FALSE
"8","ALDERMAN","HA 000029 .A5824  2002","X004586285","The analysis and interpretation of multivariate data for social scientists /","",2002,FALSE
"9","ALDERMAN","HA 000029 .A5828  1994","X002437487","Analyzing qualitative data /","",1994,FALSE
"10","ALDERMAN","HA 000029 .A665  2002","X004589140","Theory-based data analysis for the social sciences /","Aneshensel, Carol S.",2002,FALSE
"11","CLEMONS","HA 000029 .A88  2007","X030330727","Super crunchers : why thinking-by-numbers is the new way to be smart /","Ayres, Ian.",2007,FALSE
"12","ALDERMAN","HA 000029 .B5  1998","X006073156","Longitudinal data analysis : designs, models and methods /","Bijleveld, Catrien C. J. H.",1998,FALSE
"13","CLEMONS","HA 000029 .B754  2014","X031627391","Bourdieu and data analysis : methodological principles and practice /","",2014,FALSE
"14","ALDERMAN","HA 000029 .B835  1997","X004153911","Computational handbook of statistics /","Bruning, James L.",1997,FALSE
"15","ALDERMAN","HA 000029 .B92  1980","X000169180","Elements of statistics : an introduction to probability and statistical inference /","Byrkit, Donald R.",1980,FALSE
"16","ALDERMAN","HA 000029 .C38  1997","X004140284","Causality in crisis? : statistical methods and the search for causal knowledge in the social sciences /","",1997,FALSE
"17","ALDERMAN","HA 000029 .C65  2004","X004702253","Essentials of statistics for the social and behavioral sciences /","Cohen, Barry H.,",2004,FALSE
"18","ALDERMAN","HA 000029 .C66  1977","X000558025","Statistical power analysis for the behavioral sciences /","Cohen, Jacob,",1977,FALSE
"19","ALDERMAN","HA 000029 .C66  1988","X001359382","Statistical power analysis for the behavioral sciences /","Cohen, Jacob,",1988,FALSE
"20","ALDERMAN","HA 000029 .C7724  2015","X031822044","Basics of qualitative research : techniques and procedures for developing grounded theory /","Corbin, Juliet M.,",2015,FALSE
"21","ALDERMAN","HA 000029 .D39  2002","X006135314","Analyzing social science data /","De Vaus, D. A.",2002,FALSE
"22","ALDERMAN","HA 000029 .D4  1999","X004253683","Grounding grounded theory : guidelines for qualitative inquiry /","Dey, Ian.",1999,FALSE
"23","ALDERMAN","HA 000029 .E27  2004","X004808864","Ecological inference : new methodological strategies /","",2004,FALSE
"24","ALDERMAN","HA 000029 .E28  2011","X030879718","Guide to economic indicators : making sense of economics.","",2011,FALSE
"25","ALDERMAN","HA 000029 .E497  2010","X030720795","Applied missing data analysis /","Enders, Craig K.",2010,FALSE
"26","CLEMONS","HA 000029 .F4  1976","X000185634","Statistical analysis in psychology & education /","Ferguson, George Andrew.",1976,FALSE
"27","ALDERMAN","HA 000029 .G136  2014","X031658697","Statistical modeling and inference for social science /","Gailmard, Sean.",2014,FALSE
"28","ALDERMAN","HA 000029 .G527  2008","X030263118","Agent-based models /","Gilbert, G. Nigel.",2008,FALSE
"29","ALDERMAN","HA 000029 .G567  1992","X001775692","ANOVA : repeated measures /","Girden, Ellen R.",1992,FALSE
"30","ALDERMAN","HA 000029 .G57  2008","X030261618","Learning from data : an introduction to statistical reasoning /","Glenberg, Arthur M.",2008,FALSE
"31","ALDERMAN","HA 000029 .G726  1995","X006070993","Essentials of statistics for the behavioral sciences /","Gravetter, Frederick J.",1995,FALSE
"32","ALDERMAN","HA 000029 .G726  2008","X030254947","Essentials of statistics for the behavioral sciences /","Gravetter, Frederick J.",2008,FALSE
"33","ALDERMAN","HA 000029 .G727  1995","X006071179","Instructor's manual to accompany essentials of statistics for the behavioral sciences /","Gravetter, Frederick J.",1995,FALSE
"34","ALDERMAN","HA 000029 .G7735  1993","X002647360","Statistical applications for the behavioral sciences /","Grimm, Laurence G.",1993,FALSE
"35","ALDERMAN","HA 000029 .H145  2012","X031199141","Integrative statistics for the social & behavioral sciences /","Ha, Renee R.",2012,FALSE
"36","CLEMONS","HA 000029 .H2417","X000185635","Basic statistics: a modern approach.","Hamburg, Morris,",1974,FALSE
"37","ALDERMAN","HA 000029 .H245  2004","X004773740","Handbook of data analysis /","",2004,FALSE
"38","ALDERMAN","HA 000029 .H2487  1995","X002626331","Handbook of statistical modeling for the social and behavioral sciences /","",1995,FALSE
