"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","HB 000001 .C57  001954","X032019042","Annual Report","Committee for Economic Development",1954,FALSE
"2","ALDERMAN","HB 000001 .D57  NO.000130","X001850496","The anatomy of financial crises /","Eichengreen, Barry J.",1986,TRUE
"3","ALDERMAN","HB 000001 .D57  NO.000249","X002063889","Counting the cost of voluntary export restrictions in the European  car market /","Digby, Caroline.",1988,TRUE
"4","ALDERMAN","HB 000001 .D57  NO.000634","X002086245","The Marshall Plan : history's most successful structural adjustment program /","De Long, J. Bradford.",1992,TRUE
"5","ALDERMAN","HB 000001 .D57  NO.000638","X002194522","The Marshall Plan : economic effects and implications for Eastern Europe and the former USSR /","Eichengreen, Barry J.",1992,TRUE
"6","ALDERMAN","HB 000001 .D57  NO.001408","X032019033","Women's employment transitions around childbearing /","Dex, Shirley.",1996,TRUE
"7","ALDERMAN","HB 000001 .D57  NO.002161","X006003480","From value at risk to stress testing : the extreme value approach /","Longin, François M.",1999,TRUE
"8","ALDERMAN","HB 000001 .D57  NO.004221","X004795971","Riding the South Sea Bubble /","Temin, Peter.",2004,TRUE
"9","ALDERMAN","HB 000001 .D57  NO.004429","X004846229","Spurious growth in German output data, 1913-1938 /","Ritschl, Albrecht.",2004,TRUE
"10","ALDERMAN","HB 000001 .D57  NO.004965","X004944535","Trade and growth with heterogeneous firms /","Baldwin, Richard E.",2005,TRUE
"11","CLEMONS","HB 000001 .N37  NO.4890","X002609997","Market timing ability and volatility implied in investment newsletters' asset allocation recommendations /","Graham, John R.,",1994,TRUE
"12","ALDERMAN","HB 000001 .R36  V.000009 002002","X004696472","Experiments investigating market power /","",2002,TRUE
"13","ALDERMAN","HB 000001 .R36  V.10  2005","X004748445","Field experiments in economics /","",2005,TRUE
"14","ALDERMAN","HB 000001 .R36  V.14  2011","X030942390","Experiments on energy, the environment, and sustainability /","",2011,TRUE
"15","ALDERMAN","HB 000001 .R36  V.15  2012","X030890554","New advances in experimental research on corruption /","",2012,TRUE
"16","ALDERMAN","HB 000001 .R36  V.16  2013","X031623903","Experiments in financial economics /","",2013,TRUE
"17","ALDERMAN","HB 000001 .R36  V.17","X031721783","Experiments in macroeconomics /","",2014,TRUE
"18","ALDERMAN","HB 000001 .R36  V.18","X031713953","Replication in experimental economics /","",2015,TRUE
"19","ALDERMAN","HB 000001 .R36  V.19","X031800244","Experiments in organizational economics /","",2017,TRUE
"20","ALDERMAN","HB 000001 .R36  V.20","X032212398","Experimental economics and culture /","",2018,TRUE
"21","ALDERMAN","HB 000001 .S43  2014","X031626614","Secrets of economics editors /","",2014,FALSE
"22","ALDERMAN","HB 000006 .B33  2003","X004772489","The Penguin dictionary of economics /","Bannock, Graham.",2003,FALSE
"23","ALDERMAN","HB 000009 .B693  R.7  1969","X032024383","Oeconomica","[Zbornik Filozofickej Fakulty Univerzity Komenskeho]",1970,TRUE
"24","ALDERMAN","HB 000009 .E9  000112.JARHG 001964","X032010802","De economist","",1964,FALSE
