"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","HC 000010 .W79  2018  APRIL","X032085094","World economic outlook, April 2018 : cyclical upswing, structural change /","",2018,FALSE
"2","ALDERMAN","HC 000010 .W79798  2013  OCT.","X031657407","World Economic Outlook, October 2013 : Transitions and Tensions.","",2013,FALSE
"3","ALDERMAN","HC 000010 .W79798  2015  OCT.","X031657408","World economic outlook, October 2015 : adjusting to lower commodity prices.","",2015,FALSE
"4","ALDERMAN","HC 000013 .L35  1998","X004153210","Unintended consequences : the impact of factor endowments, culture, and politics on long-run economic performance /","Lal, Deepak.",1998,FALSE
"5","ALDERMAN","HC 000013 .P77","X000155241","Processes of the world-system /","",1980,FALSE
"6","ALDERMAN","HC 000014 .B38  001954-001957 MAR.","X032014177","Monthly trade review /","",1954,FALSE
"7","ALDERMAN","HC 000021 .B37  1937","X000280153","An economic history of the western world,","Barnes, Harry Elmer,",1937,FALSE
"8","ALDERMAN","HC 000021 .C33  1989","X006095010","A concise economic history of the world : from paleolithic times to the present /","Cameron, Rondo E.",1989,FALSE
"9","CLEMONS","HC 000021 .C33  1997","X004435929","A concise economic history of the world : from Paleolithic times to the present /","Cameron, Rondo E.",1997,FALSE
"10","ALDERMAN","HC 000021 .C63  2007","X030250873","A farewell to alms : a brief economic history of the world /","Clark, Gregory,",2007,FALSE
"11","CLEMONS","HC 000021 .C649  1991","X002158709","Core/periphery relations in precapitalist worlds /","",1991,FALSE
"12","ALDERMAN","HC 000021 .H59  1982","X000508685","World-systems analysis : theory and methodology /","Hopkins, Terence K.",1982,FALSE
"13","ALDERMAN","HC 000021 .H84  1993","X002228131","World trade since 1431 : geography, technology, and capitalism /","Hugill, Peter J.",1993,FALSE
"14","ALDERMAN","HC 000021 .H85  2003","X004657526","Property and prophets : the evolution of economic institutions and ideologies /","Hunt, E. K.",2003,FALSE
"15","ALDERMAN","HC 000021 .I57  2015","X031708618","Institutions, innovation, and industrialization : essays in economic history and development /","",2015,FALSE
