"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","HD 000030 .I52  G.000015 BR.000017-000018","X031878640","Prava na nekretninama. Propisi i obja?njenja, sudska i upravna praksa, primjeri i obrasci.","Pavi?, ?uro.",1968,TRUE
"2","ALDERMAN","HD 000030 .I52  G.000021 BR.000012/000013","X031878638","Samoupravni op?i akti u organizacijama udru?enog rada /","",1974,TRUE
"3","ALDERMAN","HD 000030 .N3  NO.000039 001964","X031884676","Techniques of international trade in W. Germany, USA, and Japan.","National Productivity Council (India)",1964,TRUE
"4","CLEMONS","HD 000030.19 .M33  2009","X030618582","Chief culture officer : how to create a living, breathing corporation /","McCracken, Grant David,",2009,FALSE
"5","ALDERMAN","HD 000030.19 .S74  2010","X031607497","The management myth : debunking modern business philosophy /","Stewart, Matthew,",2010,FALSE
"6","ALDERMAN","HD 000030.2 .B87  1999","X004356292","Knowledge capitalism : business, work, and learning in the new economy /","Burton-Jones, Alan.",1999,FALSE
"7","ALDERMAN","HD 000030.2 .E85  2011","X031187559","Ethical issues and social dilemmas in knowledge management : organizational innovation /","",2011,FALSE
"8","ALDERMAN","HD 000030.2 .I28  2008","X030505075","ICTs and Indian social change : diffusion, poverty, governance /","",2008,FALSE
"9","ALDERMAN","HD 000030.2 .J375  2009","X030720620","What would Google do? /","Jarvis, Jeff,",2009,FALSE
"10","ALDERMAN","HD 000030.2 .M5465  2016","X031824398","The knowledge manager's handbook : a step-by-step guide to embedding effective knowledge management in your organization /","Milton, N. J. (Nick J.),",2016,FALSE
"11","ALDERMAN","HD 000030.2 .O7378  2001","X004420543","Organizational cognition : computation and interpretation /","",2001,FALSE
"12","ALDERMAN","HD 000030.2 .S25  2002","X004662071","Knowledge management in education : enhancing learning & education /","Sallis, Edward.",2002,FALSE
"13","ALDERMAN","HD 000030.2 .T495  1999","X004255638","Shared cognition in organizations : the management of knowledge /","Thompson, Leigh L.",1999,FALSE
"14","ALDERMAN","HD 000030.2 .W4516  2007","X030330672","Everything is miscellaneous : the power of the new digital disorder /","Weinberger, David,",2007,FALSE
"15","ALDERMAN","HD 000030.2 .W456  2009","X030567460","Organizational learning : how companies and institutions manage and apply knowledge /","Wellman, Jerry L.",2009,FALSE
"16","ALDERMAN","HD 000030.2 .W46  2009","X031786793","Digital Habitats : Stewarding Technology for Communities /","Wenger, Etienne,",2009,FALSE
"17","ALDERMAN","HD 000030.213 .W43  2017","X031813808","The big book of dashboards : visualizing your data using real-world business scenarios /","Wexler, Steve,",2017,FALSE
"18","ALDERMAN","HD 000030.23 .A3  2016","X031793168","Decision making and problem solving /","Adair, John Eric,",2016,FALSE
"19","ALDERMAN","HD 000030.23 .A55  1989","X001811669","The Analytic hierarchy process : applications and studies /","",1989,FALSE
"20","ALDERMAN","HD 000030.23 .B57  1997","X006047145","Decision-making under uncertainty /","Biswas, Tapan.",1997,FALSE
"21","ALDERMAN","HD 000030.23 .D363  2017","X032086505","Data-driven decision making in fragile contexts : evidence from Sudan /","",2017,FALSE
"22","ALDERMAN","HD 000030.23 .H372  1997","X004094949","The transformation of capitalist society /","Harris, Zellig S. (Zellig Sabbettai),",1997,FALSE
"23","ALDERMAN","HD 000030.23 .H69  2008","X030251070","Administrators solving the problems of practice : decision-making concepts, cases, and consequences /","Hoy, Wayne K.",2008,FALSE
"24","ALDERMAN","HD 000030.23 .K456  1998","X004120929","Sources of power : how people make decisions /","Klein, Gary A.",1998,FALSE
"25","ALDERMAN","HD 000030.23 .L578  2014","X031716465","Trillion dollar economists : how economists and their ideas have transformed business /","Litan, Robert E.,",2014,FALSE
"26","ALDERMAN","HD 000030.23 .M366  1988","X001360425","Decisions and organizations /","March, James G.",1988,FALSE
"27","CLEMONS","HD 000030.23 .P47  1992","X002185911","Managing with power : politics and influence in organizations /","Pfeffer, Jeffrey.",1992,FALSE
"28","ALDERMAN","HD 000030.23 .R83  1998","X004183987","Modeling bounded rationality /","Rubinstein, Ariel.",1998,FALSE
"29","ALDERMAN","HD 000030.23 .R876  2002","X004699016","Winning decisions : getting it right the first time /","Russo, J. Edward.",2002,FALSE
"30","ALDERMAN","HD 000030.23 .S77  1991","X002040640","Strategy and choice /","",1991,FALSE
"31","ALDERMAN","HD 000030.23 .T725  2003","X030204030","Discrete choice methods with simulation /","Train, Kenneth.",2003,FALSE
