"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","HE 000001 .R47  V.16","X030144827","Port economics /","",2006,TRUE
"2","ALDERMAN","HE 000001 .R47  V.20","X030262513","Railroad economics /","",2007,TRUE
"3","ALDERMAN","HE 000147.5 .S63  2013","X031650832","Smart transport networks : market structure, sustainability and decision making /","",2013,FALSE
"4","ALDERMAN","HE 000147.6 .I28  2015","X031732830","ICT for transport : opportunities and threats /","",2015,FALSE
"5","ALDERMAN","HE 000147.65 .B36  2005","X004833259","Unsustainable transport : city transport in the new century /","Banister, David.",2005,FALSE
"6","ALDERMAN","HE 000147.65 .D45  2014","X031654789","Towards sustainable road transport /","Dell, Ronald",2014,FALSE
"7","ALDERMAN","HE 000147.65 .M68  2013","X031614274","Moving towards low carbon mobility /","",2013,FALSE
"8","ALDERMAN","HE 000147.65 .T698  2012","X031213504","Transition towards sustainable mobility : the role of instruments, individuals and institutions /","",2012,FALSE
"9","ALDERMAN","HE 000147.65 .T735  2015","X031800590","Transport for sustainable development : the case of inland transport.","",2015,FALSE
"10","ALDERMAN","HE 000149 .S54  2007","X004832900","Postal systems in the pre-modern Islamic world /","Silverstein, Adam J.",2007,FALSE
"11","ALDERMAN","HE 000151 .B9  2010","X031829735","Transport economics /","Button, Kenneth,",2010,FALSE
"12","ALDERMAN","HE 000151 .D46  2009","X030277010","After the car /","Dennis, Kingsley.",2009,FALSE
"13","ALDERMAN","HE 000151 .G77  2018","X031814231","Transportation planning and public participation : theory, process, and practice /","Grossardt, Theodore H.,",2018,FALSE
"14","ALDERMAN","HE 000151 .H876  2016","X031739209","Door to door : the magnificent, maddening, mysterious world of transportation /","Humes, Edward,",2016,FALSE
"15","ALDERMAN","HE 000151 .K323  2015","X031706703","Move : putting America's infrastructure back in the lead /","Kanter, Rosabeth Moss,",2015,FALSE
"16","ALDERMAN","HE 000151 .L48  2017","X032210421","Elements of access : transport planning for engineers, transport engineering for planners /","Levinson, David M.,",2017,FALSE
"17","ALDERMAN","HE 000151 .M64  2011","X031215549","Mobilities : new perspectives on transport and society /","",2011,FALSE
"18","ALDERMAN","HE 000151 .U77  2007","X030278610","Mobilities /","Urry, John.",2007,FALSE
"19","ALDERMAN","HE 000161 .A33  2007","X004832310","Land transport in Roman Egypt : a study of economics and administration in a Roman province /","Adams, C. E. P. (Colin E. P.)",2007,FALSE
"20","ALDERMAN","HE 000191.5 .W37  2011","X030819392","Statistical and econometric methods for transportation data analysis /","Washington, Simon.",2011,FALSE
"21","ALDERMAN","HE 000194.5 .U6  H39  2012","X030841719","Permanent emergency : inside the TSA and the fight for the future of American security /","Hawley, Edmund S. (Edmund Summers),",2012,FALSE
"22","ALDERMAN","HE 000195.4 .F85  1997","X004177600","The full costs and benefits of transportation : contributions to theory, method, and measurement /","",1997,FALSE
"23","ALDERMAN","HE 000199 .A2  C37  2015","X031707186","Cargomobilities : moving materials in a global age /","",2015,TRUE
"24","ALDERMAN","HE 000199 .A2  C58  2011","X031187006","City distribution and urban freight transport : multiple perspectives /","",2011,TRUE
"25","ALDERMAN","HE 000199 .A2  H586  2013","X031619329","Globalization contained : the economic and strategic consequences of the container /","Hoovestal, Lance E.,",2013,FALSE
"26","ALDERMAN","HE 000199 .A2  M39  2006","X004904101","Uncommon carriers /","McPhee, John (John A.)",2006,FALSE
"27","ALDERMAN","HE 000199 .A2  M56  2014","X031620841","Modelling freight transport /","",2014,FALSE
"28","ALDERMAN","HE 000202 .S74  1986","X001109687","The English Atlantic, 1675-1740 : an exploration of communication and community /","Steele, Ian K. (Ian Kenneth),",1986,FALSE
