"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","HF 000073 .F7  P36  1993","X031919544","An administrative bureau during the old regime : the Bureau of Commerce and its relations to French industry from May 1781 to November 1783 /","Parker, Harold Talbot,",1993,FALSE
"2","ALDERMAN","HF 000073 .F7  V67  2017","X031811520","Gouverner le commerce au XVIIIe siècle : conseil et bureau du commerce /","Vosgien, Sébastien.",2017,TRUE
"3","ALDERMAN","HF 000141 .P65  2017","X031762323","The political economy of public finance : taxation, state spending and debt since the 1970s /","",2017,FALSE
"4","ALDERMAN","HF 000295 .K37  2015","X031730112","The influence machine : the U.S. Chamber of Commerce and the corporate capture of American life /","Katz, Alyssa,",2015,FALSE
"5","ALDERMAN","HF 000300 .C3  1957","X031667668","El Real Consulado de Caracas.","Arcila Farías, Eduardo",1957,FALSE
"6","ALDERMAN","HF 000306 .B787  1988","X030697885","Histoire de la Chambre de Commerce et d'Industrie de Bordeaux : des origines a nos jours (1705-1985) /","",1988,FALSE
"7","ALDERMAN","HF 000331 .C6  C438  2014","X031725238","Xun qiu gui ze yu zhi xu : 18-19 shi ji Chongqing shang ren zu zhi de yan jiu = Seeking for Rules and Order : Research on Chongqing Merchants' Organization in 18th-19th Century /","Chen, Yaping.",2014,TRUE
"8","ALDERMAN","HF 000331 .C6  W93  2011","X031230604","Zhongguo min jian shang hui tan suo /","Wu, Shichuan.",2011,FALSE
"9","ALDERMAN","HF 000352 .C87  1984","X000949573","Cross-cultural trade in world history /","Curtin, Philip D.",1984,FALSE
"10","ALDERMAN","HF 000352 .P58  1999","X004279702","The world that trade created : society, culture, and the world economy, 1400-the present /","Pomeranz, Kenneth.",1999,FALSE
"11","ALDERMAN","HF 000352 .P58  2013","X031617657","The world that trade created : society, culture, and the world economy, 1400 to the present /","Pomeranz, Kenneth.",2013,FALSE
"12","ALDERMAN","HF 000352 .P66  2006","X004909463","The world that trade created : society, culture, and the world economy, 1400 to present /","Pomeranz, Kenneth.",2006,FALSE
"13","ALDERMAN","HF 000352 .R45  2014","X031654820","Religion and trade : cross-cultural exchanges in world history, 1000-1900 /","",2014,FALSE
"14","ALDERMAN","HF 000352 .S65  2009","X030471656","Premodern trade in world history /","Smith, Richard L. (Richard Lee),",2009,FALSE
"15","ALDERMAN","HF 000352 .S8  1957  V.000002","X031668065","Studi in onore di Armando Sapori.","",1957,TRUE
"16","ALDERMAN","HF 000357 .P37  2017","X031842253","The roots of Western finance : power, ethics, and social capital in the ancient world /","Park, Thomas Kerlin,",2017,FALSE
"17","ALDERMAN","HF 000357 .T7  1998","X004224013","Trade, traders, and the ancient city /","",1998,FALSE
"18","ALDERMAN","HF 000363 .B77  1991","X002110558","Bronze Age trade in the Mediterranean : papers presented at the conference held at Rewley House, Oxford, in December 1989 /","",1991,FALSE
"19","ALDERMAN","HF 000363 .C57  1984","X000969378","Circulation of goods in non-palatial context in the ancient Near East : proceedings of the international conference organized by the Istituto per gli studi micenei ed egeo-anatolici /","",1984,FALSE
"20","ALDERMAN","HF 000365 .A44  2017","X032576663","al-Nash?? al-tij?r? f? Mi?r wa-bil?d al-Sh?m f? ?ill dawlat al-Mam?l?k al-ba?r?yah, 648-784 H /","?All?w?, ?Amm?r Mar??,",2017,FALSE
"21","ALDERMAN","HF 000367 .T73  2017","X031841046","Trade in the ancient Sahara and beyond /","",2017,FALSE
"22","ALDERMAN","HF 000373 .M45  1992","X002189566","Trade, transport, and society in the ancient world : a sourcebok /","Meijer, Fik.",1992,FALSE
"23","ALDERMAN","HF 000375 .B57  2009","X030566388","Governmental intervention in foreign trade in archaic and classical Greece /","Bissa, Errietta M. A.",2009,FALSE
"24","ALDERMAN","HF 000375 .B87  2010","X030608480","Mycenaean Greece, Mediterranean commerce, and the formation of identity /","Burns, Bryan E.,",2010,FALSE
"25","ALDERMAN","HF 000375 .M44  1979","X000594648","Il commercio greco arcaico : prexis ed emporie /","Mele, Alfonso.",1979,FALSE
"26","ALDERMAN","HF 000375 .R44  2003","X004789663","Exchange in Ancient Greece /","Reden, Sitta von.",2003,FALSE
"27","ALDERMAN","HF 000375 .R45  2003","X004743027","Maritime traders in the ancient Greek world /","Reed, C. M. (Charles M.)",2003,FALSE
"28","ALDERMAN","HF 000375 .T73  1983","X000507760","Trade in the ancient economy /","",1983,FALSE
"29","ALDERMAN","HF 000376 .A7  E54  2010","X030823515","Honor and profit : Athenian trade policy and the economy and society of Greece, 415-307 B.C.E. /","Engen, Darel Tai,",2010,FALSE
"30","ALDERMAN","HF 000376 .M9  M87  2017","X031806024","The collapse of the Mycenaean economy : imports, trade, and institutions, 1300-700 BCE /","Murray, Sarah (Sarah C.),",2017,FALSE
"31","ALDERMAN","HF 000377 .C27  1989","X001507334","The Periplus maris Erythraei : text with introduction, translation, and commentary /","Casson, Lionel,",1989,FALSE
"32","ALDERMAN","HF 000377 .C63  2018","X032211808","Rome and the Indian Ocean trade from Augustus to the early third century CE /","Cobb, Matthew Adam,",2018,FALSE
"33","ALDERMAN","HF 000377 .C86  1988","X001493580","Greeks, Romans, and barbarians : spheres of interaction /","Cunliffe, Barry W.",1988,FALSE
"34","ALDERMAN","HF 000377 .D37","X000223106","Commerce and social standing in ancient Rome /","D'Arms, John H.,",1981,FALSE
