"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","HG 000063 .A34  2002","X004635088","Ageing, financial markets and monetary policy /","",2002,FALSE
"2","CLEMONS","HG 000063 .F46  1988","X006088107","Financial market volatility : a symposium sponsored by the Federal Reserve Bank of Kansas City, Jackson Hole, Wyoming, August 17-19, 1988.","",1988,FALSE
"3","ALDERMAN","HG 000101 .A36  2007","X031641990","Performing capital : toward a cultural economy of popular and global finance /","Aitken, Rob.",2007,FALSE
"4","ALDERMAN","HG 000101 .B68  2000","X004438840","Theory of financial risk : from statistical physics to risk management /","Bouchaud, Jean-Philippe,",2000,FALSE
"5","ALDERMAN","HG 000101 .C62  2012","X030843176","The hour between dog and wolf : risk-taking, gut feelings and the biology of boom and bust /","Coates, John.",2012,FALSE
"6","ALDERMAN","HG 000101 .D47  2017","X031829583","The wisdom of finance : discovering humanity in the world of risk and return /","Desai, Mihir A. (Mihir Arvind),",2017,FALSE
"7","ALDERMAN","HG 000101 .F4413  2018","X032582479","Rated agency : investee politics in a speculative age /","Feher, Michel,",2018,FALSE
"8","ALDERMAN","HG 000101 .K46  2016","X031792529","Capital and the common good : how innovative finance is tackling the world's most urgent problems /","Keohane, Georgia Levenson,",2016,FALSE
"9","ALDERMAN","HG 000101 .P59  2012","X030843977","Emotions in finance : booms, busts and uncertainty /","Pixley, Jocelyn,",2012,FALSE
"10","ALDERMAN","HG 000101 .P74  2009","X031657042","Framing finance : the boundaries of markets and modern capitalism /","Preda, Alex,",2009,FALSE
"11","ALDERMAN","HG 000101 .T55  2009","X030508238","Financial Darwinism : create value or self-destruct in a world of risk /","Tilman, Leo M.,",2009,FALSE
"12","ALDERMAN","HG 000103 .H46  2013","X031627668","Ethics and finance : an introduction /","Hendry, John,",2013,FALSE
"13","ALDERMAN","HG 000103 .L49  2019","X032583595","Religion and finance : comparing the approaches of Judaism, Christianity and Islam /","Lewis, Mervyn,",2019,FALSE
"14","ALDERMAN","HG 000103 .M37  1999","X004375121","Financial ethics /","McCosh, Andrew M.",1999,FALSE
"15","ALDERMAN","HG 000106 .B75  2010","X030780567","Credit models and the crisis : a journey into CDOs, Copulas, correlations and dynamic models /","Brigo, Damiano,",2010,FALSE
"16","ALDERMAN","HG 000106 .B87  2010","X030241301","Financial market theory /","Burton, Edwin T.",2010,FALSE
"17","ALDERMAN","HG 000106 .C86  2004","X004913621","Introduction to the economics and mathematics of financial markets /","Cvitani?, Jak?a.",2004,FALSE
"18","ALDERMAN","HG 000106 .C86  2013","X032220754","Contract theory in continuous-time models /","Cvitani?, Jak?a.",2013,FALSE
"19","ALDERMAN","HG 000106 .D54  2015","X031706312","Financial and macroeconomic connectedness : a network approach to measurement and monitoring /","Diebold, Francis X.,",2015,FALSE
"20","ALDERMAN","HG 000106 .G34  2014","X031652967","Granularity theory with applications to finance and insurance /","Gagliardini, Patrick,",2014,FALSE
"21","ALDERMAN","HG 000106 .G84  2016","X031818527","The financial mathematics of market liquidity : from optimal execution to market making /","Guéant, Olivier,",2016,FALSE
"22","ALDERMAN","HG 000106 .L67  2001","X030455732","Computational finance : a scientific perspective /","Los, Cornelis Albertus,",2001,FALSE
"23","ALDERMAN","HG 000106 .M33  2016","X031763003","Applied conic finance /","Madan, Dilip B.,",2016,FALSE
"24","ALDERMAN","HG 000106 .P45  2014","X031655035","Fundamental models in financial theory /","Peleg, Doron,",2014,FALSE
"25","ALDERMAN","HG 000106 .S56  2005  V.000001","X030282639","Stochastic calculus for finance /","Shreve, Steven E.",2005,TRUE
"26","ALDERMAN","HG 000106 .T4  2002","X030595696","Quantitative methods for finance and investments /","Teall, John L.,",2002,FALSE
"27","ALDERMAN","HG 000106 .X45  2010","X030780512","ARCH models for financial applications /","Xekalaki, Evdokia.",2010,FALSE
"28","CLEMONS","HG 000136 .B87  2006","X030006705","Financial market theory : notes /","Burton, Edwin T.",2006,FALSE
"29","ALDERMAN","HG 000136 .N45  NO.000087/000088-000098/000099 001973-001974","X000213216","U. S. bank expansion via foreign branching : monetary policy implications /","Mastrapasqua, Frank.",1973,TRUE
"30","ALDERMAN","HG 000136 .P69  NO.000046","X000193443","Balance-of-payments deficits and the international market for liquidity.","Kindleberger, Charles P.,",1965,TRUE
"31","ALDERMAN","HG 000136 .P69  NO.000060","X031938338","Gold: barbarous relic or useful instrument?","Kriz, Miroslav Anthony,",1967,TRUE
"32","ALDERMAN","HG 000136 .P69  NO.000070","X031938331","The gold-dollar system; conditions of equilibrium and the price of gold.","Gilbert, Milton,",1968,TRUE
"33","ALDERMAN","HG 000136 .P69  NO.000166","X001209766","IMF conditionality : ineffectual, inefficient, mistargeted /","Spraos, John.",1986,TRUE
"34","ALDERMAN","HG 000136 .P69  NO.000174","X001593068","New approaches to the Latin American debt crisis /","Sachs, Jeffrey.",1989,TRUE
"35","ALDERMAN","HG 000136 .P69  NO.000177","X001777092","The ""triangular trade"" and the Atlantic economy of the eighteenth century : a simple general-equilibrium model /","Findlay, Ronald.",1990,TRUE
"36","ALDERMAN","HG 000136 .P69  NO.000203","X006039074","The theory and practice of financial stability /","Crockett, Andrew.",1997,TRUE
"37","ALDERMAN","HG 000136 .P69  NO.000207","X006070871","Should the IMF pursue capital-account convertibility? /","",1998,TRUE
"38","ALDERMAN","HG 000136 .P69  NO.000211","X006004399","A survey of financial liberalization /","Williamson, John,",1998,TRUE
"39","ALDERMAN","HG 000136 .P69  NO.000213","X006094020","Transition strategies and nominal anchors on the road to greater exchange-rate flexibility /","",1999,TRUE
"40","ALDERMAN","HG 000136 .P69  NO.000215","X006115472","No single currency regime is right for all countries or at all times /","Frankel, Jeffrey A.",1999,TRUE
"41","ALDERMAN","HG 000136 .P69  NO.000221","X006113293","Life at the top : international currencies in the twenty-first century /","Cohen, Benjamin J.",2000,TRUE
"42","ALDERMAN","HG 000151 .E32  2004","X004917223","Ei-Wa Wa-Ei kin?y?, sh?ken, hoken y?go jiten = The dictionary of securities insurance & financial terms : English-Japanese Japanese-English /","",2004,FALSE
"43","ALDERMAN","HG 000151 .P63  2010","X030818861","The pocket dictionary of finance.","",2010,FALSE
"44","ALDERMAN","HG 000151.5 .M47  2015","X031666329","Understanding financial charts : a Mergent handbook /","Mergent, Inc.",2015,FALSE
"45","ALDERMAN","HG 000152 .N49  2009","X030781597","New business and finance research developments /","",2009,FALSE
"46","ALDERMAN","HG 000153 .W4  1938","X031947809","Money, credit and banking,","Westerfield, Ray Bert,",1938,FALSE
"47","CLEMONS","HG 000171 .F47  2008","X030269483","The ascent of money : a financial history of the world /","Ferguson, Niall.",2008,FALSE
"48","ALDERMAN","HG 000171 .F47  2008B","X030276656","The ascent of money : a financial history of the world /","Ferguson, Niall.",2008,FALSE
"49","ALDERMAN","HG 000171 .O44  2011","X031193235","Les routes de l'argent : réseaux et flux financiers de Paris à Hambourg (1789-1815) /","Oliveira, Matthieu de.",2011,FALSE
"50","ALDERMAN","HG 000171 .S52  2012","X030841767","Finance and the good society /","Shiller, Robert J.",2012,FALSE
"51","CLEMONS","HG 000172 .A2  A43  2009","X030516662","Lords of finance : the bankers who broke the world /","Ahamed, Liaquat.",2009,FALSE
"52","CLEMONS","HG 000172 .A2  F72  2008","X030384629","Wall Street : America's dream palace /","Fraser, Steve,",2008,TRUE
"53","ALDERMAN","HG 000172 .A2  J67","X000424942","The money lords; the great finance capitalists, 1925-1950.","Josephson, Matthew,",1972,FALSE
"54","ALDERMAN","HG 000172 .A2  O26  2014","X031715776","K?ndae Han'guk ?i chabon'gad?l : Min Y?ng-hwi es? An H?i-je kkaji, Pusan es? P'y?ngyang kkaji = The capitalists in modern Korea : from Min Yeong-hwi to Ahn Hee-je, from Busan to Pyongyang /","O, Mi-il,",2014,FALSE
"55","CLEMONS","HG 000172 .A2  T7  1980","X000070589","The money masters /","Train, John.",1980,TRUE
"56","CLEMONS","HG 000172 .A2  T73  1994","X006087962","The new money masters : winning investment strategies of Soros, Lynch, Steinhardt, Rogers, Neff, Wanger, Michaelis, Carret /","Train, John.",1994,TRUE
"57","CLEMONS","HG 000172 .A2  T73  1994B","X004345108","The money masters /","Train, John.",1994,TRUE
"58","ALDERMAN","HG 000172 .A2  W75  2006","X004899450","Financial founding fathers : the men who made America rich /","Wright, Robert E. (Robert Eric),",2006,FALSE
"59","CLEMONS","HG 000172 .B56  A3  1997","X004351616","Bloomberg by Bloomberg /","Bloomberg, Michael.",1997,FALSE
"60","ALDERMAN","HG 000172 .B56  F33  2012","X030879557","Mike! : Wall Street's mayor /","Fabricant, Neil,",2012,TRUE
"61","ALDERMAN","HG 000172 .B77  A3  2015","X031650206","Red notice : a true story of high finance, murder, and one man's fight for justice /","Browder, Bill,",2015,FALSE
"62","CLEMONS","HG 000172 .B84  L69  1996","X004345097","Buffett : the making of an American capitalist /","Lowenstein, Roger.",1996,TRUE
"63","ALDERMAN","HG 000172 .B84  L8  2016","X031791019","Inside the investments of Warren Buffett : twenty cases /","Lu, Yefei,",2016,TRUE
"64","CLEMONS","HG 000172 .B84  S37  2008","X030505501","The snowball : Warren Buffett and the business of life /","Schroeder, Alice.",2008,FALSE
"65","ALDERMAN","HG 000172 .B84  T37  2013","X031641810","Tap dancing to work : Warren Buffett on practically everything, 1966-2013 : a Fortune magazine book /","",2013,TRUE
"66","CLEMONS","HG 000172 .B84  T72  1987","X002426736","The midas touch : the strategies that have made Warren Buffett America's pre-eminent investor /","Train, John.",1987,TRUE
"67","ALDERMAN","HG 000172 .D4  2001","X004479001","Villard : the life and times of an American titan /","De Borchgrave, Alexandra Villard.",2001,FALSE
"68","CLEMONS","HG 000172 .D495  M33  2009","X030517449","Last man standing : the ascent of Jamie Dimon and JPMorgan Chase /","McDonald, Duff.",2009,FALSE
"69","ALDERMAN","HG 000172 .D74  B76  1986","X000994601","The money game in old New York : Daniel Drew and his times /","Browder, Clifford,",1986,FALSE
"70","ALDERMAN","HG 000172 .E88  H46  2000","X004397759","The white sharks of Wall Street : Thomas Mellon Evans and the original corporate raiders /","Henriques, Diana B.",2000,FALSE
"71","ALDERMAN","HG 000172 .F57  M33  1981","X000219224","The life and times of Col. James Fisk, Jr. /","McAlpine, R. W. (Robert W.),",1981,FALSE
"72","ALDERMAN","HG 000172 .H36  W45  2015","X031230440","Prince of darkness : the untold story of Jeremiah G. Hamilton, Wall Street's first black millionaire /","White, Shane,",2015,FALSE
"73","CLEMONS","HG 000172 .K38  A3  2000","X004493480","On money and markets : a Wall Street memoir /","Kaufman, Henry.",2000,FALSE
