"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",692685,"X001108599","HJ7461 .B75 1987","CLEMONS","Public finance and the price system /","Browning, Edgar K.",1987,"6/29/96","4/16/12",24,257,1,1,"3",FALSE,1,"1",0
"2",2618946,"X004020331","HJ7461 .B75 1994","CLEMONS","Public finance and the price system /","Browning, Edgar K.",1994,"10/10/96","4/16/12",0,130,1,1,"3",FALSE,2,"1",0
"3",78133,"X001059752","HJ8083 .P65 1986","ALDERMAN","The Politics of international debt /","",1986,"6/28/96","5/17/11",16,120,0,1,"2",FALSE,3,"1",0
"4",2272339,"X002330131","HJ1301 .Z6 P64 1993","ALDERMAN","The Politics of finance in developing countries /","",1993,"7/1/96","5/6/14",9,112,3,1,"2",FALSE,4,"1",0
"5",753429,"X000117599","HJ247 .F4 1961","ALDERMAN","The power of the purse; a history of American public finance, 1776-1790.","Ferguson, E. James (Elmer James),",1961,"6/29/96","11/28/17",8,93,4,1,"2 3",FALSE,5,"1",0
"6",443850,"X000128853","HJ8483 .M66","ALDERMAN","Two paths to the new South : the Virginia debt controversy, 1870-1883 /","Moore, James Tice.",1974,"6/29/96","9/2/16",2,92,0,1,"2 10 14 17",FALSE,6,"1",0
"7",4628468,"X030274361","HJ141 .G78 2007","ALDERMAN","Public finance and public policy /","Gruber, Jonathan.",2007,"9/27/07","9/2/18",2,104,45,2,"2 17",FALSE,7,"1",0
"8",1347569,"X001606045","HJ8899 .S38 1989","ALDERMAN","In the dominions of debt : historical perspectives on dependent development /","Schwartz, Herman M.,",1989,"6/30/96","5/12/18",7,80,3,1,"2",FALSE,8,"1",0
"9",787942,"X001293595","HJ1082 .B78 1986","ALDERMAN","Gestionnaires et profiteurs de la rÈvolution : l'administration des finances franÁaises de Louis XVI ‡ Bonaparte /","BruguiËre, Michel.",1986,"6/29/96","12/24/06",0,93,0,1,"2",FALSE,9,"1",0
"10",2880705,"X004265649","HJ2381 .Z45 1998","ALDERMAN","Taxing America : Wilbur D. Mills, Congress, and the state, 1945-1975 /","Zelizer, Julian E.",1998,"2/15/99","11/28/17",6,67,3,1,"2 17",FALSE,10,"1",0
"11",230590,"X000082685","HJ2362 .R3 1980","ALDERMAN","Taxation and democracy in America /","Ratner, Sidney,",1980,"6/28/96","8/6/15",4,75,1,1,"2",FALSE,11,"1",0
"12",1252005,"X001364238","HJ2250 .L48 1988","ALDERMAN","Of rule and revenue /","Levi, Margaret.",1988,"6/30/96","12/16/18",3,68,26,1,"2",FALSE,12,"1",0
"13",2250518,"X002310865","HJ2305 .S85 1993","ALDERMAN","Taxation and democracy : Swedish, British, and American approaches to financing the modern state /","Steinmo, Sven.",1993,"7/1/96","8/18/15",7,69,0,1,"2 17",FALSE,13,"1",0
"14",3833188,"X004608569","HJ257.2 .R67 2002","CLEMONS","Public finance /","Rosen, Harvey S.",2002,"4/29/02","4/18/18",2,56,0,1,"3",FALSE,14,"1",0
"15",4301513,"X004938236","HJ141 .G78 2005","ALDERMAN","Public finance and public policy /","Gruber, Jonathan.",2005,"9/1/05","5/11/17",9,50,8,1,"2",FALSE,15,"1",0
"16",1294181,"X001573079","HJ9773 .B33 1988","CLEMONS","Governmental accounting, auditing, and financial reporting.","Bean, David R.",1988,"6/30/96","7/17/08",0,87,0,2,"3",FALSE,16,"1",0
"17",1285067,"X001464934","HJ8654 .S28 1988","ALDERMAN","American ""reparations"" to Germany, 1919-33 : implications for the Third-World debt crisis /","Schuker, Stephen A.,",1988,"6/30/96","11/7/16",6,72,2,2,"2 3",FALSE,17,"1",0
"18",40010,"X000929102","HJ4652 .W69 1985","ALDERMAN","The politics and development of the federal income tax /","Witte, John F.",1985,"6/28/96","10/26/16",4,59,3,1,"2 3",FALSE,19,"1",0
"19",2510518,"X002712506","HJ2381 .F86 1996","ALDERMAN","Funding the modern American state, 1941-1995 : the rise and fall of the era of easy finance /","",1996,"7/1/96","4/13/16",2,55,2,1,"2",FALSE,20,"1",0
"20",2579886,"X002777232","HJ3833 .S26 1996","ALDERMAN","Debt wish : entrepreneurial cities, U.S. federalism, and economic development /","Sbragia, Alberta M.",1996,"7/1/96","8/10/09",0,64,0,1,"2",FALSE,21,"1",0
"21",236470,"X000154540","HJ2368 .B4","ALDERMAN","Revolution, reform, and the politics of American taxation, 1763-1783 /","Becker, Robert A.,",1980,"6/28/96","4/21/14",3,57,5,1,"2",FALSE,22,"1",0
"22",530605,"X001848672","HJ1030 .R65 1969","ALDERMAN","The Treasury; the evolution of a British institution.","Roseveare, Henry.",1969,"6/29/96","8/8/18",0,50,4,1,"2 3",FALSE,23,"1",0
"23",532351,"X000112916","HJ241 .M93","ALDERMAN","A financial history of the United States,","Myers, Margaret G. (Margaret Good),",1970,"6/29/96","9/25/18",2,46,34,2,"2 3 17",FALSE,24,"1",0
"24",1250138,"X001357497","HJ2050 .S28 1988","ALDERMAN","Balanced budgets & American politics /","Savage, James D.,",1988,"6/30/96","5/12/15",10,71,4,2,"2 3",FALSE,25,"1",0
"25",1635806,"X001824956","HJ2051 .W45 1989","CLEMONS","The deficit and the public interest : the search for responsible budgeting in the 1980s /","White, Joseph,",1989,"6/30/96","3/17/11",11,82,7,3,"2 3",FALSE,26,"1",0
"26",306276,"X000133201","HJ7539 .S38","ALDERMAN","The public use of private interest /","Schultze, Charles L.",1977,"6/28/96","5/25/17",1,51,0,2,"2 3 17",FALSE,27,"1",0
"27",2284396,"X002421513","HJ241 .P47 1994","ALDERMAN","American public finance and financial services, 1700-1815 /","Perkins, Edwin J.",1994,"7/1/96","8/30/16",4,45,4,1,"2",FALSE,28,"1",0
"28",1322532,"X001508297","HJ8899 .D482 1989","ALDERMAN","Developing country debt and the world economy /","",1989,"6/30/96","8/20/13",9,49,4,1,"2",FALSE,29,"1",0
"29",2491518,"X004189537","HJ8032 .A2 S55 1995","ALDERMAN","Principle and interest : Thomas Jefferson and the problem of debt /","Sloan, Herbert E.",1995,"5/29/98","11/2/14",5,85,0,2,"2 10",FALSE,30,"1",0
"30",3263699,"X000442714","HJ2362 .R3 1942","ALDERMAN","American taxation, its history as a social force in democracy","Ratner, Sidney,",1942,"6/29/96","11/12/09",8,65,0,2,"17",FALSE,31,"1",0
"31",185788,"X000355585","HJ4191 .S4 1982","ALDERMAN","Tax revolt : something for nothing in California /","Sears, David O.",1982,"6/28/96","12/19/17",2,52,24,2,"2 3",FALSE,32,"1",0
"32",237159,"X000014946","HJ1030 .P4","ALDERMAN","British rearmament and the Treasury, 1932-1939 /","Peden, G. C.",1979,"6/28/96","11/27/18",1,40,0,1,"2",FALSE,33,"1",0
