"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","HJ 000010.3 .T39  2017","X031810162","Tax policy and the economy /","",2017,FALSE
"2","ALDERMAN","HJ 000065 .S63  1938","X031899464","Speech of the Hon'ble Babu Nirsu Narayan Sinha, finance member, Bihar and Orissa : in introducing the budget of 1936-37 /","Sihna, Nirsu Narayan.",1938,FALSE
"3","ALDERMAN","HJ 000070.7 .R83  2019","X032582321","Beyond debt : Islamic experiments in global finance /","Rudnyckyj, Daromir,",2019,FALSE
"4","ALDERMAN","HJ 000135 .B85  1972","X000243286","Theory of public choice; political applications of economics.","Buchanan, James M.",1972,FALSE
"5","ALDERMAN","HJ 000141 .A3  1908","X031961594","The science of finance : an investigation of public expenditures and public revenues.","Adams, Henry C. (Henry Carter),",1908,FALSE
"6","ALDERMAN","HJ 000141 .A58  2007","X030256255","An anthology regarding merit goods : the unfinished ethical revolution in economic theory /","",2007,FALSE
"7","CLEMONS","HJ 000141 .A74","X001639090","Lectures on public economics /","Atkinson, A. B. (Anthony Barnes),",1980,FALSE
"8","ALDERMAN","HJ 000141 .D48  2015","X031819378","The public wealth of nations : how management of public assets can boost or bust economic growth /","Detter, Dag,",2015,FALSE
"9","ALDERMAN","HJ 000141 .G78  2005","X004938236","Public finance and public policy /","Gruber, Jonathan.",2005,FALSE
"10","ALDERMAN","HJ 000141 .G78  2007","X030274361","Public finance and public policy /","Gruber, Jonathan.",2007,FALSE
"11","ALDERMAN","HJ 000141 .H36  1985  V.000002","X001299811","Handbook of public economics /","",1985,TRUE
"12","ALDERMAN","HJ 000141 .I54  2010","X030746165","Innovations in financing public services : country case studies /","",2010,FALSE
"13","ALDERMAN","HJ 000141 .I56  2008","X030471431","Institutional foundations of public finance : economic and legal perspectives /","",2008,FALSE
"14","ALDERMAN","HJ 000141 .K36  2008","X030458197","The theory of taxation and public economics /","Kaplow, Louis.",2008,FALSE
"15","ALDERMAN","HJ 000141 .M6","X002313474","Modern fiscal issues: essays in honor of Carl S. Shoup.","",1972,FALSE
"16","ALDERMAN","HJ 000141 .N48  1996","X002755566","The New world fiscal order : implications for industrialized nations /","",1996,FALSE
"17","ALDERMAN","HJ 000141 .P785  2008","X030257689","Public budgeting : policy, process, and politics /","",2008,FALSE
"18","ALDERMAN","HJ 000141 .P795  2003","X004706499","Public finance and public policy in the new century /","",2003,FALSE
"19","ALDERMAN","HJ 000141 .P83677  2016","X031792204","Public sector economics and the need for reforms /","",2016,FALSE
"20","CLEMONS","HJ 000141 .S74  1986","X001111160","Economics of the public sector /","Stiglitz, Joseph E.",1986,FALSE
"21","ALDERMAN","HJ 000141 .U43  2011","X031186581","Public finance in theory and practice /","Ulbrich, Holley H.",2011,FALSE
"22","ALDERMAN","HJ 000192 .T47  1984","X031641850","The Theory of public choice--II /","",1984,FALSE
"23","ALDERMAN","HJ 000192.5 .B83  1999","X004375802","Public finance and public choice : two contrasting visions of the State /","Buchanan, James M.",1999,FALSE
"24","ALDERMAN","HJ 000192.5 .K63  2010","X030774272","The new dynamic public finance /","Kocherlakota, Narayana Rao,",2010,FALSE
"25","ALDERMAN","HJ 000192.5 .R567  2012","X030611361","The rise of fiscal states : a global history, 1500-1914 /","",2012,FALSE
"26","ALDERMAN","HJ 000192.5 .S73  2010","X030619746","State and local fiscal policy : thinking outside the box? /","",2010,FALSE
"27","ALDERMAN","HJ 000192.5 .T39  2010","X030746002","Taxation, tax policies and income taxes /","",2010,FALSE
"28","ALDERMAN","HJ 000197 .F88  2017","X031763475","The future of federalism : intergovernmental financial regulations in an age of austerity /","",2017,FALSE
"29","ALDERMAN","HJ 000197 .G675  2013","X031620992","Governance and finance of metropolitan areas in federal systems /","",2013,FALSE
"30","ALDERMAN","HJ 000197 .R63  2006","X004906856","Hamilton's paradox : the promise and peril of fiscal federalism /","Rodden, Jonathan.",2006,FALSE
"31","ALDERMAN","HJ 000217 .M46  2012","X031195390","Die Finanzierung öffentlicher Bauten in der hellenistischen Polis /","Meier, Ludwig.",2012,FALSE
"32","ALDERMAN","HJ 000217 .S26  2000","X006111300","Empire of the owl : Athenian imperial finance /","Samons, Loren J.,",2000,FALSE
"33","ALDERMAN","HJ 000217 .Z45  2013","X031577147","Taxing freedom in Thessalian manumission inscriptions /","Zelnick-Abramovitz, Rachel,",2013,FALSE
"34","ALDERMAN","HJ 000235 .B37  2018","X031839550","In the red : the politics of public debt accumulation in developed countries /","Barta, Zsófia,",2018,FALSE
"35","ALDERMAN","HJ 000235 .H43  2013","X030609304","Paths toward the modern fiscal state : England, Japan, and China /","He, Wenkai,",2013,FALSE
"36","ALDERMAN","HJ 000241 .D4  1918","X000193293","Financial history of the United States,","Dewey, Davis Rich,",1915,FALSE
"37","ALDERMAN","HJ 000241 .M93","X000112916","A financial history of the United States,","Myers, Margaret G. (Margaret Good),",1970,FALSE
"38","ALDERMAN","HJ 000241 .P47  1994","X002421513","American public finance and financial services, 1700-1815 /","Perkins, Edwin J.",1994,FALSE
"39","ALDERMAN","HJ 000241 .Y4","X000114177","The Money machines; the breakdown and reform of governmental and party finance in the North, 1860-1920","Yearley, Clifton K.",1970,FALSE
"40","ALDERMAN","HJ 000247 .A63  1983","X000508679","The price of liberty : the public debt of the American Revolution /","Anderson, William G.,",1983,FALSE
"41","ALDERMAN","HJ 000247 .F4  1961","X000117599","The power of the purse; a history of American public finance, 1776-1790.","Ferguson, E. James (Elmer James),",1961,FALSE
"42","ALDERMAN","HJ 000247 .S73  1998","X004190118","The origins of American public finance : debates over money, debt, and taxes in the Constitutional era, 1776-1836 /","Stabile, Donald.",1998,FALSE
"43","ALDERMAN","HJ 000247 .W5513  V.000001","X000015954","American finance and Dutch investment, 1780-1805 : with an epilogue to 1840 /","Winter, P. J. van (Pieter Jan),",1977,TRUE
"44","ALDERMAN","HJ 000249 .E35  2014","X031704560","A Hercules in the cradle : war, money, and the American state, 1783-1867 /","Edling, Max M.,",2014,FALSE
"45","ALDERMAN","HJ 000249 .L44  1977","X000709045","Regional distribution of Federal receipts and expenditures in the nineteenth century : a quantitative study /","Legler, John B.",1977,FALSE
"46","CLEMONS","HJ 000251 .H35","X000113164","Sovereignty and an empty purse; banks and politics in the Civil War.","Hammond, Bray.",1970,FALSE
"47","ALDERMAN","HJ 000257 .B6  1959  V.000001","X000462690","From the Morgenthau diaries.","Blum, John Morton,",1959,TRUE
"48","CLEMONS","HJ 000257 .C72  2004","X004684712","Treasonable doubt : the Harry Dexter White spy case /","Craig, R. Bruce.",2004,FALSE
"49","ALDERMAN","HJ 000257 .G54","X000112995","American financing of World War I.","Gilbert, Charles,",1970,FALSE
