"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","HM 000001 .C64  V.11  1989","X001751653","Culture /","",1989,TRUE
"2","ALDERMAN","HM 000001 .C64  V.13  1991","X002010698","Religious institutions /","",1991,TRUE
"3","ALDERMAN","HM 000001 .C64  V.18  1999","X004052859","Family change : practices, policies, and values /","",1999,TRUE
"4","ALDERMAN","HM 000001 .C64  V.19  2000","X004467089","Comparative perspectives on universities /","",2000,TRUE
"5","ALDERMAN","HM 000001 .C64  V.20  2002","X004620703","The comparative study of conscription in the armed forces /","",2002,TRUE
"6","ALDERMAN","HM 000001 .C64  V.23","X030107221","Comparative studies of social and political elites /","",2006,TRUE
"7","ALDERMAN","HM 000001 .C64  V.7  1984","X004620704","Demography: development, dependency theory, and policy.","",1984,TRUE
"8","ALDERMAN","HM 000013 .F46  1989","X001651638","Feminism and sociological theory /","",1989,FALSE
"9","ALDERMAN","HM 000013 .F76  1990","X001730851","Frontiers of social theory : the new syntheses /","",1990,FALSE
"10","ALDERMAN","HM 000013 .M53  1987","X001263920","The Micro-macro link /","",1987,FALSE
"11","ALDERMAN","HM 000015 .A33  2000","X004354113","Introduction to sociology /","Adorno, Theodor W.,",2000,FALSE
"12","ALDERMAN","HM 000015 .B3813  2001","X004523163","Selected writings /","Baudrillard, Jean,",2001,FALSE
"13","ALDERMAN","HM 000015 .P3  1954","X001006285","Essays in sociological theory.","Parsons, Talcott,",1954,FALSE
"14","ALDERMAN","HM 000015 .P33  1961  V.000001","X000591096","Theories of society; foundations of modern sociological theory,","Parsons, Talcott,",1961,TRUE
"15","ALDERMAN","HM 000015 .S4  NR.000007","X031946674","Zagadnienie migracji w polskiej my?li socjologicznej : (do 1939 roku) /","Leo?ski, Jacek.",1979,TRUE
"16","ALDERMAN","HM 000015 .S5","X000337613","Center and periphery : essays in macrosociology /","Shils, Edward,",1975,FALSE
"17","ALDERMAN","HM 000015 .S545  NO.000009","X031765943","Sociological studies in the British penal services.","Halmos, Paul.",1965,TRUE
"18","ALDERMAN","HM 000015 .S545  NO.27","X000309588","On the margins of science : the social construction of rejected knowledge /","",1979,TRUE
"19","ALDERMAN","HM 000015 .S545  NO.32","X000960885","Power, action, and belief : a new sociology of knowledge? /","",1986,TRUE
"20","ALDERMAN","HM 000015 .S545  NO.35","X001505935","Picturing power : visual depiction and social relations /","",1988,TRUE
"21","ALDERMAN","HM 000015 .S545  NO.38","X001775668","A Sociology of monsters : essays on power, technology, and domination /","",1991,TRUE
"22","ALDERMAN","HM 000015 .W43  1984  ABT.000001 BD.000001","X030518855","Zur Geschichte der Handelsgesellschaften im Mittelalter : Schriften 1889-1894 /","Weber, Max,",2008,TRUE
"23","ALDERMAN","HM 000015 .W43  1984  ABT.000001 BD.000004 HALBBD.000002","X001797642","Landarbeiterfrage, Nationalstaat und Volkswirtschaftspolitik : Schriften und Reden 1892-1899 /","Weber, Max,",1993,TRUE
"24","ALDERMAN","HM 000015 .W43  1984  ABT.000001 BD.000006","X030204796","Zur Sozial- und Wirtschaftsgeschichte des Altertums : Schriften und Reden 1893-1908 /","Weber, Max,",2006,TRUE
"25","ALDERMAN","HM 000015 .W43  1984  ABT.000001 BD.000012","X032084871","Verstehende Soziologie und Werturteilsfreiheit : Schriften und Reden 1908-1917 /","Weber, Max,",2018,TRUE
"26","ALDERMAN","HM 000015 .W43  1984  ABT.000001 BD.000014","X004837961","Zur Musiksoziologie : Nachlass 1921 /","Weber, Max,",2004,TRUE
"27","ALDERMAN","HM 000015 .W43  1984  ABT.000001 BD.000020","X004063183","Die Wirtschaftsethik der Weltreligionen Hinduismus und Buddhismus : Schriften 1916-1920 /","Weber, Max,",1996,TRUE
"28","ALDERMAN","HM 000015 .W43  1984  ABT.000001 BD.000021 HALBBD.000001","X004915886","Die Wirtschaftsethik der Weltreligionen. Das antike Judentum : Schriften und Reden 1911-1920 /","Weber, Max,",2005,TRUE
"29","ALDERMAN","HM 000015 .W43  1984  ABT.000001 BD.000022 TBD.000004","X004963454","Wirtschaft und Gesellschaft : die Wirtschaft und die gesellschaftlichen Ordnungen und Mächte. Nachlass /","Weber, Max,",1999,TRUE
