"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","HN 000001 .R48  V.10","X004656778","The environmental state under pressure /","",2002,TRUE
"2","ALDERMAN","HN 000001 .R48  V.14","X030268419","Cultures of contamination : legacies of pollution in Russia and the U.S. /","",2007,TRUE
"3","ALDERMAN","HN 000001 .R48  V.15","X030369640","Equity and the environment /","",2007,TRUE
"4","ALDERMAN","HN 000001 .R48  V.16","X030574000","Integrating the sciences and society : challenges, practices, and potentials /","",2008,TRUE
"5","ALDERMAN","HN 000001 .R48  V.17","X030692587","New approaches to social problems treatment /","",2010,TRUE
"6","ALDERMAN","HN 000001 .R48  V.18","X030754488","Environmental and social justice : an international perspective /","",2010,TRUE
"7","ALDERMAN","HN 000001 .R48  V.19","X030925691","Government secrecy /","",2011,TRUE
"8","ALDERMAN","HN 000001 .R48  V.20","X031612179","Disaster by design : the Aral Sea and its lessons for sustainability /","",2012,TRUE
"9","ALDERMAN","HN 000001 .R48  V.21","X031624058","William R. Freudenburg, a life in social research /","",2013,TRUE
"10","ALDERMAN","HN 000001 .R48  V.22","X031800096","Paradoxes of the democratization of higher education /","",2017,TRUE
"11","ALDERMAN","HN 000003 .A27  1999","X004415828","Acts of dissent : new developments in the study of protest /","",1999,FALSE
"12","ALDERMAN","HN 000005 .I5  BD.000061","X004585825","Protestantismus und Nationalsozialismus : Studien zur nationalsozialistischen Durchdringung des protestantischen Sozialmilieus in Berlin /","Gailus, Manfred.",2001,TRUE
"13","ALDERMAN","HN 000005 .I65  V.000001","X001507545","From structure to action : comparing social movement research across cultures /","",1988,TRUE
"14","ALDERMAN","HN 000005 .I65  V.000002","X001688090","Organizing for change : social movement organizations in Europe and the United States  /","",1989,TRUE
"15","ALDERMAN","HN 000005 .R45  V.24  2003","X004213203","Consensus decision making, Northern Ireland and indigenous movements /","",2003,TRUE
"16","ALDERMAN","HN 000005 .R45  V.25  2004","X004854949","Authority in contention /","",2004,TRUE
"17","ALDERMAN","HN 000005 .R45  V.26  2005","X030000689","Research in social movements, conflicts and change.","",2005,TRUE
"18","ALDERMAN","HN 000005 .R45  V.27  2007","X030338601","Research in social movements, conflicts and change.","",2007,TRUE
"19","ALDERMAN","HN 000005 .R45  V.28  2008","X030499724","Research in social movements, conflicts and change.","",2008,TRUE
"20","ALDERMAN","HN 000005 .R45  V.29  2008","X030588614","Pushing the boundaries : new frontiers in conflict resolution and collaboration /","",2008,TRUE
"21","ALDERMAN","HN 000005 .R45  V.31  2011","X030925620","Research in social movements, conflicts and change.","",2011,TRUE
"22","ALDERMAN","HN 000005 .R45  V.32  2011","X031056849","Critical aspects of gender in conflict resolution, peacebuilding, and social movements /","",2011,TRUE
"23","ALDERMAN","HN 000005 .R45  V.33  2012","X030890555","Media, movements, and political change /","",2012,TRUE
"24","ALDERMAN","HN 000005 .R45  V.34  2012","X030850780","Nonviolent conflict and civil resistance /","",2012,TRUE
"25","ALDERMAN","HN 000005 .R45  V.35  2013","X031606097","Advances in the visual analysis of social movements /","",2013,TRUE
"26","ALDERMAN","HN 000005 .R45  V.36  2013","X031583725","Research in social movements, conflicts and change.","",2013,TRUE
"27","ALDERMAN","HN 000005 .R45  V.37","X031721482","Intersectionality and social change /","",2014,TRUE
"28","ALDERMAN","HN 000005 .R45  V.38","X031742132","Research in social movements, conflicts and change /","",2015,TRUE
"29","ALDERMAN","HN 000005 .R45  V.39","X031800032","Protest, social movements, and global democracy since 2011 : new perspectives / edited by Thomas Davies, Department of International Politics, City University London, UK; Holly Eva Ryan, Crick Centre, University of Sheffield, UK; Alejandro Milcíades Peña, Department of Politics, University of York, UK.","",2016,TRUE
"30","ALDERMAN","HN 000008 .A34  2001","X004556029","Agrarian studies : synthetic work at the cutting edge /","",2001,FALSE
"31","ALDERMAN","HN 000008 .C4313  1984","X000870186","The practice of everyday life /","Certeau, Michel de.",1984,FALSE
"32","ALDERMAN","HN 000008 .C4313  1988","X004235431","The practice of everyday life /","Certeau, Michel de.",1988,FALSE
"33","ALDERMAN","HN 000008 .E48  2005","X004860917","At day's close : night in times past /","Ekirch, A. Roger,",2005,FALSE
"34","ALDERMAN","HN 000008 .H57  1985  V.000002","X001017274","Histoire de la vie privée /","",1985,TRUE
"35","ALDERMAN","HN 000008 .I59  1990  V.000001","X001977960","L'Invention du quotidien.","",1990,TRUE
"36","ALDERMAN","HN 000008 .I59  V.000001","X000280925","L'Invention du quotidien.","",1980,TRUE
"37","ALDERMAN","HN 000008 .M28  1986  V.000001","X001064349","The sources of social power /","Mann, Michael,",1986,TRUE
"38","ALDERMAN","HN 000008 .M284  2016","X031845561","Global powers : Michael Mann's anatomy of the twentieth century and beyond /","",2016,FALSE
"39","ALDERMAN","HN 000008 .P82  2001","X004526229","Public spheres & collective identities /","",2001,FALSE
"40","ALDERMAN","HN 000008 .R45  1985","X000953636","Reliving the past : the worlds of social history /","",1985,FALSE
"41","ALDERMAN","HN 000008 .S56  1994","X002588701","Social construction of the past : representation as power /","",1994,FALSE
"42","ALDERMAN","HN 000008 .W67  2000","X004465031","World system history : the social science of long-term change /","",2000,FALSE
"43","ALDERMAN","HN 000009 .C65","X000709291","The Conflict of generations in ancient Greece and Rome /","",1976,FALSE
"44","ALDERMAN","HN 000009 .R45  2006","X030217176","Les régulations sociales dans l'antiquité : actes du colloque d'Angers, 23 et 24 mai 2003 : HIRES, Center d'histoire des régulations socials UPRES EA 1710 /","",2006,FALSE
"45","ALDERMAN","HN 000009 .S62  2006","X031767819","Social and political life in late Antiquity /","",2006,FALSE
