"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","HS 000061 .A13  2015","X031762581","As above, so below : art of the American fraternal society, 1850-1930 /","Adele, Lynne,",2015,FALSE
"2","ALDERMAN","HS 000061 .A17  2000","X004410059","From mutual aid to the welfare state : fraternal societies and social services, 1890-1967 /","Beito, David T.,",2000,FALSE
"3","ALDERMAN","HS 000061 .A18  2015","X031735310","The making of Tocqueville's America : law and association in the early United States /","Butterfield, Kevin,",2015,FALSE
"4","ALDERMAN","HS 000065 .B6  R564  2008","X032404083","No gozo dos direitos civis : associativismo no Rio de Janeiro, 1903-1916 /","Fonseca, Vitor Manoel Marques da.",2008,TRUE
"5","ALDERMAN","HS 000071 .E85  G46  2010","X030732542","Gender and Fraternal Orders in Europe, 1300-2000 /","",2010,TRUE
"6","ALDERMAN","HS 000071 .G3  F7","X001817980","Vereine in Hamburg; ein Beitrag zur Geschichte und Volkskunde der Geselligkeit.","Freudenthal, Herbert,",1968,TRUE
"7","ALDERMAN","HS 000071 .G3  M4  1970","X001818014","Das Vereinswesen der Stadt Nürnberg im 19. Jahrhundert.","Meyer, Wolfgang.",1970,FALSE
"8","ALDERMAN","HS 000071 .R8  B73  2009","X030566042","Voluntary associations in Tsarist Russia : science, patriotism, and civil society /","Bradley, Joseph.",2009,FALSE
"9","ALDERMAN","HS 000081 .C5  A14  2008","X030509260","Associations and the Chinese state : contested spaces /","",2008,FALSE
"10","ALDERMAN","HS 000081 .C5  W345  2007","X030459520","Zhongguo hui guan shi /","Wang, Rigen,",2007,FALSE
"11","CLEMONS","HS 000125 .G65  2009","X030565128","Cults, conspiracies, and secret societies : the straight scoop on Freemasons, the Illuminati, Skull and Bones, Black Helicopters, the New World Order, and many, many more /","Goldwag, Arthur.",2009,FALSE
"12","ALDERMAN","HS 000126 .M3  1968A","X000210217","Secret societies;","MacKenzie, Norman,",1968,FALSE
"13","ALDERMAN","HS 000204 .C37  1989","X001606249","Secret ritual and manhood in Victorian America /","Carnes, Mark C. (Mark Christopher),",1989,FALSE
"14","ALDERMAN","HS 000205 .O73  R62  2002","X004631892","Secrets of the tomb : Skull and Bones, the Ivy League, and the hidden paths of power /","Robbins, Alexandra,",2002,TRUE
"15","ALDERMAN","HS 000206 .N494  R53  2017","X031816222","Skulls and keys : the hidden history of Yale's secret societies /","Richards, David Alan,",2017,TRUE
"16","ALDERMAN","HS 000221 .O78  1993","X032404524","La ""tragedia"" de los ñáñigos /","Ortiz, Fernando,",1993,FALSE
"17","ALDERMAN","HS 000221 .Q56  1994","X032404499","Ecorie Abakuá : cuatro ensayos sobre los ñáñigos cubanos /","Quiñones, Tato,",1994,FALSE
"18","ALDERMAN","HS 000295 .H8  F4  1956","X031608138","Hong men sou mi.","Feilie.",1956,TRUE
"19","ALDERMAN","HS 000310 .O86  1996","X004044227","Brotherhoods and secret societies in early and mid-Qing China : the formation of a tradition /","Ownby, David,",1996,FALSE
"20","ALDERMAN","HS 000310 .S43  1993","X004189041","""Secret societies"" reconsidered : perspectives on the social history of early modern South China and Southeast Asia /","",1993,FALSE
"21","ALDERMAN","HS 000310 .S448  2010","X030933854","Mi mi she hui yu Zhongguo ge ming /","Shao, Yong,",2010,FALSE
"22","ALDERMAN","HS 000310 .T73  2009","X030778442","Zhongguo jin dai hui dang shi yan jiu /","Cai, Shaoqing.",2009,FALSE
"23","ALDERMAN","HS 000310 .Z46  2002  V.000001","X030217100","Zhongguo mi mi she hui /","",2002,TRUE
"24","ALDERMAN","HS 000310 .Z46  2012","X031622549","Jin dai yi lai de hui dao men /","Zheng, Yonghua.",2012,FALSE
