"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","HV 000010.5 .C67  1998","X004126884","Becoming a helper /","Corey, Marianne Schneider,",1998,FALSE
"2","ALDERMAN","HV 000011 .T54  2002","X004661556","Thriving! : a manual for students in the helping professions /","",2002,FALSE
"3","ALDERMAN","HV 000011.8 .G7  W55  2010","X030816107","The practice educator's handbook /","Williams, Sarah",2010,FALSE
"4","ALDERMAN","HV 000013 .P68  2006","X004898174","Poverty and inequality /","",2006,FALSE
"5","ALDERMAN","HV 000013 .R79  1960  NO.6","X004604449","A study of company-sponsored foundations.","Andrews, Frank M.",1960,TRUE
"6","ALDERMAN","HV 000016 .B74  1994","X002480468","Giving : charity and philanthropy in history /","Bremner, Robert H. (Robert Hamlett),",1994,FALSE
"7","ALDERMAN","HV 000016 .C55  1998B","X004262151","Charity, philanthropy, and reform : from the 1690s to 1850 /","",1998,FALSE
"8","ALDERMAN","HV 000016 .G58  1996","X004049215","Giving : Western ideas of philanthropy /","",1996,FALSE
"9","ALDERMAN","HV 000016 .K54  2000","X004394404","Philanthropic foundations in the twentieth century /","Kiger, Joseph Charles.",2000,FALSE
"10","ALDERMAN","HV 000016 .P44","X000172805","Philanthropy and cultural imperialism : the foundations at home and abroad /","",1980,FALSE
"11","ALDERMAN","HV 000016 .P46  1998","X004200477","Philanthropy in the world's traditions /","",1998,FALSE
"12","ALDERMAN","HV 000016 .S39  2011","X031579903","The science of giving : experimental approaches to the study of charity /","",2011,FALSE
"13","ALDERMAN","HV 000016 .W58  1998","X004214249","With us always : a history of private charity and public welfare /","",1998,FALSE
"14","ALDERMAN","HV 000016 .Y6  2000","X004502868","Philegatia : living a vision, leaving a legacy /","Young-Preston, Glenn E.",2000,FALSE
"15","ALDERMAN","HV 000017 .C64  2005","X004905362","The Voice of the poor in the Middle Ages : an anthology of documents from the Cairo Geniza /","Cohen, Mark R.,",2005,FALSE
"16","ALDERMAN","HV 000017 .C65  2005","X004902681","Poverty and charity in the Jewish community of medieval Egypt /","Cohen, Mark R.,",2005,FALSE
"17","ALDERMAN","HV 000020 .S7  D38  2007","X030278632","Acts of giving : individual, community, and church in tenth-century Christian Spain /","Davies, Wendy,",2007,TRUE
"18","ALDERMAN","HV 000025 .A33  2009","X030466840","Buying respectability : philanthropy and urban society in transnational perspective, 1840s to 1930s /","Adam, Thomas,",2009,FALSE
"19","ALDERMAN","HV 000025 .C8  1963","X000163399","American philanthropy abroad: a history.","Curti, Merle (Merle Eugene),",1963,FALSE
"20","ALDERMAN","HV 000027 .L36  2015","X031840328","Decolonizing solidarity : dilemmas and directions for supporters of indigenous struggles /","Land, Clare,",2015,FALSE
"21","ALDERMAN","HV 000027 .N53  1985","X000973445","The golden donors : a new anatomy of the great foundations /","Nielsen, Waldemar A.",1985,FALSE
"22","ALDERMAN","HV 000028 .A35  A25","X000305309","The social thought of Jane Addams.","Addams, Jane,",1965,FALSE
"23","ALDERMAN","HV 000028 .A35  D38","X000241196","American heroine: the life and legend of Jane Addams","Davis, Allen Freeman,",1973,TRUE
