"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","HX 000001 .Y66  1990","X001804234","""Yours for the revolution"" : the Appeal to reason, 1895-1922 /","",1990,FALSE
"2","ALDERMAN","HX 000005 .E33  V.000001 001877-000080","X031965836","Collection complete de l'egalite le socialiste","",1973,TRUE
"3","ALDERMAN","HX 000006 .M25  2003  T.000001","X030280797","Die deutsche Ideologie : Artikel, Druckvorlagen, Entwürfe, Reinschriftenfragmente und Notizen zu I. Feuerbach und II. Sankt Bruno /","Marx, Karl,",2004,TRUE
"4","ALDERMAN","HX 000011 .F24  V.000003 NO.000028-000037","X030229827","Rent rebates.","Wilson, Geoffrey,",1936,TRUE
"5","ALDERMAN","HX 000011 .F24  V.000015 NO.000190-000200","X004618791","Reforming the tax system.","Fabian Society (Great Britain)",1957,TRUE
"6","ALDERMAN","HX 000011 .F25  NO. 451","X030229873","The Labour Party : crisis and prospects /","Hayter, Dianne.",1977,TRUE
"7","ALDERMAN","HX 000011 .F25  NO. 452","X030229874","A competitive pound /","Gould, Bryan.",1977,TRUE
"8","ALDERMAN","HX 000011 .F25  NO. 453  1978","X030229875","Think small : enterprise and the economy /","Falk, Nicholas.",1978,TRUE
"9","ALDERMAN","HX 000011 .F25  NO. 455  1978","X030229876","Industrial common ownership /","Watkins, David,",1978,TRUE
"10","ALDERMAN","HX 000011 .F25  NO. 456  1978","X030229878","National parks : a strategy for revival /","Smith, Chris,",1978,TRUE
"11","ALDERMAN","HX 000011 .F25  NO. 457  1978","X030229879","The computer and society : servant or master /","Crowe, Tom.",1978,TRUE
"12","ALDERMAN","HX 000011 .F25  NO. 489  1983","X030229944","Labour's choices /","",1983,TRUE
"13","ALDERMAN","HX 000011 .F25  NO. 490","X030229932","Law and order : theft of an issue /","Downes, David M.",1983,TRUE
"14","ALDERMAN","HX 000011 .F25  NO. 492","X030229930","The conservatives, trade unions, and political funding /","Ewing, K. D. (Keith D.)",1983,TRUE
"15","ALDERMAN","HX 000011 .F25  NO. 493","X030229929","The Fabian Society : its early history /","Shaw, Bernard,",1984,TRUE
"16","ALDERMAN","HX 000011 .F25  NO. 494","X030229928","Equality, markets, and the state /","Plant, Raymond.",1984,TRUE
"17","ALDERMAN","HX 000011 .F25  NO. 495","X030229927","Socialist values and time /","Crick, Bernard,",1984,TRUE
"18","ALDERMAN","HX 000011 .F25  NO. 496  1984","X030229926","Socialism and decentralisation /","Wright, Anthony,",1984,TRUE
"19","ALDERMAN","HX 000011 .F25  NO. 511","X030229912","Managing local socialism /","Alexander, Alan,",1986,TRUE
"20","ALDERMAN","HX 000011 .F25  NO. 512","X030229911","French lessons for Labour : the Labour Party /","MacShane, Denis.",1986,TRUE
"21","ALDERMAN","HX 000011 .F25  NO. 513","X030229910","The consumer case for socialism /","Smith, Martin,",1986,TRUE
"22","ALDERMAN","HX 000011 .F25  NO. 517","X030229898","New roads to equality : contract compliance for the UK? /","Carr, John,",1987,TRUE
"23","ALDERMAN","HX 000011 .F25  NO. 518","X030229909","An investment bank for the UK /","Turner, Dennis,",1987,TRUE
"24","ALDERMAN","HX 000011 .F25  NO. 520","X030229907","Beyond Band Aid : charity is not enough /","Lestor, Joan.",1987,TRUE
"25","ALDERMAN","HX 000011 .F25  NO. 521","X030229906","Labour's next moves forward /","",1987,TRUE
"26","ALDERMAN","HX 000011 .F25  NO. 522","X030229905","Conviction politics : a plan for penal policy /","Shaw, Stephen,",1987,TRUE
"27","ALDERMAN","HX 000011 .F25  NO.000441 001976","X030229863","Workers in the boardroom /","Fabian Society (Great Britain). Working Party on Industrial Democracy.",1976,TRUE
"28","ALDERMAN","HX 000011 .F25  NO.000442 001976","X030229864","A positive incomes policy /","Brown, William Arthur,",1976,TRUE
"29","ALDERMAN","HX 000011 .F25  NO.000444 001976","X030229865","Britain's migrant workers /","Ashtiany, Sue.",1976,TRUE
"30","ALDERMAN","HX 000011 .F25  NO.000458 001978","X030229880","Labour and the social contract /","Taylor, Robert,",1978,TRUE
"31","ALDERMAN","HX 000011 .F25  NO.000459 001978","X030229881","Deserting the middle ground : Tory social policies /","Fabian Society (Great Britain)",1978,TRUE
"32","ALDERMAN","HX 000011 .F25  NO.000460 001979","X030229882","A family service for the mentally handicapped /","Jaehnig, Walter.",1979,TRUE
"33","ALDERMAN","HX 000011 .F25  NO.000461 001979","X030229883","Creating a caring community /","",1979,TRUE
"34","ALDERMAN","HX 000011 .F25  NO.000469 001980","X030229891","A Radical agenda for London /","",1980,TRUE
"35","ALDERMAN","HX 000011 .F25  NO.000471 001980","X030229893","Race and affirmative action /","Bowers, John,",1980,TRUE
"36","ALDERMAN","HX 000011 .F25  NO.000474 001981","X030229896","A British approach to peace /","Brown, Neville.",1981,TRUE
"37","ALDERMAN","HX 000011 .F25  NO.000475 001981","X030229897","No nukes! /","Cook, Robin F.",1981,TRUE
"38","ALDERMAN","HX 000011 .F25  NO.000476 001981","X030229933","How to abolish the Lords /","Bell, Stuart,",1981,TRUE
"39","ALDERMAN","HX 000011 .F25  NO.000477 001981","X030229934","The Labour Party and the new left /","Webster, David,",1981,TRUE
"40","ALDERMAN","HX 000011 .F25  NO.000478 001981","X030229935","Against all reason : Britain and South Africa in the eighties /","",1981,TRUE
"41","ALDERMAN","HX 000011 .F25  NO.000480 001982","X030229937","Making government work /","",1982,TRUE
"42","ALDERMAN","HX 000011 .F25  NO.000498","X030229924","Social security, the real agenda : the Fabian Society's response to the government's review of social security.","",1984,TRUE
"43","ALDERMAN","HX 000011 .F25  NO.000500","X030229922","Why are the many poor? /","Townsend, Peter,",1984,TRUE
"44","ALDERMAN","HX 000011 .F25  NO.000505","X030229918","A new housing policy for Labour /","Griffiths, David,",1985,TRUE
"45","ALDERMAN","HX 000011 .F25  NO.000506","X030229916","Who controls training? : the rise of the Manpower Services Commission /","St. John-Brooks, Caroline.",1985,TRUE
"46","ALDERMAN","HX 000011 .F25  NO.000508","X030229915","Freedom at work : towards the reform of Tory employment laws /","McCarthy, W. E. J. (William Edward John)",1985,TRUE
"47","ALDERMAN","HX 000011 .F25  NO.450  1977","X030229872","What future for the Falklands? /","Phipps, Colin.",1977,TRUE
"48","ALDERMAN","HX 000011 .F25  NO.454  1978","X030229877","Legal services for all : justice for all, part 2 /","Society of Labour Lawyers.",1978,TRUE
"49","ALDERMAN","HX 000011 .F25  NO.473","X030229895","Socialism and professionalism : the social welfare professions /","Wilding, Paul.",1981,TRUE
"50","ALDERMAN","HX 000011 .F25  NO.481  1982","X030229938","The future of collective bargaining /","Basnett, David,",1982,TRUE
"51","ALDERMAN","HX 000011 .F25  NO.487  1983","X030229943","Urban policies : a new approach /","Donnison, David,",1983,TRUE
"52","ALDERMAN","HX 000011 .F25  NO.491","X030229931","Building from the bottom : the Sheffield experience /","Blunkett, David,",1983,TRUE
"53","ALDERMAN","HX 000011 .F25  NO.502","X030229920","Socialism can survive : social change and the Labour Party /","Mann, Michael,",1985,TRUE
"54","ALDERMAN","HX 000011 .F25  NO.503","X030229919","The Swedish road to socialism /","Linton, Martin.",1985,TRUE
"55","ALDERMAN","HX 000011 .F25  NO.504","X030229917","Understanding the miners' strike /","Lloyd, John,",1985,TRUE
"56","ALDERMAN","HX 000011 .F25  NO.507","X030229936","Winning women's votes /","",1985,TRUE
"57","ALDERMAN","HX 000011 .F25  NO.509","X030229914","The future of socialism /","Kinnock, Neil Gordon,",1986,TRUE
"58","ALDERMAN","HX 000011 .F25  NO.510","X030229913","Beyond nuclear deterrence /","Healey, Denis.",1986,TRUE
"59","ALDERMAN","HX 000011 .F25  NO.510","X030229921","Labour and a world society /","Healey, Denis.",1985,TRUE
"60","ALDERMAN","HX 000011 .F25  NO.519","X030229908","Labour's first hundred days /","",1987,TRUE
"61","ALDERMAN","HX 000011 .F25  NO.528","X030229903","Making the City work /","Goodhart, David.",1988,TRUE
"62","ALDERMAN","HX 000011 .F25  NO.529","X030229902","Life begins at 40 : in defence of the NHS /","Cook, Robin F.",1988,TRUE
"63","ALDERMAN","HX 000011 .F25  NO.533","X030229901","Working for common security /","",1989,TRUE
"64","ALDERMAN","HX 000011 .F25  NO.534","X030229900","Natural allies : Labour and the unions /","Upham, Martin.",1989,TRUE
"65","ALDERMAN","HX 000011 .F25  NO.536","X030229899","Does society exist? : the case for socialism /","Barry, Brian,",1989,TRUE
"66","ALDERMAN","HX 000011 .F25  NO.588","X006080359","The third way : new politics for the new century /","Blair, Tony,",1998,TRUE
"67","ALDERMAN","HX 000011 .F25  NO.598","X006112958","Coping with post-democracy /","Crouch, Colin,",2000,TRUE
"68","ALDERMAN","HX 000011 .F25  NO.621","X030236689","Stronger together : the 21st century case for Scotland and Britain /","Brown, Gordon,",2007,TRUE
"69","ALDERMAN","HX 000011 .F25  NO.623","X030375093","How to defend inheritance tax /","Prabhakar, Rajiv,",2008,TRUE
"70","ALDERMAN","HX 000011 .F25  NO.624","X030508675","Fairness not favours : how to reconnect with British Muslims /","Khan, Sadiq,",2008,TRUE
"71","ALDERMAN","HX 000011 .F3  NO.523","X030229904","The politics of prosperity /","Leadbeater, Charles.",1987,TRUE
"72","ALDERMAN","HX 000011 .F5  M33","X000183336","The Fabians /","MacKenzie, Norman,",1977,FALSE
"73","ALDERMAN","HX 000011 .I453  V.000002","X001121966","The General Council of the First International : minutes.","International Workingmen's Association (1864-1876). General Council",1963,TRUE
"74","ALDERMAN","HX 000011 .I5  A64615  2002","X004767138","Das Kominform und Stalins Neuordnung Europas /","Adibekov, Grant Mkrtychevich.",2002,FALSE
"75","ALDERMAN","HX 000011 .I5  B7  BD.000001","X031964960","Geschichte der Internationale.","Braunthal, Julius,",1961,TRUE
"76","ALDERMAN","HX 000011 .I5  B7  BD.000003","X031954639","Geschichte der Internationale /","Braunthal, Julius,",1978,TRUE
"77","ALDERMAN","HX 000011 .I5  B72","X031954709","Marx e la prima Internazionale /","Bravo, Gian Mario.",1979,FALSE
