"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","H  000001 .A123  NO.58","X000389953","Du mythe, de la religion grecque et de la compréhension d'autrui /","Rudhardt, Jean.",1981,TRUE
"2","ALDERMAN","H  000001 .A4  V.000428","X030357352","The American Revolution abroad /","",1976,TRUE
"3","ALDERMAN","H  000001 .A4  V.000430","X030357350","Nuclear proliferation : prospects, problems, and proposals /","",1977,TRUE
"4","ALDERMAN","H  000001 .A4  V.000433","X030357347","Ethnic conflict in the world today /","",1977,TRUE
"5","ALDERMAN","H  000001 .A4  V.000449","X004262541","New directions in international education /","",1980,TRUE
"6","ALDERMAN","H  000001 .A4  V.000474","X004284338","Gambling : views from the social sciences /","",1984,TRUE
"7","ALDERMAN","H  000001 .A4  V.000475","X004263983","Deindustrialization : restructuring the economy /","",1984,TRUE
"8","ALDERMAN","H  000001 .A4  V.000485","X004263181","From foreign workers to settlers? : transnational migration and the emergence of new minorities /","",1986,TRUE
"9","ALDERMAN","H  000001 .A4  V.000487","X004263183","Immigration and American public policy /","",1986,TRUE
"10","ALDERMAN","H  000001 .A4  V.000493","X030366089","The Informal economy /","",1987,TRUE
"11","ALDERMAN","H  000001 .A4  V.000501","X004023974","The Ghetto underclass : social science perspectives /","",1989,TRUE
"12","ALDERMAN","H  000001 .A4  V.000513","X001985543","Japan's external economic relations : Japanese perspectives /","",1991,TRUE
"13","ALDERMAN","H  000001 .A4  V.000518","X002257154","Resolving regional conflicts : international perspectives /","",1991,TRUE
"14","ALDERMAN","H  000001 .A4  V.000523","X002166743","Affirmative action revisited /","",1992,TRUE
"15","ALDERMAN","H  000001 .A4  V.000524","X002175633","Political Islam /","",1992,TRUE
"16","ALDERMAN","H  000001 .A4  V.000526","X002287118","Free trade in the Western Hemisphere /","",1993,TRUE
"17","ALDERMAN","H  000001 .A4  V.000527","X002403172","Religion in the nineties /","",1993,TRUE
"18","ALDERMAN","H  000001 .A4  V.000528","X002449756","Citizens, protest, and democracy /","",1993,TRUE
"19","ALDERMAN","H  000001 .A4  V.000546","X004062857","The media and politics /","",1996,TRUE
"20","ALDERMAN","H  000001 .A4  V.000554","X004150681","The Role of NGOs : charity and empowerment /","",1997,TRUE
"21","ALDERMAN","H  000001 .A4  V.000556","X004172910","Gambling : socioeconomic impacts and public policy /","",1998,TRUE
"22","ALDERMAN","H  000001 .A4  V.000557","X004232397","Children and television /","",1998,TRUE
"23","ALDERMAN","H  000001 .A4  V.000565","X004346560","Civil society and democratization /","",1999,TRUE
"24","ALDERMAN","H  000001 .A4  V.000568","X004361485","The study of African American problems : W.E.B. Du Bois's agenda, then and now /","",2000,TRUE
"25","ALDERMAN","H  000001 .A4  V.000570","X004454637","Dimensions of globalization /","",2000,TRUE
"26","ALDERMAN","H  000001 .A4  V.000572","X004487433","Presidential campaigns : sins of omission /","",2000,TRUE
"27","ALDERMAN","H  000001 .A4  V.000574","X004521357","The Supreme Court's federalism : real or imagined? /","",2001,TRUE
"28","ALDERMAN","H  000001 .A4  V.000575","X004536858","Children's rights /","",2001,TRUE
"29","ALDERMAN","H  000001 .A4  V.000577","X004563564","Reforming welfare, redefining poverty /","",2001,TRUE
"30","ALDERMAN","H  000001 .A4  V.000581","X006133384","Globalization and democracy /","",2002,TRUE
"31","ALDERMAN","H  000001 .A4  V.000582","X006133911","Cross-national drug policy /","",2002,TRUE
"32","ALDERMAN","H  000001 .A4  V.000583","X004620887","Global perspectives on complementary and alternative medicine /","",2002,TRUE
"33","ALDERMAN","H  000001 .A4  V.000585","X006141039","Higher education in the twenty-first century /","",2003,TRUE
"34","ALDERMAN","H  000001 .A4  V.000588","X004714221","Islam : enduring myths and changing realities /","",2003,TRUE
"35","ALDERMAN","H  000001 .A4  V.000589","X004640825","Misleading evidence and evidence-led policy : making social science more experimental /","",2003,TRUE
"36","ALDERMAN","H  000001 .A4  V.000590","X004748144","Rethinking sustainable development /","",2003,TRUE
