"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","J  000081 .C84  1984","X000626852","The inaugural addresses of American presidents : the public philosophy and rhetoric /","Germino, Dante L.",1984,FALSE
"2","ALDERMAN","J  000082 .D91  C53  2004","X004808489","Ask not : the inauguration of John F. Kennedy and the speech that changed America /","Clarke, Thurston.",2004,TRUE
"3","ALDERMAN","J  000082 .D91  T64  2005","X004902721","Sounding the trumpet : the making of John F. Kennedy's inaugural address /","Tofel, Richard J.,",2005,TRUE
"4","ALDERMAN","J  000082 .E21  C35  2014","X031655773","The great silent majority : Nixon's 1969 speech on Vietnamization /","Campbell, Karlyn Kohrs",2014,TRUE
"5","CLEMONS","J  000082 .E43  2005","X004809731","Jimmy Carter and the energy crisis of the 1970s : the ""Crisis of confidence"" speech of July 15, 1979 : a brief history with documents /","",2005,FALSE
"6","ALDERMAN","J  000082 .E6  2009","X030470480","Speaking of freedom : the collected speeches /","Bush, George,",2009,FALSE
"7","ALDERMAN","J  000087 .M417  1773A","X000323823","The briefs of the American Revolution : constitutional arguments between Thomas Hutchinson, Governor of Massachusetts Bay, and James Bowdoin for the Council and John Adams for the House of Representatives /","Massachusetts. Governor (1770-1774 : Hutchinson)",1981,FALSE
"8","ALDERMAN","J  000179 .N3  1947","X030445006","Labor cumplida : (Informe del Presidente Arévalo al Congreso de la República).","Guatemala. President (1945-1951 : Arévalo)",1947,FALSE
"9","ALDERMAN","J  000179 .N3  1951","X030445027","Informe del ciudadano Presidente de la República, doctor Juan José Arévalo al Congreso Nacional : en su primer período de sesiones ordinarias del año de 1951 ; Síntesis de la labor de los Ministerios durante el sexto año de gobierno, 1950.","Guatemala. President (1945-1951 : Arévalo)",1951,FALSE
"10","ALDERMAN","J  000179 .N3  1952","X030445026","Informe del ciudadano Presidente de la República, Teniente Coronel Jacobo Arbenz Guzmán al Congreso Nacional : en su primer período de sesiones ordinarias del año de 1952.","Guatemala. President (1951-1954 : Arbenz Guzmán)",1952,FALSE
"11","ALDERMAN","J  000204 .N314  V.000001","X030589151","Integración y desarrollo sin fronteras /","Banzer Suárez, Hugo,",1977,TRUE
"12","ALDERMAN","J  000301 .K2  O93  1998","X004341939","Tory and Whig : the parliamentary papers of Edward Harley, 3rd Earl of Oxford, and William Hay, M.P. for Seaford, 1716-1753 /","Oxford, Edward Harley,",1998,FALSE
"13","ALDERMAN","J  000311 .K2  1934/36  SUPPL. BD.000002","X030578341","Beilagen zu den stenographischen Protokollen des Bundestages 1934-1936.","Austria. Bundestag.",1937,TRUE
"14","ALDERMAN","J  009215 .M84  2014","X032214573","al-Lughah m? bayna al-man??q wa-al-makt?b : al-ni??m al-?awt? wa-?al?qtahu bi-ni??m al-kit?bah f? al-lughah al-Amhar?yah /","Mu?ammad Ya?yá ?Abd al-Mubd?,",2014,FALSE
"15","ALDERMAN","JA 000001 .T8  V.000006","X004967619","Government in metropolitan New Orleans,","Howard, L. Vaughan (Lawrence Vaughan),",1960,TRUE
"16","ALDERMAN","JA 000001 .T8  V.000007","X004967620","Government and politics of Uruguay.","Taylor, Philip Bates.",1960,TRUE
"17","ALDERMAN","JA 000001 .T8  V.000009","X000236350","The meaning of the separation of powers; an analysis of the doctrine from its origin to the adoption of the United States Constitution,","Gwyn, William B.",1965,TRUE
"18","ALDERMAN","JA 000001 .T8  V.11","X004967621","Power in American State Legislatures: case studies of the Arkansas, Louisiana, Mississippi, and Oklahoma Legislatures,","Lacy, Alex B. (Alex Bustard),",1967,TRUE
"19","ALDERMAN","JA 000035 1983","X001005542","Political science : the science of politics /","",1986,FALSE
"20","ALDERMAN","JA 000035.5 .P485  2004","X004811799","Philosophy and its public role /","",2004,FALSE
"21","ALDERMAN","JA 000036 .C58  1991","X002048653","Conservative texts : an anthology /","",1991,FALSE
"22","ALDERMAN","JA 000036 .G4  1965","X000466687","Political philosophy.","Gewirth, Alan",1965,FALSE
"23","ALDERMAN","JA 000036 .P83","X000078511","Powers, possessions, and freedom : essays in honour of C. B. Macpherson /","",1979,FALSE
"24","ALDERMAN","JA 000037 .B73  NO.000021","X001091396","The Children's bureau, its history, activities and organization,","Tobey, James A. (James Alner),",1925,TRUE
"25","ALDERMAN","JA 000037 .B73  NO.000049","X000209766","The United States Civil service commission; its history, activities and organization,","Smith, Darrell Hevenor.",1928,TRUE
"26","ALDERMAN","JA 000037 .E82  1948","X030583629","Essays in political theory; presented to George H. Sabine.","",1948,FALSE
"27","ALDERMAN","JA 000037 .P75  1991  V.000001","X002035213","Political science : looking to the future /","",1991,TRUE
"28","ALDERMAN","JA 000038 .C67  1981  V.000001","X000322902","Corwin on the Constitution /","Corwin, Edward S. (Edward Samuel),",1981,TRUE
"29","ALDERMAN","JA 000038 .E24  1992","X002049930","Regarding politics : essays on political theory, stability, and change /","Eckstein, Harry.",1992,FALSE
"30","ALDERMAN","JA 000038 .K5  1969","X000379235","Politics, law, and social change; selected essays.","Kirchheimer, Otto.",1969,FALSE
"31","ALDERMAN","JA 000038 .N5  1960A","X004349690","Reinhold Niebuhr on politics; his political philosophy and its application to our age as expressed in his writings.","Niebuhr, Reinhold,",1960,FALSE
"32","ALDERMAN","JA 000042 .F6  NO.000172","X002599815","Communauté locale et organisation communautaire aux États-Unis.","Médard, Jean François.",1969,TRUE
"33","ALDERMAN","JA 000049 .A45  1970","X031648600","Report, essays & review of All-India Seminar on Comparative Study of Political Theories (2nd June to 6th June, 1970).","All-India Seminar on Comparative Study of Political Theories",1971,FALSE
"34","ALDERMAN","JA 000049 .N3  NO.21  1921","X030706505","Memorandum and evidence before the Press Act Committee /","Besant, Annie,",1921,TRUE
"35","ALDERMAN","JA 000055 .G4  V.4  1980","X000498360","The Foreign policy of West Germany : formation and contents /","",1980,TRUE
"36","ALDERMAN","JA 000061 .C35  2010","X030763247","Hyperpolitics : an interactive dictionary of political science concepts /","Calise, Mauro,",2010,FALSE
"37","ALDERMAN","JA 000061 .C665  2003","X004708373","The concise Oxford dictionary of politics /","",2003,FALSE
"38","ALDERMAN","JA 000061 .D47  1989B","X001666565","Political systems of the world /","Derbyshire, J. Denis.",1989,FALSE
"39","ALDERMAN","JA 000061 .P65  1988","X001559984","Political innovation and conceptual change /","",1988,FALSE
