"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","K  000050 .M7  M283  2000","X030164527","al-Muwa??a? /","M?lik ibn Anas,",2000,FALSE
"2","ALDERMAN","K  000050 .M7  S26  2000","X030007573","Mu?jam mu??ala??t u??l al-fiqh, ?Arab?-Inkil?z? /","S?n?, Qu?b Mu??afá.",2000,FALSE
"3","ALDERMAN","K  000100 .H34  2018","X032057756","Die Historische Rechtsschule /","Haferkamp, Hans-Peter,",2018,FALSE
"4","ALDERMAN","K  000103 .S63  E38  1997","X004120276","Educating for justice : social values and legal education /","",1997,FALSE
"5","ALDERMAN","K  000115 .Z9  L28","X000169072","Lawyers in early modern Europe and America /","",1981,TRUE
"6","ALDERMAN","K  000117 .L37  1988","X001687265","Lawyers in society : the common law world /","",1988,FALSE
"7","ALDERMAN","K  000147 .B47  2003","X004910305","Law and revolution II : the impact of the Protestant Reformations on the western legal tradition /","Berman, Harold J. (Harold Joseph),",2003,FALSE
"8","ALDERMAN","K  000150 .B47  1983","X006131837","Law and revolution : the formation of the Western legal tradition /","Berman, Harold J. (Harold Joseph),",1983,FALSE
"9","ALDERMAN","K  000150 .S52  2009","X030469628","Law and justice from antiquity to enlightenment /","Shaffern, Robert W.,",2009,FALSE
"10","ALDERMAN","K  000150 .W37  2001","X004478659","The evolution of Western private law /","Watson, Alan,",2001,FALSE
"11","ALDERMAN","K  000160 .R48  1988","X032325112","Revolution, Reform, Restauration : Formen der Veränderung von Recht und Gesellschaft /","",1988,FALSE
"12","ALDERMAN","K  000183 .K57  2013","X031727309","Qaz?? va maz?? : ?anz va nuktah dar mas??il-i qaz????, siy?s? va ijtim??? /","Kish?varz, Bahman,",2013,FALSE
"13","ALDERMAN","K  000184 .L63  2003","X004702610","Success without victory : lost legal battles and the long road to justice in America /","Lobel, Jules.",2003,FALSE
"14","ALDERMAN","K  000190 .A3  1985","X001506778","History and power in the study of law : new directions in legal anthropology /","",1989,FALSE
"15","ALDERMAN","K  000190 .H64","X000030193","The law of primitive man;","Hoebel, E. Adamson (Edward Adamson),",1954,FALSE
"16","ALDERMAN","K  000190 .M35  1983","X002595880","Ancient law : its connection with the early history of society, and its relation to modern ideas /","Maine, Henry Sumner,",1983,FALSE
"17","ALDERMAN","K  000190 .M353  V53  1991","X002084265","The Victorian achievement of Sir Henry Maine : a centennial reappraisal /","",1991,TRUE
"18","ALDERMAN","K  000190 .M66","X000055546","Law as process : an anthropological approach /","Moore, Sally Falk,",1978,FALSE
"19","ALDERMAN","K  000190 .N48  1983","X000869920","Law and economic organization : a comparative study of preindustrial societies /","Newman, Katherine S.,",1983,FALSE
"20","ALDERMAN","K  000212 .B35  1994","X002550420","Game theory and the law /","Baird, Douglas G.,",1994,FALSE
"21","ALDERMAN","K  000212 .H84  2002","X004633996","The five types of legal argument /","Huhn, Wilson Ray,",2002,FALSE
"22","ALDERMAN","K  000212 .V36  1996","X002744937","Thinking like a lawyer : an introduction to legal reasoning /","Vandevelde, Kenneth J.",1996,FALSE
"23","ALDERMAN","K  000213 .L398  1996","X002778740","Law's stories : narrative and rhetoric in the law /","",1996,FALSE
"24","ALDERMAN","K  000213 .S86  1996","X002758009","Legal reasoning and political conflict /","Sunstein, Cass R.",1996,FALSE
"25","ALDERMAN","K  000213 .T54  1999","X004290765","Legal language /","Tiersma, Peter Meijes.",1999,FALSE
"26","ALDERMAN","K  000213 .W49  1990","X001788403","Justice as translation : an essay in cultural and legal criticism /","White, James Boyd,",1990,FALSE
"27","ALDERMAN","K  000213 .W495  2006","X030104590","Living speech : resisting the empire of force /","White, James Boyd,",2006,FALSE
"28","ALDERMAN","K  000215 .E53  B44  2013","X031599756","Forgotten justice : the forms of justice in the history of legal and political theory /","Beever, Allan.",2013,FALSE
"29","ALDERMAN","K  000215 .E53  K45  1992","X002139650","A short history of Western legal theory /","Kelly, J. M. (John Maurice)",1992,FALSE
"30","ALDERMAN","K  000215 .E53  L48  2005","X004835251","On the history of the idea of law /","Letwin, Shirley Robin.",2005,TRUE
"31","ALDERMAN","K  000225 .R42  1989","X032187119","Rechtskultur, Denkkultur : Ergebnisse des ungarisch- österreichischen Symposiums der Internationalen Vereinigung für Rechts- und Sozialphilosophie 1987 /","",1989,FALSE
"32","ALDERMAN","K  000226 .M6","X000124347","The great legal philosophers; selected readings in jurisprudence.","Morris, Clarence,",1959,FALSE
"33","ALDERMAN","K  000226 .S92  1968","X001012352","Essays in legal philosophy;","Summers, Robert S.",1968,FALSE
"34","ALDERMAN","K  000230 .A445  D5  1967","X004402891","Dicaeologicae libri tres, totum et universum ius, guo utimur, methodice complectentes.","Althusius, Johannes,",1967,TRUE
"35","ALDERMAN","K  000230 .A447  C75  1990","X001688302","Critical legal studies : a liberal critique /","Altman, Andrew,",1990,TRUE
"36","ALDERMAN","K  000230 .A86  L4  1874  V.000002","X032180211","Lectures on jurisprudence, or The philosophy of positive law,","Austin, John,",1875,TRUE
"37","ALDERMAN","K  000230 .B57  J87  1996","X004068764","Jurisprudence : theory and context /","Bix, Brian.",1996,FALSE
"38","ALDERMAN","K  000230 .C3  N3","X000085783","The nature of the judicial process,","Cardozo, Benjamin N. (Benjamin Nathan),",1921,FALSE
"39","CLEMONS","K  000230 .C36  G7  1973","X000073889","The growth of the law.","Cardozo, Benjamin N. (Benjamin Nathan),",1973,TRUE
"40","ALDERMAN","K  000230 .C64  R57  1992","X002219609","Risks and wrongs /","Coleman, Jules L.",1992,TRUE
"41","ALDERMAN","K  000230 .C76  A35  2001","X004477468","Law's interior : legal and literary constructions of the self /","Crotty, Kevin,",2001,FALSE
"42","ALDERMAN","K  000230 .D9  G83  1992","X002110549","Ronald Dworkin /","Guest, Stephen.",1991,TRUE
"43","CLEMONS","K  000230 .D9  L39  1986","X006082796","Law's empire /","Dworkin, Ronald",1986,TRUE
"44","ALDERMAN","K  000230 .D92  D54  2018","X032583133","Dignity in the legal and political philosophy of Ronald Dworkin /","",2018,TRUE
"45","ALDERMAN","K  000230 .D92  E97  2006","X030110541","Exploring Law's empire : the jurisprudence of Ronald Dworkin /","",2006,FALSE
"46","CLEMONS","K  000230 .D92  R43  1992","X002213289","Reading Dworkin critically /","",1992,TRUE
"47","ALDERMAN","K  000230 .D92  R66  2007","X030250939","Ronald Dworkin /","",2007,TRUE
"48","ALDERMAN","K  000230 .F682  H86  1994","X002557682","Foucault and law : towards a sociology of law as governance /","Hunt, Alan.",1994,FALSE
"49","ALDERMAN","K  000230 .F75  R47  1990","X001704652","The republic of choice : law, authority, and culture /","Friedman, Lawrence M. (Lawrence Meir),",1990,TRUE
"50","ALDERMAN","K  000230 .F842  S82  1998","X006077565","The case of the speluncean explorers : nine new opinions /","Suber, Peter.",1998,FALSE
"51","CLEMONS","K  000230 .G6  P45","X000163513","Philosophy of law","Golding, Martin P. (Martin Philip),",1974,FALSE
"52","ALDERMAN","K  000230 .G74  C66  1987","X001187566","Conflicts of law and morality /","Greenawalt, Kent,",1987,TRUE
