"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","L  000010 .E39  2008","X030249524","Education for all by 2015 : will we make it?","",2007,FALSE
"2","ALDERMAN","L  000010 .E39  2012","X030851823","Youth and skills : putting education to work.","",2012,FALSE
"3","ALDERMAN","L  000010 .E39  2017/18","X032422598","Accountability in education : meeting our commitments.","",2017,FALSE
"4","ALDERMAN","L  000101 .G8  Y4  2003","X004714580","Language education /","",2003,FALSE
"5","ALDERMAN","L  000101 .G8  Y4  2005","X004176336","Globalization and nationalism in education /","",2005,FALSE
"6","ALDERMAN","L  000101 .G8  Y4  2008","X030374730","Geographies of knowledge, geometries of power : framing the future of higher education /","",2008,FALSE
"7","ALDERMAN","L  000797 .B49  2015","X031642056","Beyond Public Engagement : new ways of studying, managing and using university collections /","",2015,FALSE
"8","CLEMONS","L  000901 .P58  2000","X004541782","Colleges that change lives : 40 schools you should know about even if you're not a straight-A student /","Pope, Loren.",2000,FALSE
"9","ALDERMAN","LA 000011 .G8  1995","X004222216","A history of the Western educational experience /","Gutek, Gerald Lee.",1995,FALSE
"10","ALDERMAN","LA 000021 .B32  V.000002","X000904328","Studies in the history of educational theory /","Bantock, G. H. (Geoffrey Herman),",1980,TRUE
"11","CLEMONS","LA 000023 .B43  2004","X004806497","The saber-tooth curriculum /","Benjamin, Harold Raymond Wayne,",2004,FALSE
"12","ALDERMAN","LA 000031 .C46  1995","X002647640","Centres of learning : learning and location in pre-modern Europe and the Near East /","",1995,FALSE
"13","ALDERMAN","LA 000047 .C74  1998","X004159620","Education in ancient Israel : across the deadening silence /","Crenshaw, James L.",1998,FALSE
"14","ALDERMAN","LA 000071 .E38  2001","X004593381","Education in Greek and Roman antiquity /","",2001,FALSE
"15","ALDERMAN","LA 000071 .J69  2009","X030958681","Greek and Roman education : a sourcebook /","Joyal, Mark.",2009,FALSE
"16","ALDERMAN","LA 000071 .M85  1998","X004879755","Literate education in the Hellenistic and Roman worlds /","Morgan, Teresa (Teresa Jean)",1998,FALSE
"17","ALDERMAN","LA 000075 .C75  2001","X004556427","Gymnastics of the mind : Greek education in Hellenistic and Roman Egypt /","Cribiore, Raffaella.",2001,FALSE
"18","ALDERMAN","LA 000075 .K46  1995","X002673439","The gymnasium of virtue : education & culture in ancient Sparta /","Kennell, Nigel M.",1995,FALSE
