"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","PA 000001 .A48  1999","X004612797","Gasparino Barzizza e la rinascita degli studi classici : fra continuità e rinnovamento : atti del Seminario di studi, Napoli, Palazzo Sforza, 11 aprile 1997 /","",1999,FALSE
"2","ALDERMAN","PA 000001 .A48  2000","X004719101","La letteratura pseudepigrafa nella cultura greca e romana : atti di un incontro di studi, Napoli, 15-17 gennaio 1998 /","",2000,FALSE
"3","ALDERMAN","PA 000003 .N4  1857  SUPPL. 2","X032098179","Ueber die fragmente des Pompejus Trogus und die glaubwürdigkeit ihrer gewährsmänner. /","Gutschmid, Alfred,",1857,TRUE
"4","ALDERMAN","PA 000019 .B6  NO.000001","X032324015","G. Baligan - il terzo libro del corpus tibullianum, V. Cremona - originalita e sentimento letterario nella poesia di claudiano, S. Prete - i ""cantica"" di terenzio, G. B. Pighi - analisi ritmica di alcuniluoghi dei comici latini","Universita Degli Studi di Bologna Facolta di Lettere e Filosofia",1948,TRUE
"5","ALDERMAN","PA 000021 .C644  1989","X002018055","Actes du 5e colloque de linguistique latine = Proceedings of the 5th colloquium on Latin linguistics, 31 mars-4 avril 1989, Louvain-la- Neuve/Borzée /","",1989,FALSE
"6","ALDERMAN","PA 000023 .A1  A88  000009E 001973 T.000001","X032079105","Actes du IXe [i.e. neuvième] Congrès, Rome, 13-18 avril 1973 /","Association Guillaume Budé.",1975,TRUE
"7","ALDERMAN","PA 000023 .A1  A882  000005E 001953","X032079113","Congrès de Tours et Poitiers, 3-9 septembre 1953 : Actes du Congrès.","Association Guillaume Budé.",1954,FALSE
"8","ALDERMAN","PA 000023 .A1  A88A T. 000011E 001983","X032079111","Actes du XIe congrès, Pont-à-Mousson, 29 août-2 septembre 1983 /","Association Guillaume Budé. Congrès",1985,TRUE
"9","ALDERMAN","PA 000023 .D583  2002","X004656882","Disciplining classics = Altertumswissenschaft als Beruf /","",2002,FALSE
"10","ALDERMAN","PA 000023 .E9  2003","X004790278","Evento, racconto, scrittura nell'antichità classica : atti del Convegno internazionale di studi, Firenze, 25-26 novembre 2002 /","",2003,FALSE
"11","ALDERMAN","PA 000023 .F545  1998","X004561815","Filologia classica e filologia romanza : esperienze ecdotiche a confronto : atti del convegno, Roma, 25-27 maggio 1995 /","",1998,FALSE
"12","ALDERMAN","PA 000023 .G47  1981","X000499963","Geschichte des Textverständnisses am Beispiel von Pindar und Horaz : [Vorträge gehalten anlässlich des 6. Wolfenbütteler Symposions vom 18.-22. September 1978 in der Herzog August Bibliothek] /","",1981,FALSE
"13","ALDERMAN","PA 000023 .G56  2003","X004766258","Giornate filologiche ""Francesco Della Corte"" III /","Giornate filologiche ""Francesco Della Corte""",2003,FALSE
"14","ALDERMAN","PA 000023 .L38  2014","X031657097","Latin quis/qui, grec tis/tis : parcours et fonctionnements : études sur deux interrogatifs-indéfinis-relatifs /","",2014,FALSE
"15","ALDERMAN","PA 000023 .P34  1986","X001338198","Philosophie du langage et grammaire dans l'antiquité /","",1986,FALSE
"16","ALDERMAN","PA 000023 .S623  2003  V.000001","X032395644","La filología latina : mil años más /","Sociedad de Estudios Latinos. Congreso",2009,TRUE
"17","ALDERMAN","PA 000023 .S63  2015","X031713989","Spätantike Konzeptionen von Literatur /","",2015,FALSE
"18","ALDERMAN","PA 000023 .U35  1990","X002086040","Der Übergang von der Mündlichkeit zur Literatur bei den Griechen /","",1990,FALSE
"19","ALDERMAN","PA 000025 .A4  BD.24  T.2","X032078985","Vier urchristliche Parteien und ihre Vereinigung zur apostolischen Kirche.","Hartke, Wilhelm,",1961,TRUE
"20","ALDERMAN","PA 000025 .A4  BD.32  T.1","X032078986","Renaissance und Humanismus in Mittel- und Osteuropa; eine Sammlung von Materialien.","Irmscher, Johannes",1962,TRUE
"21","ALDERMAN","PA 000025 .B5  SER. A NO.000003 001953","X031980880","Il libro di Catullo. /","Catullus, Gaius Valerius.",1953,TRUE
"22","ALDERMAN","PA 000025 .C28  V.000009 NO.000001-000010","X000458269","Greek gods and foreign gods in Herodotus,","Linforth, Ivan M. (Ivan Mortimer),",1926,TRUE
"23","ALDERMAN","PA 000025 .C28  V.000011 NO.000001-000012","X030209322","The Platonism of Gregory of Nyssa.","Cherniss, Harold F. (Harold Fredrik),",1930,TRUE
"24","ALDERMAN","PA 000025 .C28  V.000013 NO.000001-000014","X000423872","Quotations in the Latin Physiologus from Latin Bibles earlier than the Vulgate,","Carmody, Francis J. (Francis James),",1944,TRUE
"25","ALDERMAN","PA 000025 .C28  V.000015 NO.000001-000006 001954-000061","X000337172","Three scenes in Sophocles' ""Ajax.""","Linforth, Ivan M. (Ivan Mortimer),",1954,TRUE
"26","ALDERMAN","PA 000025 .C28  V.000018 NO.000001 001962","X000464191","Studia Pindarica, I-II.","Bundy, Elroy L.",1962,TRUE
"27","ALDERMAN","PA 000025 .C28  V.19  NO.3","X000685254","Anger in Juvenal and Seneca,","Anderson, William S. (William Scovil),",1964,TRUE
"28","ALDERMAN","PA 000025 .C7  V.25","X004490865","Mediaeval artes praedicandi : a supplementary hand-list /","Caplan, Harry,",1936,TRUE
"29","ALDERMAN","PA 000025 .C7  V.28","X000778967","The Greek anthology in France and in the Latin writers of the Netherlands to the year 1800 /","Hutton, James,",1967,TRUE
"30","ALDERMAN","PA 000025 .C7  V.30","X000309998","Hesiod and Aeschylus.","Solmsen, Friedrich,",1967,TRUE
"31","ALDERMAN","PA 000025 .C7  V.31","X000876374","A study of Sophoclean drama.","Kirkwood, G. M. (Gordon MacDonald),",1958,TRUE
"32","ALDERMAN","PA 000025 .C7  V.32","X001042891","Alcuin and  Charlemagne: studies in Carolingian history and literature.","Wallach, Luitpold.",1959,TRUE
"33","ALDERMAN","PA 000025 .C7  V.33","X000284215","Aristotle's system of the physical world; a comparison with his predecessors /","Solmsen, Friedrich,",1970,TRUE
"34","ALDERMAN","PA 000025 .C7  V.35","X000984001","Sophrosyne : self-knowledge and self-restraint in Greek literature /","North, Helen F. (Helen Florence),",1966,TRUE
"35","ALDERMAN","PA 000025 .E36  1997","X004228317","Einleitung in die griechische Philologie /","",1997,FALSE
"36","ALDERMAN","PA 000025 .H252  ABT.000001 T.000002","X002076035","Die literarische Fälschung im heidnischen und christlichen Altertum; ein Versuch ihrer Deutung.","Speyer, Wolfgang.",1971,TRUE
"37","ALDERMAN","PA 000025 .H252  ABT.000001 T.000007 001972","X000209739","Greek and Roman chronology; calendars and years in classical antiquity,","Samuel, Alan Edouard.",1972,TRUE
"38","ALDERMAN","PA 000025 .H252  ABT.000002 T.000001 BD.000001 HALFTE 000002","X004456041","Griechische grammatik, auf der grundlage von Karl Brugmanns Griechischer grammatik,","Schwyzer, Eduard,",1934,TRUE
"39","ALDERMAN","PA 000025 .H252  ABT.000002 T.000005 BD.000005","X004851250","Handbuch zur lateinischen Sprache des Mittelalters /","Stotz, Peter.",1996,TRUE
"40","ALDERMAN","PA 000025 .H252  ABT.000003 T.000010","X030851512","Geschichte und Kultur der Kelten /","Maier, Bernhard,",2012,TRUE
"41","ALDERMAN","PA 000025 .H252  ABT.000005 T.000002 BD.000001","X000193017","Geschichte der griechischen Religion.","Nilsson, Martin P. (Martin Persson),",1941,TRUE
"42","ALDERMAN","PA 000025 .H252  ABT.000005 T.000004","X001271382","Römische Religionsgeschichte.","Latte, Kurt,",1960,TRUE
"43","ALDERMAN","PA 000025 .H252  ABT.000006 BD.000003","X031224859","Handbuch der Archäologie.","",1939,TRUE
"44","ALDERMAN","PA 000025 .H252  ABT.000007 002014 BD.000002","X031721449","Die Literatur der klassischen und hellenistischen Zeit /","",2014,TRUE
"45","ALDERMAN","PA 000025 .H252  ABT.000007 T.000002 BD.000001 AUFL.000006","X031667963","Geschichte der griechischen Literatur,","Schmid, Wilhelm,",1929,TRUE
"46","ALDERMAN","PA 000025 .H252  ABT.000008 BD.000005","X001610863","Handbuch der lateinischen Literatur der Antike /","",1997,TRUE
"47","ALDERMAN","PA 000025 .H252  ABT.000009 T.000002 BD.000002","X032079202","Geschichte der lateinischen Literatur des Mittelalters /","Manitius, Max,",1964,TRUE
"48","ALDERMAN","PA 000025 .H252  ABT.000010 T.000003 BD.000003 ABSCHU.000002","X032079190","Kirche und theologische Literatur im Byzantinischen Reich.","Beck, Hans-Georg,",1959,TRUE
"49","ALDERMAN","PA 000025 .H252  ABT.000012 T.000002 BD.000003","X032079188","Geschichte der byzantinischen Volksliteratur.","Beck, Hans-Georg,",1971,TRUE
"50","ALDERMAN","PA 000025 .I58  V.000003","X032078982","Introduzione allo studio della cultura classica.","",1972,TRUE
"51","ALDERMAN","PA 000025 .M3  V.000017 001963","X031982361","Boundaries of Dionysus; Athenian foundations for the theory of tragedy.","Schlesinger, Alfred C. (Alfred Cary),",1963,TRUE
"52","ALDERMAN","PA 000025 .M3  V.000018 001964","X031982362","Society and civilization in Greece and Rome.","Ehrenberg, Victor,",1964,TRUE
"53","ALDERMAN","PA 000025 .M3  V.19  1964","X000028972","Aristophanes and the comic hero,","Whitman, Cedric Hubbell.",1964,TRUE
"54","ALDERMAN","PA 000025 .Y3  V.23","X000534920","Studies in Latin language and literature.","",1973,TRUE
"55","ALDERMAN","PA 000025 .Y3  V.24","X000305276","Studies in the Greek historians : in memory of Adam Parry /","",1975,TRUE
"56","ALDERMAN","PA 000025 .Y3  V.26","X000209985","Aristophanes : essays in interpretation.","",1980,TRUE
"57","ALDERMAN","PA 000025 .Y3  V.29","X002115008","Beginnings in classical literature /","",1992,TRUE
"58","ALDERMAN","PA 000025 .Y3  V.31","X004817579","The Greco-Roman East : politics, culture, society /","",2004,TRUE
"59","ALDERMAN","PA 000025 .Y3  V.32","X004778183","Ancient anger : perspectives from Homer to Galen /","",2003,TRUE
"60","ALDERMAN","PA 000025 .Y3  V.33","X030209977","Religion in republican Italy /","",2006,TRUE
"61","ALDERMAN","PA 000025 .Y3  V.34","X030734757","From the tetrarchs to the Theodosians : later Roman history and culture, 284-450 CE  /","",2010,TRUE
"62","ALDERMAN","PA 000025 .Y3  V.35","X030821885","The emperor and Rome : space, representation, and ritual /","",2010,TRUE
"63","ALDERMAN","PA 000025 .Y3  V.36","X031227884","Reception and the classics /","",2012,TRUE
"64","ALDERMAN","PA 000025 .Y3  V.37","X031755558","Learning Latin and Greek from antiquity to the present /","",2015,TRUE
"65","ALDERMAN","PA 000025 .Y3  V.38","X031800405","Religion, society and culture at Dura-Europos /","",2016,TRUE
"66","ALDERMAN","PA 000026 .B37  H97  1985","X001013255","Hypatia : essays in classics, comparative literature, and philosophy /","",1985,FALSE
"67","ALDERMAN","PA 000026 .B73  H66  1987","X001433469","Homo viator : classical essays for John Bramble /","",1987,FALSE
"68","ALDERMAN","PA 000026 .C285  R53  1999","X004503175","Ricordando Raffaele Cantarella : miscellanea di studi /","",1999,TRUE
"69","ALDERMAN","PA 000026 .C58  S7  1998","X004083823","Style and tradition : studies in honor of Wendell Clausen /","",1998,FALSE
