"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","PB 000001 .M65  V.100  SUPPL. 2005","X030015852","One hundred years of MLR : general and comparative studies /","",2005,TRUE
"2","ALDERMAN","PB 000010 .N4  V.000021","X032015230","Giacomo Leopardi : studio biografico.","Wis, Roberto,",1959,TRUE
"3","ALDERMAN","PB 000010 .N4  V.000022","X032015231","Essai d'un glossaire génévois d'après les registres du Conseil de la ville de 1409 à 1536.","Ahokas, Jaakko,",1959,TRUE
"4","ALDERMAN","PB 000010 .N4  V.000023","X000412155","A Middle English syntax.","Mustanoja, Tauno F. (Tauno Frans),",1960,TRUE
"5","ALDERMAN","PB 000010 .N4  V.000024","X032015232","American fiction in Finland; an essay and bibliography","Durham, Philip.",1960,TRUE
"6","ALDERMAN","PB 000010 .N4  V.000025","X032015233","Der Ursprung und die Entwicklung der niederländischen Weinbauterminologie: mit besonderer Berücksichtigung der mittelniederlandischen Zeit.","Alanne, Eero.",1961,TRUE
"7","ALDERMAN","PB 000010 .N4  V.000026","X032015234","L'expression imagée dans l'?uvre de Chateaubriand.","Lehtonen, Maija.",1964,TRUE
"8","ALDERMAN","PB 000010 .N4  V.000027","X032015235","Studien zur Terminologie des Paradisus anime intelligentis; Beiträge zur Erforschung der Sprache der mittelhochdeutschen Mystik und Scholastik.","Seppänen, Lauri,",1964,TRUE
"9","ALDERMAN","PB 000010 .N4  V.000028","X032015236","Les termes d'appellation et d'interpellation dans La comédie humaine d'Honoré de Balzac.","Välikangas, Olli.",1965,TRUE
"10","ALDERMAN","PB 000010 .N4  V.000029","X032015238","Les expressions du commandement et de la défense en latin et leur survie dans les langues romanes.","Löfstedt, Leena.",1966,TRUE
"11","ALDERMAN","PB 000010 .N4  V.000030","X032015239","Das französische Lehngut in mittelnieder-deutschen Denkmälern von 1300 bis 1600.","Katara, Pekka,",1966,TRUE
"12","ALDERMAN","PB 000010 .N4  V.000031","X032015258","The uses of ""one"" in Old and Early Middle English.","Rissanen, Matti.",1967,TRUE
"13","ALDERMAN","PB 000010 .N4  V.000033","X032015259","Zur Sprache der Kölner Bibeln. Studien zur Urheberfrage.","Ahtiluoto, Lauri.",1968,TRUE
"14","ALDERMAN","PB 000010 .N4  V.000034","X004490591","The siege of Jerusalem in prose,","Kurvinen, Auvo.",1969,TRUE
"15","ALDERMAN","PB 000010 .N4  V.000036","X032015260","Problems in the translation of Shakespeare's imagery into Finnish, with special reference to Macbeth.","Rissanen, Matti.",1971,TRUE
"16","ALDERMAN","PB 000010 .N4  V.000037","X032015261","Germ. *fr??d- und germ. *kl?k-; eine bedeutungsgeschichtliche Untersuchung zu Wörtern für ""Klugheit"" und ""pflanzliches Wachstum.""","Piirainen, Elisabeth.",1971,TRUE
"17","ALDERMAN","PB 000010 .N4  V.000039","X032015262","The uses of so, al so and as in early Middle English.","Nummenmaa, Liisa.",1973,TRUE
"18","ALDERMAN","PB 000010 .N4  V.000040","X001037499","Studies in the style and narrative technique of Edward Hall's Chronicle.","Rissanen, Matti.",1973,TRUE
"19","ALDERMAN","PB 000010 .N4  V.000041 PT.000002","X030852113","The northern homily cycle: The expanded version in MSS Harley 4196 and Cotton Tiberius E VII,","",1972,TRUE
"20","ALDERMAN","PB 000011 .C37  1996","X004096603","The MLA guide to the job search : a handbook for departments and for PhDs and PhD candidates in English and foreign languages /","",1996,FALSE
"21","ALDERMAN","PB 000013 .C3  V.000001 NO.000001-000004","X032105213","Der junge Goethe und das publikum;","Pinger, Wilhelm Robert Richard,",1909,TRUE
"22","ALDERMAN","PB 000013 .C3  V.000013 NO.000001-000004","X032105216","Ocho sainetes inéditos de don Ramón de la Cruz;","Cruz, Ramón de la,",1925,TRUE
"23","ALDERMAN","PB 000013 .C3  V.000015 NO.000001-000002","X032105217","The -ra verb form in Spain. The Latin pluperfect indicative form in its successive functions in Custilian, with a table of ratios of these functions compared with those of parallel forms","Wright, Leavitt Olds,",1932,TRUE
"24","ALDERMAN","PB 000013 .C3  V.000016 NO.000001-000004","X000307786","Los misterios del corpus de Valencia,","Corbató, Hermenegildo,",1932,TRUE
"25","ALDERMAN","PB 000013 .C3  V.000018 NO.000001-000006","X000393882","Social conflicts in medieval German poetry,","Gudde, Erwin Gustav,",1934,TRUE
"26","ALDERMAN","PB 000013 .C3  V.000065","X032088154","Jean sans Terre; a critical ed. with analytical notes","Goll, Yvan,",1962,TRUE
"27","ALDERMAN","PB 000013 .C3  V.000088","X002765788","The aphorisms of Orazio Rinaldi, Robert Greene, and Lucas Gracian Dantisco.","Speroni, Charles,",1968,TRUE
"28","ALDERMAN","PB 000013 .C3  V.000092","X000538740","Robert de Blois's Floris et Lyriopé.","Barrette, Paul.",1968,TRUE
"29","ALDERMAN","PB 000013 .C3  V.000098","X032088370","Las ideas literarias en España entre 1840 y 1850.","García Castañeda, Salvador,",1971,TRUE
"30","ALDERMAN","PB 000013 .C3  V.100","X032088368","The discovery of illusion; Flaubert's early works, 1835-1837.","Gans, Eric Lawrence,",1971,TRUE
"31","ALDERMAN","PB 000013 .C3  V.103","X001133923","Latin rhetorical theory in thirteenth and fourteenth century Castile.","Faulhaber, Charles.",1972,TRUE
"32","ALDERMAN","PB 000013 .C3  V.112","X000367312","The allegory of good love : parodic perspectivism in the Libro de buen amor /","Seidenspinner-Núñez, Dayle.",1981,TRUE
"33","ALDERMAN","PB 000013 .C3  V.115","X001183311","Alfonso X and the Jews : an edition of and commentary on Siete partidas 7.24 ""De los judíos"" /","",1986,TRUE
"34","ALDERMAN","PB 000013 .M8  V.000044-000054  1909-1912","X031596911","Vergleich, metapher und allegorie in den ""Tragiques"" des Agrippa d'Aubigné.","Schwerd, Karl.",1909,TRUE
"35","ALDERMAN","PB 000025 .O88  2000","X004443752","La plastica della lingua : stili in fuga lungo una età postrema /","Ottonieri, Tommaso,",2000,FALSE
"36","ALDERMAN","PB 000029 .I58  2007","X030333269","Introduction to scholarship in modern languages and literatures /","",2007,FALSE
"37","ALDERMAN","PB 000035 .C532  1988","X002527865","Developing second-language skills : theory and practice /","Chastain, Kenneth.",1988,FALSE
"38","ALDERMAN","PB 000035 .C85  2006","X030139629","Culture in language learning /","",2006,FALSE
"39","ALDERMAN","PB 000035 .H24  2001","X006121927","Teaching language in context /","Hadley, Alice Omaggio,",2001,FALSE
"40","ALDERMAN","PB 000035 .I57","X000321502","Introduction to scholarship in modern languages and literatures /","",1981,FALSE
"41","ALDERMAN","PB 000035 .I57  1992","X002712413","Introduction to scholarship in modern languages and literatures /","",1992,FALSE
"42","ALDERMAN","PB 000035 .L36  2009","X030466965","Language teaching : integrational linguistic approaches /","",2009,FALSE
"43","ALDERMAN","PB 000035 .N66  1992","X004266478","Languages for a multicultural world in transition /","Northeast Conference on the Teaching of Foreign Languages",1992,FALSE
"44","ALDERMAN","PB 000035 .S815  1997","X004265271","The standby book : activities for the language classroom /","",1998,FALSE
"45","ALDERMAN","PB 000035 .S843  1989","X002232752","Success with foreign languages : seven who achieved it and what worked for them /","Stevick, Earl W.",1989,FALSE
"46","ALDERMAN","PB 000036 .G3","X000622522","Attitudes and motivation in second-language learning","Gardner, Robert C.",1972,FALSE
"47","ALDERMAN","PB 000036 .G55  2016","X031840626","The invention of monolingualism /","Gramling, David,",2016,FALSE
"48","ALDERMAN","PB 000036 .H3  1962  ADDENDUM B-C","X032308550","Modern foreign language enrollments in four-year colleges and universities, Fall 1961 /","Modern Language Association of America. Foreign Language Research Center.",1962,FALSE
"49","ALDERMAN","PB 000036 .I586  1987","X001181296","Initiatives in communicative language teaching II : a book of readings /","",1987,FALSE
"50","ALDERMAN","PB 000036 .M24  2005","X004860233","Drama techniques : a resource book of communication activities for language teachers /","Maley, Alan,",2005,FALSE
"51","ALDERMAN","PB 000036 .S38  1993","X006007792","Teaching culture : strategies for intercultural communication /","Seelye, H. Ned.",1993,FALSE
"52","ALDERMAN","PB 000038 .U6  R6","X002138551","The study of foreign languages.","Rou?ek, Joseph S. (Joseph Slabey),",1968,TRUE
"53","ALDERMAN","PB 000073 .W54  1997","X006075709","Five languages made simpler : French, Italian, English, Spanish, and German grammar, vocabulary, phrases, and conversation = Apprend cinq langues plus facile Franca?is, Italien, Anglais, Espagnol, et Allemand grammaire, lexique, expressions et conversation = Cinque lingues hanno fatto più facile Francese, Italiano, Inglesi, Sp","Wilson, Wesley M.",1997,FALSE
"54","ALDERMAN","PB 000077 .V48  1901","X032308551","Kleine Phonetik des Deutschen, Englischen und Französischen ...","Viëtor, Wilhelm,",1901,FALSE
"55","ALDERMAN","PB 000188.9 .A78  1989","X031899432","Mun?j?t-i Khv?jah ?Abd All?h An??r? /","An??r? al-Haraw?, ?Abd All?h ibn Mu?ammad,",1989,FALSE
"56","ALDERMAN","PB 001001 .C88  V.1","X004554385","The individual in Celtic literatures /","",2001,TRUE
"57","ALDERMAN","PB 001002 .A45  1968","X031597492","Celtic studies: essays in memory of Angus Matheson, 1912-1962;","",1968,FALSE
"58","ALDERMAN","PB 001014 .C45  1992","X002231756","The Celtic languages /","",1992,FALSE
"59","ALDERMAN","PB 001014 .G7","X000081901","Celtic : a comparative study of the six Celtic languages, Irish, Gaelic, Manx, Welsh, Cornish, Breton seen against the background of their history, literature, and destiny /","Gregor, D. B. (Douglas Bartlett)",1980,FALSE
"60","ALDERMAN","PB 001014 .R87  1995","X030268672","An introduction to the Celtic languages /","Russell, Paul,",1995,FALSE
"61","ALDERMAN","PB 001015 .D87  1983","X000627319","The decline of the Celtic languages : a study of linguistic and cultural conflict in Scotland, Wales and Ireland from the Reformation to the twentieth century /","Durkacz, Victor Edward.",1983,FALSE
"62","ALDERMAN","PB 001015 .J3  1953","X000597956","Language and history in early Britain; a chronological survey of the Brittonic languages, first to twelfth century A.D.","Jackson, Kenneth.",1953,FALSE
"63","ALDERMAN","PB 001096 .A56  T.000001","X032088307","Cours de littérature celtique.","Arbois de Jubainville, H. d' (Henry),",1969,TRUE
"64","ALDERMAN","PB 001096 .M43  2005","X004901709","Medieval Celtic literature and society /","",2005,FALSE
"65","ALDERMAN","PB 001096 .W44  2014","X031704628","Where motley is worn : transnational Irish literatures /","",2014,FALSE
"66","ALDERMAN","PB 001097 .P78  1998","X004218617","Literacy in medieval Celtic societies /","",1998,FALSE
"67","ALDERMAN","PB 001205 .O66  1997","X004054899","Language policy and social reproduction : Ireland, 1893-1993 /","Ó Riagáin, Pádraig.",1997,FALSE
"68","ALDERMAN","PB 001214 .M33  2005","X030258241","The Irish language in Ireland : from Gíodel to globalisation /","Mac Giolla Chriost, Diarmait,",2005,FALSE
"69","ALDERMAN","PB 001214 .O48  1985","X001225862","The Irish language /","Ó Murchú, Máirtín.",1985,FALSE
"70","ALDERMAN","PB 001215 .C76  2005","X004833197","Wars of words : the politics of language in Ireland 1537-2004 /","Crowley, Tony.",2005,FALSE
"71","ALDERMAN","PB 001215 .D692  2015","X031762218","A history of the Irish language : from the Norman invasion to independence /","Doyle, Aidan",2015,FALSE
"72","ALDERMAN","PB 001215 .O74  1984B","X001188767","The Irish language in the Republic of Ireland 1983 : preliminary report of a national survey /","Ó Riagáin, Pádraig.",1984,FALSE
"73","ALDERMAN","PB 001215 .P65  2000","X006121097","The politics of language in Ireland 1366-1922 : a sourcebook /","Crowley, Tony.",2000,FALSE
"74","ALDERMAN","PB 001217 .M38  1991","X002110572","A guide to Ogam /","McManus, Damian.",1991,FALSE
"75","ALDERMAN","PB 001218 .L4","X000056013","An introduction to Old Irish /","Lehmann, Ruth P. M. (Ruth Preston Miller),",1975,FALSE
"76","ALDERMAN","PB 001218 .S75  2006","X031853174","Sengoidelc : Old Irish for beginners /","Stifter, David.",2006,FALSE
"77","ALDERMAN","PB 001220 .Q95","X000442211","Old-Irish workbook /","Quin, E. G. (Ernest Gordon)",1975,FALSE
"78","ALDERMAN","PB 001221 .M33  1998","X031602215","Irish grammar : a basic handbook /","McGonagle, Noel.",1998,FALSE
"79","ALDERMAN","PB 001221 .O16  1989","X001665873","Modern Irish : grammatical structure and dialectal variation /","Ó Siadhail, Mícheál.",1989,FALSE
"80","ALDERMAN","PB 001221 .O36  1981","X000980538","Irish grammar /","Ó Huallacháin, Colmán.",1981,FALSE
"81","ALDERMAN","PB 001223 .B35  1982  V.000003","X000929887","A handbook of Irish /","Bammesberger, Alfred,",1982,TRUE
"82","ALDERMAN","PB 001223 .B35  V.000001","X000681143","A handbook of Irish /","Bammesberger, Alfred,",1982,TRUE
"83","ALDERMAN","PB 001223 .B7  1960","X000236463","New Irish grammar.","Christian Brothers.",1960,FALSE
"84","ALDERMAN","PB 001223 .C58  1959","X000236465","Irish without worry for everyone,","Collier, Daniel A.",1959,FALSE
"85","ALDERMAN","PB 001223 .N48  1988","X002116675","New Irish grammar /","",1988,FALSE
"86","ALDERMAN","PB 001223 .O84  1993","X002253345","Irish : a complete course for beginners /","Ó Sé, Diarmuid.",1993,FALSE
"87","ALDERMAN","PB 001227.5 .E5  O85  1988","X031666191","Learning Irish : an introductory self-tutor /","O'Siadhail, Micheal,",1988,FALSE
"88","ALDERMAN","PB 001291 .D38  1990","X002120493","Beginner's Irish dictionary /","Davies, Helen,",1990,FALSE
"89","ALDERMAN","PB 001291 .E27  1998","X004254006","Easy reference Irish/English - English/Irish dictionary = foclóir Gaeilge/Béarla - Béarla/Gaeilge.","",1998,FALSE
"90","ALDERMAN","PB 001296 .H53  2011","X031193240","The dialects of Irish : study of a changing landscape /","Hickey, Raymond,",2011,FALSE
"91","ALDERMAN","PB 001298 .N67  O74  1999","X004311473","The Irish language in Northern Ireland : the politics of culture and identity /","O'Reilly, Camille.",1999,FALSE
"92","ALDERMAN","PB 001306 .C36  2006  V.000001","X004836152","The Cambridge history of Irish literature /","",2006,TRUE
"93","CLEMONS","PB 001307 .F57  2001","X004500299","Drama and the performing arts in pre-Cromwellian Ireland : a repertory of sources and documents from the earliest times until c. 1642 /","Fletcher, Alan J. (Alan John)",2001,FALSE
"94","ALDERMAN","PB 001314 .P3  B63  2016","X031761128","The body in pain in Irish literature and culture /","",2016,FALSE
"95","ALDERMAN","PB 001321 .M33  1990","X001843971","Pagan past and Christian present in early Irish literature /","McCone, Kim.",1990,FALSE
"96","ALDERMAN","PB 001321 .N5  2009","X030770438","An introduction to early Irish literature /","Ní Bhrolcháin, Muireann.",2009,FALSE
"97","ALDERMAN","PB 001321 .O34  2014","X031628624","Coire Sois, the cauldron of knowledge : a companion to early Irish saga /","Ó Cathasaigh, Tomás,",2014,FALSE
