"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","PC 000003 .G5  1912  BD.30","X032306850","Der festländische Beuve de Hantone.","",1912,TRUE
"2","ALDERMAN","PC 000003 .G5  1914  V.000042","X030592547","Der festländische Bueve de Hantone.","",1914,TRUE
"3","ALDERMAN","PC 000003 .G5  V.000040 001912","X032306846","Li romanz d'Athis et Phrophilias","Athis et Prophilias.",1912,TRUE
"4","ALDERMAN","PC 000003 .G5  V.000047 001920","X032306775","Rondeaux, virelais und balladen aus dem ende des XII., dem XIII, und dem ersten drittel des XIV, jahrhunderts mit den überlieferten melodien,","Gennrich, Friedrich,",1921,TRUE
"5","ALDERMAN","PC 000003 .Z51  BD.000107","X032058501","Die Schöpfungswoche des Du Bartas.","Du Bartas, Guillaume de Salluste,",1963,TRUE
"6","ALDERMAN","PC 000003 .Z51  BD.136","X032060166","Disparition et survivances du franco-provençal: étudiées dans le lexique rural de La Combe de Lancey (Isère)","Vincenz, André de.",1974,TRUE
"7","ALDERMAN","PC 000011 .A25  1982","X032015276","Actes de la deuxième Journee des Romanistes, 28 novembre 1981 /","Université libre de Bruxelles.",1982,FALSE
"8","ALDERMAN","PC 000011 .G65  2003","X004903154","Romance languages and linguistic theory 2003 : selected papers from 'Going Romance' 2003, Nijmegen, 20-22 November /","Going Romance (Conference)",2005,FALSE
"9","ALDERMAN","PC 000011 .I5  1962  T.000003","X032015145","Linguistique et philologie romanes. xe Congrès international de linguistique et philologie romanes.","International Congress of Romance Linguistics and Philology",1965,TRUE
"10","ALDERMAN","PC 000011 .I5  1974  V.000003","X032079337","Atti, XIV [i.e., quattordicesimo] Congresso internazionale di linguistica e filologia romanza, Napoli, 15-20 aprile 1974.","International Congress of Romance Linguistics and Philology",1976,TRUE
"11","ALDERMAN","PC 000011 .I53  1989  INDEX","X004780906","Actas do XIX Congreso Internacional de Lingüística e Filoloxía Románicas, Universidade de Santiago de Compostela, 1989 /","International Congress of Romance Linguistics and Philology",1992,FALSE
"12","ALDERMAN","PC 000011 .L53  1983","X000975768","Selected papers from the XIIIth Linguistic Symposium on Romance Languages, Chapel Hill, N.C., 24-26 March 1983 /","Linguistic Symposium on Romance Languages",1985,FALSE
"13","ALDERMAN","PC 000011 .L53  1987","X001705968","Studies in Romance linguistics : selected papers from the seventeenth Linguistic Symposium on Romance Languages (XVII. LSRL) Rutgers University, 27-29 March, 1987 /","Linguistic Symposium on Romance Languages",1989,FALSE
"14","ALDERMAN","PC 000011 .L53  1989","X002193840","Theoretical analyses in Romance linguistics : selected papers   from the nineteenth Linguistic Symposium on Romance Languages (LSRL XIX), the   Ohio State University, April 21-23, 1989 /","Linguistic Symposium on Romance Languages",1992,FALSE
"15","ALDERMAN","PC 000011 .L53  1996","X004206258","Theoretical analyses on Romance languages : selected papers from the 26th Linguistic Symposium on Romance Languages (LSRL XXVI), Mexico City, 28-30 March, 1996 /","Linguistic Symposium on Romance Languages",1998,FALSE
"16","ALDERMAN","PC 000011 .L53  2001","X004590641","Romance syntax, semantics and L2 acquisition : selected papers from the 30th Linguistic Symposium on Romance Languages : Gainesville, Florida, February 2000 /","Linguistic Symposium on Romance Languages",2001,FALSE
"17","ALDERMAN","PC 000011 .L53  2001","X004702099","A Romance perspective on language knowledge and use : selected papers from the 31st Linguistic Symposium on Romance Languages (LRSL), Chicago, 19-22 April 2001 /","Linguistic Symposium on Romance Languages",2003,FALSE
"18","ALDERMAN","PC 000011 .L53  2006","X030257445","Romance linguistics 2006 : selected papers from the 36th Linguistic Symposium on Romance Languages (LSRL), New Brunswick, March 31-April 2, 2006 /","Linguistic Symposium on Romance Languages",2007,FALSE
"19","ALDERMAN","PC 000011 .L53  2007","X030567012","Romance linguistics 2007 : selected papers from the 37th Linguistic Symposium on Romance Languages (LSRL), Pittsburgh, 15-18 March 2007 /","Linguistic Symposium on Romance Languages",2009,FALSE
"20","ALDERMAN","PC 000011 .L53  2009","X030925502","Romance linguistics 2009 : selected papers from the 39th linguistic symposium on romance languages (LSRL), Tucson, Arizona, March 2009 /","Linguistic Symposium on Romance Languages",2010,FALSE
"21","ALDERMAN","PC 000011 .L53  2010","X031057416","Romance linguistics 2010 : selected papers from the 40th Linguistic Symposium on Romance Languages (LSRL), Seattle, Washington, March 2010 /","Linguistic Symposium on Romance Languages",2011,FALSE
"22","ALDERMAN","PC 000011 .L53  2011","X031721964","Variation within and across Romance languages : selected papers from the 41st Linguistic Symposium on Romance languages (LSRL), Ottawa, 5-7 May 2011 /","Linguistic Symposium on Romance Languages",2014,FALSE
"23","ALDERMAN","PC 000011 .R634  2006","X030111100","Romance languages and linguistic theory 2004 : selected papers from ""Going Romance,"" Leiden, 9-11 December 2004 /","",2006,FALSE
"24","ALDERMAN","PC 000011 .R635  2007","X030257441","Romance languages and linguistic theory 2005 : selected papers from 'Going romance', Utrecht, 8-10 December 2005 /","",2007,FALSE
"25","ALDERMAN","PC 000011 .R665  2009","X030571193","Romanística sin complejos : homenaje a Carmen Pensado /","",2009,FALSE
"26","ALDERMAN","PC 000013 .J62  V.000001 001925","X001056099","Jefferson et les idéologues d'après sa correspondance inédite avec Destutt de Tracy, Cabanis, J.-B. Say et Auguste Comte,","Chinard, Gilbert,",1925,TRUE
"27","ALDERMAN","PC 000013 .J62  V.000002 001926","X002080245","The Commonplace book of Thomas Jefferson,","Jefferson, Thomas,",1926,TRUE
"28","ALDERMAN","PC 000013 .J62  V.13","X032088371","Théodore Barrière, dramatist of the second empire,","Byam, Edwin Colby,",1938,TRUE
"29","ALDERMAN","PC 000013 .J62  V.26  1949","X032193965","The influence of Heinsius and Vossius upon French dramatic theory.","Kern, Eidth G.,",1949,TRUE
"30","ALDERMAN","PC 000013 .N67  NO.000012","X031224789","Romance studies presented to William Morton Dey on the occasion of his seventieth birthday by his colleagues and former students /","",1950,TRUE
"31","ALDERMAN","PC 000013 .N67  NO.000028 001957","X000599242","The Catholic naturalism of Pardo Bazán /","Brown, Donald Fowler,",1957,TRUE
"32","ALDERMAN","PC 000013 .N67  NO.000032","X002526989","Natural history of the West Indies /","Fernández de Oviedo y Valdés, Gonzalo,",1959,TRUE
"33","ALDERMAN","PC 000013 .N67  NO.000033","X000459678","Mediaeval Latin and French bestiaries /","McCulloch, Florence.",1960,TRUE
"34","ALDERMAN","PC 000013 .N67  NO.000046 001964","X002562674","The poetic art of Juan del Valle Caviedes /","Reedy, Daniel R. (Daniel Ross),",1964,TRUE
"35","ALDERMAN","PC 000013 .N67  NO.000050","X000299470","The heroic frenzies /","Bruno, Giordano,",1965,TRUE
"36","ALDERMAN","PC 000013 .N67  NO.000059","X032320583","Hispanic studies in honor of Nicholson B. Adams.","",1966,TRUE
"37","ALDERMAN","PC 000013 .N67  NO.000061","X002562694","Studies on the Cancionero de Baena,","Fraker, Charles F.",1966,TRUE
"38","ALDERMAN","PC 000013 .N67  NO.000065","X032320579","La chanson de Willame : a critical study.","Robertson, Howard S.",1966,TRUE
"39","ALDERMAN","PC 000013 .N67  NO.000067","X002562702","Victor Hugo: a select and critical bibliography,","Grant, Elliott Mansfield,",1967,TRUE
"40","ALDERMAN","PC 000013 .N67  NO.000071 001967","X032320592","The Portuguese Book of Joseph of Arimathea.","Liuro de Josep Abaramatia.",1967,TRUE
"41","ALDERMAN","PC 000013 .N67  NO.000072","X032320584","Renaissance and other studies in honor of William Leon Wiley. /","",1968,TRUE
"42","ALDERMAN","PC 000013 .N67  NO.000073","X032320571","Sermon joyeux and polemic : two sixteenth-century applications of the legend of the Fifteen signs /","Heist, William W.,",1968,TRUE
"43","ALDERMAN","PC 000013 .N67  NO.000074 001968","X032320568","Laurent de Premierfait's Des cas des nobles hommes et femmes, book 1, translated from Boccaccio : A critical edition based on six manuscripts /","Boccaccio, Giovanni,",1968,TRUE
"44","ALDERMAN","PC 000013 .N67  NO.000075","X032320575","The poetics and the poetry of René Char /","La Charité, Virginia A.",1968,TRUE
"45","ALDERMAN","PC 000013 .N67  NO.000076","X032320576","The lay of Guingamor; a study.","Sturm-Maddox, Sara.",1968,TRUE
