"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","PE 000001 .C66  N.S. V.000061","X001219102","Between dream and nature : essays on utopia and dystopia /","",1987,TRUE
"2","ALDERMAN","PE 000001 .C66  N.S. V.000062","X001261464","Explorations in the field of nonsense /","",1987,TRUE
"3","ALDERMAN","PE 000001 .C66  N.S. V.000067","X001501756","An anatomy of literary nonsense /","Tigges, Wim.",1988,TRUE
"4","ALDERMAN","PE 000001 .C66  N.S. V.000077","X001936583","Passionate intelligence : the poetry of Geoffrey Hill /","Knottenbelt, E. M.",1990,TRUE
"5","ALDERMAN","PE 000001 .C66  N.S. V.000083","X002085407","Rewriting the dream : reflections on the changing American literary canon /","",1992,TRUE
"6","ALDERMAN","PE 000001 .C66  N.S. V.000091","X002540011","Gothick origins and innovations /","",1994,TRUE
"7","ALDERMAN","PE 000001 .C66  N.S. V.000096","X002642812","Telling histories : narrativizing history, historicizing literature /","",1995,TRUE
"8","ALDERMAN","PE 000001 .C66  N.S. V.103","X002609391","New essays in deixis : discourse, narrative, literature /","",1995,TRUE
"9","ALDERMAN","PE 000001 .C66  N.S. V.111","X006034973","Men alone : masculinity, individualism, and hard-boiled fiction /","Nyman, Jopi,",1997,TRUE
"10","ALDERMAN","PE 000001 .C66  N.S. V.118","X004350971","Love, sex, and marriage : a historical thesaurus /","Coleman, Julie,",1999,TRUE
"11","ALDERMAN","PE 000001 .C66  N.S. V.119","X006077657","Joyce and the Anglo-Irish : a study of Joyce and the literary revival /","Platt, Len.",1998,TRUE
"12","ALDERMAN","PE 000001 .C66  N.S. V.120","X006027600","The medieval chronicle : proceedings of the 1st International Conference on the Medieval Chronicle /","International Conference on the Medieval Chronicle",1999,TRUE
"13","ALDERMAN","PE 000001 .C66  N.S. V.122","X006003566","The united stories of America : studies in the short story composite /","Lundén, Rolf.",1999,TRUE
"14","ALDERMAN","PE 000001 .C66  N.S. V.123","X006116059","Theme parks, rainforests and sprouting wastelands : European essays on theory and performance in contemporary British fiction /","",2000,TRUE
"15","ALDERMAN","PE 000001 .C66  N.S. V.124","X006119482","Poetry and the sense of panic : critical essays on Elizabeth Bishop and John Ashbery /","",2000,TRUE
"16","ALDERMAN","PE 000001 .C66  N.S. V.125","X006119800","Fire & fiction : Augusta Jane Evans in context /","Riepma, Anna Sophia Roelina,",2000,TRUE
"17","ALDERMAN","PE 000001 .C66  N.S. V.132  V.2","X004655211","A thesaurus of old English : in two volumes /","Roberts, Jane.",2000,TRUE
"18","ALDERMAN","PE 000001 .C66  N.S. V.139","X004529535","Modernization and the crisis of memory : John Donne to Don DeLillo /","Wolf, Philipp.",2002,TRUE
"19","ALDERMAN","PE 000001 .C66  N.S. V.140","X004620886","Tradition and the poetics of self in nineteenth-century women's poetry /","",2002,TRUE
"20","ALDERMAN","PE 000001 .C66  N.S. V.143","X004696460","The life of the mind in Old English poetry /","Harbus, Antonina,",2002,TRUE
"21","ALDERMAN","PE 000001 .C66  N.S. V.154","X004861721","The swarming streets : twentieth-century literary representations of London /","",2004,TRUE
"22","ALDERMAN","PE 000001 .C66  V.000027 001980","X000745953","The analysis of motives : early American psychology and fiction /","Lloyd Smith, Allan, (Allan Gardner)",1980,TRUE
"23","ALDERMAN","PE 000011 .C3  V.000020","X030697963","Critical responsiveness; a study of the psychological current in later eighteenth-century criticism.","McKenzie, Gordon,",1949,TRUE
"24","ALDERMAN","PE 000013 .A78  1978","X000496000","Actas del primer congreso de la Asociación Española de Estudios Anglo-Americanos : Granada, 15 al 17 de diciembre, 1977.","Asociación Española de Estudios Anglo-Americanos.",1978,FALSE
"25","ALDERMAN","PE 000019 .P616  NO.1","X032015687","Droga do Werony : studium historycznoliterackie ""Romeo i Julia"" Szekspira.","Zbierski, Henryk.",1966,TRUE
"26","ALDERMAN","PE 000019 .P616  NO.2","X032015686","Funkcja obrazu w strukturze wiersza : na podstawie wczesnej poezji anglo-ameryka?skiej xx w.","Kopcewicz, Andrzej.",1969,TRUE
"27","ALDERMAN","PE 000019 .P616  NO.3","X032015685","Modal verbs in shakespeare's english","Kakietek, Piotr",1972,TRUE
