"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","PF 000073 .B72  1985B","X001057198","The Dutch language : a survey /","Brachin, Pierre.",1984,FALSE
"2","ALDERMAN","PF 000075 .D6  1983","X000836524","Dutch : a linguistic history of Holland and Belgium /","Donaldson, B. C. (Bruce C.),",1983,FALSE
"3","ALDERMAN","PF 000111 .D8  1948","X001406196","Dutch simplified.","",1948,FALSE
"4","ALDERMAN","PF 000111 .S5  1973","X000448757","Introduction to Dutch. A practical grammar.","Shetter, William Z.",1973,FALSE
"5","ALDERMAN","PF 000111 .S6  1978","X000537104","Dutch grammar and reader with exercises /","Smit, Jacob,",1978,FALSE
"6","ALDERMAN","PF 000112 .B47  1990  V.000001","X002635548","Beter nederlands : grammaticaal hulpboek voor anderstaligen /","",1990,TRUE
"7","ALDERMAN","PF 000112 .D6  1981","X000533748","Dutch reference grammar /","Donaldson, B. C. (Bruce C.),",1981,FALSE
"8","ALDERMAN","PF 000112 .D6  2008","X030277744","Dutch : a comprehensive grammar /","Donaldson, B. C. (Bruce C.),",2008,FALSE
"9","ALDERMAN","PF 000112 .H32  1986","X001902090","Basic Dutch : a text- and exercise- book for the study of colloquial Dutch = Gesproken Nederlands : een werk- en oefenboek voor hen die Nederlands willen leren vanuit het Engels /","Haas, Nel de.",1982,FALSE
"10","ALDERMAN","PF 000112 .S5  1994","X002523034","Dutch : an essential grammar /","Shetter, William Z.",1994,FALSE
"11","ALDERMAN","PF 000117 .B5  V.000001","X000625793","Een goed begin ... : a contemporary Dutch reader /","Bird, R. Byron (Robert Byron),",1978,TRUE
"12","ALDERMAN","PF 000117 .S54  1985","X001062648","Reading Dutch : fifteen annotated stories from the low countries /","Shetter, William Z.",1985,FALSE
"13","ALDERMAN","PF 000128 .S36  1981","X002046274","Praatpaal : a Dutch course for beginners /","Schoenmakers, Anneke.",1981,FALSE
"14","ALDERMAN","PF 000131 .V65  2007","X030257469","Voicing in Dutch : (de)voicing-- phonology, phonetics, and psycholinguistics /","",2007,FALSE
"15","ALDERMAN","PF 000629 .W6  1986","X001034394","Wolters' Beeld-woordenboek Engels en Nederlands /","",1986,FALSE
"16","ALDERMAN","PF 000640 .B8  1951  V.000002","X001407212","Engels woordenboek","Bruggencate, K. ten (Karel),",1956,TRUE
