"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","PG 000001 .C3  V.000015","X002650961","Cultural mythologies of Russian modernism : from the golden age to the silver age /","",1992,TRUE
"2","ALDERMAN","PG 000001 .S627  V.000100 001998","X006012176","Wyraz i zdanie w j?zykach s?owia?skich : opis, konfrontacja, przek?ad /","",1998,TRUE
"3","ALDERMAN","PG 000001 .S627  V.000102 001999","X006012446","Indywidualizm impresjonistyczny : Konstantina Balmonta ?wiat wyobra?ni poetyckiej /","Malej, Izabella.",1999,TRUE
"4","ALDERMAN","PG 000001 .S627  V.000103 001999","X006058402","Przestrze? komunikacji negatywnej w j?zyku polskim i rosyjskim : k?ótnia jako specyficzna sytuacja komunikacji werbalnej /","Sarnowski, Micha?.",1999,TRUE
"5","ALDERMAN","PG 000001 .S627  V.000106 001999","X006107906","Z problematyki ekspresjonizmu w literaturze rosyjskiej : od Leonida Andriejewa do Wsiewo?oda Wiszniewskiego /","Paszkiewicz, Anna.",1999,TRUE
"6","ALDERMAN","PG 000001 .S627  V.000108 002000","X006107460","Podró?e w czasie i przestrzeni : proza Isidory Sekuli? /","Koch, Magdalena.",2000,TRUE
"7","ALDERMAN","PG 000001 .S627  V.000110 002000","X006120169","S?owia?skie derywaty imienne z przyimkiem negacji w podstawie s?owotwórczej / Jan Soko?owski.","Soko?owski, Jan.",2000,TRUE
"8","ALDERMAN","PG 000001 .S627  V.000111 002000","X006112726","W poszukiwaniu krainy idealnej : poezja Wilhelma Küchelbeckera /","Kusiak-Skotnicka, ?ucja.",2000,TRUE
"9","ALDERMAN","PG 000001 .S627  V.000113","X006128550","Motyw snu w prozie starszych symbolistów rosyjskich (Fiodor So?ogub) /","Matusiak, Agnieszka.",2001,TRUE
"10","ALDERMAN","PG 000001 .S627  V.000114 002001","X006132474","Model prozy ""innej"" w literaturze rosyjskiej po 1985 roku /","Skotnicka-Maj, Anna.",2001,TRUE
"11","ALDERMAN","PG 000001 .S627  V.000115 002001","X006128549","Wielkie tematy kultury w literaturach s?owia?skich /","",1997,TRUE
"12","ALDERMAN","PG 000001 .S68  V.000021","X006003486","Poetry and revolution : Boris Pasternak's My sister life /","",1999,TRUE
"13","ALDERMAN","PG 000001 .S68  V.000029-000030 PT.000001","X004953197","Word, music, history : a festschrift for Caryl Emerson /","",2005,TRUE
"14","ALDERMAN","PG 000001 .S68  V.000037","X030575132","The life of Boris Pasternak's Doctor Zhivago /","",2009,TRUE
"15","ALDERMAN","PG 000001 .S68  V.48","X032212356","Across borders : 20th century Russian literature and Russian-Jewish cultural contacts : essays in honor of Vladimir Khazan /","",2018,TRUE
"16","ALDERMAN","PG 000001 .S82  V.42","X032084854","Old Russian birchbark letters : a pragmatic approach /","Dekker, Simeon,",2018,TRUE
"17","ALDERMAN","PG 000001 .S82  V.43","X032212361","Voices on birchbark : everyday communication in medieval Russia /","Schaeken, J.,",2019,TRUE
"18","ALDERMAN","PG 000006 .S55  V.22  SUPPL.","X030338867","Words, deeds and values : the intelligentsias in Russia and Poland during the nineteenth and twentieth centuries /","",2005,TRUE
"19","ALDERMAN","PG 000011 .E97  2007","X030700720","Studies in formal Slavic phonology, morphology, syntax, semantics and information structure : proceedings of FDSL 7, Leipzig 2007 /","Europäische Konferenz Formale Beschreibung Slavischer Sprachen",2009,FALSE
"20","ALDERMAN","PG 000011 .I5  1998B","X004302274","American contributions to the Twelfth International Congress of Slavists : Cracow, August-September 1998 : literature, linguistics, poetics /","International Congress of Slavists",1998,FALSE
"21","ALDERMAN","PG 000011 .I5  2013","X031581304","American contributions to the 15th International Congress of Slavists : Minsk, August 2013 /","",2013,FALSE
"22","ALDERMAN","PG 000011 .I58  2008","X030567345","Dutch contributions to the Fourteenth International Congress of Slavists, Ohrid, September 10-16, 2008.","International Congress of Slavists",2008,FALSE
"23","ALDERMAN","PG 000011 .W67  2012","X031574437","Annual Workshop on Formal Approaches to Slavic Linguistics : the third Indiana meeting, 2012 /","Annual Workshop on Formal Approaches to Slavic Linguistics",2013,FALSE
"24","ALDERMAN","PG 000013 .M46  2014","X031812194","Annual Workshop On Formal Approaches To Slavic Linguistics : the first Berkeley meeting /","Annual Workshop on Formal Approaches to Slavic Linguistics",2015,FALSE
"25","ALDERMAN","PG 000013 .M46  2015","X031811907","Annual Workshop on Formal Approaches to Slavic Linguistics : the NYU Meeting 2015 /","Annual Workshop on Formal Approaches to Slavic Linguistics : the NYU Meeting 2015",2017,FALSE
"26","ALDERMAN","PG 000013 .P36  V.3","X000746665","Among the people, native Yugoslav ethnography : selected writing of Milenko S. Filipovi? /","Filipovi?, Milenko S.",1982,TRUE
"27","ALDERMAN","PG 000013 .P36  V.4","X000924415","Russian literature and American critics /","",1984,TRUE
"28","ALDERMAN","PG 000013 .P62  1968  V.000002","X032087902","Z polskich studiów s?awistycznych. Seria 3.  Prace na VI Miedzynarodowy Kongres Slawistów w Pradze, 1968.","",1968,TRUE
"29","ALDERMAN","PG 000025 .S34  1995","X004044534","The dawn of Slavic : an introduction to Slavic philology /","Schenker, Alexander M.",1995,FALSE
"30","ALDERMAN","PG 000038 .L43  2000","X004524112","The learning and teaching of Slavic languages and cultures /","",2000,FALSE
"31","ALDERMAN","PG 000041 .S58  1993","X002327722","The Slavonic languages /","",1993,FALSE
"32","ALDERMAN","PG 000041 .S85  2006","X030116081","The Slavic languages /","Sussex, Roland.",2006,FALSE
"33","ALDERMAN","PG 000043 .F5  1970  V.000001","X001495601","Lekt?s?i po slavi?anskomu i?azykoznzn?i?u.","Florinsk??, T. D. (Timo?e? Dmitr?evich),",1970,TRUE
"34","ALDERMAN","PG 000043 .H613  1992  V.000002","X002125032","An introduction to the study of the Slavonic languages /","Horálek, Karel.",1992,TRUE
"35","ALDERMAN","PG 000043 .S55  2006","X030203144","Slavi?anskie i?azyki v svete kul?tury /","",2006,FALSE
"36","ALDERMAN","PG 000045 .A84  1984  V.000001","X000905055","Aspects of the Slavic language question /","",1984,TRUE
"37","ALDERMAN","PG 000045 .E6  1949","X000461198","Russian and the Slavonic languages.","Entwistle, William J. (William James),",1949,FALSE
