"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","PH 000131 .K2913  1983","X001205461","Finnish grammar /","Karlsson, Fred.",1983,FALSE
"2","ALDERMAN","PH 000133 .G73  2006","X030111186","Grammar from the human perspective : case, space and person in Finnish /","",2006,FALSE
"3","ALDERMAN","PH 000135 .K35  2008","X030278564","Finnish : an essential grammar /","Karlsson, Fred.",2008,FALSE
"4","ALDERMAN","PH 000324 .E5  F7  1988","X001640779","The Kalevala : epic of the Finnish people /","",1988,TRUE
"5","ALDERMAN","PH 000325 .K3  1985","X001057333","Kalevala 1835-1985 : the national epic of Finland /","",1985,FALSE
"6","ALDERMAN","PH 000346 .H69  2005","X004833111","How to address the fog : XXV Finnish poems, 1978-2002  /","",2005,FALSE
"7","ALDERMAN","PH 000355 .C34  H4713  2013","X031614961","Mr Darwin's gardener /","Carlson, Kristina,",2013,FALSE
"8","ALDERMAN","PH 000355 .P22  H69  2007","X030275899","The howling miller /","Paasilinna, Arto,",2007,FALSE
"9","ALDERMAN","PH 000355 .P22  J313  1995","X002601827","The year of the hare /","Paasilinna, Arto,",1995,FALSE
"10","ALDERMAN","PH 000355 .V37  H3613  2008","X030251830","The parson's widow /","Vartio, Marja-Liisa.",2008,FALSE
"11","CLEMONS","PH 000356 .H578  E8813  2009","X030569243","When I forgot /","Hirvonen, Elina,",2009,FALSE
"12","ALDERMAN","PH 000356 .I78  K8313  2016","X031772968","The weaver : a novel /","Itäranta, Emmi,",2016,FALSE
"13","ALDERMAN","PH 000356 .P85  T6813  2011","X031195158","True /","Pulkkinen, Riikka,",2011,TRUE
"14","ALDERMAN","PH 000666.21 .I77  M4413  2015B","X031842189","The man who spoke Snakish /","Kivirähk, Andrus,",2015,FALSE
"15","ALDERMAN","PH 000666.21 .R6  P3513  2003","X004719038","Treading air /","Kross, Jaan.",2003,FALSE
"16","ALDERMAN","PH 000666.31 .N75  B7413  2009","X030562316","Brecht at night /","Unt, Mati.",2009,FALSE
"17","ALDERMAN","PH 000666.31 .N75  D6613  2008","X030259613","Diary of a blood donor /","Unt, Mati.",2008,TRUE
"18","ALDERMAN","PH 000706 .S23  2007","X030255720","Saami linguistics /","",2007,FALSE
"19","ALDERMAN","PH 002111 .B34  1965A","X000276904","Learn Hungarian,","Bánhidi, Zoltán.",1965,FALSE
"20","ALDERMAN","PH 002131 .S55  2000","X004435651","The phonology of Hungarian /","Siptár, Péter.",2000,FALSE
"21","ALDERMAN","PH 002361 .K55  2002","X004631055","The syntax of Hungarian /","Kiss, Katalin É.",2002,FALSE
"22","ALDERMAN","PH 002640 .O67  1989","X001937039","Angol-Magyar kéziszótár = a concise English-Hungarian dictionary /","Országh, László.",1989,FALSE
"23","ALDERMAN","PH 003213 .B24  M413  2013","X031580626","The Transylvanian trilogy.","Bánffy, Miklós,",2013,FALSE
"24","ALDERMAN","PH 003213 .B24  M4213  2013","X031230120","The Transylvanian trilogy. Book three, They were divided /","Bánffy, Miklós,",2013,FALSE
"25","ALDERMAN","PH 003213 .B518  S5613  2013","X031614739","The sinistra zone /","Bodor, Ádám.",2013,FALSE
"26","ALDERMAN","PH 003213 .B596  A2  2016","X031798131","Berlin-Hamlet /","Borbély, Szilárd,",2016,FALSE
"27","ALDERMAN","PH 003213 .B596  N5613  2016","X031773000","The dispossessed : a novel /","Borbély, Szilárd,",2016,FALSE
"28","ALDERMAN","PH 003213 .D53  A6  2005","X004860537","Love and other stories /","Déry, Tibor,",2005,FALSE
"29","ALDERMAN","PH 003241 .E85  K513  1995","X002668304","A little Hungarian pornography /","Esterházy, Péter,",1995,FALSE
"30","ALDERMAN","PH 003241 .E85  N613  1997","X004151599","She loves me /","Esterházy, Péter,",1997,FALSE
"31","CLEMONS","PH 003241 .E85  S4513  2010","X030690782","Not art : a novel /","Esterházy, Péter,",2010,FALSE
"32","ALDERMAN","PH 003281 .K3815  F45  2003","X004913085","Felszámolás : regény /","Kertész, Imre,",2003,TRUE
"33","ALDERMAN","PH 003281 .K3815  F4513  2004","X004807523","Liquidation /","Kertész, Imre,",2004,TRUE
"34","ALDERMAN","PH 003281 .K3815  K3  2003","X004913090","Kaddis a meg nem született gyermekért /","Kertész, Imre,",2003,FALSE
"35","ALDERMAN","PH 003281 .K3815  K313  1997","X004157732","Kaddish for a child not born /","Kertész, Imre,",1997,FALSE
"36","ALDERMAN","PH 003281 .K3815  S6713  1992","X002161057","Fateless /","Kertész, Imre,",1992,FALSE
"37","ALDERMAN","PH 003281 .K3815  S6713  2005","X004833863","Fatelessness /","Kertész, Imre,",2005,FALSE
"38","ALDERMAN","PH 003281 .K3815  Z46  2013","X031611491","Dossier K /","Kertész, Imre,",2013,FALSE
"39","ALDERMAN","PH 003281 .K3815  Z72  2005","X004902906","Imre Kertész and Holocaust literature /","",2005,FALSE
