"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","PJ 000005 .D4  BD.000041 NR.000001","X030284938","Hochsprache und Dialekt im Arabischen : Untersuchungen z. heutigen arab. Zweisprachigkeit /","Diem, Werner.",1974,TRUE
"2","ALDERMAN","PJ 000005 .D4  BD.000045 NR.000002","X004916826","Die schiitischen Derwischorden Persiens /","Gramlich, Richard.",1965,TRUE
"3","ALDERMAN","PJ 000005 .D4  BD.000054 NR.000001","X006134105","Islamstudien ohne Ende : Festschrift für Werner Ende zum 65. Geburtstag /","",2002,TRUE
"4","ALDERMAN","PJ 000005 .D4  BD.000057 NR.000002","X030015989","Samaw'al al-Maghribi's (d. 570/1175) Ifham al-yahud - The early recension /","Al-Maghrib?, Samaual ibn Yahy?,",2006,TRUE
"5","ALDERMAN","PJ 000005 .D4  BD.000057 NR.000004","X030122708","Ta?affu? al-adillah /","Ba?r?, Mu?ammad ibn ?Al?,",2006,TRUE
"6","ALDERMAN","PJ 000005 .D4  BD.000059","X030209980","Current issues in the analysis of Semitic grammar and lexicon II : Oslo-Göteborg Cooperation 4th-5th November 2005 /","",2006,TRUE
"7","ALDERMAN","PJ 000005 .D4  BD.000060","X030369907","Orient als Grenzbereich? : rabbinisches und ausserrabbinisches Judentum /","",2007,TRUE
"8","ALDERMAN","PJ 000005 .D4  BD.000062","X030369906","??str?rambha : inquiries into the preamble in Sanskrit /","",2008,TRUE
"9","ALDERMAN","PJ 000005 .D4  BD.000068","X030715169","Korrektur, Differenzierung und Abkürzung in indischen Inschriften und Handschriften /","Einicke, Katrin.",2009,TRUE
"10","ALDERMAN","PJ 000005 .D4  BD.000070","X030634039","Circumstantial qualifiers in Semitic : the case of Arabic and Hebrew /","Isaksson, Bo.",2009,TRUE
"11","ALDERMAN","PJ 000005 .D4  BD.000071","X030734816","Modality and the Biblical Hebrew infinitive absolute /","Callaham, Scott N.",2010,TRUE
"12","ALDERMAN","PJ 000005 .D4  BD.000073 T.000002","X030852639","Northern Thai stone inscriptions (14th-17th centuries) /","Buchmann, Marek.",2011,TRUE
"13","ALDERMAN","PJ 000005 .D4  BD.000077","X030851509","High vs. low and mixed varieties : status, norms and functions across time and languages /","Oslo Workshop on High and Low varieties, diglossia, and language contact: linguistics products and social process",2012,TRUE
"14","ALDERMAN","PJ 000005 .D4  BD.000078","X030851510","Affiliation and transmission in Daoism : a Berlin Symposium /","",2012,TRUE
"15","ALDERMAN","PJ 000005 .D4  BD.000082","X031609974","Another tract for the Buryats : with I.J. Schmidt's recently identified Kalmuck originals /","Bawden, Charles R.",2012,TRUE
