"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","PK 000002 .Z5  H35  2002","X030162535","?ikhisamuccayah : Indian and Tibetan studies, (Collectanea Marpurgensia Indologica et Tibetica) /","",2002,FALSE
"2","ALDERMAN","PK 000002 .Z5  L482  2007","X030246778","Sylvain Lévi, 1863-1935 : Etudes indiennes, histoire sociale : actes du colloque tenu à Paris les 8-10 octobre 2003 /","",2007,TRUE
"3","ALDERMAN","PK 000009 .A2  J63  2013","X031636622","Jñ?nap??ha purask?ra, 1965-2010 /","",2013,FALSE
"4","ALDERMAN","PK 000102 .Z5  G65  1972","X030763098","India maior / congratulatory volume presented to J. Gonda /","",1972,TRUE
"5","ALDERMAN","PK 000102 .Z5  H345  2007","X030268234","Indica et Tibetica : Festschrift für Michael Hahn zum 65. Geburtstag von Freunden und Schülern überreicht /","",2007,FALSE
"6","ALDERMAN","PK 000102 .Z5  R4  1968","X000464300","Mélanges d'indianisme à la mémoire de Louis Renou.","",1968,TRUE
"7","ALDERMAN","PK 000102 .Z5  T67  2007","X030517627","Indian languages and texts through the ages : essays of Hungarian indologists in honour of Prof. Csaba Töttössy /","",2007,TRUE
"8","ALDERMAN","PK 000109 .J6  A4  1970  V.000001","X004247957","The letters of Sir William Jones;","Jones, William,",1970,TRUE
"9","ALDERMAN","PK 000109 .J6  A6  1993","X002442069","Sir William Jones, a reader /","Jones, William,",1993,FALSE
"10","ALDERMAN","PK 000109 .J6  F72  2011","X031189359","Orientalist Jones : Sir William Jones, poet, lawyer, and linguist, 1746-1794 /","Franklin, Michael J.,",2011,TRUE
"11","ALDERMAN","PK 000109 .J6  S57  1998","X004405139","Sir William Jones, 1746-1794 : a commemoration /","",1998,FALSE
"12","ALDERMAN","PK 000115 .M37  1991","X001925056","The Indo-Aryan languages /","Masica, Colin P.,",1991,FALSE
"13","ALDERMAN","PK 000116 .I53  2003","X004844456","The Indo-Aryan languages /","",2003,FALSE
"14","ALDERMAN","PK 000119 .I583  2007","X030367147","The Indic scripts : palaeographic and linguistic perspectives /","",2007,FALSE
"15","ALDERMAN","PK 000119 .K364  2008","X030518352","??rad? and ?akar? alphabets : origin and development /","Kaul Deambi, B. K. (Bhushan Kumar),",2008,FALSE
"16","ALDERMAN","PK 000119 .T56  1947","X031630938","Roman equivalents of Indian scripts /","Thoburn, C. Stanley,",1947,FALSE
"17","ALDERMAN","PK 000119.5 .M48  1996  PT.000002","X004616928","From Indus to Sanskrit /","Mishra, Madhusudan,",1996,TRUE
"18","ALDERMAN","PK 000121 .B82  1996","X004125386","The structure and development of Middle Indo-Aryan dialects /","Bubeník, Vít,",1996,FALSE
"19","ALDERMAN","PK 000121 .P76  2010","X030957695","Problematizing language studies : cultural, theoretical and applied perspectives : essays in honour of Rama Kant Agnihotri /","",2010,FALSE
"20","ALDERMAN","PK 000123 .K63  2004","X031196918","Historical phonology of old Indo-Aryan consonants /","Kobayashi, Masato,",2004,FALSE
"21","ALDERMAN","PK 000133 .E96  1990","X001977939","Experiencer subjects in South Asian languages /","",1990,FALSE
"22","ALDERMAN","PK 000161 .I53  2012","X031612020","Indian and Persian prosody and recitation /","",2012,FALSE
"23","ALDERMAN","PK 000175 .W8  LFG.000001-000003","X032097832","Vergleichendes und etymologisches wörterbuch des altindoarischen (altindischen),","Wüst, Walther,",1935,TRUE
"24","ALDERMAN","PK 000179 .N678  2008  V.000001","X030324701","North East Indian linguistics /","",2008,TRUE
"25","ALDERMAN","PK 000235 .M2  1993","X004230059","A Vedic grammar for students /","Macdonell, Arthur Anthony,",1993,FALSE
"26","ALDERMAN","PK 000240 .S268  1950","X031800747","P?davidh?na of ?aunaka : with an anonymous commentary entitled the P?davidh?nabh?sya /","?aunaka.",1950,FALSE
"27","ALDERMAN","PK 000401 .C51  V.000001","X002185074","Abhinavagupta; an historical and philosophical study.","Pandey, Kanti Chandra.",1963,TRUE
"28","ALDERMAN","PK 000401 .C51  V.000030 PT.000001","X000424638","An English translation of the Sushruta samhita, based on original Sanskrit text, with a full and comprehensive introd., additional texts, different readings, notes, comparative views, index, glossary and plates.","Su?ruta.",1963,TRUE
"29","ALDERMAN","PK 000401 .C51  V.000046","X032097755","An introduction to Buddhist esoterism.","Bhattacharyya, Benoytosh,",1964,TRUE
"30","ALDERMAN","PK 000401 .C51  V.000054 V.000002","X030729685","Agni pur??am;","",1967,TRUE
"31","ALDERMAN","PK 000401 .C51  V.000062","X000714751","The aesthetic experience according to Abhinavagupta.","Abhinavagupta,",1968,TRUE
"32","ALDERMAN","PK 000401 .C51  V.000067","X000884213","The Garu?a-pur??am.","",1968,TRUE
"33","ALDERMAN","PK 000401 .C51  V.000081","X000387449","Concept of agni in ?yurveda; with special reference to agnibala par?k??.","Dash, Bhagwan,",1971,TRUE
"34","ALDERMAN","PK 000401 .C51  V.000094 PT.000001","X000366940","Agnive?a's Caraka sa?hita : text with English translation & critical exposition based on Cakrap??i Datta's ?yurveda d?pik? /","Caraka.",1976,TRUE
"35","ALDERMAN","PK 000402 .Z5  I538","X000169834","Sanskrit and Indian studies : essays in honour of Daniel H. H. Ingalls /","",1980,FALSE
