"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","PL 000001 .R34  2010","X030925646","Introduction to Altaic philology : Turkic, Mongolian, Manchu /","Rachewiltz, Igor de.",2010,FALSE
"2","ALDERMAN","PL 000021 .T87  1998","X004767978","The Turkic languages /","",1998,FALSE
"3","ALDERMAN","PL 000054.6 .Z434  2012","X031604726","Tujue yu yu gu Han yu guan xi ci dui bi yan jiu /","Zhao, Xiangru.",2012,FALSE
"4","ALDERMAN","PL 000054.69 .Y87  Z75  2010","X030950615","""Fu yue zhi hui"" Ying yi yan jiu /","Li, Ning,",2010,FALSE
"5","ALDERMAN","PL 000055 .U539  Y8713  1983","X000543228","Wisdom of royal glory : a Turko-Islamic mirror for princes /","Y?suf,",1983,FALSE
"6","ALDERMAN","PL 000055 .U82  R3  1969","X000081486","Basic course in Uzbek.","Raun, Alo,",1969,TRUE
"7","ALDERMAN","PL 000056.9 .I86  R35  2006","X004836015","The railway /","Ismailov, Hamid,",2006,TRUE
"8","ALDERMAN","PL 000065 .K5  H4","X000140425","Kirghiz manual,","Hebert, Raymond J.",1963,FALSE
"9","ALDERMAN","PL 000066.9 .G37  F7  2008","X030477438","French and African letters /","Gasprinski, ?smail Bey,",2008,TRUE
"10","ALDERMAN","PL 000115 .L47  1999","X004412061","The Turkish language reform : a catastrophic success /","Lewis, Geoffrey,",1999,FALSE
"11","ALDERMAN","PL 000115 .S87  1986","X001206641","Studies in Turkish linguistics /","",1986,FALSE
"12","ALDERMAN","PL 000123 .L4  2000","X004994294","Turkish grammar /","Lewis, Geoffrey,",2000,FALSE
"13","ALDERMAN","PL 000123 .M6  1944","X030950832","The new Turkish; an elementary grammar, vocabulary, and phrase book of the Turkish language in the new Latin characters,","Mowle, Alfred Charles,",1944,FALSE
"14","ALDERMAN","PL 000127 .M25  1944  V.000001","X001541678","Spoken Turkish, basic course ...","McQuown, Norman A.",1944,TRUE
"15","ALDERMAN","PL 000127 .M25  1947  V.000001","X000540857","Spoken Turkish /","McQuown, Norman A.",1947,TRUE
"16","ALDERMAN","PL 000127.5 .E5  G65  2005","X004833252","Turkish : a comprehensive grammar /","Göksel, Asl?.",2005,TRUE
"17","ALDERMAN","PL 000127.5 .E5  K89  2013","X031822273","The delights of learning Turkish : a self-study course book for learners of Turkish, beginner to intermediate /","Kuzucu, Ya?ar Esendal.",2013,FALSE
"18","ALDERMAN","PL 000139 .M3  1961B","X030159255","Colloquial Turkish /","Mardin, Yusuf.",1961,FALSE
"19","ALDERMAN","PL 000161 .J34  2006","X004911289","A dictionary of Turkish verbs : in context and by theme = Örnekli ve tematik Türkçe fiiller sözlü?ü /","Jaeckel, Ralph.",2006,FALSE
"20","ALDERMAN","PL 000171 .E7  1984","X000837123","The function of word order in Turkish grammar /","Taylan, Eser Erguvanl?.",1984,FALSE
"21","ALDERMAN","PL 000191 .H6  1957","X001328389","A Turkish-English dictionary,","Hony, H. C.",1957,FALSE
"22","ALDERMAN","PL 000191 .I9  1952","X000500770","An English-Turkish dictionary,","?z, Fahir.",1952,FALSE
"23","ALDERMAN","PL 000205 .H345  2011","X030944840","A millennium of Turkish literature : a concise history /","Halman, Talât Sait.",2011,FALSE
"24","ALDERMAN","PL 000210 .F64  S494  2015","X031797810","The oral and the written in Ottoman literature : the reader notes on the story of Fîrûz?âh /","Sezer, Elif,",2015,FALSE
"25","ALDERMAN","PL 000216 .E77  2011","X030976392","Grammatology and literary modernity in Turkey /","Ertürk, Nergis.",2011,FALSE
"26","ALDERMAN","PL 000216 .K676  2007","X030262971","Ottoman propaganda and Turkish identity : literature in Turkey during World War I /","Köro?lu, Erol.",2007,FALSE
"27","ALDERMAN","PL 000217 .A5","X000714870","An introduction to Ottoman poetry /","Andrews, Walter G.",1976,FALSE
"28","ALDERMAN","PL 000220 .A52  1985","X000932831","Poetry's voice, society's song : Ottoman lyric poetry /","Andrews, Walter G.",1985,FALSE
"29","ALDERMAN","PL 000220 .H65  1994","X002479954","The unreadable shores of love : Turkish modernity and mystic romance /","Holbrook, Victoria Rowe,",1994,FALSE
"30","ALDERMAN","PL 000223 .S44  2008","X030470189","Tales of crossed destinies : the modern Turkish novel in a comparative context /","Seyhan, Azade.",2008,FALSE
"31","ALDERMAN","PL 000228 .K5913  2006","X004897042","Early mystics in Turkish literature /","Köprülü, Mehmet Fuat,",2006,FALSE
"32","ALDERMAN","PL 000235 .O87  1997","X004106878","Ottoman lyric poetry : an anthology /","",1997,FALSE
"33","ALDERMAN","PL 000237 .I27  2008","X032209320","?brahim the Mad and other plays /","",2008,FALSE
"34","ALDERMAN","PL 000248 .A3  Z575  2010","X030852802","Halide Edip Ad?var'?n hayat? : Kurtulu? Sava??'na giden yolda /","Bele, Tansu,",2010,FALSE
"35","CLEMONS","PL 000248 .A3116  Y3913  2008","X031822252","Summer's end /","A?ao?lu, Adalet.",2008,FALSE
"36","CLEMONS","PL 000248 .A3173  F413  2016","X032209195","Felâtun Bey and Râk?m Efendi : an Ottoman novel /","Ahmet Mithat,",2016,TRUE
"37","ALDERMAN","PL 000248 .A525  S6613  2017","X031815570","Endgame /","Altan, Ahmet,",2017,FALSE
"38","ALDERMAN","PL 000248 .A5435  A8613  2008","X031822178","Songs my mother never taught me /","Altun, Selçuk,",2008,FALSE
"39","ALDERMAN","PL 000248 .A5435  B59313  2012","X031853368","The Sultan of Byzantium /","Altun, Selçuk,",2012,FALSE
"40","ALDERMAN","PL 000248 .A5435  S4613  2009","X032208988","Many and many a year ago /","Altun, Selçuk,",2009,FALSE
"41","ALDERMAN","PL 000248 .A935  G85  2016","X032220995","Güller kitab? : Türk çiçek kültürü üzerine bir deneme /","Ayvazo?lu, Be?ir,",2016,TRUE
"42","ALDERMAN","PL 000248 .B4135  A2  2008","X030468441","I've learned some things : selected poems /","Behramo?lu, Ataol,",2008,FALSE
"43","ALDERMAN","PL 000248 .H45  A6  2002","X004470431","Poems of Nazim Hikmet /","Nâz?m Hikmet,",2002,FALSE
"44","ALDERMAN","PL 000248 .M48  Z69  2017","X031840729","Mihrî Hatun : performance, gender-bending, and subversion in Ottoman intellectual history /","Havlio?lu, Didem Z.,",2017,FALSE
"45","ALDERMAN","PL 000248 .N43  A25  1991","X002039879","Turkish stories from four decades /","Nesin, Aziz.",1991,FALSE
"46","CLEMONS","PL 000248 .P34  B4613  2001","X004554649","My name is Red /","Pamuk, Orhan,",2001,FALSE
"47","ALDERMAN","PL 000248 .P34  B4613  2001B","X006137718","My name is Red /","Pamuk, Orhan,",2001,FALSE
"48","ALDERMAN","PL 000248 .P34  K3513  2015","X031740547","A strangeness in my mind : being the adventures and dreams of Mevlut Karata?, a seller of boza, and of his friends, and also a portrait of life in Istanbul between 1969 and 2012 from many different points of view /","Pamuk, Orhan,",2015,FALSE
"49","ALDERMAN","PL 000248 .P34  K36513  2004","X004771025","Snow /","Pamuk, Orhan,",2004,FALSE
"50","CLEMONS","PL 000248 .P34  K36513  2004A","X004689860","Snow /","Pamuk, Orhan,",2004,FALSE
"51","ALDERMAN","PL 000248 .P34  K3713  1994","X002736200","The black book /","Pamuk, Orhan,",1994,FALSE
"52","CLEMONS","PL 000248 .P34  M3713  2009","X030614512","The museum of innocence /","Pamuk, Orhan,",2009,FALSE
