"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","PM 000015 .M38  2003","X004779703","Dependent-head synthesis in Nivkh : a contribution to a typology of polysynthesis /","Mattissen, Johanna.",2003,FALSE
"2","ALDERMAN","PM 000017 .G467  2007  V.000001","X030262287","A descriptive grammar of Ket (Yenisei-Ostyak) /","Georg, Stefan.",2007,TRUE
"3","ALDERMAN","PM 000050 .Z9  N863  2007","X030115786","Names and Nunavut : culture and identity in Arctic Canada /","Alia, Valerie,",2007,FALSE
"4","ALDERMAN","PM 000050 .Z95  E5  1999","X004412467","Umyuugwagka : my mind, my consciousness : an anthology of poetry from the Arctic regions /","",1999,FALSE
"5","ALDERMAN","PM 000062 .S236  2003","X004765302","A grammar of Kalaallisut : (West Greenlandic Inuttut) /","Sadock, Jerrold M.",2003,FALSE
"6","ALDERMAN","PM 000063 .M34  2014","X031654778","Iñupiatun Uqaluit Taniktun Sivuninit = Iñupiaq to English Dictionary /","MacLean, Edna Ahgeak,",2014,FALSE
"7","ALDERMAN","PM 000094 .R48  1994","X002442931","Siberian Yupik Eskimo : the language and its contacts with Chukchi /","Reuse, Willem Joseph de,",1994,FALSE
"8","ALDERMAN","PM 000101 .A5  V.000014 001932","X001406161","Dakota texts,","Deloria, Ella Cara.",1932,TRUE
"9","ALDERMAN","PM 000101 .A5  V.000019 001942","X000458368","Arapesh.","Fortune, Reo,",1942,TRUE
"10","ALDERMAN","PM 000102 .G46  1989","X001547368","General and Amerindian ethnolinguistics : in remembrance of Stanley Newman /","",1989,FALSE
"11","ALDERMAN","PM 000102 .S78  1998","X004267310","Studies in American Indian languages : description and theory /","",1998,FALSE
"12","ALDERMAN","PM 000108 .C36  1997","X004107701","American Indian languages : the historical linguistics of Native America /","Campbell, Lyle.",1997,FALSE
"13","CLEMONS","PM 000108 .L35","X000931784","The Languages of Native America : historical and comparative assessment /","",1979,FALSE
"14","CLEMONS","PM 000108 .L35  2001","X030281382","The languages of native North America /","Mithun, Marianne.",2001,FALSE
"15","ALDERMAN","PM 000108 .N28  2009","X030469316","Native American language ideologies : beliefs, practices, and struggles in Indian country /","",2009,FALSE
"16","ALDERMAN","PM 000108 .N3  V.000001","X031740698","Native languages of the Americas /","",1976,TRUE
"17","ALDERMAN","PM 000108 .S26  1990  V.000001","X001666140","American Indian languages.","Sapir, Edward,",1990,TRUE
"18","ALDERMAN","PM 000108 .T423  2012","X031759107","Telling stories in the face of danger : language renewal in Native American communities /","",2012,FALSE
"19","ALDERMAN","PM 000108 .T43  1999","X004267214","Theorizing the Americanist tradition /","",1999,FALSE
"20","ALDERMAN","PM 000115 .L35  1999","X006120877","Languages different in all their sounds-- : descriptive approaches to indigenous languages of the Americas, 1500 to 1850 /","",1999,FALSE
"21","ALDERMAN","PM 000128 .L67  2018","X032400952","El botón de seda negra : traducción religiosa y cultura material en las Indias /","López Parada, Esperanza,",2018,FALSE
"22","ALDERMAN","PM 000128 .T73  2000","X004397942","Translating native Latin American verbal art : ethnopoetics and ethnography of speaking /","",2000,FALSE
"23","ALDERMAN","PM 000130 .L49  2006","X030151784","Lexical categories and root classes in Amerindian languages /","",2006,FALSE
"24","ALDERMAN","PM 000155 .A7  V.000001","X032321090","History of Indoamerican literature.","Arias-Larreta, Abraham.",1964,TRUE
"25","ALDERMAN","PM 000155 .B68  1993","X002498480","Histoire de la littérature amérindienne au Québec : oralité et écriture : essai /","Boudreau, Diane,",1993,FALSE
"26","ALDERMAN","PM 000155 .B73  2012","X030948062","Queequeg's coffin : indigenous literacies & early American literature /","Brander Rasmussen, Birgit,",2012,FALSE
"27","ALDERMAN","PM 000155 .N38  1987","X001261908","Native American discourse : poetics and rhetoric /","",1987,FALSE
"28","CLEMONS","PM 000155 .N48  1993","X002421766","New voices in native American literary criticism /","",1993,FALSE
"29","ALDERMAN","PM 000155 .R35  1983","X000543194","Reading the fire : essays in the traditional Indian literatures of the Far West /","Ramsey, Jarold,",1983,FALSE
