"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","PN 000003 .A7  NO.000058 000002.ED.","X032201077","Pour une explication du Soulier de satin /","Petit, Jacques,",1972,TRUE
"2","ALDERMAN","PN 000003 .A7  NO.000097-000108","X004939498","Gustave Drouineau [par] Eugène Fromentin et Émile Beltrémieux.","Fromentin, Eugène,",1969,TRUE
"3","ALDERMAN","PN 000003 .A7  NO.000100 000002D ED.","X032201172","L'offrande lyrique de Paul Claudel; l'époque des Grandes odes et du Processionnal.","Moreau, Pierre,",1971,TRUE
"4","ALDERMAN","PN 000003 .R4  NO.000698-000702","X001024643","Jean Pellerin et l'école fantaisiste /","",1984,TRUE
"5","ALDERMAN","PN 000009 .L5  T.000079 001968","X030730061","Pesni, sobrannye pisateli?ami : Novye materialy iz arkhiva P. V. Kireevskogo.","",1968,TRUE
"6","ALDERMAN","PN 000009 .L5  T.000080","X030730063","V. I. Lenin i A. V. Lunacharski?.","Lenin, Vladimir Il?ich,",1971,TRUE
"7","ALDERMAN","PN 000009 .L5  T.000081","X030730065","Iz istorii mezhdunarodnogo ob?edinenii?a revoli?ut?sionnykh pisatele? (MORP)","",1969,TRUE
"8","ALDERMAN","PN 000009 .L5  T.000083","X030730068","Neizdanny? Dostoevski? : zapisnye knizhki i tetradi, 1860-1881 gg.","Dostoyevsky, Fyodor,",1971,TRUE
"9","ALDERMAN","PN 000009 .L5  T.000090 INDEX","X030730081","U Tolstogo, 1904-1910 : ""I?Asnopoli?anskie zapiski"" /","Makovický, Du?an,",1979,TRUE
"10","ALDERMAN","PN 000009 .L5  T.000092 KN.000001","X000626174","Aleksandr Blok : novye materialy i issledovanii?a /","",1980,TRUE
"11","ALDERMAN","PN 000009 .L5  T.102","X004312394","I.A. Goncharov : novye materialy i issledovanii?a /","",2000,TRUE
"12","ALDERMAN","PN 000021 .I5  1973","X032200881","Expression, communication and experience in literature and language : proceedings of the XII congress of the International Federation for Modern Languages and Literatures, held at Cambridge University, 20 to 26 August, 1972 /","International Federation for Modern Languages and Literatures.",1973,FALSE
"13","CLEMONS","PN 000021 .T44  1998","X031199458","Theorizing fandom : fans, subculture, and identity /","",1998,FALSE
"14","ALDERMAN","PN 000036 .H63  W75  2007","X030251267","Writers reading writers : intertextual studies in medieval and early modern literature in honor of Robert Hollander /","",2007,FALSE
"15","ALDERMAN","PN 000036 .W4  1968","X000206476","The Disciplines of criticism; essays in literary theory, interpretation, and history.","",1968,FALSE
"16","ALDERMAN","PN 000036 .W5  1966","X000152360","Essays presented to Charles Williams.","",1966,FALSE
"17","CLEMONS","PN 000037 .B29  1977B","X000004256","Image, music, text /","Barthes, Roland.",1977,FALSE
"18","ALDERMAN","PN 000037 .B4413  1986","X004007570","Illuminations /","Benjamin, Walter,",1986,FALSE
"19","ALDERMAN","PN 000037 .B4413  2007","X030564522","Illuminations /","Benjamin, Walter,",2007,FALSE
"20","ALDERMAN","PN 000037 .B56  1982","X000351798","The sirens' song : selected essays /","Blanchot, Maurice.",1982,FALSE
"21","ALDERMAN","PN 000037 .C34  1986","X001146189","The uses of literature : essays /","Calvino, Italo.",1986,FALSE
"22","ALDERMAN","PN 000037 .F7","X000241815","Spiritus mundi : essays on literature, myth, and society /","Frye, Northrop.",1976,FALSE
"23","ALDERMAN","PN 000037 .F76  2002","X030701140","From Homer to hypertext : studies in narrative, literature, and media /","",2002,FALSE
"24","ALDERMAN","PN 000037 .G63  1977","X000051000","Creator Spirit come! : The literary essays of Paul Goodman /","Goodman, Paul,",1977,FALSE
"25","ALDERMAN","PN 000037 .K3  1989","X031594748","Imi to iu yamai /","Karatani, K?jin,",1989,FALSE
"26","ALDERMAN","PN 000037 .L813","X000275459","Writer and critic, and other essays /","Lukács, György,",1970,FALSE
"27","ALDERMAN","PN 000037 .L813  1971","X030465110","Writer & critic, and other essays","Lukács, György,",1971,FALSE
"28","ALDERMAN","PN 000037 .N3313  2018","X031817868","Expectation : philosophy, literature /","Nancy, Jean-Luc,",2018,FALSE
"29","ALDERMAN","PN 000037 .N353  2015","X031717485","Demande : philosophie, littérature /","Nancy, Jean-Luc.",2015,FALSE
"30","ALDERMAN","PN 000037 .S65  1988","X001358046","Representative essays /","Spitzer, Leo,",1988,FALSE
"31","ALDERMAN","PN 000037 .S96  1986","X001078799","On textual understanding, and other essays /","Szondi, Peter.",1986,FALSE
"32","ALDERMAN","PN 000037 .Z26  2010","X030875809","No leer : crónicas y ensayos sobre literatura /","Zambra, Alejandro,",2010,FALSE
"33","CLEMONS","PN 000041 .A184  2009","X030371318","A Glossary of literary terms/","Abrams, M. H. (Meyer Howard),",2009,FALSE
"34","ALDERMAN","PN 000041 .C63  1963A","X032200865","Major writers of the world","",1963,FALSE
"35","CLEMONS","PN 000041 .C67  2001","X004608049","The concise Oxford dictionary of literary terms /","Baldick, Chris.",2001,FALSE
"36","ALDERMAN","PN 000041 .C83","X000314571","A dictionary of literary terms /","Cuddon, J. A. (John Anthony),",1977,FALSE
"37","ALDERMAN","PN 000041 .C83  1991","X002106976","A dictionary of literary terms and literary theory /","Cuddon, J. A. (John Anthony),",1991,FALSE
"38","ALDERMAN","PN 000041 .D4795  2006","X004835190","The Routledge dictionary of literary terms /","",2006,FALSE
"39","ALDERMAN","PN 000041 .F75  1985","X001188679","The Harper handbook to literature /","Frye, Northrop.",1985,FALSE
"40","ALDERMAN","PN 000041 .K7  1962  T.3","X030753361","KratkaI?a literaturnai?a ?nt?siklopedii?a.","",1962,TRUE
"41","ALDERMAN","PN 000041 .L39214  2001","X004577492","Dictionnaire des termes littéraires /","",2001,FALSE
"42","ALDERMAN","PN 000041 .M425  2007","X030370766","Metzler Lexikon Literatur : Begriffe und Definitionen /","",2007,FALSE
"43","ALDERMAN","PN 000041 .M48  2007","X030113436","A new handbook of literary terms /","Mikics, David,",2007,FALSE
"44","ALDERMAN","PN 000041 .P25  2006","X004836230","Key concepts in contemporary literature /","Padley, Steve,",2006,FALSE
"45","ALDERMAN","PN 000041 .P5318  2017","X032114721","Diccionario Pla de literatura /","Pla, Josep,",2017,FALSE
"46","ALDERMAN","PN 000041 .W5  1989","X001825560","Sachwörterbuch der Literatur /","Wilpert, Gero von.",1989,FALSE
"47","ALDERMAN","PN 000042 .B47  1994","X004287042","Vocabulaire de l'analyse littéraire /","Bergez, Daniel.",1994,FALSE
"48","ALDERMAN","PN 000043 .B65  1989","X001687412","Brewer's dictionary of phrase and fable.","Brewer, Ebenezer Cobham,",1989,FALSE
"49","ALDERMAN","PN 000043 .D25  1987","X001121558","Themes & motifs in western literature : a handbook /","Daemmrich, Horst S.,",1987,FALSE
"50","ALDERMAN","PN 000043 .G46  2009","X030565082","Codicille /","Genette, Gérard,",2009,FALSE
"51","ALDERMAN","PN 000043 .J26  2000","X004420285","Invisible forms : a guide to literary curiosities /","Jackson, Kevin,",2000,FALSE
"52","ALDERMAN","PN 000043 .L585  2006","X004835861","The literature student's survival kit : what every reader needs to know /","Littlewood, Ian.",2006,FALSE
"53","ALDERMAN","PN 000043 .O94  2005","X004833999","The Oxford dictionary of phrase and fable /","",2005,FALSE
"54","ALDERMAN","PN 000043 .P83  1998","X004214144","The full-knowing reader : allusion and the power of the reader in the western literary tradition /","Pucci, Joseph Michael,",1998,FALSE
"55","ALDERMAN","PN 000043 .S77  1998","X004200405","Literature lover's book of lists : serious trivia for the bibliophile /","Strouf, Judie L. H.,",1998,FALSE
"56","CLEMONS","PN 000043 .S78  2009","X030516895","Curiosities of literature /","Sutherland, John,",2008,FALSE
"57","ALDERMAN","PN 000044.5 .A2  1971","X000446260","A glossary of literary terms","Abrams, M. H. (Meyer Howard),",1971,FALSE
"58","ALDERMAN","PN 000044.5 .A2  1999","X004265285","A glossary of literary terms /","Abrams, M. H. (Meyer Howard),",1999,FALSE
"59","ALDERMAN","PN 000044.5 .A97  1990","X002153717","Diccionario de términos literarios /","Ayuso de Vicente, María Victoria.",1990,FALSE
"60","ALDERMAN","PN 000044.5 .B334  1975","X000129540","Literary terms : a dictionary /","Beckson, Karl E.,",1975,FALSE
"61","CLEMONS","PN 000044.5 .B89  2014","X031821969","The Broadview pocket glossary of literary terms /","Buzzard, Laura,",2014,FALSE
"62","ALDERMAN","PN 000044.5 .D4  1974","X000126320","Poetry handbook; a dictionary of terms.","Deutsch, Babette,",1974,FALSE
"63","ALDERMAN","PN 000044.5 .G56  1992","X002174878","A Glossary of German literary terms /","",1992,FALSE
