"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","PQ 000001 .D14  V.000068","X004878958","Hybrid voices, hybrid texts : women's writing at the turn of the millennium /","",2004,TRUE
"2","ALDERMAN","PQ 000001 .D14  V.000070  2005","X004667260","Diversité culturelle et désir d'autobiographie dans l'espace francophone /","",2005,TRUE
"3","ALDERMAN","PQ 000001 .D14  V.000074-75  2006  SPR/SUM","X030039329","Identité et altérité dans les littératures francophones /","",2006,TRUE
"4","ALDERMAN","PQ 000001 .D14  V.000081  2007","X030375103","Representations of trauma in French and Francophone literature /","",2007,TRUE
"5","ALDERMAN","PQ 000022 .O8  B35  2012","X030841676","Many subtle channels : in praise of potential literature /","Levin Becker, Daniel.",2012,FALSE
"6","ALDERMAN","PQ 000022 .O8  B4  2005","X004917807","Genèse de l'Oulipo : 1960-1963 /","Bens, Jacques.",2005,FALSE
"7","ALDERMAN","PQ 000022 .O8  O9  1986","X001065935","Oulipo : a primer of potential literature /","",1986,FALSE
"8","ALDERMAN","PQ 000022 .O8  O9  1998","X004222359","Oulipo : a primer of potential literature /","",1998,FALSE
"9","ALDERMAN","PQ 000022 .O8  O9  2005","X004995140","Oulipo.","",2005,FALSE
"10","ALDERMAN","PQ 000022 .O8  O92  1998","X004073355","Oulipo compendium /","",1998,FALSE
"11","ALDERMAN","PQ 000022 .O8  R44  2014","X031656980","Poetiques oulipiennes : la contrainte, le style, l'histoire /","Reggiani, Christelle",2014,TRUE
"12","ALDERMAN","PQ 000031 .C36  2010","X030782336","Threat : essays in French literature, thought and visual culture /","Cambridge French Graduate Conference",2010,FALSE
"13","ALDERMAN","PQ 000036 .A58  1993","X002238158","Alteratives /","",1993,FALSE
"14","ALDERMAN","PQ 000036 .L44  1993","X002191440","Carrefour de cultures : mélanges offerts à Jacqueline Leiner /","",1993,FALSE
"15","ALDERMAN","PQ 000036 .P685  E9  2010","X030793697","Eveils : études en l'honneur de Jean-Yves Pouilloux /","",2010,FALSE
"16","ALDERMAN","PQ 000037 .R68  1962","X000242382","Forme et signification;","Rousset, Jean.",1962,FALSE
"17","ALDERMAN","PQ 000045 .M313  1995","X002631725","The object of literature /","Macherey, Pierre.",1995,FALSE
"18","ALDERMAN","PQ 000047 .H58  2006  T.000002","X030036503","Histoire de la France littéraire /","",2006,TRUE
"19","ALDERMAN","PQ 000053 .K35","X000613136","Explicating French texts: poetry, prose, drama","Katz, Eve.",1970,FALSE
"20","ALDERMAN","PQ 000063 .F8  G85  2004","X004806849","Teaching the cult of literature in the French Third Republic /","Guiney, Mortimer.",2004,TRUE
"21","ALDERMAN","PQ 000063 .F8  H68  1998","X004287666","La culture littéraire au lycée depuis 1880 /","Houdart-Merot, Violaine.",1998,FALSE
"22","ALDERMAN","PQ 000067 .B4  W37  2011","X030947169","Creole medievalism : colonial France and Joseph Bédier's Middle Ages /","Warren, Michelle R.,",2011,FALSE
"23","ALDERMAN","PQ 000067 .S3  G6  1968","X031976384","Medievalism and the ideologies of the Enlightenment; the world and work of LaCurne de Sainte-Palaye.","Gossman, Lionel.",1968,TRUE
"24","ALDERMAN","PQ 000075 .C33  2005","X004956088","Critique et théorie littéraires en France : 1800-2000 /","Cabanès, Jean-Louis.",2005,FALSE
"25","ALDERMAN","PQ 000081 .C585  2006","X030107395","Civilization in French and Francophone literature /","",2006,FALSE
"26","ALDERMAN","PQ 000084 .C35  2017","X031841911","Calliope et Mnémosyne : mélanges offerts à Gilbert Schrenck /","",2017,FALSE
"27","ALDERMAN","PQ 000094 .S5  1990","X001784745","Passion & excess : Blanchot, Bataille, and literary theory /","Shaviro, Steven.",1990,FALSE
"28","ALDERMAN","PQ 000101 .B76  2014","X030875039","Histoire de la littérature française : voyage guidé dans les lettres du XIe au XXe siècle /","Brix, Michel.",2014,FALSE
"29","ALDERMAN","PQ 000101 .F86  2006","X030036527","Exercices de lecture : de Rabelais à Paul Valéry /","Fumaroli, Marc.",2006,FALSE
"30","ALDERMAN","PQ 000101 .L49  2007  V.000002","X031848839","La littérature française : dynamique & histoire /","",2007,TRUE
"31","ALDERMAN","PQ 000101 .M3  T.000003","X000424848","Manuel d'histoire littéraire de la France ...","",1965,TRUE
"32","ALDERMAN","PQ 000101 .R336  2017","X031842022","""Raconter d'autres partages"" : littérature, anthropologie et histoire culturelle : mélanges offerts à Nicole Jacques-Lefèvre /","",2017,FALSE
"33","ALDERMAN","PQ 000101 .R53  2010","X030695239","Pêle-mêle /","Richard, Jean-Pierre.",2010,FALSE
"34","ALDERMAN","PQ 000103 .C26  2011","X030810986","The Cambridge history of French literature /","",2011,FALSE
"35","ALDERMAN","PQ 000103 .H57  2017","X031760682","A history of modern French literature : from the sixteenth century to the twentieth century /","",2017,FALSE
"36","ALDERMAN","PQ 000103 .L64  2003","X004746953","Literary silences in Pascal, Rousseau, and Beckett /","Loevlie, Elisabeth Marie.",2003,FALSE
"37","ALDERMAN","PQ 000103 .L95  2016","X031734714","The Cambridge companion to French literature /","",2016,FALSE
"38","ALDERMAN","PQ 000103 .L96  2010","X031705660","French literature : a very short introduction /","Lyons, John D.,",2010,FALSE
"39","ALDERMAN","PQ 000103 .N45  2015","X031731982","The Cambridge introduction to French literature /","Nelson, Brian,",2015,FALSE
"40","ALDERMAN","PQ 000116 .F67  2006","X030196722","Formes de l'engagement littéraire (XVe-XXIe siècle) /","",2006,FALSE
"41","ALDERMAN","PQ 000116 .L3  1953","X000210705","Manuel illustré d'histoire de la littérature française","Lanson, Gustave,",1953,FALSE
"42","ALDERMAN","PQ 000116 .V55  2014  V.000001","X031842193","Une histoire brève de la littérature française /","Viala, Alain,",2014,TRUE
"43","ALDERMAN","PQ 000119 .K39  2003","X004734182","A short history of French literature /","Kay, Sarah.",2003,FALSE
"44","CLEMONS","PQ 000119 .N48  1989","X001651653","A New history of French literature /","",1989,FALSE
"45","ALDERMAN","PQ 000119 .N48  1994","X030382891","A new history of French literature /","",1994,FALSE
"46","ALDERMAN","PQ 000139 .B3213  1990","X002033870","New critical essays /","Barthes, Roland.",1990,FALSE
