"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","PR 000001 .D64  NO.000006","X002113655","Culture & narcissism : the significance of Christopher Lasch /","",1982,TRUE
"2","ALDERMAN","PR 000001 .D64  NO.000009","X001205381","Coyote was here : essays on contemporary Native American literary and political mobilization /","",1984,TRUE
"3","ALDERMAN","PR 000001 .D64  NO.19","X002175394","The Impact of the French revolution on English literature /","",1990,TRUE
"4","ALDERMAN","PR 000001 .D64  NO.24","X002496287","Screen Shakespeare /","",1994,TRUE
"5","ALDERMAN","PR 000001 .D64  NO.26","X006040619","The lost decade : America in the seventies /","",1996,TRUE
"6","ALDERMAN","PR 000001 .D64  NO.28","X006018735","Other Americans, other Americas : the politics and poetics of multiculturalism /","",1998,TRUE
"7","ALDERMAN","PR 000001 .D64  NO.32","X004878148","Marks of distinction : American exceptionalism revisited /","",2001,TRUE
"8","ALDERMAN","PR 000001 .D64  NO.34","X030000695","Re-mapping exile : realities and metaphors in Irish literature and history /","",2005,TRUE
"9","ALDERMAN","PR 000003 .Y4  V.21","X001792283","Politics, patronage, and literature in England, 1558-1658 : special number /","",1991,TRUE
"10","ALDERMAN","PR 000003 .Y4  V.27","X006039733","The Politics of postcolonial criticism /","",1997,TRUE
"11","ALDERMAN","PR 000003 .Y4  V.29","X006077918","The Text as evidence : revising editorial principles /","",1999,TRUE
"12","ALDERMAN","PR 000003 .Y4  V.33","X004692425","Medieval and early modern miscellanies and anthologies /","",2003,TRUE
"13","ALDERMAN","PR 000003 .Y4  V.34","X004786245","Nineteenth-century travel writing /","",2004,TRUE
"14","ALDERMAN","PR 000003 .Y4  V.35","X004854954","Irish writing since 1950 /","",2005,TRUE
"15","ALDERMAN","PR 000003 .Y4  V.36  NO.1","X030015747","Translation.","",2006,TRUE
"16","ALDERMAN","PR 000003 .Y4  V.37  NO.1","X030198398","From decadent to modernist : and other essays /","",2007,TRUE
"17","ALDERMAN","PR 000003 .Y4  V.37  NO.2","X030281555","Science fiction /","",2007,TRUE
"18","ALDERMAN","PR 000003 .Y4  V.38  NO.1/2","X030463005","Tudor literature /","",2008,TRUE
"19","ALDERMAN","PR 000003 .Y4  V.41  NO.1","X030822447","Travel and prose fiction in early modern England /","",2011,TRUE
"20","ALDERMAN","PR 000003 .Y4  V.43","X031671188","Early English drama /","",2013,TRUE
"21","ALDERMAN","PR 000003 .Y4  V.44","X031671187","Caroline literature /","",2014,TRUE
"22","ALDERMAN","PR 000007 .S83  1991","X002030722","Subject to history : ideology, class, gender /","",1991,FALSE
"23","ALDERMAN","PR 000007 .T49  1985","X000972331","Textual criticism and literary interpretation /","",1985,FALSE
"24","ALDERMAN","PR 000013 .E4  N.S. V.54  2001","X004620700","The Gothic /","",2001,TRUE
