"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","PS 000007 .A46  2003","X004940067","American mirrors : (self)reflections and (self)distortions /","",2003,FALSE
"2","ALDERMAN","PS 000015 .E55  2013","X030399695","Ellen Merton, the belle of Lowell Or, The Confessions of the ""G.F.K."" Club.","",2013,FALSE
"3","ALDERMAN","PS 000025 .A44  1995","X002631108","The American literary history reader /","",1995,FALSE
"4","ALDERMAN","PS 000025 .A45  1999","X004254369","American literature, American culture /","",1999,FALSE
"5","ALDERMAN","PS 000025 .D45  1997","X004139412","Required reading : why our American classics matter now /","Delbanco, Andrew,",1997,FALSE
"6","ALDERMAN","PS 000025 .D46  2007","X030248727","Listening on all sides : toward an Emersonian ethics of reading /","Deming, Richard,",2007,FALSE
"7","ALDERMAN","PS 000025 .F55  1999","X004319309","Still the new world : American literature in a culture of creative destruction /","Fisher, Philip,",1999,FALSE
"8","CLEMONS","PS 000025 .G67  2008","X030466428","The men in my life /","Gornick, Vivian.",2008,FALSE
"9","ALDERMAN","PS 000025 .H68  1993","X002253360","The birth-mark : unsettling the wilderness in American literary history /","Howe, Susan.",1993,FALSE
"10","ALDERMAN","PS 000025 .I57  1993","X002230768","The Intimate critique : autobiographical literary criticism /","",1993,FALSE
"11","ALDERMAN","PS 000025 .J37  1997","X004106857","American literature & the culture wars /","Jay, Gregory S.",1997,FALSE
"12","ALDERMAN","PS 000025 .L38  1991","X001905108","Canons and contexts /","Lauter, Paul.",1991,FALSE
"13","ALDERMAN","PS 000025 .L48  2013","X030611272","Where is American Literature? /","Levander, Caroline Field,",2013,FALSE
"14","ALDERMAN","PS 000025 .L88  2004","X004773365","Cosmopolitan vistas : American regionalism and literary value /","Lutz, Tom.",2004,FALSE
"15","ALDERMAN","PS 000025 .M37  1995","X002604340","Parables of possibility : the American need for beginnings /","Martin, Terence.",1995,FALSE
"16","ALDERMAN","PS 000025 .M53  2004","X004772400","The shape of the signifier : 1967 to the end of history /","Michaels, Walter Benn.",2004,FALSE
"17","ALDERMAN","PS 000025 .P6  1987","X001187262","The renewal of literature : Emersonian reflections /","Poirier, Richard.",1987,FALSE
"18","ALDERMAN","PS 000025 .R38  1996","X004094169","Reading books : essays on the material text and literature in America /","",1996,FALSE
"19","ALDERMAN","PS 000025 .R44  1986","X001905024","The unusable past : theory and the study of American literature /","Reising, Russell J.",1986,FALSE
"20","ALDERMAN","PS 000025 .R46  2007","X030276400","The origins of American literature studies : an institutional history /","Renker, Elizabeth.",2007,FALSE
"21","ALDERMAN","PS 000025 .R52  1997","X004143052","The transformation of authorship in America /","Rice, Grantland S.",1997,FALSE
"22","ALDERMAN","PS 000025 .R53  1995","X002604408","Purloined letters : originality and repetition in American literature /","Riddel, Joseph N.",1995,FALSE
"23","ALDERMAN","PS 000025 .S55  2005","X004839049","The new North American studies : culture, writing and the politics of re/cognition /","Siemerling, Winfried,",2005,FALSE
"24","ALDERMAN","PS 000025 .S64  1989","X001454857","A mirror for Americanists : reflections on the idea of American literature /","Spengemann, William C.",1989,FALSE
"25","ALDERMAN","PS 000025 .S76  2006","X030106355","Writers in retrospect : the rise of American literary history, 1875-1910 /","Stokes, Claudia,",2006,FALSE
"26","ALDERMAN","PS 000025 .T36  2005","X004951422","Textual criticism since Greg : a chronicle, 1950-2000 /","Tanselle, G. Thomas (George Thomas),",2005,FALSE
"27","ALDERMAN","PS 000025 .T49  1991","X002012510","The new historicism and other old-fashioned topics /","Thomas, Brook,",1991,FALSE
"28","ALDERMAN","PS 000025 .T87  2016","X031794633","Turns of event : American literary studies in motion /","",2016,FALSE
"29","ALDERMAN","PS 000027 .A44  2018","X032582810","American literary history and the turn toward modernity /","",2018,FALSE
"30","ALDERMAN","PS 000029 .B58  A3  2005","X004861419","An unexpected life /","Blotner, Joseph,",2005,FALSE
"31","ALDERMAN","PS 000029 .B76  A3  1992","X002117098","Intoxicated by my illness : and other writings on life and death /","Broyard, Anatole.",1992,FALSE
"32","ALDERMAN","PS 000029 .F46  D43  2012","X030960203","Death of a rebel : the Charlie Fenton story /","Donaldson, Scott,",2012,TRUE
"33","ALDERMAN","PS 000029 .G28  A3  1994","X002451835","Colored people : a memoir /","Gates, Henry Louis,",1994,FALSE
"34","ALDERMAN","PS 000029 .G74  A3  2018","X031818448","Missing persons : a memoir /","Greene, Gayle,",2018,FALSE
"35","ALDERMAN","PS 000029 .H36  B79  2000","X004420376","Resisting Hitler : Mildred Harnack and the Red Orchestra /","Brysac, Shareen Blair.",2000,FALSE
"36","ALDERMAN","PS 000029 .H68  A5  1990","X001845040","Selected writings, 1950-1990 /","Howe, Irving.",1990,FALSE
"37","ALDERMAN","PS 000029 .H68  A5  2010","X030762519","Politics and the intellectual : conversations with Irving Howe /","Howe, Irving.",2010,FALSE
"38","ALDERMAN","PS 000029 .H68  A5  2014","X031724933","A voice still heard : selected essays of Irving Howe /","Howe, Irving,",2014,FALSE
"39","ALDERMAN","PS 000029 .K38  A25  2003","X004708899","Alfred Kazin's America : critical and personal writings /","Kazin, Alfred,",2003,FALSE
"40","ALDERMAN","PS 000029 .K38  A3  1995","X002647732","Writing was everything /","Kazin, Alfred,",1995,FALSE
"41","ALDERMAN","PS 000029 .K38  A3  2007","X030257460","Alfred Kazin : a biography /","Cook, Richard M.,",2007,FALSE
"42","CLEMONS","PS 000029 .K38  A3  2011","X030811162","Alfred Kazin's journals /","Kazin, Alfred,",2011,FALSE
"43","ALDERMAN","PS 000029 .K38  A36  1978","X000052171","New York Jew /","Kazin, Alfred,",1978,FALSE
"44","ALDERMAN","PS 000029 .N46  C37  2009","X030468774","Cary Nelson and the struggle for the university : poetry, politics, and the profession /","",2009,TRUE
"45","ALDERMAN","PS 000029 .P47  A3  2015","X031641890","Poetics in a new key : interviews and essays /","Perloff, Marjorie,",2015,FALSE
"46","ALDERMAN","PS 000029 .P63  A25  2004","X004742679","The Norman Podhoretz reader : a selection of his writings from the 1950s through the 1990s /","Podhoretz, Norman.",2004,FALSE
"47","ALDERMAN","PS 000036 .H35  1997","X004120885","America's sketchbook : the cultural life of a nineteenth-century literary genre /","Hamilton, Kristie.",1998,FALSE
"48","ALDERMAN","PS 000041 .C36  1995","X002596075","The canon in the classroom : the pedagogical implications of canon revision in American literature /","",1995,FALSE
"49","ALDERMAN","PS 000041 .E47  2011","X031186681","Engaging American novels : lessons from the classroom /","",2011,FALSE
"50","ALDERMAN","PS 000041 .S48  1994","X002532927","Creating American civilization : a genealogy of American literature as an academic discipline /","Shumway, David R.",1994,FALSE
"51","ALDERMAN","PS 000041 .T43  2015","X031733975","Teaching tainted lit : popular American fiction in today's classroom /","",2015,FALSE
"52","ALDERMAN","PS 000042 .T397  2010","X030818570","Teaching African American women's writing /","",2010,FALSE
"53","ALDERMAN","PS 000044 .T43  2018","X032561245","Teaching with digital humanities : tools and methods for nineteenth-century American literature /","",2018,FALSE
"54","ALDERMAN","PS 000047 .U6  J34  2004","X004768039","Classics in the classroom : designing accessible literature lessons /","Jago, Carol,",2004,FALSE
"55","CLEMONS","PS 000049 .U65  S36  2007","X030331108","Soldier's heart : reading literature through peace and war at West Point /","Samet, Elizabeth D.",2007,FALSE
"56","ALDERMAN","PS 000051 .A64  2011","X030804877","The American literature scholar in the digital age /","",2011,FALSE
"57","ALDERMAN","PS 000055 .B33  2017","X031813570","The power of smell in American literature : odor, affect, and social inequality /","Babilon, Daniela,",2017,FALSE
"58","CLEMONS","PS 000055 .F5","X000402444","What was literature? : class culture and mass society /","Fiedler, Leslie A.",1982,FALSE
"59","ALDERMAN","PS 000055 .P23  1984","X000863490","Flawed texts and verbal icons : literary authority in American fiction /","Parker, Hershel.",1984,FALSE
"60","ALDERMAN","PS 000062 .N48  2008","X030249754","New directions in American reception study /","",2008,FALSE
"61","ALDERMAN","PS 000065 .C46  C46  1993","X002280669","Censored books : critical viewpoints /","",1993,TRUE
"62","ALDERMAN","PS 000065 .P6  S63  2018","X032581543","Du Bois's telegram : literary resistance and state containment /","Spahr, Juliana,",2018,FALSE
"63","ALDERMAN","PS 000074 .M5  1956","X000242335","The raven and the whale; the war of words and wits in the era of Poe and Melville.","Miller, Perry,",1956,FALSE
"64","CLEMONS","PS 000078 .B47  1994","X002531924","Public access : literary theory and American cultural politics /","Bérubé, Michael,",1994,FALSE
"65","ALDERMAN","PS 000078 .B57","X000142843","Destructive poetics : Heidegger and modern American poetry /","Bové, Paul A.,",1980,FALSE
"66","ALDERMAN","PS 000078 .C75  2004","X004746099","Critics at work : interviews, 1993-2003 /","",2004,FALSE
"67","ALDERMAN","PS 000078 .L4  1987","X001300080","American literary criticism from the thirties to the eighties /","Leitch, Vincent B.,",1988,FALSE
"68","ALDERMAN","PS 000078 .L4  2010","X030277355","American literary criticism since the 1930s /","Leitch, Vincent B.,",2010,FALSE
"69","ALDERMAN","PS 000078 .N63  2002","X004664135","Death of a nation : American culture and the end of exceptionalism /","Noble, David W.",2002,FALSE
"70","ALDERMAN","PS 000078 .O38  2003","X004663830","Empire burlesque : the fate of critical culture in global America /","O'Hara, Daniel T.,",2003,FALSE
"71","ALDERMAN","PS 000078 .S65  2003","X004632550","Understanding contemporary American literary theory /","Spikes, Michael P. (Michael Paul),",2003,FALSE
"72","ALDERMAN","PS 000079 .P73  2008","X030259920","Praising it new : the best of the New Criticism /","",2008,FALSE
"73","ALDERMAN","PS 000088 .A18","X000125558","The unwritten war; American writers and the Civil War.","Aaron, Daniel,",1973,FALSE
"74","ALDERMAN","PS 000088 .A49  2012","X030846524","American literature's aesthetic dimensions /","",2012,FALSE
"75","ALDERMAN","PS 000088 .C47  1968","X000187106","The profession of authorship in America, 1800-1870; the papers of William Charvat.","Charvat, William,",1968,FALSE
"76","ALDERMAN","PS 000088 .G35  2015","X031732323","Proofs of genius : collected editions from the American revolution to the digital age /","Gailey, Amanda A.,",2015,FALSE
"77","ALDERMAN","PS 000088 .G73  2004","X004734932","A history of American literature /","Gray, Richard,",2004,FALSE
"78","ALDERMAN","PS 000088 .G73  2012","X031187745","A history of American literature /","Gray, Richard,",2012,FALSE
"79","CLEMONS","PS 000088 .K65","X000190170","The lay of the land : metaphor as experience and history in American life and letters /","Kolodny, Annette,",1975,FALSE
"80","ALDERMAN","PS 000088 .P6  1966","X000115887","A world elsewhere; the place of style in American literature.","Poirier, Richard.",1966,FALSE
"81","ALDERMAN","PS 000088 .R795  1991","X002049862","From Puritanism to postmodernism : a history of American literature /","Ruland, Richard,",1991,FALSE
"82","ALDERMAN","PS 000088 .R8","X000234003","The native muse.","Ruland, Richard,",1972,FALSE
"83","ALDERMAN","PS 000088 .S5","X000120387","Regeneration through violence; the mythology of the American frontier, 1600-1860.","Slotkin, Richard,",1973,FALSE
"84","ALDERMAN","PS 000088 .S5  1974","X001504822","Regeneration through violence : the mythology of the American frontier, 1600-1860 /","Slotkin, Richard,",1974,FALSE
"85","ALDERMAN","PS 000092 .B45  1992","X002162040","The rites of assent /","Bercovitch, Sacvan.",1992,FALSE
"86","CLEMONS","PS 000092 .C34  1994  V.000002","X002697857","Cambridge history of American literature /","",1994,TRUE
"87","CLEMONS","PS 000092 .N39  2009","X030524690","A new literary history of America /","",2009,FALSE
"88","ALDERMAN","PS 000092 .R4  1986","X001067215","Reconstructing American literary history /","",1986,FALSE
"89","CLEMONS","PS 000094 .C48  2004","X004741983","The chronology of American literature : America's literary achievements from the colonial era to modern times /","",2004,FALSE
"90","ALDERMAN","PS 000121 .B517  2014","X031625872","American literature : a history /","Bertens, Johannes Willem.",2014,FALSE
"91","ALDERMAN","PS 000121 .B54","X000205665","Masks & mirrors; essays in criticism.","Bewley, Marius.",1970,FALSE
"92","ALDERMAN","PS 000121 .B594  2015","X031650373","The daemon knows : literary greatness and the American sublime /","Bloom, Harold.",2015,FALSE
"93","ALDERMAN","PS 000121 .H39  2012","X030975096","A journey through American literature /","Hayes, Kevin J.",2012,FALSE
"94","CLEMONS","PS 000121 .J44  2002","X004558406","Readings at the edge of literature /","Jehlen, Myra.",2002,FALSE
"95","ALDERMAN","PS 000121 .L3  1959","X000025274","Studies in classic American literature.","Lawrence, D. H. (David Herbert),",1953,FALSE
"96","ALDERMAN","PS 000121 .L3  1977","X000175939","Studies in classic American literature /","Lawrence, D. H. (David Herbert),",1977,FALSE
"97","ALDERMAN","PS 000121 .L3  2003","X006140804","Studies in classic American literature /","Lawrence, D. H. (David Herbert),",2003,FALSE
"98","ALDERMAN","PS 000121 .L48  1992","X002118168","Forms of uncertainty : essays in historical criticism /","Levin, David,",1992,FALSE
"99","ALDERMAN","PS 000121 .M3  1952","X000118294","The responsibilities of the critic; essays and reviews.","Matthiessen, F. O. (Francis Otto),",1952,FALSE
"100","ALDERMAN","PS 000121 .P58  1999","X004323857","Trying it out in America : literary and other performances /","Poirier, Richard.",1999,FALSE
"101","ALDERMAN","PS 000121 .S544  2007","X030106823","Imagining our time : recollections and reflections on American writing /","Simpson, Lewis P.",2007,FALSE
"102","ALDERMAN","PS 000121 .T48  2019","X032583771","Timelines of American literature /","",2019,FALSE
"103","CLEMONS","PS 000128 .S37  2006","X030104708","The Concord quartet : Alcott, Emerson, Hawthorne, Thoreau, and the friendship that freed the American mind /","Schreiner, Samuel A.,",2006,FALSE
"104","ALDERMAN","PS 000129 .B76  2008","X030260439","Conversations with American writers : the doubt, the faith, the in-between /","Brown, W. Dale.",2008,FALSE
"105","ALDERMAN","PS 000129 .F58  2015","X031724734","The Algonquin Round Table New York : a historical guide /","Fitzpatrick, Kevin C.,",2014,FALSE
"106","ALDERMAN","PS 000129 .L25  2014","X031580774","The Trip to Echo Spring : on Writers and Drinking /","Laing, Olivia.",2014,FALSE
"107","ALDERMAN","PS 000129 .L585  2004","X004773636","Lives out of letters : essays on American literary biography and documentation in honor of Robert N. Hudspeth /","",2004,FALSE
"108","ALDERMAN","PS 000129 .M475  2012","X031617919","Mentors, muses & monsters : 30 writers on the people who changed their lives /","",2012,FALSE
"109","ALDERMAN","PS 000129 .O45  2008","X030252142","Off the page : writers talk about beginnings, endings, and everything in between /","",2008,FALSE
"110","ALDERMAN","PS 000129 .O64  2003","X031231446","Open house : writers redefine home /","",2003,FALSE
"111","ALDERMAN","PS 000129 .P37  2001","X004556905","Passing the word : writers on their mentors /","",2001,FALSE
"112","ALDERMAN","PS 000129 .P53  2016","X031795377","American rhapsody : writers, musicians, movie stars, and one great building /","Pierpont, Claudia Roth,",2016,FALSE
"113","ALDERMAN","PS 000129 .P54  2016","X031848597","Escritores norteamericanos /","Piglia, Ricardo,",2016,FALSE
"114","ALDERMAN","PS 000129 .R47  2001","X004524081","Resurrecting grace : remembering Catholic childhoods /","",2001,FALSE
"115","ALDERMAN","PS 000129 .R63  1992","X002087469","Alien ink : the FBI's war on freedom of expression /","Robins, Natalie S.",1992,FALSE
"116","ALDERMAN","PS 000129 .S56  2006","X004911258","Shouts and whispers : twenty-one writers speak about their writing and their faith /","",2006,FALSE
"117","ALDERMAN","PS 000129 .S63  2004","X004774241","The sons of Maxwell Perkins : letters of F. Scott Fitzgerald, Ernest Hemingway, Thomas Wolfe, and their editor /","",2004,FALSE
"118","ALDERMAN","PS 000129 .S64  1998","X004153887","Speak fiction and poetry! : the best of Bomb magazine's interviews with writers /","",1998,FALSE
"119","ALDERMAN","PS 000129 .T48  2017","X031816378","This is the place : women writing about home /","",2017,FALSE
"120","ALDERMAN","PS 000129 .V49  2006","X030114121","The very telling : conversations with American writers /","",2006,FALSE
