"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","PT 000001 .E3  V.10","X032581755","Queering German culture /","",2018,TRUE
"2","ALDERMAN","PT 000001 .E3  V.5","X030974752","Brecht and the GDR : politics, culture, posterity /","",2011,TRUE
"3","ALDERMAN","PT 000003 .T4  HEFT 000144","X006094770","Literatur und Holocaust /","",1999,FALSE
"4","ALDERMAN","PT 000003 .T4  HEFT 000154","X006137129","Barock /","",2002,FALSE
"5","ALDERMAN","PT 000003 .T4  HEFT 000166/000167","X004991346","Hannah Arendt /","",2005,FALSE
"6","ALDERMAN","PT 000003 .T4  HEFT 172","X030167324","Wilhelm Raabe.","",2006,FALSE
"7","ALDERMAN","PT 000003 .T4  HEFT 175","X030265692","Ilse Aichinger /","",2007,FALSE
"8","ALDERMAN","PT 000003 .T4  HEFT 177","X030462724","Daniel Kehlmann /","",2008,FALSE
"9","ALDERMAN","PT 000003 .T4  HEFT 182","X030574237","Grete Weil /","",2009,FALSE
"10","ALDERMAN","PT 000003 .T4  HEFT 196","X030852927","Literatur und Hörbuch /","",2012,FALSE
"11","ALDERMAN","PT 000003 .T4  HEFT 209","X031783584","Kuno Raeber /","",2016,FALSE
"12","ALDERMAN","PT 000003 .T4  HEFT 210","X031783644","Jan Wagner /","",2016,FALSE
"13","ALDERMAN","PT 000003 .T4  HEFT.211","X031784276","Emine Sevgi Özdamar /","",2016,FALSE
"14","ALDERMAN","PT 000003 .T4  HEFT.212","X031799529","Christian Dietrich Grabbe /","",2016,FALSE
"15","ALDERMAN","PT 000003 .T4  HEFT.213","X031814522","Kurt Drawert /","",2017,FALSE
"16","ALDERMAN","PT 000003 .T4  HEFT.214","X031796559","Elke Erb /","",2017,FALSE
"17","ALDERMAN","PT 000003 .T4  HEFT.215","X031815361","Wolf Wondratschek /","",2017,FALSE
"18","ALDERMAN","PT 000003 .T4  HEFT.216","X031796706","Christian Kracht /","",2017,FALSE
"19","ALDERMAN","PT 000003 .T4  HEFT.217","X031796943","Navid Kermani /","",2018,FALSE
"20","ALDERMAN","PT 000003 .T4  HEFT.218/219","X032220777","Marcel Beyer /","",2018,FALSE
"21","ALDERMAN","PT 000003 .T4  HEFT.220","X032212282","Christoph Ransmayr /","",2018,FALSE
"22","ALDERMAN","PT 000009 .A47  BD.000052","X004714649","Rückblicke auf die Literatur der DDR /","",2002,TRUE
"23","ALDERMAN","PT 000009 .A47  BD.000055","X004735508","Body dialectics in the age of Goethe /","",2003,TRUE
"24","ALDERMAN","PT 000009 .A47  BD.000056","X004809921","Colors 1800 /1900 /2000 : signs of ethnic difference /","",2004,TRUE
"25","ALDERMAN","PT 000009 .A47  BD.000057","X004751120","Krieg in den Medien /","",2005,TRUE
"26","ALDERMAN","PT 000009 .A47  BD.000058","X004915884","Hermann Hesse today = Hermann Hesse Heute /","",2005,TRUE
"27","ALDERMAN","PT 000009 .A47  BD.000062","X030230873","The enlightened eye : Goethe and visual culture /","",2007,TRUE
"28","ALDERMAN","PT 000009 .A47  BD.000067","X030509293","Neulektüren = New readings : Festschrift für Gerd Labroisse zum 80. Geburtstag /","",2009,TRUE
"29","ALDERMAN","PT 000009 .A47  BD.000068","X030574148","Exiles traveling : exploring displacement, crossing boundaries in German exile arts and writings 1933-1945 /","",2009,TRUE
