"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","PZ 000001 .A48  TO","X001590903","To catch a spy, an anthology of favourite spy stories.","Ambler, Eric,",1965,TRUE
"2","CLEMONS","PZ 000003 .B17021  MIS 2010","X030805096","Miss Hargreaves : a novel /","Baker, Frank,",2010,FALSE
"3","ALDERMAN","PZ 000003 .C583  A:1959","X000310014","The adventures of Tom Sawyer /","Twain, Mark,",1959,FALSE
"4","ALDERMAN","PZ 000003 .D642  I 1900","X001327698","The image breakers /","Dix, Gertrude.",1900,FALSE
"5","ALDERMAN","PZ 000003 .H78383  RI","X000160099","The right image; a novel of the men who make candidates for the presidency","Horan, James D. (James David),",1967,TRUE
"6","ALDERMAN","PZ 000003 .L215  MO 1950","X002454146","Moulin Rouge; a novel based on the life of Henri de Toulouse-Lautrec.","La Mure, Pierre.",1950,FALSE
"7","ALDERMAN","PZ 000003 .S54723  SP","X004953773","Spring silkworms and other stories,","Mao, Dun,",1956,FALSE
"8","ALDERMAN","PZ 000003 .S6279  V","X001505691","Vulcan! /","Sky, Kathleen.",1978,TRUE
"9","ALDERMAN","PZ 000003 .T7285  BW3","X030384964","Bury him among kings.","Trevor, Elleston.",1970,FALSE
"10","ALDERMAN","PZ 000003 .W4885  LH","X030219771","The listening eye.","Wentworth, Patricia.",1955,TRUE
"11","ALDERMAN","PZ 000003 .W884  KE 1999","X004435239","Kew Gardens /","Woolf, Virginia,",1999,FALSE
"12","ALDERMAN","PZ 000003 .W898  S 1917","X000440443","The sorry tale; a story of the time of Christ,","Worth, Patience",1917,FALSE
"13","ALDERMAN","PZ 000003 .W953  CE4","X030145390","Celebrated cases of Judge Dee = Dee goong an : an authentic eighteenth-century Chinese detective novel /","",1976,TRUE
"14","ALDERMAN","PZ 000004 .A6473  IN","X000383687","In the wilderness; stories","Apelfeld, Aharon",1965,FALSE
"15","CLEMONS","PZ 000004 .A986  MI","X004972331","The Midas consequence /","Ayrton, Michael,",1974,FALSE
"16","ALDERMAN","PZ 000004 .P3196  CH 2","X001016358","The children of Sisyphus, a novel,","Patterson, Orlando,",1965,TRUE
"17","ALDERMAN","PZ 000004 .S6596  TR","X001497011","The train from Katanga, a novel,","Smith, Wilbur A.",1965,TRUE
"18","CLEMONS","PZ 000005 .A4564  2018","X032208822","All out /","",2018,FALSE
"19","ALDERMAN","PZ 000005 .A64  AR 1976","X000652352","The Arbuthnot anthology of children's literature /","Arbuthnot, May Hill,",1976,FALSE
