"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","P  000001 .S9  V.24  1990","X001793161","Modern Icelandic syntax /","",1990,TRUE
"2","ALDERMAN","P  000001 .S9  V.30  1998","X004134899","Complex predicates in nonderivational syntax /","",1998,TRUE
"3","ALDERMAN","P  000009 .F5  V.000004 NO.000001-000004","X032029611","Indian tribes of the Argentine and Bolivian Chaco; ethnological studies","Karsten, Rafael,",1932,TRUE
"4","ALDERMAN","P  000009 .F5  V.000032 NO.000001-000003 001962-000063","X032029102","Warum war der Verbrechensversuch nach altgermanischem Recht straflos?","Hemmer, Ragmar.",1962,TRUE
"5","ALDERMAN","P  000009 .F5  V.000033 NO.000001-000002 001963","X032029101","From cloth to iron; the Anglo-Baltic trade in the late seventeenth century.","Åström, Sven-Erik,",1963,TRUE
"6","ALDERMAN","P  000009 .F5  V.000037 NO.000001-000003","X000469806","Till frågan om rikslagstiftningen; om den tyska doktrinen och dess betydelse för den ryska politiken mot Finland,","Federley, Berndt,",1965,TRUE
"7","ALDERMAN","P  000009 .F5  V.000064","X004655850","The Romans and the Greek language /","Kaimio, Jorma.",1979,TRUE
"8","ALDERMAN","P  000009 .F5  V.000083","X001340260","Menippean satire as a literary genre : with special reference to Seneca's Apocolocyntosis /","Riikonen, Hannu.",1987,TRUE
"9","ALDERMAN","P  000023 .L524  1987B","X001296678","The Linguistics of writing : arguments between language and literature /","",1987,FALSE
"10","ALDERMAN","P  000025 .C25  V.000004 NO.000001-000004","X032025379","The Venetic language.","Beeler, Madison Scott,",1949,TRUE
"11","ALDERMAN","P  000025 .C25  V.000021-000023 001960","X032025368","Laryngeals and the Indo-European verb.","Puhvel, Jaan.",1960,TRUE
"12","ALDERMAN","P  000025 .C25  V.000036 001964","X032025376","Kashaya texts,","Oswalt, Robert Louis.",1964,TRUE
"13","ALDERMAN","P  000025 .C25  V.000041 001964","X032025377","Maidu grammar.","Shipley, William,",1964,TRUE
"14","ALDERMAN","P  000025 .C25  V.000043 001965","X032025363","English-Wappo vocabulary.","Sawyer, Jesse O.",1965,TRUE
"15","ALDERMAN","P  000025 .C25  V.000045 001966","X004108827","Achumawi dictionary.","Olmsted, D. L. (David Lockwood),",1966,TRUE
"16","ALDERMAN","P  000025 .C25  V.000054 001969","X032025361","Koya: an outline grammar, Gommu dialect,","Tyler, Stephen A.,",1969,TRUE
"17","ALDERMAN","P  000025 .C25  V.000057 001970","X032025362","A grammar of Tera; transformational syntax and tests.","Newman, Paul,",1970,TRUE
"18","ALDERMAN","P  000025 .C25  V.000058 001969","X032025370","Proto-Indo-European schwebeablaut.","Anttila, Raimo.",1969,TRUE
"19","ALDERMAN","P  000025 .C25  V.000059 001969","X032025371","Dictionary of Western Kamchadal,","Worth, Dean S.",1969,TRUE
"20","ALDERMAN","P  000025 .C25  V.000062 001970","X030498487","Nez Perce grammar.","Aoki, Haruo.",1970,TRUE
"21","ALDERMAN","P  000025 .C25  V.000064 001970","X032025364","Patterns of derivational affixation in the Cabraniego dialect of east-central Asturian.","Malkiel, Yakov,",1970,TRUE
"22","ALDERMAN","P  000025 .C25  V.000065 001971","X032025366","Studies in American Indian languages.","",1971,TRUE
"23","ALDERMAN","P  000025 .C25  V.000067 001971","X032025367","Tiruray-English lexicon,","Schlegel, Stuart A.",1971,TRUE
"24","ALDERMAN","P  000025 .H9","X000310093","Language in culture and society; a reader in linguistics and anthropology","Hymes, Dell H.",1964,FALSE
"25","ALDERMAN","P  000025 .I3  V.000031 NO.000001-000004","X000498515","Die ästhetik der deutschen frühromantik,","Reiff, Paul Friedrich,",1946,TRUE
"26","ALDERMAN","P  000025 .L3  NO.000019-000026 001935-001938","X032029182","Old High German biteilen and biskerien,","Haessler, Luise,",1935,TRUE
"27","ALDERMAN","P  000025 .L3  NO.000027-000037 001939-001943","X032029181","The vocabulary of mental aberration in Roman comedy and Petronius,","Paschall, Dorothy May,",1939,TRUE
"28","ALDERMAN","P  000025 .L3  NO.000031-000035","X032029179","The Sanskrit indeclinables of the Hindu grammarians and lexicographers,","Dyen, Isidore,",1939,TRUE
"29","ALDERMAN","P  000025 .L3  NO.000036-000040","X004520053","Latin adjectives with partitive meaning in republican literature,","Vaughan, Alden Gibson,",1942,TRUE
"30","ALDERMAN","P  000025 .L3  NO.000041-000045","X032029178","An outline of Hausa grammar.","Hodge, C. T. (Carleton Taylor),",1947,TRUE
"31","ALDERMAN","P  000025 .L32  NO.000011 001932","X031769394","The relation between linguistic structure and associative interference in artificial linguistic material.","Wolfle, Dael,",1932,TRUE
"32","ALDERMAN","P  000025 .W32  NO.000002 001931","X032004637","Faust and Faustus; a study of Goethe's relation to Marlowe,","Heller, Otto,",1931,TRUE
"33","ALDERMAN","P  000025 .W32  NO.000006 001961","X000334824","Ancients and moderns; a study of the rise of the scientific movement in seventeenth-century England.","Jones, Richard Foster,",1961,TRUE
"34","ALDERMAN","P  000026 .H55  P47  2013","X031642037","The persistence of language : constructing and confronting the past and present in the voices of Jane H. Hill /","",2013,FALSE
"35","ALDERMAN","P  000026 .W55  1973","X000378123","Studies in medieval literature and languages; in memory of Frederick Whitehead;","",1973,FALSE
"36","CLEMONS","P  000027 .P85  1991","X002036300","The great Eskimo vocabulary hoax, and other irreverent essays on the study of language /","Pullum, Geoffrey K.",1991,FALSE
"37","ALDERMAN","P  000027 .S33  1949","X000128509","Selected writings in language, culture and personality;","Sapir, Edward,",1949,FALSE
"38","ALDERMAN","P  000027 .W53  1956","X000109589","Language, thought, and reality; selected writings.","Whorf, Benjamin Lee,",1956,FALSE
"39","ALDERMAN","P  000029 .C59  2014","X031626506","The concise Oxford dictionary of linguistics /","Matthews, P. H. (Peter Hugoe),",2014,FALSE
"40","ALDERMAN","P  000029 .C64  1987","X001361179","The Cambridge encyclopedia of language /","Crystal, David,",1987,FALSE
"41","ALDERMAN","P  000029 .C64  2010","X030773520","The Cambridge encyclopedia of language /","Crystal, David,",2010,FALSE
"42","ALDERMAN","P  000029 .C7  1980","X000168165","A first dictionary of linguistics and phonetics /","Crystal, David,",1980,FALSE
"43","ALDERMAN","P  000029 .F37  2009","X031191737","A lexicon of linguistic terms : English, French, Arabic = Lexique de terminologie linguistique : anglais, français, arabe /","Fassi Fehri, Abdelkader.",2009,FALSE
"44","ALDERMAN","P  000029 .F8  1979","X032013923","Yu yan wen zi xue ci dian /","",1979,FALSE
"45","ALDERMAN","P  000029 .I58  2003  V.000003","X004705679","International encyclopedia of linguistics /","",2003,TRUE
"46","ALDERMAN","P  000029 .L52  1995","X002651025","The Linguistics encyclopedia /","",1995,FALSE
"47","ALDERMAN","P  000029 .M34  2007","X030275815","The concise Oxford dictionary of linguistics /","Matthews, P. H. (Peter Hugoe)",2007,FALSE
"48","ALDERMAN","P  000029 .T687  2007","X004832825","Language and linguistics : the key concepts /","Trask, R. L. (Robert Lawrence),",2007,FALSE
"49","ALDERMAN","P  000029.5 .J33  2007","X030257550","Key terms in linguistics /","Jackson, Howard,",2007,FALSE
"50","ALDERMAN","P  000033 .H3613  2015","X031705732","Minima philologica /","Hamacher, Werner,",2015,FALSE
"51","ALDERMAN","P  000035 .A37  1994","X002537139","Language shock : understanding the culture of conversation /","Agar, Michael.",1993,FALSE
"52","CLEMONS","P  000035 .A38  2012","X030959031","Living language : an introduction to linguistic anthropology /","Ahearn, Laura M.,",2012,FALSE
"53","ALDERMAN","P  000035 .A73  1989","X001640029","The voice of prophecy and other essays /","Ardener, Edwin.",1989,FALSE
"54","ALDERMAN","P  000035 .B3  1978","X000065711","Verbal art as performance /","Bauman, Richard,",1978,FALSE
"55","ALDERMAN","P  000035 .B33  2003","X004719409","Voices of modernity : language ideologies and the politics of inequality /","Bauman, Richard,",2003,FALSE
"56","CLEMONS","P  000035 .B6  1993","X002330113","Language, culture, and communication : the meaning of messages /","Bonvillain, Nancy.",1993,FALSE
"57","ALDERMAN","P  000035 .C59  2006","X030516881","A companion to linguistic anthropology /","",2006,FALSE
"58","ALDERMAN","P  000035 .C66  2013","X031759221","Conquista y conversión : universos semióticos, textualidad y legitimación de saberes en la América colonial /","",2013,FALSE
"59","ALDERMAN","P  000035 .C8  1987","X001222212","Cultural models in language and thought /","",1987,FALSE
"60","ALDERMAN","P  000035 .D465  2010B","X030773618","Through the language glass : how words colour your world /","Deutscher, Guy,",2010,FALSE
"61","ALDERMAN","P  000035 .D87  1997","X006046984","Linguistic anthropology /","Duranti, Alessandro.",1997,FALSE
