"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","U  000019 .H65  2015","X031829909","While you were sleeping : pearls of wisdom from the U. S. Army Command and General Staff College's guest speaker program /","Hollister, Eric A.,",2015,FALSE
"2","ALDERMAN","U  000021 .B533  2003","X004659245","War : an illustrated history /","Black, Jeremy,",2003,FALSE
"3","ALDERMAN","U  000021 .F68  1980","X000686717","Krieg dem Kriege! Guerre à la guerre! War against war! Oorlog aan den Oorlog! /","Friedrich, Ernst.",1980,FALSE
"4","ALDERMAN","U  000021 .G313  1960","X000390872","The edge of the sword.","Gaulle, Charles de,",1960,FALSE
"5","ALDERMAN","U  000021 .G75  1959","X000126461","The warriors; reflections on men in battle.","Gray, J. Glenn (Jesse Glenn),",1959,FALSE
"6","CLEMONS","U  000021 .G75  1970","X000301117","The warriors : reflections on men in battle /","Gray, J. Glenn (Jesse Glenn),",1970,FALSE
"7","ALDERMAN","U  000021 .L524  2010","X030608325","Nothing less than victory : decisive wars and the lessons of history /","Lewis, John,",2010,FALSE
"8","CLEMONS","U  000021 .S617  2007","X030254711","The most dangerous animal : human nature and the origins of war /","Smith, David Livingstone,",2007,FALSE
"9","ALDERMAN","U  000021 .W3  1944","X000498353","The veteran comes back,","Waller, Willard,",1944,FALSE
"10","ALDERMAN","U  000021 .W7  1965","X000299003","A study of war.","Wright, Quincy,",1965,FALSE
"11","ALDERMAN","U  000021.2 .B3973  2004","X004741322","The behavioral origins of war /","Bennett, D. Scott.",2004,FALSE
"12","ALDERMAN","U  000021.2 .B529  2013","X031605435","In defence of war /","Biggar, Nigel",2013,FALSE
"13","ALDERMAN","U  000021.2 .B53  1988","X001601702","The causes of war /","Blainey, Geoffrey.",1988,FALSE
"14","CLEMONS","U  000021.2 .B53  1988B","X030464813","The causes of war /","Blainey, Geoffrey.",1988,FALSE
"15","ALDERMAN","U  000021.2 .B83","X000224655","The war trap /","Bueno de Mesquita, Bruce,",1981,FALSE
"16","ALDERMAN","U  000021.2 .C29  2012","5695504-2001","The Cambridge history of war /","",2012,FALSE
"17","ALDERMAN","U  000021.2 .C29  2012  V.4","X030851351","The Cambridge history of war.","",2012,TRUE
"18","CLEMONS","U  000021.2 .C37  2000","X004644167","What causes war? : an introduction to theories of international conflict /","Cashman, Greg.",2000,FALSE
"19","ALDERMAN","U  000021.2 .C375  2007","X030612437","An introduction to the causes of war : patterns of interstate conflict from World War I to Iraq /","Cashman, Greg.",2007,FALSE
"20","ALDERMAN","U  000021.2 .C5  2001","X004473160","Clausewitz and chaos : friction in war and military policy /","Cimbala, Stephen J.",2001,FALSE
"21","ALDERMAN","U  000021.2 .C516  2012","X031216213","Civilians and war in Europe, 1618-1815 /","",2012,FALSE
"22","ALDERMAN","U  000021.2 .C517  2001","X004474521","Civilians in war /","",2001,FALSE
"23","ALDERMAN","U  000021.2 .C58  2014","X031719529","Civilians at war : from the fifteenth century to the present /","",2014,FALSE
"24","CLEMONS","U  000021.2 .C63  2006","X030476661","War : ends and means /","Codevilla, Angelo,",2006,FALSE
"25","ALDERMAN","U  000021.2 .C6396  2008","X030257691","Ethics and war in the 21st century /","Coker, Christopher.",2008,FALSE
"26","ALDERMAN","U  000021.2 .C6397  2004","X004807643","The future of war : the re-enchantment of war in the twenty-first century /","Coker, Christopher.",2004,FALSE
"27","ALDERMAN","U  000021.2 .C64  2001","X006126359","Humane warfare /","Coker, Christopher.",2001,FALSE
"28","ALDERMAN","U  000021.2 .C6425  2007","X030260793","The warrior ethos : military culture and the war on terror /","Coker, Christopher.",2007,FALSE
"29","ALDERMAN","U  000021.2 .C6426  2009","X030466501","War in an age of risk /","Coker, Christopher.",2009,FALSE
"30","ALDERMAN","U  000021.2 .C645  2002","X004633393","Waging war without warriors? : the changing culture of military conflict /","Coker, Christopher.",2002,FALSE
"31","ALDERMAN","U  000021.2 .C67  1979  V.000001","X000039833","The Correlates of war /","",1979,TRUE
"32","ALDERMAN","U  000021.2 .C76  2005","X004905454","Political victory : the elusive prize of military wars /","Crozier, Brian,",2005,FALSE
"33","ALDERMAN","U  000021.2 .D3313  1986","X002590016","Nomadology : the war machine /","Deleuze, Gilles,",1986,FALSE
"34","ALDERMAN","U  000021.2 .D347  2001","X004523219","Virtuous war : mapping the military-industrial-media-entertainment network /","Der Derian, James.",2001,FALSE
"35","ALDERMAN","U  000021.2 .D347  2009","X030467511","Virtuous war : mapping the military-industrial-media-entertainment network /","Der Derian, James.",2009,FALSE
"36","ALDERMAN","U  000021.2 .D349  2008","X030258356","Power and military effectiveness : the fallacy of democratic triumphalism /","Desch, Michael C. (Michael Charles),",2008,FALSE
"37","ALDERMAN","U  000021.2 .D46  2006","X030114896","The demography of armed conflict /","",2006,FALSE
"38","ALDERMAN","U  000021.2 .D587  2008","X030258727","Targeting civilians in war /","Downes, Alexander B.,",2008,FALSE
"39","ALDERMAN","U  000021.2 .D73  2016","X031790988","Just war reconsidered : strategy, ethics, and theory /","Dubik, James M.,",2016,FALSE
"40","ALDERMAN","U  000021.2 .D75  2012","X030959088","War  time : an idea, its history, its consequences /","Dudziak, Mary L.,",2012,FALSE
"41","ALDERMAN","U  000021.2 .D84  1990","X004295513","The Evolution of weapons and warfare /","Dupuy, Trevor N. (Trevor Nevitt),",1990,FALSE
"42","ALDERMAN","U  000021.2 .F47  2007","X030568906","Juan Ginés de Sepúlveda : la guerra en el pensamiento político del Renacimiento /","Fernández-Santamaría, J. A.,",2007,FALSE
"43","ALDERMAN","U  000021.2 .F74  2017","X032582270","The future of war : a history /","Freedman, Lawrence,",2017,FALSE
"44","CLEMONS","U  000021.2 .F79  2007","X030114643","Beyond war : the human potential for peace /","Fry, Douglas P.,",2007,FALSE
"45","ALDERMAN","U  000021.2 .F874  2014","X031628205","The future of just war : new critical essays /","",2014,FALSE
"46","ALDERMAN","U  000021.2 .G36413  2000","X004214792","Warfare since the Second World War /","Gantzel, Klaus Jürgen.",2000,FALSE
"47","ALDERMAN","U  000021.2 .G45  1993","X002228333","Gendering war talk /","",1993,FALSE
"48","ALDERMAN","U  000021.2 .G669  2005","X004811957","Peace, war, and computers /","Gray, Chris Hables.",2005,FALSE
"49","ALDERMAN","U  000021.2 .G6692  2005","X004894546","Another bloody century : future warfare /","Gray, Colin S.",2005,FALSE
"50","ALDERMAN","U  000021.2 .G6727  2016","X031814082","Strategy and politics /","Gray, Colin S.,",2016,FALSE
"51","ALDERMAN","U  000021.2 .G674  2017","X031762369","War : an enquiry /","Grayling, A. C.,",2017,FALSE
"52","ALDERMAN","U  000021.2 .H35  1989","X004699116","Handbook of war studies /","",1989,FALSE
"53","ALDERMAN","U  000021.2 .H35  2000","X030338380","Handbook of war studies II /","",2000,FALSE
"54","ALDERMAN","U  000021.2 .H357  2008","X030277525","The ultimate experience : battlefield revelations and the making of modern war culture, 1450-2000 /","Harari, Yuval N.",2008,FALSE
"55","ALDERMAN","U  000021.2 .H359  2001","X004554838","Warfare and the third world /","Harkavy, Robert E.",2001,FALSE
"56","CLEMONS","U  000021.2 .H45  2003","X004684121","What every person should know about war /","Hedges, Chris.",2003,FALSE
"57","ALDERMAN","U  000021.2 .H5435  2004","X030253889","A terrible love of war /","Hillman, James.",2004,FALSE
"58","ALDERMAN","U  000021.2 .H548  2017","X031761852","Tokens of power : rethinking war /","Hironaka, Ann,",2017,FALSE
"59","ALDERMAN","U  000021.2 .H57  2001","X004705321","War and power in the 21st century : the State, military conflict, and the international system /","Hirst, Paul Heywood.",2001,FALSE
"60","ALDERMAN","U  000021.2 .H625  1986","X001015693","Acts of war : the behavior of men in battle /","Holmes, Richard,",1986,FALSE
"61","ALDERMAN","U  000021.2 .H627  1991","X001977718","Peace and war : armed conflicts and international order, 1648- 1989 /","Holsti, K. J. (Kalevi Jaakko),",1991,FALSE
"62","ALDERMAN","U  000021.2 .H62723  1996","X004071104","The state, war, and the state of war /","Holsti, K. J. (Kalevi Jaakko),",1996,FALSE
"63","ALDERMAN","U  000021.2 .H632  2015","X031732188","Hubris : the tragedy of war in the twentieth century /","Horne, Alistair",2015,FALSE
"64","ALDERMAN","U  000021.2 .H657  1983","X000537288","Clausewitz /","Howard, Michael,",1983,FALSE
"65","ALDERMAN","U  000021.2 .I58  2007","X030116335","Intervention, terrorism, and torture : contemporary challenges to just war theory /","",2007,FALSE
"66","ALDERMAN","U  000021.2 .J626  2006","X030113622","Failing to win : perceptions of victory and defeat in international politics /","Johnson, Dominic D. P.,",2006,FALSE
"67","ALDERMAN","U  000021.2 .J627  1984","X000785497","Can modern war be just? /","Johnson, James Turner.",1984,FALSE
"68","ALDERMAN","U  000021.2 .J63","X000224635","Just war tradition and the restraint of war : a moral and historical inquiry /","Johnson, James Turner.",1981,FALSE
"69","ALDERMAN","U  000021.2 .J6324  1999","X004279019","Morality & contemporary warfare /","Johnson, James Turner.",1999,FALSE
"70","ALDERMAN","U  000021.2 .J849  2013","X031618820","Just war : authority, tradition, and practice /","",2013,FALSE
"71","ALDERMAN","U  000021.2 .J85  2003","X004707997","Just war in comparative perspective /","",2003,FALSE
"72","ALDERMAN","U  000021.2 .K427  2012","X031216246","Useful enemies : when waging wars is more important than winning them /","Keen, David,",2012,FALSE
"73","ALDERMAN","U  000021.2 .L375  2007","X030102723","Misfortunes of war : press and public reactions to civilian deaths in wartime /","Larson, Eric V. (Eric Victor),",2007,FALSE
